step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,167.83,4509447.17,0.827329,1.0368440640119094e-06,nan,0.4,144.9555
2,1,167.94,2256151.47,0.861728,1.0736881280238187e-06,inf,613.7,0.1043
3,1,168.24,1506669.16,0.8466,1.1105321920357277e-06,inf,611.8,0.1046
4,1,168.53,1131921.83,0.828183,1.147376256047637e-06,inf,609.4,0.105
5,1,168.82,907077.27,0.833816,1.1842203200595463e-06,114.888451,615.6,0.104
6,1,169.11,757183.43,0.812712,1.2210643840714553e-06,inf,613.4,0.1043
7,1,169.41,650119.9,0.790995,1.2579084480833646e-06,169.016724,603.2,0.1061
8,1,169.7,569818.84,0.788527,1.2947525120952738e-06,inf,612.2,0.1045
9,1,170.0,507360.9,0.768287,1.331596576107183e-06,92.796219,612.1,0.1046
10,1,170.29,457396.94,0.789321,1.3684406401190921e-06,122.457626,612.1,0.1046
11,1,170.58,416520.14,0.754249,1.4052847041310014e-06,141.459137,616.5,0.1038
12,1,170.88,382448.54,0.749248,1.4421287681429106e-06,142.993286,615.4,0.104
13,1,171.17,353619.61,0.738826,1.4789728321548197e-06,86.923477,620.4,0.1032
14,1,171.46,328909.77,0.716614,1.5158168961667287e-06,100.916618,616.5,0.1038
15,1,171.75,307495.92,0.703837,1.552660960178638e-06,62.558159,615.6,0.104
16,1,172.05,288757.01,0.687886,1.589505024190547e-06,118.975029,617.8,0.1036
17,1,172.34,272223.84,0.67345,1.6263490882024563e-06,inf,614.4,0.1042
18,1,172.63,257526.23,0.690571,1.6631931522143654e-06,78.520531,612.9,0.1044
19,1,172.92,244375.08,0.69519,1.7000372162262744e-06,60.640297,621.2,0.103
20,1,173.22,232541.83,0.672255,1.7368812802381837e-06,323.113922,612.2,0.1045
21,1,173.51,221841.06,0.67116,1.7737253442500927e-06,43.60952,617.0,0.1037
22,1,173.81,212108.34,0.673554,1.8105694082620018e-06,194.204468,599.1,0.1068
23,1,174.1,203218.77,0.6484,1.8474134722739108e-06,418.813324,612.5,0.1045
24,1,174.39,195072.32,0.642738,1.8842575362858199e-06,199.318832,615.5,0.104
25,1,174.69,187577.68,0.637805,1.921101600297729e-06,53.345257,614.8,0.1041
26,1,174.98,180660.51,0.622429,1.957945664309638e-06,68.363869,610.9,0.1048
27,1,175.28,174255.89,0.626792,1.994789728321547e-06,52.683407,607.9,0.1053
28,1,175.57,168307.52,0.59572,2.0316337923334565e-06,47.977715,615.8,0.1039
29,1,175.86,162769.12,0.594926,2.0684778563453657e-06,170.680634,611.6,0.1046
30,1,176.16,157601.52,0.596944,2.105321920357275e-06,50.561932,611.1,0.1047
31,1,176.45,152769.34,0.597892,2.1421659843691842e-06,75.781166,595.7,0.1074
32,1,176.75,148236.04,0.578861,2.1790100483810935e-06,110.494591,604.0,0.106
33,1,177.04,143977.63,0.583381,2.2158541123930023e-06,53.356377,607.7,0.1053
34,1,177.34,139969.91,0.570896,2.252698176404911e-06,55.651829,609.1,0.1051
35,1,177.63,136191.12,0.56211,2.2895422404168204e-06,58.188702,614.3,0.1042
36,1,177.92,132621.32,0.576826,2.3263863044287297e-06,59.600048,618.1,0.1036
37,1,178.22,129245.29,0.5642,2.363230368440639e-06,44.804871,615.4,0.104
38,1,178.51,126046.88,0.600286,2.400074432452548e-06,58.042515,614.1,0.1042
39,1,178.8,123012.29,0.571864,2.436918496464457e-06,38.803829,613.7,0.1043
40,1,179.1,120129.79,0.583244,2.4737625604763663e-06,43.029152,611.6,0.1046
41,1,179.4,117390.78,0.551618,2.5106066244882756e-06,76.263618,612.0,0.1046
42,1,179.69,114779.25,0.524164,2.547450688500185e-06,89.270233,607.6,0.1053
43,1,179.99,112290.59,0.565433,2.584294752512094e-06,38.917,599.0,0.1068
44,1,180.28,109913.65,0.545122,2.6211388165240034e-06,72.442268,610.1,0.1049
45,1,180.57,107642.71,0.576066,2.6579828805359126e-06,44.710655,610.2,0.1049
46,1,180.87,105469.87,0.600634,2.694826944547822e-06,48.588413,609.5,0.105
47,1,181.16,103389.71,0.545103,2.731671008559731e-06,73.086006,608.7,0.1051
48,1,181.45,101395.46,0.57289,2.7685150725716404e-06,74.306702,614.6,0.1041
49,1,181.75,99483.68,0.581119,2.8053591365835492e-06,47.096951,611.7,0.1046
50,1,182.04,97648.46,0.570901,2.8422032005954585e-06,81.436516,611.1,0.1047
51,1,182.34,95886.31,0.541719,2.8790472646073677e-06,41.065613,597.3,0.1072
52,1,182.63,94190.32,0.585836,2.915891328619277e-06,102.965988,600.5,0.1066
53,1,182.93,92557.46,0.560054,2.9527353926311863e-06,59.174458,614.1,0.1042
54,1,183.22,90986.38,0.529653,2.9895794566430955e-06,54.754406,611.6,0.1046
55,1,183.52,89472.36,0.545569,3.0264235206550044e-06,71.4515,611.8,0.1046
56,1,183.81,88011.52,0.613587,3.0632675846669136e-06,66.492561,617.2,0.1037
57,1,184.1,86602.39,0.553306,3.1001116486788225e-06,58.777386,616.2,0.1039
58,1,184.4,85241.51,0.576409,3.1369557126907313e-06,115.770805,617.0,0.1037
59,1,184.69,83926.58,0.548782,3.1737997767026406e-06,94.783592,616.3,0.1038
60,1,184.98,82656.6,0.541743,3.21064384071455e-06,75.378105,606.0,0.1056
61,1,185.28,81429.32,0.52442,3.2474879047264586e-06,82.151245,602.3,0.1063
62,1,185.57,80239.18,0.540092,3.284331968738368e-06,45.260235,613.8,0.1043
63,1,185.87,79087.84,0.617057,3.321176032750277e-06,108.327148,613.0,0.1044
64,1,186.16,77972.5,0.531902,3.3580200967621864e-06,46.88699,613.8,0.1043
65,1,186.46,76891.23,0.501342,3.3948641607740957e-06,79.740578,616.1,0.1039
66,1,187.79,76264.65,0.552281,3.431708224786005e-06,117.015869,609.8,0.1049
67,1,188.77,75514.52,0.566519,3.468552288797914e-06,49.714287,616.6,0.1038
68,1,189.06,74517.85,0.523268,3.5053963528098235e-06,65.249825,599.1,0.1068
69,1,189.35,73547.81,0.584684,3.5422404168217327e-06,57.462669,616.5,0.1038
70,1,189.65,72607.11,0.550949,3.579084480833642e-06,68.811623,615.8,0.1039
71,1,189.94,71692.53,0.536234,3.6159285448455512e-06,329.721802,615.2,0.104
72,1,190.23,70803.4,0.574291,3.6527726088574605e-06,79.885971,613.3,0.1044
73,1,190.53,69938.98,0.53162,3.6896166728693693e-06,69.934052,609.0,0.1051
74,1,190.82,69097.52,0.542622,3.7264607368812786e-06,82.942879,610.7,0.1048
75,1,191.11,68278.44,0.575473,3.7633048008931883e-06,66.708549,612.9,0.1044
