step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,92.71,2490904.38,0.613302,1.0368440640119094e-06,3.360117,0.8,85.3154
2,1,92.8,1246706.94,0.633104,1.0736881280238187e-06,3.718312,703.1,0.091
3,1,93.0,832838.3,0.664429,1.1105321920357277e-06,3.386675,741.5,0.0863
4,1,93.19,625903.56,0.64259,1.147376256047637e-06,2.602923,773.1,0.0828
5,1,93.38,501752.79,0.639395,1.1842203200595463e-06,2.829999,766.1,0.0835
6,1,93.58,418988.63,0.6455,1.2210643840714553e-06,3.151482,754.2,0.0849
7,1,93.78,359885.84,0.624899,1.2579084480833646e-06,2.95474,711.7,0.0899
8,1,93.97,315532.18,0.614687,1.2947525120952738e-06,2.901839,744.5,0.086
9,1,94.17,281047.11,0.602614,1.331596576107183e-06,2.822553,743.5,0.0861
10,1,94.36,253458.24,0.632631,1.3684406401190921e-06,2.088807,741.5,0.0863
11,1,94.56,230888.86,0.605515,1.4052847041310014e-06,2.451527,733.1,0.0873
12,1,94.76,212089.01,0.605784,1.4421287681429106e-06,2.574265,685.4,0.0934
13,1,94.95,196161.61,0.61502,1.4789728321548197e-06,1.96165,718.7,0.0891
14,1,95.14,182512.96,0.6132,1.5158168961667287e-06,2.158584,751.6,0.0851
15,1,95.34,170695.51,0.60556,1.552660960178638e-06,3.005571,721.4,0.0887
16,1,95.54,160348.55,0.591913,1.589505024190547e-06,2.194007,725.1,0.0883
17,1,95.74,151224.35,0.598765,1.6263490882024563e-06,2.095194,710.0,0.0901
18,1,95.93,143110.28,0.578533,1.6631931522143654e-06,2.399857,723.5,0.0885
19,1,96.13,135849.07,0.567824,1.7000372162262744e-06,2.969275,725.2,0.0882
20,1,96.32,129315.78,0.608327,1.7368812802381837e-06,2.04617,714.8,0.0895
21,1,96.52,123409.5,0.579384,1.7737253442500927e-06,2.068714,706.4,0.0906
22,1,96.72,118032.49,0.561723,1.8105694082620018e-06,2.414281,719.7,0.0889
23,1,96.91,113122.45,0.600168,1.8474134722739108e-06,1.346802,739.3,0.0866
24,1,97.12,108634.61,0.577071,1.8842575362858199e-06,1.519754,661.2,0.0968
25,1,97.31,104493.09,0.570062,1.921101600297729e-06,1.294842,711.6,0.0899
26,1,97.51,100671.57,0.543104,1.957945664309638e-06,2.061557,724.1,0.0884
27,1,97.71,97141.56,0.635147,1.994789728321547e-06,1.836668,666.4,0.096
28,1,97.9,93848.67,0.582712,2.0316337923334565e-06,1.765302,727.0,0.088
29,1,98.09,90791.01,0.59257,2.0684778563453657e-06,1.710252,723.5,0.0885
30,1,98.29,87936.98,0.601,2.105321920357275e-06,1.553881,715.9,0.0894
31,1,98.48,85263.89,0.613282,2.1421659843691842e-06,1.904767,737.9,0.0867
32,1,98.68,82765.68,0.604646,2.1790100483810935e-06,1.339973,686.7,0.0932
33,1,98.87,80409.24,0.599902,2.2158541123930023e-06,2.283158,734.7,0.0871
34,1,99.07,78196.03,0.595867,2.252698176404911e-06,1.490217,725.1,0.0883
35,1,99.27,76110.56,0.55382,2.2895422404168204e-06,1.529335,717.0,0.0893
36,1,99.46,74137.88,0.575931,2.3263863044287297e-06,1.303328,734.2,0.0872
37,1,99.66,72276.05,0.546013,2.363230368440639e-06,1.386629,702.2,0.0911
38,1,99.86,70508.56,0.573254,2.400074432452548e-06,1.278172,712.9,0.0898
39,1,100.06,68837.53,0.585239,2.436918496464457e-06,1.26324,663.6,0.0964
40,1,100.24,67236.95,0.576577,2.4737625604763663e-06,1.417629,758.4,0.0844
41,1,100.44,65727.67,0.579394,2.5106066244882756e-06,1.447862,719.1,0.089
42,1,100.64,64284.78,0.517975,2.547450688500185e-06,1.787524,729.5,0.0877
43,1,100.84,62910.12,0.579059,2.584294752512094e-06,1.028533,716.6,0.0893
44,1,101.03,61597.25,0.571086,2.6211388165240034e-06,2.014927,742.5,0.0862
45,1,101.23,60343.64,0.526119,2.6579828805359126e-06,1.45882,725.8,0.0882
46,1,101.42,59143.85,0.569393,2.694826944547822e-06,2.054274,727.1,0.088
47,1,101.62,57993.11,0.563062,2.731671008559731e-06,1.370458,757.2,0.0845
48,1,101.82,56893.39,0.623699,2.7685150725716404e-06,1.617774,730.6,0.0876
49,1,102.02,55841.87,0.558672,2.8053591365835492e-06,1.387571,672.0,0.0952
50,1,102.22,54828.48,0.558753,2.8422032005954585e-06,1.442319,717.2,0.0892
51,1,102.41,53855.87,0.558467,2.8790472646073677e-06,1.06004,698.2,0.0917
52,1,102.61,52918.43,0.588283,2.915891328619277e-06,1.481702,712.2,0.0899
53,1,104.23,52739.95,0.578925,2.9527353926311863e-06,1.569987,42.2,1.5176
54,1,104.33,51807.07,0.602828,2.9895794566430955e-06,2.052238,718.4,0.0891
55,1,104.52,50959.12,0.575024,3.0264235206550044e-06,1.296805,708.1,0.0904
56,1,104.72,50142.14,0.542056,3.0632675846669136e-06,1.861136,688.3,0.093
57,1,104.92,49353.25,0.578494,3.1001116486788225e-06,1.201318,677.1,0.0945
