step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
7501,3,25066.72,64727.02,0.372279,9.063159095299899e-05,0.472028,0.4,173.8557
7502,3,25067.73,64717.65,0.492629,9.062782615016759e-05,0.517885,63.9,1.0017
7503,3,25069.2,64709.48,0.535798,9.062406067012357e-05,0.792398,64.2,0.9961
7504,3,25070.68,64701.32,0.391366,9.062029451293052e-05,0.559965,64.2,0.9973
7505,3,25072.16,64693.18,0.428493,9.061652767865197e-05,0.453468,63.8,1.0027
7506,3,25073.64,64685.04,0.400176,9.061276016735152e-05,0.437144,63.8,1.0025
7507,3,25075.12,64676.92,0.430733,9.060899197909272e-05,0.716188,63.8,1.0036
7508,3,25076.61,64668.8,0.410322,9.06052231139392e-05,0.488653,63.6,1.0064
7509,3,25078.09,64660.66,0.381134,9.060145357195453e-05,0.605956,63.8,1.0034
7510,3,25079.58,64652.54,0.487449,9.059768335320233e-05,0.573683,63.8,1.0027
7511,3,25081.06,64644.43,0.421118,9.059391245774623e-05,0.510047,64.0,1.0002
7512,3,25082.55,64636.31,0.366661,9.05901408856499e-05,0.519783,63.7,1.0046
7513,3,25084.03,64628.17,0.435614,9.058636863697697e-05,0.487885,64.1,0.9989
7514,3,25085.5,64620.04,0.455429,9.058259571179109e-05,0.556202,64.0,0.9995
7515,3,25086.99,64611.92,0.422726,9.057882211015594e-05,0.445249,63.7,1.0051
7516,3,25088.46,64603.79,0.388259,9.05750478321352e-05,0.576309,63.9,1.0012
7517,3,25089.95,64595.68,0.525364,9.057127287779258e-05,0.72888,63.7,1.0041
7518,3,25091.44,64587.59,0.419082,9.056749724719179e-05,0.377092,63.5,1.0073
7519,3,25092.92,64579.48,0.428794,9.056372094039653e-05,0.733284,63.5,1.0073
7520,3,25094.41,64571.39,0.430475,9.055994395747054e-05,0.480611,63.6,1.0068
7521,3,25095.97,64563.47,0.391177,9.055616629847756e-05,0.393796,63.4,1.0087
7522,3,25097.46,64555.38,0.509293,9.055238796348132e-05,0.528684,63.5,1.0077
7523,3,25098.94,64547.28,0.409772,9.054860895254563e-05,0.39694,63.8,1.0029
7524,3,25100.42,64539.17,0.398333,9.054482926573425e-05,0.395878,64.0,0.9998
7525,3,25101.9,64531.06,0.431172,9.054104890311097e-05,0.557265,63.9,1.002
7526,3,25103.38,64522.95,0.507019,9.053726786473959e-05,0.548331,63.9,1.0012
7501,3,25031.35,64635.67,0.372279,9.063159095299899e-05,0.472028,0.3,186.1247
7502,3,25032.8,64627.46,0.492629,9.062782615016759e-05,0.517885,64.7,0.989
7503,3,25034.27,64619.31,0.535798,9.062406067012357e-05,0.792398,64.6,0.9905
7504,3,25035.74,64611.17,0.391366,9.062029451293052e-05,0.559965,64.3,0.9952
7505,3,25037.2,64602.99,0.428493,9.061652767865197e-05,0.453468,64.7,0.9894
7506,3,25038.67,64594.84,0.400176,9.061276016735152e-05,0.437144,64.5,0.9919
7507,3,25040.14,64586.69,0.42779,9.060899197909272e-05,0.651177,64.6,0.9899
7508,3,25041.61,64578.54,0.411701,9.06052231139392e-05,0.489268,64.6,0.9914
7509,3,25043.08,64570.4,0.379901,9.060145357195453e-05,0.634679,64.5,0.9919
7510,3,25044.55,64562.25,0.488697,9.059768335320233e-05,0.520118,64.5,0.9923
7511,3,25046.02,64554.12,0.424983,9.059391245774623e-05,0.453519,64.4,0.9934
7512,3,25047.49,64545.98,0.371755,9.05901408856499e-05,0.496129,64.6,0.991
7513,3,25048.96,64537.84,0.441113,9.058636863697697e-05,0.525096,64.5,0.993
7514,3,25050.43,64529.7,0.450626,9.058259571179109e-05,0.55773,64.5,0.992
7515,3,25051.92,64521.61,0.425784,9.057882211015594e-05,0.464672,63.4,1.0088
7516,3,25053.39,64513.48,0.38882,9.05750478321352e-05,0.56605,64.5,0.9916
7517,3,25054.86,64505.36,0.526502,9.057127287779258e-05,0.685794,64.4,0.9935
7518,3,25056.34,64497.24,0.422395,9.056749724719179e-05,0.397042,64.5,0.9927
7519,3,25057.81,64489.11,0.428288,9.056372094039653e-05,0.694623,64.5,0.9918
7520,3,25059.28,64480.99,0.43138,9.055994395747054e-05,0.500146,64.5,0.992
7521,3,25060.77,64472.92,0.394632,9.055616629847756e-05,0.389764,64.5,0.9919
7522,3,25065.62,64473.48,0.508101,9.055238796348132e-05,0.463474,24.0,2.664
7523,3,25070.7,64474.66,0.408006,9.054860895254563e-05,0.37307,22.7,2.8176
7524,3,25075.77,64475.78,0.401063,9.054482926573425e-05,0.414367,23.2,2.7633
7525,3,25080.82,64476.87,0.433271,9.054104890311097e-05,0.537851,23.5,2.7285
7526,3,25086.49,64479.54,0.509857,9.053726786473959e-05,0.498355,23.2,2.7575
7527,3,25091.63,64480.87,0.487618,9.053348615068387e-05,0.700366,22.6,2.8347
7528,3,25096.76,64482.14,0.447753,9.052970376100771e-05,0.44427,23.6,2.7116
7529,3,25101.65,64482.81,0.385114,9.052592069577489e-05,0.514437,24.2,2.643
7530,3,25106.34,64482.96,0.379312,9.052213695504927e-05,0.466795,26.3,2.436
7531,3,25111.74,64484.92,0.42659,9.051835253889471e-05,0.44925,64.7,0.9888
7532,3,25116.11,64484.23,0.478222,9.051456744737508e-05,0.437172,22.9,2.7986
7533,3,25121.01,64484.93,0.444512,9.051078168055425e-05,0.856507,23.7,2.6949
7534,3,25125.64,64484.92,0.429665,9.050699523849612e-05,0.532807,25.0,2.563
7535,3,25130.37,64485.17,0.440605,9.050320812126458e-05,0.776481,23.7,2.6974
7536,3,25135.65,64486.83,0.43989,9.049942032892354e-05,0.589067,21.6,2.9587
7537,3,25140.61,64487.65,0.41093,9.049563186153694e-05,0.449656,22.7,2.8185
7538,3,25145.82,64489.12,0.457358,9.04918427191687e-05,0.599887,22.8,2.8013
7539,3,25150.71,64489.78,0.388666,9.048805290188276e-05,0.373918,22.5,2.8439
7540,3,25156.02,64491.5,0.425342,9.048426240974311e-05,0.398499,21.3,3.0099
7541,3,25161.08,64492.58,0.408441,9.04804712428137e-05,0.406247,23.2,2.7572
7542,3,25166.01,64493.32,0.47259,9.047667940115852e-05,0.500752,22.7,2.8231
7543,3,25171.25,64494.86,0.401256,9.047288688484154e-05,0.518615,20.4,3.1411
7544,3,25176.32,64495.95,0.444232,9.046909369392678e-05,0.436873,24.2,2.643
7545,3,25181.57,64497.52,0.415872,9.046529982847827e-05,0.454243,22.8,2.801
7546,3,25187.0,64499.55,0.449411,9.046150528856002e-05,0.628061,22.3,2.8702
7547,3,25192.4,64501.49,0.367538,9.045771007423607e-05,0.456745,22.5,2.8456
7548,3,25197.98,64503.88,0.424211,9.045391418557046e-05,0.600832,64.6,0.9909
7549,3,25202.27,64502.99,0.428264,9.045011762262727e-05,0.513983,23.0,2.782
7550,3,25207.04,64503.32,0.389052,9.044632038547056e-05,inf,26.4,2.4282
7551,3,25211.82,64503.66,0.412036,9.044252247416444e-05,0.440192,24.7,2.5865
7552,3,25216.63,64504.09,0.425525,9.043872388877294e-05,0.342268,25.3,2.5288
7553,3,25221.73,64505.26,0.496674,9.043492462936023e-05,0.742752,23.1,2.77
7554,3,25226.42,64505.36,0.435277,9.04311246959904e-05,0.392372,27.1,2.3606
7555,3,25231.0,64505.21,0.360688,9.04273240887276e-05,0.522099,27.3,2.3481
7556,3,25237.26,64509.32,0.393828,9.042352280763594e-05,0.475922,16.1,3.9778
7557,3,25240.75,64506.38,0.506946,9.04197208527796e-05,0.518985,26.1,2.4508
7558,3,25245.47,64506.55,0.416331,9.041591822422271e-05,0.41285,23.0,2.7832
7559,3,25250.74,64508.14,0.370268,9.041211492202948e-05,0.405437,22.3,2.8672
7560,3,25255.72,64508.99,0.40896,9.040831094626408e-05,0.353806,22.4,2.8621
7561,3,25260.73,64509.92,0.394051,9.04045062969907e-05,0.596195,25.1,2.552
7562,3,25265.78,64510.93,0.411913,9.040070097427356e-05,0.453996,24.3,2.637
7563,3,25270.77,64511.79,0.420478,9.039689497817689e-05,0.531765,23.5,2.7186
7564,3,25275.78,64512.73,0.367607,9.03930883087649e-05,0.459019,23.1,2.7704
7565,3,25280.76,64513.56,0.408046,9.038928096610186e-05,0.516623,25.0,2.5584
7566,3,25288.32,64520.98,0.460232,9.038547295025197e-05,0.588654,11.9,5.3895
7567,3,25290.97,64515.87,0.444858,9.038166426127954e-05,0.442478,29.5,2.1726
7568,3,25295.93,64516.65,0.415177,9.037785489924885e-05,0.558522,24.7,2.5905
7569,3,25301.11,64518.0,0.416885,9.037404486422416e-05,0.521678,21.6,2.9571
7570,3,25305.59,64517.56,0.454673,9.037023415626982e-05,0.52396,25.6,2.4962
7571,3,25310.14,64517.29,0.380936,9.036642277545007e-05,0.475124,25.3,2.5336
7572,3,25315.23,64518.4,0.443724,9.036261072182928e-05,0.421017,22.6,2.8338
7573,3,25319.77,64518.09,0.373505,9.035879799547179e-05,0.376414,25.4,2.5185
7574,3,25324.62,64518.6,0.423408,9.035498459644192e-05,0.409937,23.5,2.7263
7575,3,25328.89,64517.61,0.453054,9.035117052480402e-05,0.772934,28.0,2.2819
7576,3,25333.59,64517.73,0.459045,9.034735578062249e-05,0.543136,24.5,2.6108
7577,3,25340.07,64522.38,0.526409,9.034354036396168e-05,0.636223,13.6,4.6995
7578,3,25342.45,64516.57,0.490683,9.033972427488599e-05,0.476138,33.6,1.902
7579,3,25346.91,64516.07,0.451552,9.033590751345983e-05,0.419222,25.8,2.4807
7580,3,25351.53,64515.96,0.434106,9.03320900797476e-05,0.585243,26.1,2.4518
7581,3,25356.04,64515.59,0.383686,9.032827197381373e-05,0.341421,25.4,2.5226
7582,3,25360.76,64515.74,0.461228,9.032445319572267e-05,0.425088,24.5,2.6111
7583,3,25365.35,64515.57,0.405565,9.032063374553884e-05,0.496317,26.7,2.3948
7584,3,25369.99,64515.5,0.370793,9.031681362332672e-05,0.69977,23.5,2.7206
7585,3,25374.73,64515.72,0.519723,9.031299282915077e-05,0.66684,24.5,2.6154
7586,3,25379.47,64515.9,0.484684,9.030917136307547e-05,0.488346,23.9,2.6767
7587,3,25384.18,64516.04,0.407649,9.030534922516533e-05,0.479314,22.2,2.8818
7588,3,25388.87,64516.11,0.371859,9.030152641548483e-05,0.433929,24.5,2.6172
7589,3,25393.49,64516.0,0.444509,9.02977029340985e-05,0.641798,25.1,2.5452
7590,3,25398.02,64515.66,0.444545,9.029387878107085e-05,0.442716,26.6,2.4017
7591,3,25403.76,64518.39,0.356812,9.029005395646644e-05,0.658003,64.5,0.993
7592,3,25407.99,64517.29,0.411827,9.02862284603498e-05,0.401796,24.6,2.5993
7593,3,25412.99,64518.13,0.448478,9.02824022927855e-05,0.777128,21.9,2.916
7594,3,25418.0,64519.02,0.441957,9.027857545383811e-05,0.468948,22.1,2.9004
7595,3,25422.88,64519.57,0.414733,9.027474794357223e-05,0.569533,24.1,2.6582
7596,3,25427.88,64520.4,0.453205,9.027091976205242e-05,0.428546,23.3,2.7485
7597,3,25433.54,64522.91,0.350513,9.026709090934331e-05,0.541319,21.5,2.9798
7598,3,25438.66,64524.06,0.397096,9.02632613855095e-05,0.384765,22.4,2.8573
7599,3,25443.73,64525.09,0.450954,9.025943119061565e-05,0.402846,23.0,2.7823
7600,3,25448.35,64524.96,0.43732,9.025560032472635e-05,0.647567,25.2,2.5367
7601,3,25453.38,64525.87,0.412442,9.025176878790632e-05,0.411397,25.1,2.5542
7602,3,25458.28,64526.46,0.432503,9.024793658022016e-05,0.851099,23.9,2.6803
7603,3,25463.08,64526.78,0.456927,9.024410370173257e-05,0.38296,23.7,2.6974
7604,3,25467.61,64526.44,0.376158,9.024027015250825e-05,0.437799,25.4,2.5183
7605,3,25472.42,64526.79,0.41165,9.023643593261188e-05,0.482928,24.7,2.5907
7606,3,25476.82,64526.08,0.418614,9.023260104210816e-05,0.590656,25.8,2.4794
7607,3,25481.49,64526.09,0.420959,9.02287654810618e-05,0.799328,24.5,2.614
7608,3,25486.6,64527.19,0.387302,9.022492924953756e-05,0.689227,21.4,2.9863
7609,3,25492.3,64529.8,0.437413,9.022109234760016e-05,0.467426,64.8,0.9872
7610,3,25496.64,64528.95,0.452301,9.021725477531436e-05,0.45409,25.7,2.4923
7611,3,25501.71,64529.95,0.403286,9.021341653274494e-05,0.583062,22.6,2.834
7612,3,25506.64,64530.58,0.405644,9.020957761995664e-05,0.516434,22.5,2.8479
7613,3,25511.16,64530.19,0.414767,9.02057380370143e-05,0.53947,24.6,2.6047
7614,3,25515.86,64530.26,0.375083,9.020189778398265e-05,0.449094,24.8,2.5834
7615,3,25520.86,64531.08,0.348218,9.019805686092656e-05,0.439515,24.0,2.6693
7616,3,25525.62,64531.28,0.396796,9.019421526791083e-05,0.5899,23.7,2.7047
7617,3,25530.61,64532.09,0.340436,9.019037300500029e-05,0.333127,24.5,2.6107
7618,3,25535.25,64531.98,0.382698,9.018653007225977e-05,0.480312,25.2,2.5377
7619,3,25540.05,64532.3,0.461187,9.018268646975414e-05,0.689879,22.3,2.8712
7620,3,25544.71,64532.23,0.384796,9.017884219754828e-05,0.565324,24.3,2.6355
7621,3,25549.61,64532.8,0.391441,9.017499725570703e-05,0.513325,22.9,2.7917
7622,3,25554.38,64533.03,0.427872,9.017115164429531e-05,0.649373,24.0,2.6666
7623,3,25559.13,64533.2,0.443131,9.016730536337802e-05,0.740163,24.3,2.6296
7624,3,25563.9,64533.42,0.425411,9.016345841302004e-05,0.448064,25.3,2.5289
7625,3,25568.75,64533.85,0.42181,9.015961079328631e-05,0.409926,23.9,2.6821
7626,3,25573.46,64533.93,0.359147,9.015576250424179e-05,0.481541,23.5,2.7252
7627,3,25579.2,64536.58,0.473407,9.01519135459514e-05,0.536498,64.6,0.9902
7628,3,25583.26,64535.01,0.422742,9.014806391848007e-05,0.547852,26.0,2.4656
7629,3,25588.33,64535.98,0.364109,9.014421362189282e-05,0.621661,22.2,2.8876
7630,3,25593.03,64536.04,0.432943,9.01403626562546e-05,0.539188,24.0,2.6621
7631,3,25597.19,64534.7,0.438498,9.013651102163041e-05,0.424082,28.3,2.261
7632,3,25601.74,64534.36,0.41482,9.013265871808526e-05,0.448634,25.5,2.5114
7633,3,25606.4,64534.29,0.424644,9.012880574568415e-05,0.523406,25.1,2.5526
7634,3,25611.03,64534.17,0.470531,9.01249521044921e-05,0.561769,25.7,2.493
7635,3,25615.72,64534.17,0.469887,9.012109779457413e-05,0.678941,25.4,2.516
7636,3,25620.71,64534.93,0.355872,9.011724281599533e-05,0.554581,25.2,2.5359
7637,3,25625.48,64535.15,0.495116,9.011338716882072e-05,0.586873,24.6,2.603
7638,3,25631.04,64537.33,0.427488,9.010953085311539e-05,0.574227,64.6,0.99
7639,3,25634.88,64535.19,0.413243,9.010567386894442e-05,0.498145,24.9,2.5689
7640,3,25640.08,64536.5,0.471576,9.01018162163729e-05,0.753059,24.7,2.595
7641,3,25644.86,64536.72,0.471496,9.009795789546592e-05,0.541058,23.2,2.7635
7642,3,25649.88,64537.55,0.484662,9.00940989062886e-05,1.036123,24.0,2.6623
7643,3,25654.26,64536.75,0.413441,9.009023924890609e-05,0.404732,25.5,2.5058
7644,3,25658.8,64536.38,0.433385,9.00863789233835e-05,0.440797,25.0,2.5571
7645,3,25663.7,64536.9,0.442809,9.0082517929786e-05,0.577797,24.5,2.613
7646,3,25668.61,64537.45,0.472357,9.007865626817873e-05,0.495175,23.4,2.7319
