step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,112.96,3035106.85,0.846906,1.0368440640119094e-06,13.354594,0.6,98.6322
2,1,113.06,1518828.11,0.818043,1.0736881280238187e-06,13.437626,704.8,0.0908
3,1,113.25,1014263.86,0.83298,1.1105321920357277e-06,12.696413,723.8,0.0884
4,1,113.45,761989.87,0.83561,1.147376256047637e-06,13.636959,730.9,0.0876
5,1,113.65,610629.33,0.773438,1.1842203200595463e-06,11.624908,734.0,0.0872
6,1,113.85,509732.81,0.790032,1.2210643840714553e-06,11.785965,722.9,0.0885
7,1,114.05,437667.22,0.733974,1.2579084480833646e-06,7.19256,704.8,0.0908
8,1,114.25,383619.62,0.768647,1.2947525120952738e-06,12.049114,687.0,0.0932
9,1,114.44,341559.55,0.733727,1.331596576107183e-06,8.393925,727.4,0.088
10,1,114.64,307928.37,0.708291,1.3684406401190921e-06,6.363537,715.7,0.0894
11,1,114.84,280409.61,0.70838,1.4052847041310014e-06,8.329199,713.5,0.0897
12,1,115.04,257474.97,0.708259,1.4421287681429106e-06,7.80162,724.1,0.0884
13,1,115.24,238071.01,0.711345,1.4789728321548197e-06,4.180804,724.5,0.0883
14,1,115.43,221436.49,0.692195,1.5158168961667287e-06,4.77246,732.1,0.0874
15,1,115.63,207024.92,0.684051,1.552660960178638e-06,7.869947,716.6,0.0893
16,1,115.83,194410.82,0.66298,1.589505024190547e-06,6.849428,724.4,0.0883
17,1,116.03,183281.64,0.652122,1.6263490882024563e-06,8.431276,724.1,0.0884
18,1,116.23,173388.47,0.655865,1.6631931522143654e-06,3.181316,727.1,0.088
19,1,116.43,164539.85,0.697813,1.7000372162262744e-06,4.032514,714.1,0.0896
20,1,116.63,156570.81,0.649412,1.7368812802381837e-06,3.993136,739.8,0.0865
21,1,116.83,149370.28,0.661173,1.7737253442500927e-06,3.170483,730.6,0.0876
22,1,117.03,142817.61,0.676623,1.8105694082620018e-06,2.462265,727.9,0.0879
23,1,117.23,136837.63,0.66758,1.8474134722739108e-06,3.042804,711.7,0.0899
24,1,117.43,131353.36,0.658273,1.8842575362858199e-06,1.9709,716.4,0.0893
25,1,117.63,126307.41,0.629457,1.921101600297729e-06,2.74981,721.9,0.0887
26,1,117.82,121647.63,0.597872,1.957945664309638e-06,4.058295,736.3,0.0869
27,1,118.02,117337.45,0.677638,1.994789728321547e-06,2.577485,716.7,0.0893
28,1,118.22,113331.68,0.581735,2.0316337923334565e-06,4.330401,725.0,0.0883
29,1,118.42,109602.47,0.633224,2.0684778563453657e-06,2.934226,730.8,0.0876
30,1,118.62,106123.6,0.58082,2.105321920357275e-06,4.720063,724.0,0.0884
31,1,118.82,102867.33,0.610293,2.1421659843691842e-06,3.520279,729.4,0.0877
32,1,119.02,99816.59,0.623354,2.1790100483810935e-06,1.951436,720.0,0.0889
