step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,86.99,1402421.78,0.089494,0.0007845348837209302,0.31523,0.8,82.4115
2,1,153.11,1234045.21,0.077495,0.0008190697674418605,0.307204,1.0,66.107
3,1,153.75,826118.05,0.074782,0.0008536046511627908,0.332332,99.2,0.6452
4,1,154.41,622212.1,0.075328,0.0008881395348837211,0.306839,97.0,0.6596
5,1,155.07,499838.56,0.082458,0.0009226744186046514,0.317113,98.4,0.6504
6,1,155.73,418293.78,0.089482,0.0009572093023255817,0.318243,96.3,0.6645
7,1,156.38,360006.96,0.081354,0.000991744186046512,0.300716,98.9,0.6469
8,1,157.1,316445.54,0.069803,0.0010262790697674424,0.267314,88.5,0.7234
9,1,157.75,282427.67,0.097154,0.0010608139534883725,0.312163,98.9,0.6471
10,1,158.4,255209.76,0.081141,0.0010953488372093029,0.292836,99.3,0.6447
11,1,159.05,232943.57,0.088346,0.001129883720930233,0.311116,98.9,0.6471
12,1,159.69,214386.83,0.094789,0.001164418604651163,0.351241,99.1,0.6459
13,1,160.35,198694.66,0.089074,0.0011989534883720932,0.292108,97.9,0.6538
14,1,161.0,185239.91,0.075831,0.0012334883720930233,0.289272,98.4,0.6502
15,1,161.65,173585.07,0.077467,0.0012680232558139534,0.262178,97.6,0.6556
16,1,162.3,163378.49,0.083563,0.0013025581395348835,0.286455,98.9,0.6473
17,1,162.95,154371.96,0.089446,0.0013370930232558136,0.280094,99.2,0.6453
18,1,163.6,146366.38,0.08964,0.001371627906976744,0.292463,98.9,0.6468
19,1,164.25,139202.32,0.091198,0.0014061627906976743,0.338002,99.1,0.6455
20,1,164.89,132756.1,0.098615,0.0014406976744186044,0.287759,98.8,0.6475
21,1,165.55,126926.66,0.086675,0.0014752325581395347,0.278268,99.4,0.6436
22,1,166.19,121624.5,0.084507,0.0015097674418604649,0.279715,98.9,0.6474
23,1,166.84,116782.22,0.098733,0.0015443023255813952,0.312005,99.1,0.646
24,1,167.49,112341.64,0.095304,0.0015788372093023255,0.290869,99.4,0.6436
25,1,168.14,108259.38,0.090537,0.0016133720930232558,0.277812,98.7,0.6482
26,1,168.78,104488.09,0.09118,0.001647906976744186,0.287326,99.4,0.6436
27,1,169.43,100997.9,0.11028,0.0016824418604651163,0.334115,99.0,0.6465
28,1,170.07,97755.6,0.089656,0.0017169767441860464,0.265111,99.4,0.6441
29,1,170.72,94736.89,0.09067,0.0017515116279069765,0.27563,99.3,0.6444
30,1,171.37,91921.04,0.093629,0.0017860465116279068,0.261524,98.9,0.6474
31,1,172.02,89289.01,0.099435,0.001820581395348837,0.292328,98.2,0.6517
32,1,172.67,86818.25,0.08557,0.0018551162790697673,0.281149,99.2,0.6452
33,1,173.31,84496.88,0.089882,0.0018896511627906974,0.268257,99.3,0.6446
34,1,173.96,82311.96,0.108773,0.0019241860465116275,0.292344,99.3,0.6444
35,1,174.61,80256.17,0.088901,0.001958720930232558,0.235144,97.9,0.6539
36,1,175.26,78311.07,0.110544,0.0019932558139534877,0.311335,99.1,0.6458
37,1,175.9,76470.78,0.10591,0.002027790697674418,0.285567,99.2,0.6453
38,1,176.55,74729.09,0.104531,0.0020623255813953484,0.291481,98.5,0.6496
39,1,177.2,73075.09,0.105365,0.0020968604651162787,0.291058,99.1,0.6456
40,1,177.85,71502.7,0.106607,0.0021313953488372086,0.287262,99.5,0.6432
41,1,178.5,70010.68,0.088405,0.002165930232558139,0.235292,98.7,0.6484
42,1,179.15,68589.94,0.096398,0.0022004651162790692,0.248328,98.0,0.6531
43,1,179.8,67231.98,0.106578,0.002234999999999999,0.279891,99.3,0.6442
44,1,180.45,65936.34,0.091129,0.0022695348837209295,0.242419,99.1,0.646
45,1,181.09,64697.26,0.105613,0.00230406976744186,0.266415,99.5,0.6435
46,1,181.73,63512.35,0.106099,0.00233860465116279,0.288169,99.3,0.6442
47,1,182.38,62377.66,0.101362,0.00237313953488372,0.280844,99.4,0.6439
48,1,183.03,61293.03,0.114086,0.0024076744186046503,0.304441,98.1,0.6521
49,1,183.68,60249.82,0.115437,0.0024422093023255807,0.309083,99.6,0.6423
50,1,184.33,59250.15,0.106969,0.0024767441860465106,0.254258,98.6,0.6494
51,1,184.97,58288.1,0.103016,0.002511279069767441,0.255675,99.3,0.6442
52,1,185.62,57363.37,0.120107,0.0025458139534883712,0.302262,99.2,0.6455
53,1,186.26,56473.11,0.11791,0.0025803488372093016,0.268528,99.4,0.644
54,1,186.91,55615.94,0.100999,0.0026148837209302314,0.254087,99.3,0.6446
55,1,187.57,54793.37,0.118924,0.0026494186046511618,0.283795,97.5,0.6562
56,1,188.22,53999.66,0.125281,0.002683953488372092,0.285451,97.8,0.6544
57,1,188.87,53231.71,0.115552,0.0027184883720930224,0.277984,98.9,0.6471
58,1,189.52,52489.63,0.12434,0.0027530232558139523,0.279709,99.2,0.645
59,1,190.17,51774.44,0.122101,0.0027875581395348827,0.308737,98.2,0.6516
60,1,190.83,51085.06,0.116556,0.0028220930232558126,0.27043,97.1,0.6589
61,1,191.48,50415.09,0.109025,0.002856627906976743,0.254933,99.6,0.6428
62,1,192.13,49766.86,0.103205,0.002891162790697673,0.205437,98.8,0.6478
63,1,192.78,49139.88,0.128535,0.0029256976744186035,0.305054,98.4,0.6506
64,1,193.42,48529.94,0.1085,0.0029602325581395334,0.259484,100.0,0.6403
65,1,194.07,47941.07,0.106415,0.0029947674418604633,0.201527,98.5,0.6497
66,1,194.73,47371.71,0.11261,0.0030293023255813937,0.246228,97.5,0.6566
67,1,195.37,46817.01,0.122755,0.003063837209302324,0.250397,99.0,0.6468
68,1,196.03,46280.35,0.111213,0.0030983720930232543,0.249571,97.8,0.6542
69,1,196.68,45757.57,0.118748,0.0031329069767441846,0.24585,98.9,0.647
70,1,197.33,45250.48,0.122304,0.003167441860465115,0.252924,98.4,0.6504
71,1,197.97,44756.1,0.113018,0.003201976744186045,0.23103,99.4,0.6436
72,1,198.64,44280.15,0.129501,0.003236511627906975,0.242522,96.3,0.6645
73,1,199.31,43819.02,0.108074,0.003271046511627906,0.238813,95.1,0.6728
74,1,199.98,43367.57,0.135168,0.003305581395348836,0.300551,96.9,0.6602
75,1,200.63,42927.72,0.131972,0.003340116279069766,0.247809,97.2,0.6582
76,1,201.34,42509.38,0.127744,0.0033746511627906965,0.276525,90.8,0.705
77,1,202.0,42091.28,0.113692,0.003409186046511627,0.232327,97.8,0.6545
78,1,202.66,41686.15,0.132398,0.003443720930232557,0.23562,96.2,0.6655
79,1,203.36,41298.52,0.139721,0.003478255813953488,0.279953,91.3,0.7013
80,1,204.07,40920.75,0.139332,0.0035127906976744182,0.269398,91.1,0.7022
81,1,204.73,40544.25,0.12486,0.0035473255813953486,0.258508,97.7,0.6551
82,1,205.39,40175.43,0.13874,0.0035818604651162785,0.251933,97.9,0.6539
83,1,206.03,39813.56,0.14306,0.003616395348837209,0.298144,99.4,0.6441
84,1,206.68,39460.83,0.13279,0.003650930232558139,0.202306,98.9,0.6469
85,1,207.32,39115.84,0.136495,0.0036854651162790695,0.246504,99.4,0.644
86,1,207.97,38778.87,0.133066,0.0037199999999999993,0.258446,99.3,0.6443
87,1,208.62,38451.31,0.117984,0.0037545348837209297,0.217723,98.0,0.6531
88,1,209.28,38131.8,0.132759,0.00378906976744186,0.236868,97.5,0.6567
89,1,209.92,37817.15,0.152004,0.00382360465116279,0.263068,99.4,0.6438
90,1,210.57,37509.97,0.143793,0.0038581395348837202,0.257824,99.0,0.6466
91,1,211.22,37209.16,0.157572,0.0038926744186046506,0.295407,99.3,0.6445
92,1,211.87,36915.79,0.143533,0.003927209302325581,0.275334,98.5,0.6498
93,1,212.51,36627.81,0.144459,0.003961744186046511,0.247382,99.3,0.6445
94,1,213.16,36346.31,0.142751,0.003996279069767441,0.232352,99.0,0.6466
95,1,213.81,36071.1,0.125637,0.004030813953488371,0.215786,98.7,0.6487
96,1,214.46,35800.66,0.114,0.004065348837209301,0.199317,99.5,0.6432
97,1,215.1,35536.04,0.132619,0.004099883720930232,0.246044,99.3,0.6445
98,1,215.75,35277.11,0.163491,0.0041344186046511616,0.244865,99.0,0.6466
99,1,216.4,35023.55,0.14445,0.0041689534883720914,0.217687,98.8,0.6475
100,1,217.06,34777.15,0.154105,0.004203488372093021,0.241211,96.9,0.6607
101,1,217.71,34534.13,0.13932,0.004238023255813952,0.246814,99.0,0.6465
102,1,218.36,34294.98,0.141477,0.004272558139534883,0.252144,99.1,0.6457
103,1,219.01,34061.52,0.131857,0.004307093023255814,0.201134,98.1,0.6523
104,1,219.67,33833.49,0.143773,0.0043416279069767435,0.2082,97.2,0.6585
105,1,220.32,33607.6,0.123842,0.004376162790697673,0.182151,99.3,0.6443
106,1,220.96,33386.47,0.152904,0.004410697674418604,0.233976,98.8,0.6476
107,1,221.61,33168.78,0.131075,0.004445232558139534,0.208255,99.5,0.643
108,1,222.25,32955.13,0.13476,0.004479767441860465,0.192095,99.5,0.6432
109,1,222.91,32746.87,0.127316,0.004514302325581396,0.207553,98.0,0.6533
110,1,223.6,32547.72,0.143041,0.004548837209302326,0.238281,92.8,0.69
111,1,224.24,32345.38,0.135126,0.004583372093023256,0.221517,99.5,0.643
112,1,224.89,32147.04,0.148311,0.004617906976744186,0.201751,99.1,0.6457
113,1,225.53,31952.05,0.148891,0.004652441860465117,0.220075,99.3,0.6447
114,1,226.18,31760.53,0.141081,0.004686976744186047,0.181707,99.2,0.6451
115,1,226.82,31572.02,0.152629,0.0047215116279069776,0.244343,99.5,0.643
116,1,227.47,31386.85,0.154145,0.0047560465116279075,0.218993,99.4,0.6439
117,1,228.11,31204.77,0.13595,0.004790581395348837,0.214323,99.5,0.6432
118,1,228.76,31025.83,0.141545,0.004825116279069767,0.196259,99.4,0.6437
119,1,229.4,30850.15,0.13913,0.004859651162790697,0.20349,99.1,0.6458
120,1,230.06,30677.91,0.145393,0.004894186046511628,0.212498,98.6,0.6493
121,1,230.71,30509.56,0.161698,0.004928720930232558,0.285677,98.1,0.6523
122,1,231.36,30342.47,0.126265,0.0049632558139534886,0.169191,99.0,0.6462
123,1,232.01,30178.02,0.15486,0.004997790697674419,0.273841,99.1,0.6456
124,1,232.65,30016.08,0.148055,0.005032325581395349,0.183018,99.3,0.6446
125,1,233.3,29857.01,0.134028,0.005066860465116279,0.197392,99.0,0.6466
126,1,233.95,29700.35,0.147973,0.005101395348837209,0.173042,99.1,0.646
127,1,234.6,29546.15,0.162952,0.005135930232558139,0.222164,99.0,0.6462
128,1,235.24,29394.52,0.127695,0.005170465116279069,0.191071,98.8,0.6475
129,1,235.89,29244.98,0.154557,0.005204999999999999,0.211755,99.2,0.645
130,1,236.54,29097.51,0.149827,0.005239534883720929,0.178105,99.4,0.6436
131,1,237.18,28952.65,0.151247,0.005274069767441859,0.193641,98.9,0.6468
132,1,237.83,28809.68,0.136715,0.005308604651162789,0.173192,99.3,0.6442
133,1,238.48,28669.03,0.141252,0.005343139534883719,0.173151,99.1,0.6458
134,1,239.12,28530.56,0.14367,0.005377674418604649,0.174678,99.0,0.6465
135,1,239.77,28394.0,0.136409,0.005412209302325579,0.165096,99.1,0.6455
136,1,240.42,28260.17,0.146539,0.005446744186046509,0.222276,98.2,0.6515
137,1,241.07,28128.06,0.152999,0.005481279069767439,0.204731,98.5,0.6497
138,1,241.73,27998.44,0.163605,0.005515813953488369,0.196201,97.7,0.6548
139,1,242.37,27869.45,0.150165,0.0055503488372092985,0.188965,99.4,0.6439
140,1,243.02,27742.27,0.136189,0.005584883720930228,0.167291,99.4,0.6441
141,1,243.67,27617.42,0.146515,0.005619418604651158,0.191935,99.5,0.643
142,1,244.31,27493.76,0.156096,0.005653953488372089,0.182097,99.4,0.6436
143,1,244.96,27372.08,0.138316,0.00568848837209302,0.183333,99.1,0.6461
