step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,101.96,1643654.02,0.093481,0.0007845348837209302,1.336326,0.7,97.1783
2,1,175.11,1411388.96,0.090886,0.0008190697674418605,1.316252,0.9,73.1457
3,1,175.76,944335.25,0.097519,0.0008536046511627908,1.424063,99.3,0.6443
4,1,176.4,710811.58,0.083532,0.0008881395348837211,1.167834,99.2,0.6453
5,1,177.05,570691.6,0.090871,0.0009226744186046514,1.263225,99.4,0.6437
6,1,177.69,477288.71,0.084177,0.0009572093023255817,1.197569,98.8,0.6476
7,1,178.34,410562.99,0.088988,0.000991744186046512,1.305808,99.4,0.6436
8,1,178.99,360526.98,0.080844,0.0010262790697674424,1.151722,98.8,0.6478
9,1,179.63,321602.88,0.090995,0.0010608139534883725,1.274175,99.4,0.6437
10,1,180.28,290474.23,0.085648,0.0010953488372093029,1.217368,98.4,0.6507
11,1,180.93,264996.59,0.086912,0.001129883720930233,1.273546,99.3,0.6446
12,1,181.58,243767.64,0.090289,0.001164418604651163,1.247415,99.0,0.6467
13,1,182.23,225805.3,0.083274,0.0011989534883720932,1.190997,98.9,0.6472
14,1,182.88,210412.25,0.075323,0.0012334883720930233,1.154381,98.4,0.6503
15,1,183.52,197066.4,0.073457,0.0012680232558139534,1.140792,99.2,0.6453
16,1,184.17,185388.27,0.075014,0.0013025581395348835,1.146431,99.2,0.6449
17,1,184.81,175084.47,0.071148,0.0013370930232558136,1.129264,99.1,0.6455
18,1,185.47,165932.57,0.080478,0.001371627906976744,1.244159,98.0,0.6532
19,1,186.12,157739.26,0.081276,0.0014061627906976743,1.280136,98.8,0.6476
20,1,186.76,150363.47,0.079619,0.0014406976744186044,1.167268,99.1,0.6457
21,1,187.42,143700.38,0.076691,0.0014752325581395347,1.1897,98.2,0.6515
22,1,188.07,137632.63,0.071059,0.0015097674418604649,1.154258,99.4,0.6442
23,1,188.71,132091.5,0.081207,0.0015443023255813952,1.140601,99.4,0.6436
24,1,189.36,127013.26,0.078618,0.0015788372093023255,1.115611,99.2,0.6453
25,1,190.01,122340.87,0.074337,0.0016133720930232558,1.058872,99.2,0.6449
26,1,190.65,118029.17,0.072424,0.001647906976744186,1.05266,98.9,0.6469
27,1,191.3,114037.45,0.073253,0.0016824418604651163,1.002448,98.8,0.6479
28,1,191.96,110333.98,0.065521,0.0017169767441860464,0.939683,98.0,0.6534
29,1,192.6,106880.84,0.063399,0.0017515116279069765,0.932257,99.3,0.6446
30,1,193.25,103657.55,0.06471,0.0017860465116279068,0.914173,99.4,0.644
31,1,193.89,100643.34,0.075655,0.001820581395348837,0.962848,99.3,0.6444
32,1,194.54,97817.63,0.061587,0.0018551162790697673,0.823947,99.0,0.6464
33,1,195.19,95162.38,0.068237,0.0018896511627906974,0.894769,99.3,0.6445
34,1,195.84,92666.55,0.071327,0.0019241860465116275,0.864854,98.2,0.6517
35,1,196.5,90315.32,0.06408,0.001958720930232558,0.801983,97.5,0.6561
36,1,197.15,88092.0,0.073532,0.0019932558139534877,0.853966,98.4,0.6501
37,1,197.8,85989.42,0.071949,0.002027790697674418,0.801298,98.2,0.6517
38,1,198.46,83999.0,0.0719,0.0020623255813953484,0.801201,97.7,0.655
39,1,199.11,82109.14,0.072185,0.0020968604651162787,0.776431,98.2,0.6515
40,1,199.76,80311.72,0.072805,0.0021313953488372086,0.775979,99.0,0.6465
41,1,200.41,78605.67,0.065468,0.002165930232558139,0.661148,98.8,0.648
42,1,201.06,76977.52,0.064069,0.0022004651162790692,0.705013,98.9,0.6473
43,1,201.71,75425.38,0.068953,0.002234999999999999,0.692032,98.7,0.6482
