step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,129.66,3483915.91,0.887302,1.0368440640119094e-06,15.057031,0.6,100.9178
2,1,130.1,1747793.07,0.89171,1.0736881280238187e-06,inf,151.2,0.4232
3,1,130.34,1167313.6,0.898536,1.1105321920357277e-06,15.816168,565.5,0.1132
4,1,130.52,876632.48,0.887146,1.147376256047637e-06,17.478634,731.7,0.0875
5,1,130.72,702343.35,0.84761,1.1842203200595463e-06,17.73999,734.9,0.0871
6,1,130.92,586160.35,0.836994,1.2210643840714553e-06,15.899051,734.2,0.0872
7,1,131.12,503176.11,0.807748,1.2579084480833646e-06,17.407001,718.8,0.089
8,1,131.32,440927.86,0.789076,1.2947525120952738e-06,14.813848,726.8,0.0881
9,1,131.52,392515.95,0.753547,1.331596576107183e-06,11.060874,727.0,0.088
10,1,131.71,353785.43,0.739666,1.3684406401190921e-06,12.978562,729.2,0.0878
11,1,131.91,322097.46,0.717792,1.4052847041310014e-06,14.044455,731.0,0.0876
12,1,132.11,295688.43,0.712427,1.4421287681429106e-06,11.320834,741.0,0.0864
13,1,132.31,273345.74,0.674201,1.4789728321548197e-06,12.072349,735.2,0.0871
14,1,132.51,254200.1,0.650856,1.5158168961667287e-06,15.163741,708.7,0.0903
15,1,132.71,237601.05,0.641838,1.552660960178638e-06,13.900178,716.9,0.0893
16,1,132.91,223075.71,0.619657,1.589505024190547e-06,12.814874,728.4,0.0879
17,1,133.11,210260.63,0.605085,1.6263490882024563e-06,13.360776,729.4,0.0877
18,1,133.31,198871.4,0.601725,1.6631931522143654e-06,9.332878,721.8,0.0887
19,1,133.51,188680.78,0.587665,1.7000372162262744e-06,8.163606,718.5,0.0891
20,1,133.71,179505.85,0.591245,1.7368812802381837e-06,7.764063,732.2,0.0874
21,1,133.92,171217.54,0.542561,1.7737253442500927e-06,8.5821,693.9,0.0922
22,1,134.11,163668.31,0.544846,1.8105694082620018e-06,6.608755,724.1,0.0884
23,1,134.32,156786.33,0.621293,1.8474134722739108e-06,3.156616,681.8,0.0939
24,1,134.51,150465.17,0.558481,1.8842575362858199e-06,4.684969,728.4,0.0879
25,1,134.72,144661.84,0.50951,1.921101600297729e-06,5.443481,686.5,0.0932
26,1,134.91,139293.78,0.540104,1.957945664309638e-06,5.563972,729.2,0.0878
27,1,135.12,134330.67,0.508064,1.994789728321547e-06,4.79383,711.0,0.09
28,1,135.32,129719.85,0.473306,2.0316337923334565e-06,7.03406,716.9,0.0893
29,1,135.52,125429.37,0.428138,2.0684778563453657e-06,7.062031,706.1,0.0906
30,1,135.72,121420.7,0.49121,2.105321920357275e-06,3.764099,724.6,0.0883
31,1,135.92,117672.65,0.516928,2.1421659843691842e-06,2.62511,723.8,0.0884
32,1,136.12,114159.11,0.454299,2.1790100483810935e-06,3.62389,720.3,0.0889
33,1,136.32,110858.22,0.412389,2.2158541123930023e-06,4.573709,723.2,0.0885
34,1,136.52,107751.56,0.510201,2.252698176404911e-06,2.701928,719.5,0.0889
35,1,136.72,104824.08,0.381915,2.2895422404168204e-06,4.451804,699.4,0.0915
36,1,136.92,102057.06,0.501315,2.3263863044287297e-06,2.212113,709.4,0.0902
37,1,137.12,99441.14,0.435141,2.363230368440639e-06,3.158555,704.0,0.0909
38,1,137.32,96960.89,0.417959,2.400074432452548e-06,2.586663,714.1,0.0896
39,1,137.52,94609.2,0.428186,2.436918496464457e-06,2.556609,720.7,0.0888
40,1,137.72,92375.71,0.440033,2.4737625604763663e-06,2.871777,711.1,0.09
41,1,137.92,90252.43,0.433253,2.5106066244882756e-06,1.641213,707.3,0.0905
42,1,138.13,88229.29,0.399246,2.547450688500185e-06,2.373593,691.5,0.0926
43,1,138.32,86296.12,0.494314,2.584294752512094e-06,1.771768,728.1,0.0879
44,1,138.52,84454.98,0.401922,2.6211388165240034e-06,2.011349,708.3,0.0904
45,1,138.72,82693.31,0.468427,2.6579828805359126e-06,2.343013,721.2,0.0887
46,1,138.92,81010.64,0.494353,2.694826944547822e-06,2.183387,699.1,0.0915
47,1,139.12,79398.05,0.478003,2.731671008559731e-06,1.991465,705.5,0.0907
48,1,139.32,77853.18,0.376645,2.7685150725716404e-06,3.462143,709.8,0.0902
49,1,139.53,76372.34,0.51049,2.8053591365835492e-06,2.658941,692.3,0.0924
50,1,139.72,74948.39,0.542119,2.8422032005954585e-06,3.048691,706.3,0.0906
51,1,139.92,73581.24,0.422735,2.8790472646073677e-06,2.100912,712.5,0.0898
52,1,140.13,72266.95,0.519238,2.915891328619277e-06,3.77113,710.6,0.0901
53,1,140.33,71003.12,0.471153,2.9527353926311863e-06,3.143836,700.9,0.0913
54,1,140.53,69785.1,0.355925,2.9895794566430955e-06,3.207892,706.1,0.0906
55,1,140.73,68612.01,0.431698,3.0264235206550044e-06,2.601413,700.8,0.0913
56,1,140.93,67479.77,0.63987,3.0632675846669136e-06,4.926887,708.9,0.0903
57,1,141.13,66387.64,0.45819,3.1001116486788225e-06,2.209275,706.3,0.0906
58,1,141.33,65334.41,0.543675,3.1369557126907313e-06,3.370967,691.7,0.0925
59,1,141.53,64316.03,0.42293,3.1737997767026406e-06,2.161748,691.3,0.0926
60,1,141.73,63330.9,0.473323,3.21064384071455e-06,2.590419,706.8,0.0906
61,1,141.94,62382.39,0.367702,3.2474879047264586e-06,2.273548,709.2,0.0902
62,1,142.15,61463.04,0.472926,3.284331968738368e-06,2.31102,672.6,0.0952
63,1,142.35,60569.72,0.590045,3.321176032750277e-06,4.462279,697.8,0.0917
64,1,142.55,59704.61,0.563401,3.3580200967621864e-06,3.674698,709.8,0.0902
65,1,142.75,58868.77,0.423174,3.3948641607740957e-06,2.290451,675.9,0.0947
66,1,142.95,58056.52,0.452315,3.431708224786005e-06,2.989133,686.7,0.0932
67,1,143.15,57268.06,0.384219,3.468552288797914e-06,2.354566,699.0,0.0916
68,1,143.35,56502.89,0.40829,3.5053963528098235e-06,2.018321,704.5,0.0908
69,1,143.56,55760.06,0.450161,3.5422404168217327e-06,2.538392,708.8,0.0903
70,1,143.76,55040.8,0.478921,3.579084480833642e-06,2.419238,667.4,0.0959
71,1,143.96,54338.71,0.471608,3.6159285448455512e-06,2.093523,698.2,0.0917
72,1,144.16,53657.34,0.521089,3.6527726088574605e-06,3.152988,692.7,0.0924
73,1,144.36,52993.14,0.43628,3.6896166728693693e-06,1.898596,710.3,0.0901
74,1,157.36,56979.86,0.456933,3.7264607368812786e-06,3.101725,624.2,0.1025
75,1,157.57,56296.13,0.557366,3.7633048008931883e-06,2.932887,699.3,0.0915
76,1,157.78,55625.34,0.416621,3.800148864905097e-06,3.16344,670.3,0.0955
77,1,157.99,54973.09,0.389851,3.836992928917006e-06,2.554749,650.2,0.0984
78,1,163.95,56315.72,0.482931,3.873836992928915e-06,3.019411,616.6,0.1038
79,1,164.18,55677.33,0.507876,3.9106810569408245e-06,2.922781,665.3,0.0962
80,1,164.39,55049.57,0.451467,3.947525120952734e-06,2.270472,638.8,0.1002
81,1,164.66,54456.88,0.410156,3.984369184964643e-06,2.234423,526.8,0.1215
82,1,164.9,53869.78,0.509005,4.021213248976552e-06,2.533309,670.3,0.0955
83,1,165.12,53290.07,0.492081,4.0580573129884615e-06,2.253571,591.1,0.1083
84,1,166.16,52986.82,0.547261,4.094901377000371e-06,3.570875,706.0,0.0906
85,1,166.41,52439.59,0.402947,4.13174544101228e-06,2.556719,505.0,0.1267
86,1,166.59,51881.89,0.435913,4.168589505024189e-06,2.146475,677.6,0.0945
87,1,166.8,51350.74,0.43583,4.2054335690360985e-06,2.457625,649.1,0.0986
88,1,167.09,50852.52,0.452296,4.242277633048008e-06,2.233027,357.2,0.1792
89,1,167.28,50336.57,0.591312,4.279121697059917e-06,4.598985,614.0,0.1042
90,1,167.48,49835.85,0.420891,4.3159657610718255e-06,2.652328,622.9,0.1027
91,1,167.69,49346.64,0.504557,4.352809825083735e-06,3.160323,636.3,0.1006
92,1,167.89,48867.75,0.551745,4.389653889095644e-06,3.835292,641.8,0.0997
93,1,168.1,48399.26,0.440248,4.426497953107553e-06,1.839519,652.8,0.098
94,1,168.3,47941.13,0.482688,4.463342017119462e-06,2.158808,643.4,0.0995
95,1,168.51,47492.96,0.445071,4.50018608113137e-06,2.524504,630.9,0.1014
96,1,168.86,47095.14,0.466619,4.537030145143279e-06,1.808513,667.3,0.0959
97,1,169.08,46667.23,0.331257,4.573874209155189e-06,3.951639,658.8,0.0971
98,1,186.71,51005.79,0.582686,4.610718273167098e-06,6.12471,638.2,0.1003
99,1,186.93,50548.43,0.50798,4.647562337179007e-06,1.975665,705.1,0.0908
100,1,189.36,50691.62,0.450024,4.684406401190916e-06,2.586044,662.4,0.0966
101,1,189.58,50246.71,0.409315,4.721250465202826e-06,2.530589,721.4,0.0887
102,1,192.01,50390.19,0.453582,4.758094529214735e-06,2.710428,666.8,0.096
103,1,192.91,50132.66,0.443564,4.794938593226644e-06,2.089764,719.1,0.089
104,1,193.11,49699.82,0.468126,4.831782657238553e-06,2.527097,727.9,0.0879
105,1,193.32,49276.97,0.335152,4.868626721250462e-06,3.900373,676.6,0.0946
106,1,193.51,48859.2,0.537542,4.90547078526237e-06,3.248381,730.6,0.0876
107,1,195.38,48869.0,0.379883,4.9423148492742795e-06,2.653737,723.6,0.0884
108,1,195.59,48465.54,0.338325,4.979158913286189e-06,2.958508,669.6,0.0956
109,1,195.78,48066.12,0.392723,5.016002977298098e-06,2.199837,726.1,0.0881
110,1,195.98,47675.76,0.460921,5.0528470413100064e-06,3.131183,723.1,0.0885
111,1,196.18,47293.12,0.45405,5.089691105321916e-06,4.05878,705.7,0.0907
112,1,196.38,46916.39,0.50582,5.126535169333825e-06,4.183078,712.9,0.0898
113,1,196.57,46546.32,0.499604,5.163379233345734e-06,3.715531,723.7,0.0884
114,1,196.77,46183.2,0.532909,5.200223297357643e-06,3.094724,718.0,0.0891
115,1,196.97,45826.5,0.431303,5.237067361369552e-06,4.825832,705.5,0.0907
