step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,150.7,4049045.3,0.63395,1.0368440640119094e-06,4.053852,0.4,144.6267
2,1,150.82,2026103.38,0.596601,1.0736881280238187e-06,3.529248,560.8,0.1141
3,1,151.03,1352555.79,0.620027,1.1105321920357277e-06,3.487334,566.8,0.1129
4,1,151.22,1015674.83,0.608939,1.147376256047637e-06,4.158329,615.8,0.1039
5,1,151.42,813595.06,0.616272,1.1842203200595463e-06,3.693455,607.3,0.1054
6,1,151.62,678873.67,0.591482,1.2210643840714553e-06,3.984318,605.4,0.1057
7,1,151.82,582635.02,0.595507,1.2579084480833646e-06,3.572555,617.0,0.1037
8,1,152.03,510467.84,0.565287,1.2947525120952738e-06,3.607905,607.4,0.1054
9,1,152.23,454332.91,0.624163,1.331596576107183e-06,3.371675,607.3,0.1054
10,1,152.43,409425.88,0.58342,1.3684406401190921e-06,4.029852,605.7,0.1057
11,1,152.64,372699.13,0.582965,1.4052847041310014e-06,3.626206,584.7,0.1095
12,1,152.85,342111.76,0.58194,1.4421287681429106e-06,2.463094,516.0,0.124
13,1,153.04,316172.58,0.585763,1.4789728321548197e-06,2.929501,594.3,0.1077
14,1,153.28,294025.72,0.538054,1.5158168961667287e-06,3.865097,461.6,0.1387
15,1,153.49,274791.64,0.538716,1.552660960178638e-06,3.561513,510.4,0.1254
16,1,153.68,257927.71,0.548562,1.589505024190547e-06,3.185682,572.9,0.1117
17,1,153.89,243079.77,0.53427,1.6263490882024563e-06,3.150635,549.5,0.1165
18,1,154.09,229872.71,0.530442,1.6631931522143654e-06,2.808354,541.8,0.1181
19,1,154.3,218057.29,0.570832,1.7000372162262744e-06,2.47867,530.2,0.1207
20,1,154.5,207415.25,0.546552,1.7368812802381837e-06,2.980905,540.4,0.1184
21,1,154.71,197796.36,0.539902,1.7737253442500927e-06,2.408961,563.7,0.1135
22,1,154.91,189046.73,0.520114,1.8105694082620018e-06,1.993397,557.4,0.1148
23,1,155.12,181059.86,0.565069,1.8474134722739108e-06,1.966165,564.2,0.1134
24,1,155.32,173740.47,0.5205,1.8842575362858199e-06,2.540411,545.2,0.1174
25,1,155.54,167018.78,0.528894,1.921101600297729e-06,2.09412,481.3,0.133
26,1,155.74,160790.8,0.509988,1.957945664309638e-06,2.972084,511.7,0.1251
27,1,155.93,155019.48,0.523861,1.994789728321547e-06,2.033549,570.8,0.1121
28,1,156.15,149691.0,0.48112,2.0316337923334565e-06,2.431901,527.4,0.1214
29,1,156.36,144715.7,0.468206,2.0684778563453657e-06,2.203974,509.0,0.1257
30,1,156.59,140099.19,0.466365,2.105321920357275e-06,1.925606,432.0,0.1481
31,1,156.77,135729.35,0.519692,2.1421659843691842e-06,2.208001,546.6,0.1171
32,1,156.98,131653.06,0.457706,2.1790100483810935e-06,2.553978,567.6,0.1127
33,1,157.19,127836.27,0.505832,2.2158541123930023e-06,1.52947,502.9,0.1273
34,1,157.39,124228.61,0.50026,2.252698176404911e-06,1.527028,522.1,0.1226
35,1,157.6,120834.72,0.469974,2.2895422404168204e-06,1.898139,514.2,0.1245
36,1,157.79,117617.35,0.501672,2.3263863044287297e-06,2.035374,560.8,0.1141
37,1,158.02,114599.0,0.493534,2.363230368440639e-06,1.635669,485.8,0.1317
38,1,158.22,111719.59,0.50041,2.400074432452548e-06,1.798982,523.4,0.1223
39,1,158.42,108988.01,0.499529,2.436918496464457e-06,1.907096,537.6,0.1191
40,1,158.63,106402.09,0.491162,2.4737625604763663e-06,1.438792,518.3,0.1235
41,1,158.88,103965.46,0.446079,2.5106066244882756e-06,1.700223,417.0,0.1535
42,1,159.05,101593.29,0.468272,2.547450688500185e-06,1.571373,578.5,0.1106
43,1,159.25,99356.06,0.495679,2.584294752512094e-06,2.001946,561.2,0.114
44,1,159.46,97221.68,0.475156,2.6211388165240034e-06,1.316342,544.4,0.1176
45,1,159.66,95176.54,0.49843,2.6579828805359126e-06,1.449281,567.8,0.1127
46,1,159.87,93226.56,0.51533,2.694826944547822e-06,1.469411,532.1,0.1203
47,1,160.07,91352.65,0.44338,2.731671008559731e-06,1.353002,566.3,0.113
48,1,160.28,89561.85,0.473561,2.7685150725716404e-06,1.600896,545.2,0.1174
49,1,160.47,87838.76,0.498764,2.8053591365835492e-06,1.382706,574.0,0.1115
50,1,160.68,86186.88,0.479652,2.8422032005954585e-06,1.561358,581.5,0.1101
51,1,160.89,84608.52,0.445814,2.8790472646073677e-06,1.545247,510.1,0.1255
52,1,161.12,83092.36,0.529255,2.915891328619277e-06,1.461782,446.0,0.1435
53,1,161.3,81616.81,0.491436,2.9527353926311863e-06,1.641153,499.8,0.128
54,1,161.5,80199.4,0.441561,2.9895794566430955e-06,1.366937,546.8,0.117
55,1,161.71,78840.38,0.451781,3.0264235206550044e-06,1.571175,520.8,0.1229
56,1,161.9,77523.07,0.568562,3.0632675846669136e-06,2.105313,568.2,0.1126
57,1,162.13,76267.91,0.462869,3.1001116486788225e-06,1.27071,464.0,0.1379
58,1,162.33,75039.46,0.480027,3.1369557126907313e-06,2.030053,542.1,0.1181
59,1,162.53,73859.44,0.453876,3.1737997767026406e-06,2.02067,525.4,0.1218
60,1,162.75,72719.93,0.464937,3.21064384071455e-06,1.275548,524.8,0.122
61,1,162.96,71619.24,0.459848,3.2474879047264586e-06,1.853145,508.5,0.1259
62,1,163.15,70545.44,0.441925,3.284331968738368e-06,1.182276,578.8,0.1106
63,1,163.38,69518.04,0.535179,3.321176032750277e-06,1.487452,489.4,0.1308
64,1,163.56,68506.55,0.462628,3.3580200967621864e-06,1.369657,573.6,0.1116
65,1,163.76,67533.71,0.41456,3.3948641607740957e-06,1.749771,569.5,0.1124
66,1,164.01,66608.61,0.490289,3.431708224786005e-06,1.563592,403.4,0.1587
67,1,164.19,65684.49,0.482321,3.468552288797914e-06,2.00938,556.5,0.115
68,1,164.4,64796.04,0.43238,3.5053963528098235e-06,1.668885,559.7,0.1143
69,1,164.6,63932.96,0.509768,3.5422404168217327e-06,1.783774,572.5,0.1118
70,1,164.82,63103.82,0.479627,3.579084480833642e-06,1.383359,476.7,0.1342
71,1,165.02,62286.53,0.471793,3.6159285448455512e-06,1.896802,528.8,0.121
72,1,165.22,61493.35,0.516225,3.6527726088574605e-06,1.899659,552.2,0.1159
73,1,165.42,60721.68,0.424076,3.6896166728693693e-06,1.94224,573.6,0.1116
74,1,165.63,59974.67,0.498227,3.7264607368812786e-06,1.369962,544.0,0.1176
75,1,165.83,59245.35,0.509418,3.7633048008931883e-06,1.414275,546.2,0.1172
76,1,166.03,58534.72,0.44822,3.800148864905097e-06,1.367556,556.6,0.115
77,1,166.24,57845.62,0.449227,3.836992928917006e-06,1.415842,534.7,0.1197
78,1,166.46,57175.95,0.548404,3.873836992928915e-06,1.865477,492.8,0.1299
79,1,166.66,56518.42,0.514554,3.9106810569408245e-06,1.351584,520.3,0.123
80,1,166.85,55875.52,0.51936,3.947525120952734e-06,1.356332,567.4,0.1128
81,1,167.1,55264.82,0.456129,3.984369184964643e-06,1.266373,436.3,0.1467
82,1,167.28,54647.23,0.49562,4.021213248976552e-06,1.684604,545.8,0.1173
83,1,167.51,54060.1,0.506777,4.0580573129884615e-06,1.473742,458.6,0.1396
84,1,167.71,53478.17,0.537719,4.094901377000371e-06,1.662183,544.0,0.1176
85,1,167.91,52910.44,0.49783,4.13174544101228e-06,1.518886,549.2,0.1165
