step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,100.76,2707281.6,0.942424,1.0368440640119094e-06,inf,0.7,87.4786
2,1,100.85,1354805.81,0.969182,1.0736881280238187e-06,22.223364,761.9,0.084
3,1,101.03,904814.76,0.943006,1.1105321920357277e-06,20.502071,778.2,0.0822
4,1,101.22,679832.94,0.94785,1.147376256047637e-06,22.374708,780.0,0.0821
5,1,101.4,544847.72,0.885828,1.1842203200595463e-06,20.269709,772.7,0.0828
6,1,101.59,454854.39,0.874067,1.2210643840714553e-06,21.697971,772.9,0.0828
7,1,101.78,390572.28,0.820845,1.2579084480833646e-06,20.037985,782.5,0.0818
8,1,101.96,342366.67,0.826678,1.2947525120952738e-06,18.311708,770.6,0.083
9,1,102.15,304869.82,0.788933,1.331596576107183e-06,18.010889,777.5,0.0823
10,1,102.33,274871.12,0.746154,1.3684406401190921e-06,16.693844,774.6,0.0826
11,1,102.52,250325.55,0.723821,1.4052847041310014e-06,15.817363,779.6,0.0821
12,1,102.71,229873.58,0.718709,1.4421287681429106e-06,14.292008,778.0,0.0823
13,1,102.89,212569.36,0.707201,1.4789728321548197e-06,12.312127,770.5,0.0831
14,1,103.08,197733.65,0.659616,1.5158168961667287e-06,14.588194,779.4,0.0821
15,1,103.26,184877.29,0.666515,1.552660960178638e-06,12.831905,782.6,0.0818
16,1,103.45,173628.18,0.618828,1.589505024190547e-06,13.480351,778.2,0.0822
17,1,103.64,163703.56,0.614331,1.6263490882024563e-06,11.334617,777.0,0.0824
18,1,103.82,154881.39,0.575299,1.6631931522143654e-06,11.459241,780.9,0.082
19,1,104.01,146991.38,0.574805,1.7000372162262744e-06,10.921818,757.8,0.0845
20,1,104.2,139887.5,0.550955,1.7368812802381837e-06,9.402711,758.0,0.0844
21,1,104.39,133466.16,0.545926,1.7737253442500927e-06,9.793839,765.9,0.0836
22,1,104.58,127624.68,0.524874,1.8105694082620018e-06,8.495872,754.0,0.0849
23,1,104.76,122287.94,0.539529,1.8474134722739108e-06,8.618145,772.7,0.0828
24,1,104.95,117400.73,0.46543,1.8842575362858199e-06,10.233351,745.8,0.0858
25,1,105.14,112901.68,0.480051,1.921101600297729e-06,7.416082,742.0,0.0863
26,1,105.33,108747.98,0.442215,1.957945664309638e-06,9.423284,748.7,0.0855
27,1,105.51,104901.02,0.445965,1.994789728321547e-06,7.349909,753.9,0.0849
28,1,105.7,101327.86,0.429315,2.0316337923334565e-06,8.088245,773.8,0.0827
29,1,105.89,98006.41,0.453207,2.0684778563453657e-06,6.871852,758.3,0.0844
30,1,106.08,94903.16,0.377103,2.105321920357275e-06,7.394228,762.6,0.0839
31,1,106.26,91998.95,0.41697,2.1421659843691842e-06,5.315603,779.5,0.0821
32,1,106.45,89277.78,0.376406,2.1790100483810935e-06,5.554668,774.6,0.0826
33,1,106.64,86723.64,0.410254,2.2158541123930023e-06,4.195212,745.4,0.0859
34,1,106.82,84316.16,0.377059,2.252698176404911e-06,4.126377,762.5,0.0839
