step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,129.5,2177818.02,0.655107,1.126760563380282e-06,2.873939,0.5,123.1174
2,1,129.6,1089658.81,0.615536,1.2535211267605637e-06,2.29287,727.3,0.088
3,1,129.79,727486.0,0.655234,1.3802816901408455e-06,2.539304,742.4,0.0862
4,1,129.99,546397.55,0.632995,1.5070422535211273e-06,2.65521,754.5,0.0848
5,1,130.18,437752.78,0.627426,1.6338028169014088e-06,2.668477,749.9,0.0853
6,1,130.38,365319.61,0.630225,1.7605633802816904e-06,2.534713,751.4,0.0852
7,1,130.58,313586.95,0.631858,1.8873239436619722e-06,2.456001,735.5,0.087
8,1,130.77,274786.5,0.62985,2.014084507042254e-06,2.393933,734.8,0.0871
9,1,130.97,244612.23,0.638354,2.1408450704225357e-06,2.31308,716.0,0.0894
10,1,131.17,220467.89,0.626128,2.267605633802817e-06,2.259353,725.4,0.0882
11,1,131.36,200710.71,0.632578,2.394366197183099e-06,1.994069,745.0,0.0859
12,1,131.56,184251.04,0.628944,2.5211267605633806e-06,2.305627,728.7,0.0878
13,1,131.77,170333.27,0.630657,2.6478873239436624e-06,1.973287,666.7,0.096
14,1,131.95,158382.06,0.654026,2.774647887323944e-06,2.208205,738.3,0.0867
15,1,132.16,148047.58,0.637841,2.901408450704226e-06,1.827492,654.0,0.0979
16,1,132.35,138983.62,0.617667,3.0281690140845077e-06,2.017744,721.4,0.0887
17,1,132.55,130996.13,0.582021,3.1549295774647895e-06,1.721774,716.9,0.0893
18,1,132.75,123895.57,0.607976,3.2816901408450713e-06,1.691158,714.9,0.0895
19,1,132.94,117543.66,0.594314,3.4084507042253527e-06,1.5658,698.6,0.0916
20,1,133.14,111826.8,0.599844,3.5352112676056344e-06,1.242247,726.6,0.0881
21,1,133.35,106660.61,0.604577,3.661971830985916e-06,1.043823,693.5,0.0923
22,1,133.55,101957.47,0.601001,3.7887323943661984e-06,1.904653,720.4,0.0888
23,1,133.74,97660.62,0.589976,3.91549295774648e-06,1.24083,739.1,0.0866
24,1,133.95,93729.51,0.553613,4.0422535211267615e-06,1.227091,673.6,0.095
25,1,134.14,90103.11,0.576206,4.169014084507043e-06,1.148737,723.6,0.0884
26,1,134.33,86759.54,0.571801,4.295774647887325e-06,1.460134,721.2,0.0887
27,1,134.53,83663.17,0.54631,4.422535211267607e-06,1.233051,730.4,0.0876
28,1,134.73,80790.02,0.583768,4.549295774647889e-06,1.073629,708.5,0.0903
29,1,134.93,78117.51,0.60224,4.6760563380281704e-06,0.967955,660.8,0.0968
30,1,135.13,75616.98,0.577407,4.802816901408451e-06,1.367478,698.1,0.0917
31,1,135.33,73281.77,0.603108,4.929577464788733e-06,1.606283,667.2,0.0959
32,1,135.51,71085.98,0.562572,5.056338028169015e-06,1.087294,738.1,0.0867
33,1,135.72,69033.3,0.578061,5.183098591549297e-06,1.439922,673.4,0.095
34,1,135.91,67093.59,0.593665,5.3098591549295785e-06,1.041431,718.8,0.089
35,1,136.11,65268.67,0.562724,5.436619718309861e-06,1.08483,699.6,0.0915
36,1,136.31,63543.87,0.600426,5.563380281690143e-06,1.307276,718.1,0.0891
37,1,136.51,61911.84,0.5546,5.690140845070424e-06,1.29867,731.1,0.0875
38,1,136.71,60366.72,0.593247,5.8169014084507056e-06,1.181062,717.7,0.0892
39,1,136.91,58903.49,0.587782,5.943661971830987e-06,1.098726,668.0,0.0958
40,1,137.1,57507.93,0.577313,6.070422535211269e-06,2.018788,705.6,0.0907
41,1,137.3,56184.05,0.589412,6.197183098591551e-06,1.169445,722.8,0.0885
42,1,137.5,54922.49,0.577918,6.323943661971833e-06,1.005274,707.2,0.0905
43,1,137.7,53720.01,0.582588,6.450704225352115e-06,1.2633,688.6,0.0929
44,1,137.9,52572.34,0.57846,6.577464788732397e-06,1.647565,718.5,0.0891
45,1,138.1,51474.58,0.585324,6.704225352112678e-06,1.019706,720.2,0.0889
46,1,138.3,50424.78,0.605607,6.830985915492959e-06,2.041977,716.7,0.0893
47,1,138.5,49419.37,0.604378,6.95774647887324e-06,1.308314,717.6,0.0892
48,1,138.69,48455.58,0.572655,7.084507042253522e-06,1.836519,725.9,0.0882
49,1,138.9,47533.82,0.585819,7.2112676056338026e-06,1.511513,677.1,0.0945
50,1,139.09,46645.21,0.570061,7.338028169014084e-06,1.427151,727.3,0.088
51,1,139.29,45793.37,0.587587,7.464788732394366e-06,1.49066,718.3,0.0891
52,1,139.49,44973.56,0.584766,7.591549295774649e-06,0.937105,721.4,0.0887
53,1,139.68,44184.47,0.554466,7.71830985915493e-06,1.18214,727.4,0.088
54,1,139.88,43425.16,0.561112,7.845070422535213e-06,1.173369,725.7,0.0882
55,1,140.08,42693.34,0.571477,7.971830985915496e-06,0.860398,729.3,0.0878
56,1,140.28,41988.42,0.595725,8.098591549295777e-06,0.922694,700.7,0.0913
57,1,140.48,41307.13,0.586382,8.22535211267606e-06,1.160575,711.9,0.0899
58,1,140.67,40648.63,0.582965,8.352112676056342e-06,0.828584,744.4,0.086
59,1,140.87,40014.55,0.56824,8.478873239436623e-06,1.16519,707.6,0.0905
60,1,141.07,39400.38,0.56337,8.605633802816904e-06,1.06076,718.4,0.0891
61,1,141.27,38808.52,0.581686,8.732394366197186e-06,1.379414,709.5,0.0902
62,1,141.47,38233.22,0.604224,8.859154929577467e-06,1.587906,726.1,0.0881
63,1,141.66,37675.71,0.592591,8.985915492957748e-06,1.419037,756.2,0.0846
64,1,141.87,37137.71,0.549292,9.112676056338031e-06,1.435114,710.9,0.09
65,1,142.07,36616.99,0.567722,9.239436619718314e-06,2.299018,659.8,0.097
66,1,142.26,36108.8,0.559094,9.366197183098594e-06,1.85151,747.5,0.0856
67,1,142.46,35617.44,0.568988,9.492957746478877e-06,1.664706,725.0,0.0883
68,1,142.66,35140.13,0.571863,9.61971830985916e-06,1.43472,724.8,0.0883
69,1,142.86,34678.6,0.547443,9.74647887323944e-06,1.516221,664.0,0.0964
70,1,143.06,34228.4,0.60271,9.873239436619723e-06,1.344103,666.2,0.0961
71,1,143.25,33788.59,0.595555,1.0000000000000004e-05,1.357481,733.1,0.0873
72,1,143.44,33362.74,0.560133,1.0126760563380285e-05,1.513355,746.9,0.0857
73,1,143.64,32949.44,0.579424,1.0253521126760566e-05,1.245058,729.6,0.0877
74,1,143.84,32546.69,0.548488,1.0380281690140847e-05,2.101499,736.3,0.0869
75,1,144.04,32155.23,0.603395,1.050704225352113e-05,1.357413,724.4,0.0883
76,1,144.24,31773.78,0.580326,1.063380281690141e-05,1.238165,718.7,0.089
77,1,144.43,31402.34,0.533821,1.0760563380281693e-05,1.572734,714.9,0.0895
78,1,144.63,31039.99,0.593309,1.0887323943661974e-05,1.981684,726.4,0.0881
79,1,144.84,30689.34,0.60212,1.1014084507042255e-05,1.717079,647.6,0.0988
80,1,145.03,30343.06,0.579339,1.1140845070422536e-05,1.364934,727.7,0.0879
81,1,145.23,30008.9,0.571254,1.1267605633802817e-05,1.95426,729.9,0.0877
82,1,145.43,29681.04,0.549586,1.1394366197183098e-05,1.392294,748.2,0.0855
83,1,145.62,29361.68,0.576557,1.1521126760563379e-05,1.370395,732.4,0.0874
84,1,145.82,29049.95,0.568869,1.164788732394366e-05,2.052949,724.3,0.0884
