step,epoch,stage,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,pretrain_chestxray14,179.99,2314448.86,0.630975,1.0769828926905133e-06,7.580782,0.4,150.5895
2,1,pretrain_chestxray14,180.1,1157857.39,0.623435,1.1539657853810265e-06,7.581367,630.2,0.1016
3,1,pretrain_chestxray14,180.3,772701.85,0.604384,1.2309486780715397e-06,7.129004,630.1,0.1016
4,1,pretrain_chestxray14,180.5,580122.11,0.580106,1.3079315707620528e-06,6.666015,634.5,0.1009
5,1,pretrain_chestxray14,180.71,464595.13,0.593273,1.384914463452566e-06,6.110684,591.6,0.1082
6,1,pretrain_chestxray14,180.9,387548.41,0.573063,1.4618973561430794e-06,6.025712,628.7,0.1018
7,1,pretrain_chestxray14,181.1,332527.53,0.574594,1.5388802488335926e-06,5.859771,631.0,0.1014
8,1,pretrain_chestxray14,181.3,291259.68,0.555004,1.615863141524106e-06,5.446311,639.5,0.1001
9,1,pretrain_chestxray14,181.5,259165.32,0.539318,1.6928460342146193e-06,5.890574,628.8,0.1018
10,1,pretrain_chestxray14,181.71,233491.27,0.530713,1.7698289269051325e-06,6.30853,616.7,0.1038
11,1,pretrain_chestxray14,181.91,212492.13,0.514691,1.8468118195956457e-06,5.529322,576.8,0.111
12,1,pretrain_chestxray14,182.11,194974.86,0.505945,1.923794712286159e-06,5.084189,631.0,0.1014
13,1,pretrain_chestxray14,182.31,180160.77,0.496751,2.0007776049766722e-06,5.473698,635.1,0.1008
14,1,pretrain_chestxray14,182.51,167464.15,0.489305,2.0777604976671854e-06,5.151182,632.1,0.1012
15,1,pretrain_chestxray14,182.72,156465.5,0.469603,2.1547433903576986e-06,4.390388,591.6,0.1082
16,1,pretrain_chestxray14,182.93,146843.65,0.452153,2.2317262830482117e-06,4.80446,564.1,0.1135
17,1,pretrain_chestxray14,183.12,138340.7,0.43256,2.3087091757387253e-06,5.086453,610.0,0.1049
18,1,pretrain_chestxray14,183.32,130785.48,0.428999,2.3856920684292385e-06,4.928326,633.5,0.101
19,1,pretrain_chestxray14,183.52,124028.36,0.407615,2.462674961119752e-06,4.515735,631.4,0.1014
20,1,pretrain_chestxray14,183.72,117949.23,0.418148,2.5396578538102653e-06,4.276599,601.6,0.1064
21,1,pretrain_chestxray14,183.95,112463.43,0.396678,2.616640746500779e-06,4.170793,553.0,0.1157
22,1,pretrain_chestxray14,184.15,107457.04,0.397667,2.693623639191292e-06,4.602551,635.2,0.1008
23,1,pretrain_chestxray14,184.35,102888.87,0.386031,2.770606531881805e-06,3.746535,637.3,0.1004
24,1,pretrain_chestxray14,184.55,98701.52,0.363281,2.8475894245723184e-06,3.490051,637.9,0.1003
25,1,pretrain_chestxray14,184.75,94851.64,0.37196,2.9245723172628315e-06,3.571877,608.9,0.1051
26,1,pretrain_chestxray14,184.95,91296.63,0.328135,3.001555209953345e-06,3.520715,598.4,0.1069
27,1,pretrain_chestxray14,185.15,88000.74,0.336787,3.0785381026438583e-06,3.111946,639.3,0.1001
28,1,pretrain_chestxray14,185.35,84942.8,0.336951,3.155520995334372e-06,2.896687,646.2,0.099
29,1,pretrain_chestxray14,185.55,82097.24,0.296214,3.232503888024885e-06,3.023331,633.1,0.1011
30,1,pretrain_chestxray14,185.75,79439.99,0.339944,3.3094867807153982e-06,2.525875,639.3,0.1001
31,1,pretrain_chestxray14,185.95,76955.04,0.3073,3.386469673405911e-06,2.795857,629.6,0.1016
32,1,pretrain_chestxray14,186.16,74626.57,0.285339,3.463452566096424e-06,2.555376,629.5,0.1017
33,1,pretrain_chestxray14,186.36,72437.44,0.264116,3.5404354587869373e-06,2.697008,633.6,0.101
34,1,pretrain_chestxray14,186.56,70377.53,0.292669,3.617418351477451e-06,2.280057,627.4,0.102
35,1,pretrain_chestxray14,186.77,68437.88,0.267679,3.694401244167964e-06,2.319493,580.9,0.1102
36,1,pretrain_chestxray14,186.97,66601.72,0.265157,3.7713841368584777e-06,2.300294,601.6,0.1064
37,1,pretrain_chestxray14,187.16,64864.58,0.257433,3.848367029548992e-06,2.810094,639.5,0.1001
38,1,pretrain_chestxray14,187.36,63220.55,0.252672,3.9253499222395045e-06,2.393513,636.4,0.1006
39,1,pretrain_chestxray14,187.57,61661.27,0.238056,4.002332814930018e-06,2.001619,624.6,0.1025
40,1,pretrain_chestxray14,187.78,60183.55,0.263952,4.079315707620531e-06,2.01089,554.2,0.1155
41,1,pretrain_chestxray14,187.99,58775.65,0.291495,4.156298600311044e-06,1.752578,581.9,0.11
42,1,pretrain_chestxray14,188.18,57430.17,0.202232,4.233281493001558e-06,2.126245,645.9,0.0991
43,1,pretrain_chestxray14,188.38,56150.26,0.215398,4.310264385692071e-06,1.896553,645.5,0.0991
44,1,pretrain_chestxray14,188.58,54928.64,0.210744,4.3872472783825835e-06,2.056061,641.1,0.0998
45,1,pretrain_chestxray14,188.78,53761.7,0.174713,4.464230171073097e-06,1.916113,628.1,0.1019
46,1,pretrain_chestxray14,188.99,52645.85,0.219383,4.541213063763611e-06,2.053811,625.0,0.1024
47,1,pretrain_chestxray14,189.19,51576.08,0.168028,4.618195956454124e-06,1.697067,637.4,0.1004
48,1,pretrain_chestxray14,189.39,50551.52,0.233929,4.695178849144638e-06,1.838644,637.7,0.1004
49,1,pretrain_chestxray14,189.59,49568.89,0.275197,4.772161741835151e-06,1.812422,630.5,0.1015
50,1,pretrain_chestxray14,189.79,48624.98,0.252713,4.849144634525664e-06,1.192189,633.0,0.1011
51,1,pretrain_chestxray14,190.0,47720.81,0.210521,4.926127527216177e-06,1.377395,584.5,0.1095
52,1,pretrain_chestxray14,190.2,46846.98,0.197898,5.0031104199066905e-06,1.437943,639.2,0.1001
53,1,pretrain_chestxray14,190.4,46008.05,0.188037,5.080093312597204e-06,1.326493,636.9,0.1005
54,1,pretrain_chestxray14,190.6,45199.73,0.256666,5.157076205287718e-06,1.78496,645.4,0.0992
55,1,pretrain_chestxray14,190.82,44426.05,0.252441,5.2340590979782305e-06,1.375231,531.2,0.1205
56,1,pretrain_chestxray14,191.02,43674.52,0.214452,5.311041990668743e-06,1.4081,572.0,0.1119
57,1,pretrain_chestxray14,191.22,42950.18,0.218057,5.388024883359257e-06,1.534706,619.2,0.1034
58,1,pretrain_chestxray14,191.42,42250.03,0.204117,5.46500777604977e-06,1.331798,641.6,0.0997
59,1,pretrain_chestxray14,191.62,41574.15,0.182715,5.541990668740284e-06,1.033678,644.5,0.0993
60,1,pretrain_chestxray14,191.82,40921.56,0.20898,5.618973561430798e-06,1.130079,631.1,0.1014
61,1,pretrain_chestxray14,192.03,40290.92,0.18818,5.69595645412131e-06,1.401732,644.0,0.0994
62,1,pretrain_chestxray14,192.23,39679.93,0.161963,5.772939346811823e-06,2.154191,627.9,0.1019
63,1,pretrain_chestxray14,192.43,39087.22,0.157023,5.849922239502336e-06,1.419432,645.4,0.0992
64,1,pretrain_chestxray14,192.63,38513.87,0.174137,5.926905132192849e-06,2.451559,635.9,0.1006
65,1,pretrain_chestxray14,192.83,37958.65,0.199033,6.003888024883362e-06,1.512019,613.9,0.1043
66,1,pretrain_chestxray14,202.88,39328.35,0.142908,6.080870917573876e-06,1.123476,523.9,0.1222
