step,epoch,stage,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,pretrain_chestxray14,104.82,539071.09,0.630969,1.1539657853810264e-07,7.580966,0.7,93.9058
2,1,pretrain_chestxray14,104.92,269757.93,0.632014,1.307931570762053e-07,7.708594,634.3,0.1009
3,1,pretrain_chestxray14,105.12,180142.01,0.621121,1.4618973561430795e-07,7.406494,667.6,0.0959
4,1,pretrain_chestxray14,105.32,135338.43,0.604573,1.615863141524106e-07,7.038802,680.3,0.0941
5,1,pretrain_chestxray14,105.53,108458.83,0.624029,1.7698289269051325e-07,6.600221,673.3,0.0951
6,1,pretrain_chestxray14,105.73,90537.66,0.611844,1.9237947122861588e-07,6.68814,679.5,0.0942
7,1,pretrain_chestxray14,105.93,77737.75,0.623859,2.0777604976671854e-07,6.579503,675.8,0.0947
8,1,pretrain_chestxray14,106.13,68137.86,0.610014,2.231726283048212e-07,6.375118,673.6,0.095
9,1,pretrain_chestxray14,106.34,60670.77,0.609054,2.3856920684292386e-07,6.855179,674.5,0.0949
10,1,pretrain_chestxray14,106.54,54698.39,0.613083,2.539657853810265e-07,7.413755,657.6,0.0973
11,1,pretrain_chestxray14,106.74,49809.63,0.603835,2.6936236391912913e-07,6.91092,671.0,0.0954
12,1,pretrain_chestxray14,106.94,45735.81,0.599603,2.8475894245723176e-07,6.588148,684.7,0.0935
13,1,pretrain_chestxray14,107.14,42289.22,0.610328,3.001555209953344e-07,7.047845,687.3,0.0931
14,1,pretrain_chestxray14,107.35,39335.71,0.603512,3.1555209953343703e-07,6.542265,675.9,0.0947
15,1,pretrain_chestxray14,107.55,36775.5,0.584484,3.3094867807153967e-07,6.195052,675.8,0.0947
16,1,pretrain_chestxray14,107.75,34535.11,0.59265,3.463452566096423e-07,6.762111,679.7,0.0942
17,1,pretrain_chestxray14,107.96,32558.5,0.59081,3.61741835147745e-07,6.980555,679.8,0.0941
18,1,pretrain_chestxray14,108.16,30801.13,0.59786,3.771384136858476e-07,6.918791,687.1,0.0932
19,1,pretrain_chestxray14,108.36,29229.49,0.573726,3.9253499222395026e-07,6.716204,675.1,0.0948
20,1,pretrain_chestxray14,108.57,27814.58,0.589193,4.079315707620529e-07,6.416817,672.6,0.0952
