step,epoch,stage,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,finetune_chexpert,151.61,2444049.6,0.844924,8.294752512095274e-07,8.501363,0.5,137.5276
2,1,finetune_chexpert,151.72,1222891.53,0.799001,8.589505024190548e-07,9.978886,593.9,0.1078
3,1,finetune_chexpert,151.93,816294.17,0.954219,8.884257536285821e-07,10.469321,607.9,0.1053
4,1,finetune_chexpert,152.12,612979.49,0.716354,9.179010048381095e-07,7.649196,629.8,0.1016
5,1,finetune_chexpert,152.32,491000.28,0.912106,9.473762560476369e-07,9.854936,627.0,0.1021
6,1,finetune_chexpert,152.52,409678.6,0.710098,9.768515072571642e-07,7.457571,629.0,0.1017
7,1,finetune_chexpert,152.73,351597.01,0.825547,1.0063267584666915e-06,8.624378,622.3,0.1028
8,1,finetune_chexpert,152.93,308030.98,0.694617,1.0358020096762189e-06,7.869342,627.9,0.1019
9,1,finetune_chexpert,153.13,274148.9,0.850011,1.0652772608857463e-06,8.568228,626.7,0.1021
10,1,finetune_chexpert,153.33,247047.42,0.691627,1.0947525120952736e-06,8.083894,607.3,0.1054
11,1,finetune_chexpert,153.53,224864.98,0.847969,1.124227763304801e-06,9.12387,621.8,0.1029
12,1,finetune_chexpert,153.73,206386.56,0.839068,1.1537030145143283e-06,9.763219,615.0,0.1041
13,1,finetune_chexpert,153.94,190758.51,0.687079,1.1831782657238555e-06,7.220031,566.2,0.113
14,1,finetune_chexpert,154.14,177352.15,0.675186,1.2126535169333827e-06,7.9262,578.9,0.1106
15,1,finetune_chexpert,154.34,165732.47,0.579107,1.24212876814291e-06,5.804423,593.2,0.1079
16,1,finetune_chexpert,154.54,155568.06,0.6803,1.2716040193524372e-06,7.37675,590.1,0.1085
17,1,finetune_chexpert,154.74,146595.07,0.526106,1.3010792705619645e-06,6.93868,611.2,0.1047
18,1,finetune_chexpert,154.95,138625.46,0.613784,1.3305545217714917e-06,6.477036,595.6,0.1074
19,1,finetune_chexpert,155.15,131495.82,0.73306,1.360029772981019e-06,7.752312,568.9,0.1125
20,1,finetune_chexpert,155.35,125071.77,0.715506,1.3895050241905464e-06,8.508131,595.1,0.1075
21,1,finetune_chexpert,155.56,119271.95,0.666054,1.4189802754000736e-06,7.035193,588.7,0.1087
22,1,finetune_chexpert,155.76,113990.24,0.568539,1.4484555266096007e-06,5.151579,595.3,0.1075
