step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,128.39,3449729.86,0.86546,1.0368440640119094e-06,12.566806,0.6,99.8107
2,1,128.98,1732694.36,0.856378,1.0736881280238187e-06,14.875661,110.8,0.5778
3,1,129.24,1157427.52,0.819955,1.1105321920357277e-06,11.866317,401.6,0.1594
4,1,129.38,868961.62,0.817959,1.147376256047637e-06,12.896823,666.0,0.0961
5,1,129.57,696203.31,0.74138,1.1842203200595463e-06,8.574035,686.4,0.0932
6,1,129.77,581030.15,0.802477,1.2210643840714553e-06,11.93603,711.5,0.09
7,1,129.97,498780.56,0.724432,1.2579084480833646e-06,7.870423,707.7,0.0904
8,1,130.17,437078.61,0.76595,1.2947525120952738e-06,11.644353,722.0,0.0886
9,1,130.37,389087.75,0.727105,1.331596576107183e-06,5.415019,737.7,0.0868
10,1,130.57,350702.12,0.70064,1.3684406401190921e-06,9.415473,728.1,0.0879
11,1,130.77,319294.63,0.725015,1.4052847041310014e-06,6.372774,733.8,0.0872
12,1,130.97,293125.59,0.722884,1.4421287681429106e-06,6.41354,719.7,0.0889
13,1,131.16,270976.12,0.725328,1.4789728321548197e-06,10.261641,732.9,0.0873
14,1,131.36,251991.85,0.66291,1.5158168961667287e-06,6.380912,737.5,0.0868
15,1,131.56,235542.1,0.676488,1.552660960178638e-06,7.51095,727.7,0.0879
16,1,131.76,221146.13,0.679086,1.589505024190547e-06,4.581452,731.4,0.0875
17,1,131.96,208440.92,0.664363,1.6263490882024563e-06,4.855573,747.5,0.0856
18,1,132.16,197152.43,0.637971,1.6631931522143654e-06,7.848007,727.7,0.0879
19,1,132.36,187050.74,0.659681,1.7000372162262744e-06,5.04994,723.3,0.0885
20,1,132.56,177958.81,0.687911,1.7368812802381837e-06,2.76004,722.7,0.0886
21,1,132.77,169744.06,0.625656,1.7737253442500927e-06,4.244694,680.7,0.094
22,1,132.96,162265.27,0.609049,1.8105694082620018e-06,7.610816,682.1,0.0938
23,1,133.16,155430.63,0.614328,1.8474134722739108e-06,5.10185,725.0,0.0883
24,1,133.36,149173.4,0.630199,1.8842575362858199e-06,3.754194,712.2,0.0899
25,1,133.56,143414.47,0.642536,1.921101600297729e-06,2.530779,718.1,0.0891
26,1,133.76,138098.6,0.645716,1.957945664309638e-06,2.462409,723.5,0.0885
27,1,133.96,133176.51,0.666717,1.994789728321547e-06,3.234194,725.9,0.0882
28,1,134.15,128605.52,0.600616,2.0316337923334565e-06,3.898591,734.0,0.0872
29,1,134.36,124353.55,0.584947,2.0684778563453657e-06,4.845798,707.1,0.0905
30,1,134.56,120384.56,0.594764,2.105321920357275e-06,3.061072,691.3,0.0926
31,1,134.75,116665.3,0.680724,2.1421659843691842e-06,3.395189,731.2,0.0875
32,1,134.96,113188.87,0.466809,2.1790100483810935e-06,5.544033,673.7,0.095
33,1,135.16,109915.56,0.649157,2.2158541123930023e-06,2.902591,689.5,0.0928
34,1,135.35,106834.03,0.561606,2.252698176404911e-06,2.299565,709.4,0.0902
35,1,135.55,103929.84,0.583073,2.2895422404168204e-06,3.002649,714.5,0.0896
36,1,135.75,101186.06,0.657686,2.3263863044287297e-06,3.812105,729.0,0.0878
37,1,135.95,98592.39,0.609262,2.363230368440639e-06,2.649301,723.4,0.0885
38,1,136.15,96133.75,0.706028,2.400074432452548e-06,5.243313,735.0,0.0871
39,1,136.34,93801.81,0.671721,2.436918496464457e-06,3.82189,736.7,0.0869
40,1,136.54,91586.11,0.625881,2.4737625604763663e-06,3.210493,743.3,0.0861
41,1,136.75,89482.39,0.59596,2.5106066244882756e-06,2.936022,731.6,0.0875
42,1,136.95,87475.93,0.639758,2.547450688500185e-06,3.011089,727.8,0.0879
43,1,137.15,85562.71,0.696223,2.584294752512094e-06,4.787188,724.1,0.0884
44,1,137.35,83736.85,0.60602,2.6211388165240034e-06,2.378057,719.9,0.0889
45,1,137.54,81990.93,0.594198,2.6579828805359126e-06,2.399713,731.3,0.0875
46,1,137.74,80321.96,0.593678,2.694826944547822e-06,3.246783,730.1,0.0877
47,1,137.94,78724.63,0.647304,2.731671008559731e-06,3.372626,720.1,0.0889
