step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,193.69,5204374.2,0.646526,1.0368440640119094e-06,3.156606,0.4,179.3756
2,1,193.79,2603422.94,0.609743,1.0736881280238187e-06,2.906399,719.0,0.089
3,1,193.99,1737299.43,0.631038,1.1105321920357277e-06,2.615108,739.2,0.0866
4,1,194.19,1304256.53,0.621645,1.147376256047637e-06,3.374419,738.7,0.0866
5,1,194.39,1044439.82,0.627934,1.1842203200595463e-06,3.082721,730.4,0.0876
6,1,194.58,871212.5,0.608816,1.2210643840714553e-06,3.141311,742.1,0.0862
7,1,194.78,747486.98,0.613007,1.2579084480833646e-06,2.868258,733.8,0.0872
8,1,194.98,654697.85,0.583668,1.2947525120952738e-06,2.879739,721.5,0.0887
9,1,195.18,582523.67,0.636977,1.331596576107183e-06,2.766373,736.8,0.0869
10,1,195.38,524785.74,0.610118,1.3684406401190921e-06,2.933246,738.3,0.0867
11,1,195.58,477545.82,0.604359,1.4052847041310014e-06,2.639172,739.9,0.0865
12,1,195.78,438179.63,0.613581,1.4421287681429106e-06,1.685555,738.0,0.0867
13,1,195.97,404869.0,0.605886,1.4789728321548197e-06,2.186934,729.7,0.0877
14,1,196.17,376316.54,0.579064,1.5158168961667287e-06,2.996731,734.3,0.0872
15,1,196.37,351571.21,0.572963,1.552660960178638e-06,2.851085,730.7,0.0876
16,1,196.57,329919.47,0.573291,1.589505024190547e-06,2.597882,737.6,0.0868
17,1,196.77,310819.27,0.565618,1.6263490882024563e-06,2.474481,719.3,0.089
18,1,196.97,293835.02,0.569218,1.6631931522143654e-06,2.138993,727.4,0.088
19,1,197.17,278636.9,0.60074,1.7000372162262744e-06,1.998654,740.8,0.0864
20,1,197.36,264959.03,0.59617,1.7368812802381837e-06,2.199179,733.8,0.0872
21,1,197.56,252591.4,0.574671,1.7737253442500927e-06,1.685579,741.4,0.0863
22,1,197.76,241343.59,0.561128,1.8105694082620018e-06,1.560424,737.0,0.0868
23,1,197.96,231074.39,0.602429,1.8474134722739108e-06,1.702119,736.4,0.0869
24,1,198.16,221662.88,0.570306,1.8842575362858199e-06,1.742264,725.6,0.0882
25,1,198.36,213002.33,0.574927,1.921101600297729e-06,1.62134,742.1,0.0862
26,1,198.57,205010.91,0.558812,1.957945664309638e-06,2.127216,714.6,0.0896
27,1,198.76,197606.66,0.573981,1.994789728321547e-06,1.558605,737.6,0.0868
28,1,198.96,190733.68,0.53406,2.0316337923334565e-06,1.811978,730.3,0.0876
29,1,199.16,184334.1,0.521191,2.0684778563453657e-06,1.548865,732.5,0.0874
30,1,199.36,178361.01,0.522326,2.105321920357275e-06,1.523743,735.8,0.087
31,1,199.56,172774.11,0.564984,2.1421659843691842e-06,1.644109,733.1,0.0873
32,1,199.76,167535.62,0.520174,2.1790100483810935e-06,2.122622,738.6,0.0867
33,1,199.96,162613.13,0.545616,2.2158541123930023e-06,1.341003,755.3,0.0847
34,1,200.16,157981.39,0.550052,2.252698176404911e-06,1.185852,760.9,0.0841
35,1,200.35,153614.44,0.53175,2.2895422404168204e-06,1.698993,761.8,0.084
36,1,200.56,149492.32,0.55895,2.3263863044287297e-06,1.563353,735.7,0.087
37,1,200.76,145591.9,0.545023,2.363230368440639e-06,1.230461,732.6,0.0874
38,1,200.96,141896.76,0.568952,2.400074432452548e-06,1.673578,739.9,0.0865
39,1,201.16,138390.3,0.545135,2.436918496464457e-06,1.493939,738.1,0.0867
40,1,201.35,135058.43,0.554072,2.4737625604763663e-06,1.125266,744.2,0.086
41,1,201.56,131891.34,0.523894,2.5106066244882756e-06,1.204079,755.2,0.0847
42,1,201.76,128874.45,0.508195,2.547450688500185e-06,1.31719,738.7,0.0866
43,1,201.95,125995.71,0.536907,2.584294752512094e-06,1.920911,748.4,0.0855
44,1,202.15,123249.37,0.52881,2.6211388165240034e-06,1.130226,748.0,0.0856
45,1,202.36,120628.46,0.562561,2.6579828805359126e-06,1.245875,703.6,0.091
46,1,202.55,118115.33,0.577977,2.694826944547822e-06,1.804378,743.7,0.0861
47,1,202.75,115710.85,0.535721,2.731671008559731e-06,1.087721,747.7,0.0856
48,1,202.95,113406.09,0.552091,2.7685150725716404e-06,1.292051,762.7,0.0839
49,1,203.15,111197.21,0.547727,2.8053591365835492e-06,1.411708,749.9,0.0853
50,1,203.35,109077.46,0.552057,2.8422032005954585e-06,1.726771,729.8,0.0877
51,1,203.56,107042.5,0.521036,2.8790472646073677e-06,1.412814,690.0,0.0928
52,1,203.76,105083.02,0.579968,2.915891328619277e-06,1.294671,693.2,0.0923
53,1,203.95,103195.33,0.546806,2.9527353926311863e-06,1.475998,721.4,0.0887
54,1,204.16,101383.25,0.514025,2.9895794566430955e-06,1.22056,669.0,0.0957
55,1,204.35,99631.99,0.529515,3.0264235206550044e-06,1.404469,692.8,0.0924
56,1,204.56,97945.73,0.610165,3.0632675846669136e-06,1.837544,680.0,0.0941
57,1,204.75,96315.68,0.52852,3.1001116486788225e-06,1.402084,719.1,0.089
58,1,204.96,94746.94,0.554694,3.1369557126907313e-06,2.228209,685.8,0.0933
59,1,205.16,93228.61,0.533764,3.1737997767026406e-06,1.312726,695.3,0.0921
60,1,205.36,91761.82,0.536143,3.21064384071455e-06,1.252957,684.1,0.0935
61,1,205.57,90346.54,0.519424,3.2474879047264586e-06,1.388582,664.1,0.0964
62,1,205.77,88970.99,0.527951,3.284331968738368e-06,1.017696,689.4,0.0928
63,1,205.96,87638.19,0.59672,3.321176032750277e-06,1.233839,731.8,0.0875
64,1,206.18,86357.79,0.517569,3.3580200967621864e-06,1.297814,592.1,0.1081
65,1,206.37,85104.14,0.503481,3.3948641607740957e-06,1.348265,656.2,0.0975
66,1,206.57,83890.99,0.542373,3.431708224786005e-06,1.539276,684.0,0.0936
67,1,206.77,82716.01,0.552803,3.468552288797914e-06,1.643292,678.1,0.0944
68,1,206.96,81571.98,0.522319,3.5053963528098235e-06,1.23751,745.8,0.0858
69,1,207.16,80466.91,0.563998,3.5422404168217327e-06,1.715576,691.2,0.0926
70,1,207.36,79388.54,0.54955,3.579084480833642e-06,1.136351,741.7,0.0863
71,1,207.56,78344.14,0.523365,3.6159285448455512e-06,1.903816,712.9,0.0898
72,1,207.76,77326.99,0.56187,3.6527726088574605e-06,1.757085,741.3,0.0863
73,1,207.96,76339.38,0.510752,3.6896166728693693e-06,1.365288,717.9,0.0892
74,1,208.16,75376.5,0.541864,3.7264607368812786e-06,1.071505,740.3,0.0865
75,1,208.36,74440.79,0.561391,3.7633048008931883e-06,1.249035,710.6,0.0901
76,1,208.56,73527.61,0.534586,3.800148864905097e-06,1.213057,743.2,0.0861
77,1,208.76,72639.83,0.501535,3.836992928917006e-06,1.371925,732.4,0.0874
78,1,208.96,71774.49,0.583545,3.873836992928915e-06,1.445787,732.7,0.0873
79,1,209.16,70931.6,0.567767,3.9106810569408245e-06,1.118273,724.4,0.0883
80,1,209.36,70108.83,0.564216,3.947525120952734e-06,1.313048,747.1,0.0857
81,1,209.57,69309.26,0.523816,3.984369184964643e-06,1.299745,726.5,0.0881
82,1,210.68,68826.28,0.562829,4.021213248976552e-06,1.492587,740.0,0.0865
83,1,212.36,68536.8,0.559028,4.0580573129884615e-06,1.299289,726.7,0.0881
84,1,215.39,68682.35,0.577009,4.094901377000371e-06,1.591595,727.0,0.088
85,1,215.58,67934.17,0.547745,4.13174544101228e-06,1.295683,731.7,0.0875
86,1,215.8,67207.84,0.521095,4.168589505024189e-06,1.375776,644.1,0.0994
87,1,216.0,66494.94,0.522575,4.2054335690360985e-06,1.572443,633.0,0.1011
88,1,216.18,65793.46,0.528779,4.242277633048008e-06,1.027014,738.0,0.0867
89,1,216.38,65111.31,0.592935,4.279121697059917e-06,1.123256,737.8,0.0867
90,1,216.58,64445.69,0.546888,4.3159657610718255e-06,1.087104,708.9,0.0903
91,1,216.79,63794.7,0.547631,4.352809825083735e-06,1.422419,685.4,0.0934
92,1,216.98,63155.28,0.538494,4.389653889095644e-06,1.225531,730.5,0.0876
93,1,217.18,62530.44,0.558242,4.426497953107553e-06,1.097684,743.0,0.0861
94,1,217.38,61919.76,0.564915,4.463342017119462e-06,1.450791,737.0,0.0868
95,1,217.58,61321.83,0.533177,4.50018608113137e-06,1.301807,731.9,0.0874
96,1,217.77,60735.88,0.479869,4.537030145143279e-06,1.595839,744.4,0.086
97,1,217.97,60162.4,0.501644,4.573874209155189e-06,1.452729,748.8,0.0855
98,1,219.62,59995.32,0.590146,4.610718273167098e-06,2.239962,748.0,0.0856
99,1,221.87,59997.64,0.548764,4.647562337179007e-06,1.380822,680.5,0.0941
100,1,224.06,59979.68,0.529734,4.684406401190916e-06,1.066462,746.6,0.0857
101,1,224.27,59439.39,0.545726,4.721250465202826e-06,1.855039,694.4,0.0922
102,1,224.46,58905.5,0.53016,4.758094529214735e-06,1.56385,743.8,0.086
103,1,224.67,58385.2,0.516088,4.794938593226644e-06,1.181214,690.4,0.0927
104,1,224.87,57872.61,0.516964,4.831782657238553e-06,1.518212,707.9,0.0904
105,1,225.29,57428.02,0.49653,4.868626721250462e-06,1.6457,718.0,0.0891
106,1,225.49,56934.67,0.560571,4.90547078526237e-06,1.257301,703.8,0.0909
107,1,225.68,56448.35,0.518003,4.9423148492742795e-06,1.431582,752.5,0.085
108,1,225.88,55972.77,0.502949,4.979158913286189e-06,1.500589,752.7,0.085
109,1,226.08,55506.59,0.487546,5.016002977298098e-06,1.041554,729.6,0.0877
110,1,226.28,55046.92,0.537507,5.0528470413100064e-06,1.132889,760.5,0.0842
111,1,226.48,54597.07,0.503016,5.089691105321916e-06,2.051972,747.1,0.0857
112,1,226.68,54155.25,0.571352,5.126535169333825e-06,2.052982,739.9,0.0865
113,1,226.87,53721.05,0.546685,5.163379233345734e-06,1.883632,748.1,0.0856
114,1,229.09,53767.29,0.515171,5.200223297357643e-06,1.332289,759.1,0.0843
115,1,230.5,53625.42,0.54193,5.237067361369552e-06,1.389089,746.4,0.0857
116,1,232.97,53731.44,0.5428,5.273911425381461e-06,1.715553,757.9,0.0844
117,1,233.17,53315.22,0.511772,5.31075548939337e-06,1.362525,750.7,0.0853
118,1,233.37,52906.64,0.522791,5.34759955340528e-06,2.067768,745.0,0.0859
119,1,233.56,52504.65,0.523348,5.384443617417189e-06,1.336104,746.9,0.0857
120,1,233.77,52111.45,0.495268,5.421287681429098e-06,1.703564,674.9,0.0948
121,1,235.75,52115.33,0.545039,5.4581317454410074e-06,1.536228,761.4,0.0841
122,1,235.95,51731.71,0.50761,5.494975809452916e-06,1.648453,691.6,0.0925
123,1,236.14,51350.93,0.570759,5.531819873464825e-06,1.739487,758.1,0.0844
124,1,236.34,50977.9,0.546083,5.568663937476735e-06,1.301111,756.0,0.0847
125,1,236.54,50609.93,0.510697,5.605508001488644e-06,1.709949,762.8,0.0839
126,1,236.74,50248.74,0.570123,5.642352065500553e-06,1.828552,756.6,0.0846
127,1,236.94,49893.03,0.544845,5.679196129512461e-06,1.185268,762.8,0.0839
128,1,237.14,49543.83,0.490737,5.7160401935243706e-06,1.254259,735.9,0.087
129,1,237.34,49199.24,0.546847,5.752884257536281e-06,1.751492,744.6,0.086
130,1,238.64,49085.75,0.523599,5.78972832154819e-06,1.454329,746.2,0.0858
131,1,240.71,49133.25,0.546979,5.826572385560098e-06,1.747183,682.5,0.0938
132,1,242.79,49179.56,0.520008,5.863416449572008e-06,2.375743,748.3,0.0855
133,1,242.99,48847.96,0.51158,5.900260513583918e-06,1.684287,739.2,0.0866
134,1,243.19,48520.87,0.550028,5.937104577595827e-06,1.243093,754.8,0.0848
135,1,243.39,48200.15,0.491556,5.973948641607737e-06,1.55749,708.1,0.0904
136,1,243.59,47882.47,0.517913,6.010792705619647e-06,2.65883,701.7,0.0912
137,1,246.33,48067.22,0.547042,6.0476367696315564e-06,2.049137,753.7,0.0849
138,1,246.53,47755.42,0.5616,6.084480833643465e-06,1.647147,762.3,0.084
139,1,246.73,47448.44,0.545123,6.121324897655374e-06,1.584468,748.1,0.0856
140,1,246.93,47145.77,0.491515,6.1581689616672825e-06,1.158191,749.5,0.0854
141,1,247.13,46847.97,0.506839,6.195013025679192e-06,1.53836,756.3,0.0846
142,1,247.33,46553.99,0.525762,6.231857089691101e-06,2.117872,752.6,0.085
143,1,247.53,46264.01,0.500484,6.268701153703011e-06,1.518371,753.8,0.0849
144,1,247.73,45978.2,0.530033,6.3055452177149196e-06,1.399578,745.9,0.0858
145,1,247.93,45696.17,0.563144,6.342389281726828e-06,2.34346,751.4,0.0852
146,1,250.29,45813.21,0.519667,6.379233345738737e-06,1.766837,694.4,0.0922
147,1,250.48,45534.79,0.527344,6.4160774097506465e-06,1.70197,762.9,0.0839
148,1,253.46,45763.26,0.490787,6.452921473762555e-06,1.391848,681.2,0.094
149,1,253.65,45488.98,0.5524,6.489765537774464e-06,1.223205,755.1,0.0848
150,1,253.86,45221.28,0.490692,6.526609601786374e-06,1.239758,670.9,0.0954
151,1,254.06,44954.81,0.526257,6.5634536657982835e-06,1.512531,695.0,0.0921
152,1,254.26,44692.95,0.480832,6.600297729810192e-06,2.38468,666.0,0.0961
153,1,255.93,44691.24,0.478596,6.637141793822101e-06,1.523692,744.8,0.0859
154,1,256.13,44433.81,0.489584,6.67398585783401e-06,1.547209,748.4,0.0855
155,1,256.33,44180.57,0.52155,6.71082992184592e-06,1.798422,704.4,0.0909
156,1,256.53,43928.78,0.503033,6.747673985857829e-06,1.763878,751.8,0.0851
157,1,256.73,43681.1,0.53655,6.784518049869739e-06,1.736866,754.0,0.0849
158,1,256.93,43436.63,0.496993,6.821362113881648e-06,1.205617,753.9,0.0849
159,1,257.12,43194.71,0.511493,6.858206177893558e-06,1.400996,764.9,0.0837
160,1,257.32,42956.19,0.471454,6.895050241905467e-06,1.614077,740.5,0.0864
161,1,257.52,42721.14,0.484762,6.931894305917375e-06,1.406065,752.9,0.085
162,1,259.56,42791.94,0.533433,6.9687383699292845e-06,2.842177,691.1,0.0926
163,1,259.75,42559.55,0.469791,7.005582433941194e-06,1.791369,696.7,0.0919
164,1,263.32,42879.36,0.502284,7.042426497953103e-06,1.956894,748.2,0.0855
165,1,263.52,42649.73,0.509439,7.0792705619650115e-06,1.680445,761.5,0.084
166,1,263.71,42423.07,0.519475,7.116114625976921e-06,1.44602,753.5,0.0849
167,1,263.92,42200.8,0.521313,7.152958689988831e-06,1.492827,686.8,0.0932
168,1,264.12,41979.24,0.522264,7.18980275400074e-06,1.597304,708.1,0.0904
169,1,266.24,42063.65,0.491422,7.2266468180126485e-06,1.724893,688.4,0.093
170,1,266.43,41845.14,0.512983,7.263490882024558e-06,2.270066,746.5,0.0857
171,1,266.63,41629.96,0.484841,7.300334946036466e-06,1.778437,748.8,0.0855
172,1,266.83,41417.29,0.552593,7.337179010048376e-06,1.450944,747.0,0.0857
173,1,267.03,41206.89,0.537484,7.374023074060285e-06,1.453923,752.1,0.0851
174,1,267.22,40998.92,0.490781,7.410867138072194e-06,1.177487,745.6,0.0858
175,1,267.42,40793.61,0.557286,7.447711202084103e-06,3.168108,745.4,0.0859
176,1,267.62,40590.48,0.550835,7.4845552660960125e-06,1.203807,748.3,0.0855
177,1,267.82,40389.92,0.526284,7.521399330107922e-06,1.344973,743.1,0.0861
178,1,268.5,40263.34,0.513598,7.55824339411983e-06,1.80978,742.7,0.0862
179,1,269.28,40152.61,0.540364,7.59508745813174e-06,1.799282,722.0,0.0886
180,1,274.27,40668.25,0.477534,7.63193152214365e-06,1.915357,752.1,0.0851
181,1,274.47,40471.79,0.530778,7.66877558615556e-06,3.596654,751.4,0.0852
182,1,274.67,40276.68,0.520562,7.705619650167469e-06,1.303101,760.3,0.0842
183,1,274.87,40084.99,0.495044,7.742463714179378e-06,2.709907,706.6,0.0906
184,1,275.07,39893.73,0.528448,7.779307778191287e-06,3.552222,756.9,0.0846
185,1,276.73,39916.06,0.487049,7.816151842203197e-06,1.848122,725.8,0.0882
186,1,276.93,39728.4,0.495804,7.852995906215106e-06,1.653378,736.4,0.0869
187,1,277.13,39543.57,0.517856,7.889839970227015e-06,2.034164,696.3,0.0919
188,1,277.32,39359.23,0.471844,7.926684034238923e-06,2.228703,746.6,0.0857
189,1,277.52,39177.18,0.519688,7.963528098250832e-06,2.482388,755.2,0.0847
190,1,277.72,38997.44,0.509138,8.000372162262741e-06,1.237273,748.8,0.0855
191,1,277.92,38819.61,0.537341,8.03721622627465e-06,1.429748,756.9,0.0846
192,1,278.12,38643.95,0.517125,8.07406029028656e-06,1.794169,735.4,0.087
193,1,278.32,38469.78,0.490126,8.110904354298469e-06,1.965643,741.5,0.0863
194,1,279.54,38438.3,0.488376,8.147748418310378e-06,2.151953,675.8,0.0947
195,1,279.73,38266.2,0.462874,8.184592482322288e-06,2.342066,732.1,0.0874
196,1,283.5,38582.56,0.526414,8.221436546334197e-06,1.713324,752.4,0.0851
197,1,283.71,38412.75,0.563995,8.258280610346106e-06,1.603773,716.6,0.0893
198,1,283.9,38243.75,0.497499,8.295124674358015e-06,1.930674,738.6,0.0866
199,1,284.1,38076.67,0.492386,8.331968738369925e-06,2.282729,746.4,0.0857
200,1,284.31,37912.27,0.47366,8.368812802381834e-06,1.903064,706.1,0.0906
201,1,286.06,37954.24,0.535411,8.405656866393743e-06,1.929986,763.6,0.0838
202,1,286.26,37791.97,0.537833,8.442500930405652e-06,2.393893,706.5,0.0906
203,1,286.46,37630.86,0.544763,8.479344994417562e-06,2.937124,692.2,0.0925
204,1,286.66,37470.34,0.50139,8.516189058429471e-06,1.495283,744.8,0.0859
205,1,286.86,37312.23,0.548823,8.55303312244138e-06,1.771148,743.8,0.086
206,1,287.06,37156.06,0.511016,8.58987718645329e-06,2.007696,707.4,0.0905
207,1,287.25,37000.11,0.51675,8.626721250465199e-06,1.774322,753.2,0.085
208,1,287.45,36846.6,0.529768,8.663565314477108e-06,1.958738,741.0,0.0864
209,1,287.65,36694.28,0.505079,8.700409378489017e-06,1.90286,747.0,0.0857
210,1,289.1,36702.38,0.460484,8.737253442500925e-06,2.808731,743.6,0.0861
211,1,289.3,36552.21,0.499858,8.774097506512832e-06,1.896182,745.6,0.0858
212,1,292.75,36812.05,0.53051,8.810941570524742e-06,1.837089,756.9,0.0846
