step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,88.51,1426853.71,0.13038,0.0008190697674418605,1.011367,0.8,83.6395
2,1,152.89,1232322.77,0.141476,0.0008881395348837208,1.116239,1.0,64.3783
3,1,153.55,824999.02,0.143428,0.0009572093023255813,1.140565,98.4,0.6507
4,1,154.19,621326.56,0.127514,0.0010262790697674418,0.996947,98.7,0.6484
5,1,154.84,499127.29,0.140493,0.0010953488372093022,1.110148,98.5,0.6498
6,1,155.59,417917.74,0.132713,0.0011644186046511629,1.014259,85.8,0.7455
7,1,156.26,359742.67,0.161371,0.0012334883720930235,1.251298,95.2,0.6719
8,1,156.92,316066.79,0.119755,0.001302558139534884,0.948634,98.4,0.6502
9,1,157.59,282130.05,0.14353,0.0013716279069767446,1.112259,95.7,0.6689
10,1,158.24,254963.37,0.150477,0.001440697674418605,1.194745,97.2,0.6585
11,1,158.91,232745.09,0.12879,0.0015097674418604657,0.996622,96.3,0.6645
12,1,159.56,214211.18,0.13498,0.0015788372093023262,1.051365,98.4,0.6504
13,1,160.21,198527.52,0.153886,0.0016479069767441868,1.192409,98.5,0.6498
14,1,161.04,185284.78,0.153617,0.0017169767441860473,1.242825,77.6,0.8243
15,1,161.94,173892.12,0.127258,0.001786046511627908,1.012207,70.9,0.9028
16,1,162.59,163670.16,0.122501,0.0018551162790697683,0.955309,98.3,0.6512
17,1,163.24,154650.48,0.098398,0.0019241860465116288,0.761708,98.3,0.651
18,1,163.9,146635.86,0.147,0.0019932558139534894,1.119001,97.8,0.6544
19,1,164.56,139465.9,0.157196,0.00206232558139535,1.19291,97.6,0.6556
20,1,165.21,133007.65,0.133187,0.0021313953488372103,0.987908,98.6,0.6489
21,1,165.87,127171.8,0.140778,0.0022004651162790705,1.076106,97.7,0.6551
22,1,166.52,121858.81,0.13435,0.002269534883720931,1.030208,98.8,0.6481
23,1,167.18,117016.43,0.135827,0.0023386046511627914,1.022274,96.8,0.6609
24,1,167.85,112584.87,0.139029,0.002407674418604652,1.041397,95.3,0.6716
25,1,168.69,108613.9,0.125327,0.0024767441860465127,0.922735,76.6,0.8353
26,1,169.42,104884.04,0.114147,0.002545813953488373,0.829435,87.3,0.7327
27,1,170.07,101382.76,0.135431,0.002614883720930233,0.968257,98.1,0.6526
28,1,170.72,98130.09,0.107823,0.002683953488372094,0.782859,98.4,0.6501
