step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,85.52,1378693.56,0.118257,0.0008190697674418605,0.892943,0.8,80.7464
2,1,143.99,1160580.26,0.094566,0.0008881395348837208,0.724278,1.1,58.4655
3,1,144.64,777160.32,0.127384,0.0009572093023255813,0.993654,98.7,0.6481
4,1,145.29,585455.26,0.096678,0.0010262790697674418,0.733901,98.5,0.6495
5,1,145.94,470431.26,0.087778,0.0010953488372093022,0.666305,98.6,0.6493
6,1,146.59,393747.08,0.109218,0.0011644186046511629,0.817654,98.6,0.649
7,1,147.24,338979.01,0.077959,0.0012334883720930235,0.582912,98.2,0.6518
8,1,147.9,297911.01,0.090482,0.001302558139534884,0.68652,97.6,0.6559
9,1,148.57,265989.94,0.125404,0.0013716279069767446,0.933404,95.9,0.6675
10,1,149.22,240424.95,0.096719,0.001440697674418605,0.72482,98.5,0.65
11,1,149.87,219509.44,0.088498,0.0015097674418604657,0.647782,98.3,0.6512
12,1,150.53,202084.66,0.117152,0.0015788372093023262,0.878607,97.7,0.6548
13,1,151.18,187334.46,0.081237,0.0016479069767441868,0.606342,98.5,0.6499
14,1,152.0,174884.07,0.029613,0.0017169767441860473,0.223096,78.3,0.8174
15,1,152.97,164256.08,0.039309,0.001786046511627908,0.287191,66.1,0.9686
16,1,153.62,154638.0,0.066395,0.0018551162790697683,0.499295,98.1,0.6522
17,1,154.27,146150.0,0.039033,0.0019241860465116288,0.294166,98.3,0.6508
18,1,154.93,138612.63,0.099979,0.0019932558139534894,0.72021,97.1,0.6591
19,1,155.58,131861.22,0.105963,0.00206232558139535,0.759172,98.4,0.6506
20,1,156.24,125786.63,0.097547,0.0021313953488372103,0.677613,98.1,0.6526
21,1,156.89,120292.22,0.07732,0.0022004651162790705,0.549022,98.3,0.6514
22,1,157.55,115295.17,0.088107,0.002269534883720931,0.634191,98.1,0.6521
23,1,158.2,110731.98,0.138201,0.0023386046511627914,0.982639,98.3,0.6514
24,1,158.85,106549.58,0.11128,0.002407674418604652,0.782968,98.1,0.6521
25,1,159.51,102703.17,0.090977,0.0024767441860465127,0.633879,97.8,0.6547
26,1,160.17,99154.59,0.106082,0.002545813953488373,0.726692,97.4,0.6573
27,1,160.82,95864.86,0.0874,0.002614883720930233,0.594973,98.3,0.6511
28,1,161.48,92818.14,0.076754,0.002683953488372094,0.516636,96.2,0.6652
29,1,162.14,89975.09,0.047415,0.002753023255813954,0.32092,97.9,0.6534
30,1,162.8,87324.02,0.091256,0.0028220930232558147,0.599031,97.2,0.6583
31,1,163.45,84840.74,0.102228,0.0028911627906976754,0.676187,98.2,0.6519
32,1,164.1,82512.36,0.084274,0.002960232558139536,0.554773,98.2,0.6518
33,1,164.75,80324.27,0.057736,0.0030293023255813967,0.369739,98.5,0.6499
