step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,97.73,1575559.0,0.113081,0.0008190697674418605,0.883308,0.7,90.5358
2,1,160.09,1290307.7,0.069275,0.0008881395348837208,0.549367,1.0,62.349
3,1,160.75,863719.65,0.113599,0.0009572093023255813,0.895874,96.5,0.6631
4,1,161.4,650376.22,0.07161,0.0010262790697674418,0.56973,98.3,0.6509
5,1,162.05,522366.93,0.079045,0.0010953488372093022,0.626999,98.5,0.65
6,1,162.71,437026.86,0.056084,0.0011644186046511629,0.440749,98.5,0.65
7,1,163.36,376071.29,0.072986,0.0012334883720930235,0.556919,98.3,0.6508
8,1,164.01,330352.74,0.055351,0.001302558139534884,0.439637,98.5,0.6501
9,1,164.66,294795.69,0.064225,0.0013716279069767446,0.483528,98.3,0.6509
10,1,165.31,266349.23,0.093923,0.001440697674418605,0.719797,98.4,0.6505
11,1,165.98,243100.23,0.111393,0.0015097674418604657,0.842371,95.8,0.6679
12,1,166.63,223703.2,0.122452,0.0015788372093023262,0.928918,98.3,0.651
13,1,167.29,207296.22,0.138961,0.0016479069767441868,1.038846,97.6,0.656
14,1,168.11,193417.17,0.063988,0.0017169767441860473,0.512146,78.4,0.816
15,1,169.01,181485.66,0.094235,0.001786046511627908,0.712761,70.6,0.9064
16,1,169.66,170787.7,0.071222,0.0018551162790697683,0.539323,98.4,0.6502
17,1,170.32,161350.95,0.077739,0.0019241860465116288,0.584538,98.0,0.6531
18,1,170.98,152974.08,0.102386,0.0019932558139534894,0.745542,96.1,0.6657
19,1,171.64,145467.29,0.080375,0.00206232558139535,0.585293,98.1,0.6523
20,1,172.29,138710.08,0.108523,0.0021313953488372103,0.763616,98.4,0.6507
21,1,172.94,132598.56,0.101264,0.0022004651162790705,0.733536,98.4,0.6502
22,1,173.6,127040.57,0.07805,0.002269534883720931,0.561365,98.3,0.651
23,1,174.25,121970.29,0.105308,0.0023386046511627914,0.747229,97.4,0.6573
24,1,174.91,117317.91,0.096031,0.002407674418604652,0.688724,98.4,0.6507
25,1,175.56,113038.32,0.094737,0.0024767441860465127,0.671985,98.3,0.6512
26,1,176.21,109087.47,0.080604,0.002545813953488373,0.555808,98.3,0.6509
27,1,176.87,105432.56,0.077023,0.002614883720930233,0.540267,97.5,0.6565
28,1,177.53,102039.3,0.082104,0.002683953488372094,0.565177,97.3,0.6578
29,1,178.18,98876.37,0.087474,0.002753023255813954,0.604199,98.3,0.6511
30,1,178.83,95924.26,0.056501,0.0028220930232558147,0.377049,98.3,0.6512
31,1,179.48,93162.83,0.115242,0.0028911627906976754,0.769906,98.2,0.6518
32,1,180.14,90574.68,0.0975,0.002960232558139536,0.65872,98.0,0.6532
33,1,180.79,88142.55,0.08935,0.0030293023255813967,0.593035,98.2,0.6514
34,1,181.44,85854.35,0.114698,0.0030983720930232573,0.732465,97.9,0.6534
35,1,182.09,83696.06,0.109211,0.0031674418604651176,0.703298,98.2,0.6516
36,1,182.76,81663.3,0.095454,0.0032365116279069782,0.594645,96.3,0.6644
37,1,183.41,79734.67,0.11746,0.003305581395348839,0.726672,98.3,0.6511
38,1,184.07,77908.01,0.108642,0.0033746511627906995,0.662329,98.1,0.6525
39,1,184.72,76176.36,0.108996,0.0034437209302325598,0.673818,97.6,0.6556
40,1,185.37,74528.92,0.101859,0.00351279069767442,0.614706,98.5,0.6498
41,1,186.03,72964.53,0.089966,0.00358186046511628,0.540738,98.0,0.6529
42,1,186.69,71474.2,0.057252,0.003650930232558141,0.33663,97.6,0.6558
43,1,187.35,70054.86,0.050243,0.003720000000000001,0.289091,96.9,0.6602
44,1,188.01,68698.96,0.08289,0.0037890697674418613,0.48784,97.4,0.6574
45,1,188.66,67402.25,0.111222,0.003858139534883722,0.620393,97.8,0.6545
46,1,189.32,66164.63,0.145454,0.003927209302325582,0.811689,96.6,0.6623
47,1,189.98,64976.16,0.083812,0.003996279069767442,0.451209,98.1,0.6522
48,1,190.63,63837.31,0.135259,0.004065348837209303,0.701089,98.1,0.6526
49,1,191.28,62744.42,0.090893,0.004134418604651163,0.465075,98.3,0.6509
50,1,191.93,61695.36,0.113777,0.004203488372093024,0.583042,98.3,0.6512
51,1,192.59,60689.59,0.090621,0.004272558139534885,0.4477,97.2,0.6583
52,1,193.25,59720.46,0.120829,0.004341627906976745,0.596836,98.2,0.6518
53,1,193.9,58789.04,0.108563,0.004410697674418605,0.515283,97.6,0.6556
54,1,194.55,57890.85,0.100439,0.004479767441860466,0.488461,98.2,0.6517
55,1,195.21,57026.49,0.07658,0.004548837209302326,0.348687,97.6,0.6558
56,1,195.87,56193.02,0.086313,0.004617906976744187,0.379412,97.7,0.6553
57,1,196.53,55389.74,0.109042,0.004686976744186047,0.49021,97.1,0.6591
58,1,197.18,54613.12,0.127758,0.0047560465116279075,0.549359,97.7,0.6553
59,1,197.84,53863.96,0.102308,0.004825116279069768,0.425486,97.0,0.6598
60,1,198.5,53138.55,0.112313,0.004894186046511629,0.475839,97.7,0.6552
61,1,199.16,52437.61,0.110988,0.0049632558139534886,0.463755,97.9,0.6536
62,1,199.81,51758.43,0.105111,0.005032325581395349,0.456079,97.8,0.6546
63,1,200.47,51100.51,0.117661,0.00510139534883721,0.454413,97.9,0.6537
64,1,201.13,50464.0,0.072081,0.0051704651162790705,0.283859,97.5,0.6567
65,1,201.78,49846.57,0.089934,0.005239534883720931,0.360766,97.7,0.6549
66,1,202.44,49247.85,0.107365,0.005308604651162792,0.388204,97.7,0.6551
67,1,203.1,48667.18,0.140553,0.005377674418604652,0.508057,97.6,0.6558
68,1,203.75,48103.25,0.098989,0.005446744186046511,0.348768,97.8,0.6545
69,1,204.41,47557.43,0.114779,0.005515813953488372,0.389096,96.6,0.6622
70,1,205.08,47026.87,0.107399,0.005584883720930233,0.359101,96.8,0.6612
71,1,205.73,46509.37,0.055566,0.0056539534883720925,0.183437,98.0,0.6528
72,1,206.4,46009.2,0.11135,0.005723023255813952,0.366582,96.1,0.666
73,1,207.05,45519.93,0.084501,0.005792093023255813,0.266902,98.0,0.6534
74,1,207.71,45045.21,0.11695,0.005861162790697673,0.343348,97.0,0.6595
75,1,208.37,44583.51,0.102944,0.005930232558139533,0.316653,96.8,0.6611
76,1,209.03,44133.71,0.085414,0.005999302325581393,0.245932,97.0,0.6599
77,1,209.69,43694.68,0.057502,0.006068372093023254,0.156713,97.6,0.6557
78,1,210.35,43266.98,0.121279,0.006137441860465114,0.342519,97.6,0.656
79,1,211.01,42851.28,0.10624,0.006206511627906974,0.285058,96.6,0.6622
80,1,211.67,42444.72,0.122348,0.006275581395348834,0.309002,97.5,0.6561
81,1,212.33,42048.8,0.126016,0.006344651162790694,0.314028,97.6,0.6557
82,1,212.98,41661.31,0.132843,0.0064137209302325545,0.327052,98.0,0.6529
83,1,213.63,41283.0,0.131415,0.006482790697674415,0.314139,98.1,0.6524
84,1,214.29,40913.87,0.160523,0.006551860465116276,0.42379,98.0,0.6531
85,1,214.94,40553.55,0.132606,0.0066209302325581365,0.313091,97.9,0.6538
86,1,215.6,40202.03,0.117614,0.006689999999999997,0.26565,97.6,0.656
87,1,216.26,39858.39,0.048157,0.006759069767441858,0.114677,97.7,0.6551
88,1,216.91,39522.53,0.135861,0.0068281395348837185,0.299504,97.7,0.6549
89,1,217.57,39195.02,0.144397,0.006897209302325579,0.311148,97.0,0.6596
90,1,218.23,38874.62,0.158176,0.00696627906976744,0.316097,97.2,0.6587
91,1,218.89,38560.35,0.137432,0.0070353488372093004,0.268913,97.9,0.6539
92,1,219.54,38252.99,0.084773,0.007104418604651161,0.160395,97.8,0.6543
93,1,220.2,37953.34,0.17271,0.007173488372093022,0.36143,96.9,0.6608
94,1,220.86,37658.81,0.155365,0.0072425581395348815,0.298322,98.0,0.6534
95,1,221.53,37372.69,0.114408,0.007311627906976742,0.202374,96.0,0.6664
96,1,222.19,37092.45,0.07209,0.007380697674418603,0.156296,96.1,0.6662
97,1,222.85,36816.11,0.132602,0.007449767441860464,0.240568,97.7,0.6549
98,1,223.51,36545.62,0.162881,0.007518837209302325,0.281156,97.5,0.6564
99,1,224.17,36281.69,0.125559,0.007587906976744186,0.221198,96.5,0.6631
100,1,224.83,36021.51,0.169492,0.0076569767441860455,0.297674,97.9,0.6536
101,1,225.49,35768.19,0.126143,0.007726046511627906,0.193803,97.0,0.6601
102,1,226.14,35517.96,0.11632,0.007795116279069766,0.183232,98.0,0.6528
103,1,226.8,35272.59,0.10891,0.007864186046511627,0.172453,98.0,0.653
104,1,227.45,35032.0,0.125436,0.007933255813953488,0.199016,98.0,0.6528
105,1,228.11,34796.2,0.09726,0.008002325581395348,0.153945,97.7,0.6549
106,1,228.76,34565.07,0.137112,0.008071395348837208,0.189494,97.5,0.6563
107,1,229.43,34339.26,0.151479,0.00814046511627907,0.227457,96.5,0.6629
108,1,230.09,34116.54,0.098284,0.00820953488372093,0.15444,97.6,0.6555
109,1,230.75,33898.81,0.096822,0.008278604651162792,0.153485,96.7,0.662
110,1,231.4,33683.98,0.153825,0.008347674418604652,0.239965,97.7,0.6549
111,1,232.06,33473.02,0.101649,0.008416744186046514,0.135184,97.7,0.6549
112,1,232.71,33265.69,0.160492,0.008485813953488375,0.270294,97.9,0.6538
113,1,233.39,33065.21,0.113986,0.008554883720930235,0.14032,94.6,0.6764
114,1,234.05,32865.49,0.12244,0.008623953488372096,0.160905,97.4,0.6571
115,1,234.71,32669.01,0.132069,0.008693023255813956,0.161273,97.7,0.6553
116,1,235.38,32478.1,0.123579,0.008762093023255818,0.13792,95.3,0.6714
117,1,236.03,32287.95,0.149849,0.008831162790697678,0.197709,98.0,0.6531
118,1,236.69,32101.17,0.172548,0.008900232558139537,0.221681,97.8,0.6543
119,1,237.35,31918.43,0.12955,0.008969302325581397,0.167677,96.8,0.6609
120,1,238.01,31738.76,0.124164,0.009038372093023259,0.134681,96.8,0.6614
121,1,238.67,31561.73,0.175044,0.00910744186046512,0.199769,97.9,0.6536
122,1,239.33,31387.03,0.131008,0.009176511627906982,0.15418,97.7,0.6549
123,1,239.98,31215.35,0.143253,0.009245581395348843,0.176708,97.5,0.6562
124,1,240.64,31046.42,0.123771,0.009314651162790705,0.138988,97.6,0.6557
125,1,241.3,30880.16,0.102849,0.009383720930232566,0.103593,97.6,0.6557
126,1,241.95,30716.54,0.101586,0.009452790697674428,0.138566,97.6,0.656
127,1,242.61,30555.17,0.101266,0.00952186046511629,0.103016,98.0,0.6532
128,1,243.26,30396.48,0.092866,0.00959093023255815,0.100325,97.8,0.6542
129,1,243.92,30240.21,0.15472,0.009660000000000012,0.155474,97.9,0.6535
130,1,244.57,30086.39,0.12204,0.009729069767441874,0.178676,97.7,0.6548
131,1,245.23,29935.44,0.147841,0.009798139534883735,0.153031,97.1,0.6592
132,1,245.9,29787.03,0.093135,0.009867209302325595,0.095124,96.8,0.6614
133,1,246.56,29640.56,0.123304,0.009936279069767457,0.132648,97.1,0.6588
134,1,247.21,29495.68,0.15637,0.010005348837209318,0.149385,97.8,0.6542
135,1,247.87,29352.93,0.117003,0.010074418604651178,0.119292,97.9,0.654
136,1,248.54,29214.02,0.124395,0.010143488372093038,0.127401,95.6,0.6692
137,1,249.19,29075.62,0.146821,0.0102125581395349,0.143472,97.6,0.656
138,1,249.85,28939.22,0.133687,0.01028162790697676,0.145085,97.6,0.6559
139,1,250.51,28804.72,0.1924,0.010350697674418622,0.169894,97.7,0.6553
140,1,251.16,28672.04,0.068002,0.010419767441860482,0.075036,97.7,0.6549
141,1,251.82,28541.44,0.138288,0.010488837209302342,0.121048,97.9,0.6538
142,1,252.48,28412.65,0.170221,0.010557906976744203,0.165117,97.5,0.6564
143,1,253.13,28285.61,0.124109,0.010626976744186065,0.125858,97.6,0.6559
144,1,253.79,28160.64,0.145719,0.010696046511627925,0.145321,97.1,0.6588
145,1,254.45,28037.25,0.167598,0.010765116279069785,0.195969,97.3,0.6577
146,1,255.11,27915.18,0.092919,0.010834186046511646,0.080695,97.9,0.6539
147,1,255.76,27794.76,0.173231,0.010903255813953506,0.179267,97.8,0.6545
148,1,256.42,27676.55,0.116044,0.010972325581395367,0.106501,97.0,0.66
149,1,257.08,27559.43,0.152301,0.011041395348837227,0.150279,97.7,0.6554
150,1,257.74,27443.73,0.134498,0.011110465116279087,0.17513,97.8,0.6541
