step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,148.74,2397813.72,0.141197,0.0008190697674418605,1.076071,0.5,137.5001
2,1,257.56,2075945.37,0.124904,0.0008881395348837208,0.965448,0.6,108.8139
3,1,258.23,1387470.39,0.152019,0.0009572093023255813,1.192953,95.9,0.667
4,1,258.9,1043243.82,0.136181,0.0010262790697674418,1.063539,95.5,0.67
5,1,259.57,836697.3,0.161003,0.0010953488372093022,1.260124,96.0,0.6669
6,1,260.23,698989.88,0.132924,0.0011644186046511629,1.005009,96.4,0.6636
7,1,260.9,600625.15,0.160201,0.0012334883720930235,1.228525,96.6,0.6626
8,1,261.56,526854.14,0.122137,0.001302558139534884,0.952698,96.4,0.6636
9,1,262.24,469500.14,0.159943,0.0013716279069767446,1.221915,94.5,0.6772
10,1,262.91,423604.94,0.133681,0.001440697674418605,1.041571,95.5,0.6699
11,1,263.58,386055.0,0.15142,0.0015097674418604657,1.161947,95.5,0.6703
12,1,264.25,354761.43,0.148918,0.0015788372093023262,1.146206,95.7,0.6687
13,1,264.93,328290.84,0.119385,0.0016479069767441868,0.909927,94.7,0.6759
14,1,266.0,306054.28,0.135894,0.0017169767441860473,1.075281,59.9,1.0692
15,1,266.94,286639.65,0.122952,0.001786046511627908,0.950955,68.4,0.9363
16,1,267.61,269387.89,0.142424,0.0018551162790697683,1.10467,94.9,0.6744
17,1,268.29,254163.57,0.136475,0.0019241860465116288,1.044181,95.2,0.672
18,1,268.96,240629.18,0.114962,0.0019932558139534894,0.850368,95.5,0.67
19,1,269.62,228508.62,0.135598,0.00206232558139535,1.023325,97.3,0.6577
20,1,270.29,217609.95,0.154796,0.0021313953488372103,1.154399,95.6,0.6697
21,1,270.97,207753.35,0.130702,0.0022004651162790705,0.985592,95.5,0.6698
22,1,271.64,198794.4,0.107859,0.002269534883720931,0.806085,94.5,0.6771
23,1,272.31,190605.6,0.118964,0.0023386046511627914,0.877878,96.3,0.6647
24,1,272.98,183102.26,0.133964,0.002407674418604652,0.993657,95.6,0.6695
25,1,273.65,176195.9,0.141899,0.0024767441860465127,1.048326,96.3,0.6644
26,1,274.31,169819.55,0.143017,0.002545813953488373,1.042232,96.6,0.6627
27,1,274.98,163917.16,0.136019,0.002614883720930233,0.974285,96.2,0.6655
28,1,275.67,158449.71,0.124143,0.002683953488372094,0.897116,92.9,0.6888
29,1,276.34,153349.15,0.099622,0.002753023255813954,0.706468,95.5,0.6702
30,1,277.0,148585.06,0.117943,0.0028220930232558147,0.822266,96.4,0.6636
31,1,277.67,144127.66,0.140342,0.0028911627906976754,0.976966,96.6,0.6627
32,1,278.33,139948.62,0.065693,0.002960232558139536,0.455823,96.9,0.6605
33,1,278.99,136021.53,0.135262,0.0030293023255813967,0.946554,97.0,0.6595
34,1,279.67,132332.28,0.106348,0.0030983720930232573,0.692437,94.9,0.6743
35,1,280.34,128853.96,0.10588,0.0031674418604651176,0.69841,94.9,0.6744
36,1,281.02,125567.48,0.133387,0.0032365116279069782,0.847847,95.3,0.6714
37,1,281.69,122459.48,0.129615,0.003305581395348839,0.824572,95.0,0.6734
38,1,282.38,119520.34,0.13906,0.0033746511627906995,0.866948,93.3,0.6857
39,1,283.05,116724.86,0.132048,0.0034437209302325598,0.821031,95.7,0.6687
40,1,283.74,114077.02,0.125103,0.00351279069767442,0.763978,92.9,0.6886
41,1,284.44,111561.31,0.119586,0.00358186046511628,0.739154,92.9,0.6887
42,1,285.12,109158.97,0.129211,0.003650930232558141,0.751704,94.2,0.6796
43,1,285.78,106861.0,0.145418,0.003720000000000001,0.86551,97.0,0.6599
44,1,286.46,104674.68,0.121754,0.0037890697674418613,0.706994,94.2,0.6797
45,1,287.13,102582.86,0.118276,0.003858139534883722,0.640715,95.2,0.6722
46,1,287.82,100586.02,0.12297,0.003927209302325582,0.661396,93.6,0.684
47,1,288.48,98666.52,0.133841,0.003996279069767442,0.716133,96.7,0.6617
48,1,289.15,96827.87,0.138778,0.004065348837209303,0.690125,96.3,0.6644
49,1,289.81,95064.73,0.133084,0.004134418604651163,0.650593,96.2,0.6655
50,1,290.5,93377.87,0.097155,0.004203488372093024,0.472969,93.6,0.684
51,1,291.18,91754.66,0.11536,0.004272558139534885,0.540917,94.7,0.6761
52,1,291.84,90190.9,0.143936,0.004341627906976745,0.669956,96.0,0.6666
53,1,292.51,88686.42,0.14102,0.004410697674418605,0.625605,95.9,0.6675
54,1,293.2,87241.82,0.126088,0.004479767441860466,0.564979,93.9,0.6817
55,1,293.87,85846.39,0.143011,0.004548837209302326,0.607406,95.5,0.6701
56,1,294.56,84507.54,0.143855,0.004617906976744187,0.585776,92.3,0.6932
57,1,295.24,83212.15,0.128429,0.004686976744186047,0.505433,93.9,0.6813
58,1,295.91,81957.59,0.109801,0.0047560465116279075,0.415163,95.9,0.6674
59,1,296.58,80745.87,0.136194,0.004825116279069768,0.499596,95.7,0.6689
60,1,297.25,79575.01,0.138793,0.004894186046511629,0.533092,95.5,0.6705
61,1,297.92,78442.07,0.134425,0.0049632558139534886,0.486166,96.5,0.6634
62,1,298.6,77346.75,0.123933,0.005032325581395349,0.46181,95.1,0.6732
63,1,299.27,76284.08,0.146228,0.00510139534883721,0.470165,96.3,0.6647
64,1,299.93,75253.18,0.138484,0.0051704651162790705,0.475887,97.1,0.6592
65,1,300.59,74254.17,0.134382,0.005239534883720931,0.4615,96.9,0.6602
66,1,301.25,73285.66,0.127491,0.005308604651162792,0.384981,96.8,0.661
67,1,301.92,72348.66,0.145555,0.005377674418604652,0.420655,95.3,0.6719
68,1,302.6,71441.27,0.154025,0.005446744186046511,0.434411,94.0,0.6807
69,1,303.27,70555.93,0.14948,0.005515813953488372,0.392037,96.6,0.6624
70,1,303.93,69694.78,0.150051,0.005584883720930233,0.38734,97.3,0.6579
71,1,304.6,68859.99,0.16384,0.0056539534883720925,0.449599,95.9,0.6672
72,1,305.27,68048.81,0.166336,0.005723023255813952,0.479319,95.7,0.6691
73,1,305.94,67259.81,0.13294,0.005792093023255813,0.314929,95.6,0.6692
74,1,306.61,66494.01,0.139911,0.005861162790697673,0.307345,94.4,0.6779
75,1,307.28,65745.56,0.148758,0.005930232558139533,0.346632,96.5,0.6635
76,1,307.96,65019.34,0.164737,0.005999302325581393,0.348844,94.8,0.6752
77,1,308.62,64308.77,0.156568,0.006068372093023254,0.338782,97.0,0.6601
78,1,309.28,63617.04,0.168424,0.006137441860465114,0.335317,96.5,0.6634
79,1,309.95,62942.55,0.168562,0.006206511627906974,0.331016,96.7,0.6621
80,1,310.61,62285.66,0.158872,0.006275581395348834,0.293531,96.1,0.666
