step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,148.39,2392258.99,0.165977,0.0008190697674418605,1.276167,0.4,142.755
2,1,264.08,2128472.57,0.165476,0.0008881395348837208,1.309047,0.6,115.676
3,1,264.74,1422440.12,0.165409,0.0009572093023255813,1.31563,97.2,0.6587
4,1,265.41,1069470.9,0.148333,0.0010262790697674418,1.174959,95.4,0.6705
5,1,266.08,857683.36,0.162964,0.0010953488372093022,1.288589,95.7,0.6688
6,1,266.75,716489.1,0.157545,0.0011644186046511629,1.202711,95.9,0.6677
7,1,267.43,615668.03,0.166299,0.0012334883720930235,1.288892,93.9,0.6816
8,1,268.11,540044.61,0.168151,0.001302558139534884,1.349568,94.4,0.678
9,1,268.78,481212.32,0.15479,0.0013716279069767446,1.19231,95.5,0.6705
10,1,269.51,434240.35,0.152353,0.001440697674418605,1.207704,87.8,0.7287
11,1,270.21,395754.57,0.157958,0.0015097674418604657,1.224185,92.5,0.6916
12,1,270.9,363682.05,0.15231,0.0015788372093023262,1.190022,92.6,0.6911
13,1,271.6,336555.79,0.152272,0.0016479069767441868,1.189173,91.3,0.7007
14,1,272.6,313643.82,0.148893,0.0017169767441860473,1.221972,64.3,0.9956
15,1,273.84,294045.2,0.149934,0.001786046511627908,1.200254,51.8,1.2366
16,1,274.5,276320.62,0.155857,0.0018551162790697683,1.243201,96.3,0.6647
17,1,275.17,260679.26,0.14996,0.0019241860465116288,1.175421,96.6,0.6626
18,1,275.83,246775.3,0.157068,0.0019932558139534894,1.220186,96.7,0.6622
19,1,276.49,234335.39,0.152558,0.00206232558139535,1.178234,96.5,0.6629
20,1,277.16,223145.51,0.15042,0.0021313953488372103,1.133749,95.4,0.6705
21,1,277.84,213022.48,0.150914,0.0022004651162790705,1.166491,96.0,0.6665
22,1,278.52,203827.58,0.141225,0.002269534883720931,1.100194,94.1,0.6803
23,1,279.19,195419.95,0.143599,0.0023386046511627914,1.09304,96.2,0.6653
24,1,279.86,187713.22,0.146333,0.002407674418604652,1.109688,96.1,0.6659
25,1,280.53,180629.69,0.145928,0.0024767441860465127,1.100404,94.6,0.6763
26,1,281.2,174086.95,0.143923,0.002545813953488373,1.069201,95.6,0.6694
27,1,281.9,168045.75,0.133368,0.002614883720930233,0.959131,91.7,0.6981
28,1,282.57,162415.79,0.142209,0.002683953488372094,1.065246,96.6,0.6627
29,1,283.23,157175.25,0.140923,0.002753023255813954,1.042281,96.3,0.6648
30,1,283.9,152281.39,0.143115,0.0028220930232558147,1.022474,96.9,0.6603
31,1,284.56,147706.87,0.135811,0.0028911627906976754,0.946518,95.9,0.6674
32,1,285.24,143419.99,0.125975,0.002960232558139536,0.890098,95.5,0.6705
33,1,285.91,139394.94,0.136894,0.0030293023255813967,0.969245,94.9,0.6747
34,1,286.61,135615.79,0.136763,0.0030983720930232573,0.907711,92.2,0.6942
35,1,287.28,132043.82,0.133259,0.0031674418604651176,0.898725,94.8,0.6753
36,1,287.97,128674.8,0.139433,0.0032365116279069782,0.881334,93.4,0.6854
37,1,288.63,125475.93,0.139547,0.003305581395348839,0.905209,97.2,0.6581
38,1,289.3,122449.37,0.13169,0.0033746511627906995,0.823669,95.9,0.6675
39,1,289.98,119582.85,0.136103,0.0034437209302325598,0.833502,94.3,0.679
40,1,290.64,116851.88,0.137243,0.00351279069767442,0.833011,96.9,0.6603
41,1,291.31,114258.46,0.132761,0.00358186046511628,0.822165,96.2,0.6655
42,1,291.98,111785.09,0.137764,0.003650930232558141,0.796471,96.7,0.6622
43,1,292.64,109427.69,0.138046,0.003720000000000001,0.790821,96.3,0.6647
44,1,293.33,107184.64,0.137194,0.0037890697674418613,0.791938,93.5,0.6846
45,1,294.08,105064.27,0.138196,0.003858139534883722,0.751209,85.5,0.749
46,1,294.76,103011.11,0.135402,0.003927209302325582,0.705816,94.5,0.6775
47,1,295.43,101041.72,0.139078,0.003996279069767442,0.717917,95.9,0.6672
48,1,296.12,99162.82,0.136141,0.004065348837209303,0.638087,92.5,0.6917
49,1,296.89,97385.72,0.137727,0.004134418604651163,0.638739,83.2,0.769
50,1,297.59,95657.79,0.137748,0.004203488372093024,0.638895,91.3,0.7008
51,1,298.26,93985.68,0.132679,0.004272558139534885,0.596362,96.5,0.6632
52,1,298.97,92392.16,0.138778,0.004341627906976745,0.602709,90.3,0.709
53,1,299.65,90851.18,0.146326,0.004410697674418605,0.646869,93.5,0.6846
54,1,300.31,89359.87,0.13839,0.004479767441860466,0.572938,97.0,0.6596
55,1,300.99,87926.09,0.143058,0.004548837209302326,0.550107,95.4,0.671
56,1,301.66,86543.08,0.141522,0.004617906976744187,0.528739,95.6,0.6693
57,1,302.34,85213.33,0.147942,0.004686976744186047,0.553607,93.3,0.6863
58,1,303.01,83922.79,0.146767,0.0047560465116279075,0.515535,96.6,0.6627
