step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,103.37,2777370.65,0.772657,1.0368440640119094e-06,8.249797,0.6,99.3265
2,1,103.47,1389960.99,0.705505,1.0736881280238187e-06,3.623335,725.3,0.0882
3,1,103.66,928339.13,0.756743,1.1105321920357277e-06,7.736653,748.2,0.0855
4,1,103.86,697551.6,0.820475,1.147376256047637e-06,10.700004,742.7,0.0862
5,1,104.05,559074.19,0.755949,1.1842203200595463e-06,5.123101,756.1,0.0846
6,1,104.25,466767.38,0.761058,1.2210643840714553e-06,7.709864,743.5,0.0861
7,1,104.45,400818.23,0.734992,1.2579084480833646e-06,5.290572,756.3,0.0846
8,1,104.65,351376.6,0.732053,1.2947525120952738e-06,4.506027,725.9,0.0882
9,1,104.84,312901.89,0.719692,1.331596576107183e-06,5.609079,750.6,0.0853
10,1,105.04,282136.85,0.726448,1.3684406401190921e-06,5.4989,721.5,0.0887
11,1,105.23,256946.1,0.686949,1.4052847041310014e-06,2.837774,765.1,0.0836
12,1,105.43,235967.92,0.696763,1.4421287681429106e-06,3.579853,751.1,0.0852
13,1,105.62,218212.85,0.719017,1.4789728321548197e-06,4.682892,755.8,0.0847
14,1,105.82,202996.07,0.692176,1.5158168961667287e-06,4.926974,757.5,0.0845
15,1,106.02,189808.12,0.70243,1.552660960178638e-06,4.271194,773.0,0.0828
16,1,106.22,178270.88,0.709553,1.589505024190547e-06,3.583069,756.3,0.0846
17,1,106.41,168085.37,0.698034,1.6263490882024563e-06,3.558042,777.0,0.0824
18,1,106.61,159035.3,0.704551,1.6631931522143654e-06,2.691195,778.3,0.0822
19,1,106.81,150941.78,0.70595,1.7000372162262744e-06,3.221242,741.5,0.0863
20,1,107.0,143654.14,0.704656,1.7368812802381837e-06,2.597123,731.9,0.0874
21,1,107.2,137061.4,0.709109,1.7737253442500927e-06,2.763335,770.8,0.083
22,1,107.4,131066.04,0.743546,1.8105694082620018e-06,6.754933,767.2,0.0834
23,1,107.6,125592.35,0.691938,1.8474134722739108e-06,2.110034,764.4,0.0837
24,1,107.79,120576.32,0.665517,1.8842575362858199e-06,3.147242,745.7,0.0858
25,1,107.99,115955.83,0.684235,1.921101600297729e-06,2.561302,770.7,0.083
26,1,108.18,111695.64,0.685909,1.957945664309638e-06,2.631078,758.7,0.0844
27,1,108.38,107749.0,0.745388,1.994789728321547e-06,6.488944,763.5,0.0838
28,1,108.58,104085.49,0.670323,2.0316337923334565e-06,2.694072,763.2,0.0839
29,1,108.77,100675.01,0.705615,2.0684778563453657e-06,2.314232,756.9,0.0846
