step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,122.88,3301624.11,0.678878,1.0368440640119094e-06,3.609009,0.6,115.926
2,1,122.97,1652042.32,0.687929,1.0736881280238187e-06,3.949133,737.3,0.0868
3,1,123.17,1103069.44,0.671939,1.1105321920357277e-06,3.771862,742.6,0.0862
4,1,123.37,828600.13,0.68331,1.147376256047637e-06,3.694387,733.3,0.0873
5,1,123.56,663913.64,0.65131,1.1842203200595463e-06,3.722448,731.1,0.0875
6,1,123.76,554112.29,0.657216,1.2210643840714553e-06,3.757288,751.2,0.0852
7,1,123.96,475706.91,0.673213,1.2579084480833646e-06,3.706468,719.7,0.0889
8,1,124.16,416891.3,0.663889,1.2947525120952738e-06,3.901037,710.8,0.09
9,1,124.35,371130.92,0.649592,1.331596576107183e-06,3.595987,737.2,0.0868
10,1,124.55,334537.61,0.662471,1.3684406401190921e-06,3.345404,726.6,0.0881
11,1,124.75,304607.0,0.632791,1.4052847041310014e-06,3.219321,700.4,0.0914
12,1,124.94,279639.4,0.652376,1.4421287681429106e-06,3.217752,752.6,0.085
13,1,125.14,258522.57,0.651866,1.4789728321548197e-06,3.094236,763.4,0.0838
14,1,125.33,240420.31,0.631711,1.5158168961667287e-06,2.488043,781.8,0.0819
15,1,125.53,224744.95,0.628991,1.552660960178638e-06,2.997929,729.8,0.0877
16,1,125.73,211015.99,0.619785,1.589505024190547e-06,2.330996,759.1,0.0843
17,1,125.93,198910.03,0.612686,1.6263490882024563e-06,2.412724,736.4,0.0869
18,1,126.12,188144.72,0.60127,1.6631931522143654e-06,2.249072,743.8,0.086
19,1,126.32,178513.48,0.582394,1.7000372162262744e-06,2.482207,749.7,0.0854
20,1,126.51,169846.14,0.62982,1.7368812802381837e-06,2.063658,742.5,0.0862
21,1,126.72,162011.43,0.594244,1.7737253442500927e-06,2.295903,757.7,0.0845
22,1,126.93,154894.8,0.601486,1.8105694082620018e-06,2.181,671.7,0.0953
23,1,127.11,148371.54,0.593213,1.8474134722739108e-06,2.288036,757.4,0.0845
24,1,127.31,142406.98,0.614178,1.8842575362858199e-06,1.942835,736.5,0.0869
25,1,127.51,136916.86,0.588919,1.921101600297729e-06,1.782302,740.3,0.0865
26,1,127.71,131855.5,0.569407,1.957945664309638e-06,2.244525,694.0,0.0922
27,1,127.9,127157.63,0.572301,1.994789728321547e-06,2.065723,744.5,0.086
28,1,128.1,122798.68,0.566788,2.0316337923334565e-06,2.22174,756.5,0.0846
29,1,128.3,118743.69,0.579423,2.0684778563453657e-06,1.744925,742.1,0.0862
30,1,128.5,114966.03,0.558559,2.105321920357275e-06,1.926883,668.9,0.0957
31,1,128.69,111417.32,0.583066,2.1421659843691842e-06,1.485299,734.0,0.0872
32,1,128.89,108097.73,0.548468,2.1790100483810935e-06,1.786836,741.8,0.0863
33,1,129.09,104977.64,0.553936,2.2158541123930023e-06,1.220551,757.8,0.0845
34,1,129.28,102043.36,0.539671,2.252698176404911e-06,1.478798,736.7,0.0869
35,1,129.48,99273.88,0.533267,2.2895422404168204e-06,1.596294,748.8,0.0855
36,1,129.68,96659.39,0.534163,2.3263863044287297e-06,1.420859,737.9,0.0867
37,1,129.88,94187.97,0.552416,2.363230368440639e-06,1.553869,747.9,0.0856
38,1,130.07,91845.42,0.564484,2.400074432452548e-06,1.737927,738.9,0.0866
39,1,130.27,89622.15,0.572062,2.436918496464457e-06,1.154559,741.3,0.0863
40,1,130.47,87509.51,0.578036,2.4737625604763663e-06,1.056141,755.1,0.0848
41,1,130.67,85503.44,0.547118,2.5106066244882756e-06,1.200537,760.4,0.0842
42,1,130.86,83591.12,0.579344,2.547450688500185e-06,1.332849,737.9,0.0867
43,1,131.06,81767.73,0.54431,2.584294752512094e-06,1.230534,729.5,0.0877
44,1,131.26,80025.49,0.540097,2.6211388165240034e-06,1.951938,741.5,0.0863
45,1,131.46,78361.99,0.543478,2.6579828805359126e-06,1.178599,737.5,0.0868
46,1,131.65,76770.74,0.530879,2.694826944547822e-06,1.559638,728.8,0.0878
47,1,131.85,75245.82,0.518482,2.731671008559731e-06,1.824188,759.1,0.0843
48,1,132.05,73788.24,0.546795,2.7685150725716404e-06,1.29177,716.1,0.0894
49,1,132.24,72386.52,0.518208,2.8053591365835492e-06,1.850415,743.4,0.0861
50,1,132.44,71041.03,0.53088,2.8422032005954585e-06,1.277729,752.0,0.0851
51,1,132.64,69748.28,0.530579,2.8790472646073677e-06,1.123924,762.3,0.084
52,1,132.83,68506.24,0.58635,2.915891328619277e-06,1.483819,753.0,0.085
53,1,133.03,67310.98,0.573523,2.9527353926311863e-06,1.526769,744.0,0.086
54,1,133.22,66158.26,0.628737,2.9895794566430955e-06,2.402727,764.9,0.0837
55,1,133.42,65049.4,0.553511,3.0264235206550044e-06,1.175836,748.4,0.0855
56,1,133.62,63979.19,0.529281,3.0632675846669136e-06,1.072073,754.6,0.0848
57,1,133.81,62946.83,0.545262,3.1001116486788225e-06,1.310625,755.4,0.0847
58,1,134.01,61949.94,0.534018,3.1369557126907313e-06,1.289381,754.7,0.0848
59,1,134.21,60988.07,0.538269,3.1737997767026406e-06,0.849675,731.2,0.0875
60,1,134.4,60056.47,0.547803,3.21064384071455e-06,1.203465,757.0,0.0845
61,1,134.61,59159.4,0.537965,3.2474879047264586e-06,1.241622,744.8,0.0859
62,1,134.81,58292.17,0.525198,3.284331968738368e-06,1.191512,668.1,0.0958
63,1,135.01,57445.86,0.530253,3.321176032750277e-06,1.647516,721.0,0.0888
64,1,135.2,56627.5,0.532234,3.3580200967621864e-06,1.129964,738.0,0.0867
65,1,135.39,55834.7,0.565318,3.3948641607740957e-06,1.263286,747.3,0.0856
66,1,135.59,55066.83,0.579484,3.431708224786005e-06,1.350432,742.3,0.0862
67,1,135.79,54321.74,0.534588,3.468552288797914e-06,1.619257,745.4,0.0859
68,1,135.99,53598.34,0.51059,3.5053963528098235e-06,1.858409,744.8,0.0859
69,1,136.19,52899.47,0.518576,3.5422404168217327e-06,1.128121,670.3,0.0955
70,1,136.38,52212.95,0.507641,3.579084480833642e-06,1.602214,753.0,0.085
71,1,136.58,51550.6,0.539303,3.6159285448455512e-06,1.475607,736.2,0.0869
72,1,136.77,50905.83,0.511901,3.6527726088574605e-06,1.391505,744.7,0.0859
73,1,136.97,50279.09,0.597258,3.6896166728693693e-06,1.547943,739.9,0.0865
74,1,137.16,49667.57,0.558525,3.7264607368812786e-06,1.295737,775.6,0.0825
75,1,137.36,49074.01,0.479214,3.7633048008931883e-06,1.209119,762.3,0.084
76,1,137.56,48496.91,0.548815,3.800148864905097e-06,1.478119,732.4,0.0874
77,1,137.75,47933.32,0.522251,3.836992928917006e-06,2.118182,749.2,0.0854
78,1,137.96,47389.14,0.545677,3.873836992928915e-06,1.592435,648.0,0.0988
79,1,138.15,46850.27,0.512733,3.9106810569408245e-06,1.566105,744.8,0.0859
80,1,138.35,46328.28,0.552248,3.947525120952734e-06,1.528627,757.7,0.0845
81,1,138.55,45824.05,0.536053,3.984369184964643e-06,1.810831,678.4,0.0943
82,1,138.75,45325.91,0.533141,4.021213248976552e-06,1.159557,731.5,0.0875
83,1,138.95,44844.18,0.545613,4.0580573129884615e-06,1.678469,674.3,0.0949
84,1,139.14,44368.59,0.603545,4.094901377000371e-06,1.961675,743.1,0.0861
85,1,139.34,43907.4,0.529504,4.13174544101228e-06,1.007748,737.2,0.0868
86,1,139.53,43456.69,0.537969,4.168589505024189e-06,1.585153,744.7,0.0859
87,1,139.74,43018.4,0.511963,4.2054335690360985e-06,1.560693,685.6,0.0933
88,1,139.93,42586.86,0.549061,4.242277633048008e-06,1.446766,715.4,0.0895
89,1,140.13,42167.95,0.570635,4.279121697059917e-06,1.975766,669.4,0.0956
90,1,140.32,41753.88,0.566835,4.3159657610718255e-06,1.796445,748.7,0.0855
91,1,140.52,41351.73,0.539059,4.352809825083735e-06,1.434976,733.3,0.0873
92,1,140.72,40957.59,0.573765,4.389653889095644e-06,1.566428,748.9,0.0855
93,1,140.91,40572.84,0.51591,4.426497953107553e-06,1.348989,736.7,0.0869
94,1,141.11,40195.78,0.515917,4.463342017119462e-06,1.183023,738.5,0.0867
95,1,141.31,39826.67,0.48132,4.50018608113137e-06,1.245741,745.4,0.0859
96,1,141.5,39464.99,0.557006,4.537030145143279e-06,1.621325,754.1,0.0849
97,1,141.7,39111.09,0.543949,4.573874209155189e-06,1.522383,748.1,0.0855
98,1,141.9,38763.77,0.555533,4.610718273167098e-06,1.476743,771.0,0.083
99,1,142.1,38426.09,0.529905,4.647562337179007e-06,1.259991,706.4,0.0906
100,1,142.3,38093.05,0.560231,4.684406401190916e-06,1.193025,738.5,0.0867
101,1,142.5,37768.9,0.514503,4.721250465202826e-06,1.822473,716.6,0.0893
102,1,142.7,37448.46,0.544056,4.758094529214735e-06,1.949749,747.6,0.0856
103,1,142.9,37135.04,0.521465,4.794938593226644e-06,1.45308,740.8,0.0864
104,1,143.1,36828.03,0.527105,4.831782657238553e-06,1.37517,713.9,0.0896
105,1,143.29,36525.47,0.53248,4.868626721250462e-06,2.051674,738.9,0.0866
106,1,143.49,36228.9,0.562097,4.90547078526237e-06,1.135722,744.9,0.0859
107,1,143.69,35938.92,0.575168,4.9423148492742795e-06,1.774426,716.8,0.0893
108,1,143.89,35655.02,0.552813,4.979158913286189e-06,1.352131,678.7,0.0943
109,1,144.08,35372.86,0.50405,5.016002977298098e-06,1.445328,745.5,0.0859
110,1,144.28,35099.07,0.549668,5.0528470413100064e-06,1.874659,706.8,0.0905
111,1,144.47,34827.76,0.558885,5.089691105321916e-06,1.613475,747.4,0.0856
112,1,144.67,34562.58,0.574721,5.126535169333825e-06,1.257904,749.0,0.0854
113,1,144.87,34302.72,0.5181,5.163379233345734e-06,1.585649,720.3,0.0889
114,1,145.06,34045.86,0.548218,5.200223297357643e-06,1.666146,749.4,0.0854
115,1,145.27,33797.16,0.538769,5.237067361369552e-06,1.260003,667.0,0.0959
116,1,145.46,33547.81,0.52634,5.273911425381461e-06,1.027198,746.0,0.0858
117,1,145.65,33304.81,0.562684,5.31075548939337e-06,2.00616,739.4,0.0866
118,1,145.86,33067.93,0.529244,5.34759955340528e-06,1.766064,674.8,0.0948
119,1,146.06,32833.05,0.527656,5.384443617417189e-06,1.982144,677.3,0.0945
120,1,146.25,32600.64,0.535806,5.421287681429098e-06,1.370651,738.0,0.0867
121,1,146.45,32375.08,0.481522,5.4581317454410074e-06,1.390975,733.9,0.0872
122,1,146.65,32151.37,0.504343,5.494975809452916e-06,1.807695,747.5,0.0856
123,1,146.85,31933.53,0.537746,5.531819873464825e-06,2.125499,672.5,0.0952
124,1,147.04,31716.39,0.500108,5.568663937476735e-06,1.03683,712.8,0.0898
125,1,147.24,31503.08,0.568603,5.605508001488644e-06,2.0672,744.4,0.086
126,1,147.44,31294.45,0.497487,5.642352065500553e-06,2.620527,714.1,0.0896
127,1,147.64,31088.55,0.52673,5.679196129512461e-06,1.141054,711.7,0.0899
128,1,147.83,30885.53,0.582046,5.7160401935243706e-06,2.301394,724.6,0.0883
129,1,148.03,30686.55,0.569096,5.752884257536281e-06,1.834039,696.9,0.0918
130,1,148.23,30488.93,0.49406,5.78972832154819e-06,1.733057,730.0,0.0877
131,1,148.42,30295.63,0.508552,5.826572385560098e-06,1.699901,717.3,0.0892
132,1,148.62,30105.07,0.528684,5.863416449572008e-06,1.130082,708.2,0.0904
133,1,148.82,29916.67,0.505358,5.900260513583918e-06,2.728086,749.2,0.0854
134,1,149.02,29733.39,0.507115,5.937104577595827e-06,2.995713,674.3,0.0949
135,1,149.21,29549.54,0.514675,5.973948641607737e-06,1.398586,736.3,0.0869
136,1,149.41,29369.48,0.497423,6.010792705619647e-06,1.987613,750.8,0.0852
137,1,149.6,29192.36,0.563397,6.0476367696315564e-06,1.435571,747.6,0.0856
138,1,149.8,29017.59,0.515458,6.084480833643465e-06,1.814725,757.8,0.0845
139,1,150.0,28845.87,0.519044,6.121324897655374e-06,1.614063,748.8,0.0855
140,1,150.2,28678.27,0.508827,6.1581689616672825e-06,2.212794,673.4,0.095
141,1,150.4,28511.3,0.52439,6.195013025679192e-06,1.924233,727.5,0.088
142,1,150.6,28346.47,0.517179,6.231857089691101e-06,1.635926,734.9,0.0871
143,1,150.79,28183.4,0.51904,6.268701153703011e-06,3.639609,762.6,0.0839
144,1,150.99,28023.52,0.474128,6.3055452177149196e-06,1.442179,740.9,0.0864
145,1,151.19,27866.24,0.529852,6.342389281726828e-06,1.891124,713.6,0.0897
146,1,151.39,27710.23,0.536523,6.379233345738737e-06,2.469057,742.5,0.0862
147,1,151.58,27555.93,0.510168,6.4160774097506465e-06,1.251202,763.9,0.0838
148,1,151.78,27405.09,0.577728,6.452921473762555e-06,1.785351,723.9,0.0884
149,1,151.98,27255.31,0.517701,6.489765537774464e-06,1.914518,741.4,0.0863
150,1,152.18,27107.6,0.470129,6.526609601786374e-06,1.502307,742.3,0.0862
151,1,152.37,26962.26,0.543014,6.5634536657982835e-06,1.480317,725.6,0.0882
152,1,152.57,26818.05,0.526636,6.600297729810192e-06,2.144608,749.7,0.0854
153,1,152.77,26676.97,0.533523,6.637141793822101e-06,1.829284,719.5,0.089
154,1,152.97,26537.83,0.5518,6.67398585783401e-06,1.865029,691.0,0.0926
155,1,153.17,26398.8,0.506423,6.71082992184592e-06,2.243352,720.2,0.0889
156,1,153.36,26262.2,0.5265,6.747673985857829e-06,1.966082,723.7,0.0884
157,1,153.56,26127.16,0.545447,6.784518049869739e-06,2.072743,747.8,0.0856
158,1,153.76,25994.4,0.54873,6.821362113881648e-06,2.24475,734.6,0.0871
159,1,153.95,25863.38,0.555951,6.858206177893558e-06,3.895388,725.2,0.0883
160,1,154.15,25734.09,0.580409,6.895050241905467e-06,2.906133,698.9,0.0916
161,1,154.35,25605.62,0.56841,6.931894305917375e-06,2.541443,746.3,0.0858
162,1,154.55,25479.51,0.550446,6.9687383699292845e-06,3.935657,735.2,0.087
163,1,154.74,25354.34,0.545891,7.005582433941194e-06,2.764311,757.0,0.0845
164,1,154.94,25231.36,0.521161,7.042426497953103e-06,1.624747,741.2,0.0864
165,1,155.14,25108.99,0.518636,7.0792705619650115e-06,2.287783,758.9,0.0843
166,1,155.34,24988.76,0.517048,7.116114625976921e-06,3.562295,739.6,0.0865
167,1,155.54,24870.93,0.542388,7.152958689988831e-06,3.965064,678.8,0.0943
168,1,155.74,24753.5,0.506337,7.18980275400074e-06,1.49976,668.5,0.0957
169,1,155.93,24636.67,0.524379,7.2266468180126485e-06,1.6409,709.0,0.0903
170,1,156.13,24520.89,0.526879,7.263490882024558e-06,1.385717,756.3,0.0846
171,1,156.32,24407.1,0.535527,7.300334946036466e-06,3.00864,765.8,0.0836
172,1,156.53,24296.26,0.569016,7.337179010048376e-06,3.547192,699.4,0.0915
173,1,156.72,24184.9,0.549745,7.374023074060285e-06,2.844124,727.8,0.0879
174,1,156.93,24077.35,0.561603,7.410867138072194e-06,2.157387,638.9,0.1002
175,1,157.13,23968.53,0.497997,7.447711202084103e-06,2.136208,712.2,0.0899
176,1,157.32,23861.46,0.503706,7.4845552660960125e-06,1.92609,734.2,0.0872
