step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,163.43,4391237.97,4.240421,1.0368440640119094e-06,inf,0.4,151.1578
2,1,163.57,2197363.88,4.368261,1.0736881280238187e-06,inf,522.2,0.1225
3,1,163.77,1466684.75,4.329102,1.1105321920357277e-06,29.543198,592.5,0.108
4,1,163.97,1101312.07,4.244048,1.147376256047637e-06,34.104088,614.2,0.1042
5,1,164.18,882127.49,4.261,1.1842203200595463e-06,31.24325,604.6,0.1059
6,1,164.39,736019.37,4.194208,1.2210643840714553e-06,31.038361,563.7,0.1135
7,1,164.59,631618.41,4.095765,1.2579084480833646e-06,28.146641,602.9,0.1062
8,1,164.8,553364.9,4.080315,1.2947525120952738e-06,30.124256,559.6,0.1144
9,1,165.0,492451.76,4.090608,1.331596576107183e-06,26.008835,595.6,0.1075
10,1,165.21,443758.84,3.933724,1.3684406401190921e-06,25.894886,550.8,0.1162
11,1,165.43,403942.22,4.085655,1.4052847041310014e-06,28.553539,476.3,0.1344
12,1,165.64,370730.06,4.067268,1.4421287681429106e-06,23.795429,479.4,0.1335
13,1,165.85,342640.72,3.812487,1.4789728321548197e-06,24.178249,464.4,0.1378
14,1,166.05,318539.77,3.734418,1.5158168961667287e-06,28.357903,486.5,0.1315
15,1,166.29,297718.2,3.704966,1.552660960178638e-06,26.892723,393.4,0.1627
16,1,166.48,279412.16,3.798202,1.589505024190547e-06,26.5459,504.4,0.1269
17,1,166.7,263324.67,3.730918,1.6263490882024563e-06,26.69121,430.7,0.1486
18,1,166.95,249046.6,3.691439,1.6631931522143654e-06,21.812391,360.1,0.1777
19,1,167.12,236181.67,3.70376,1.7000372162262744e-06,18.619061,458.9,0.1395
20,1,167.35,224670.31,3.75442,1.7368812802381837e-06,19.247345,411.4,0.1556
21,1,167.55,214217.1,3.622723,1.7737253442500927e-06,19.459019,494.3,0.1295
22,1,167.77,204743.49,3.642589,1.8105694082620018e-06,19.420694,476.3,0.1344
23,1,168.11,196230.51,3.610189,1.8474134722739108e-06,16.883106,243.7,0.2626
24,1,168.26,188218.3,3.433836,1.8842575362858199e-06,16.42997,453.8,0.141
25,1,168.54,180980.5,3.486459,1.921101600297729e-06,16.55677,323.7,0.1977
26,1,168.71,174190.03,3.461731,1.957945664309638e-06,16.770794,420.4,0.1522
27,1,168.91,167929.59,3.585887,1.994789728321547e-06,18.665787,460.2,0.1391
28,1,169.11,162115.75,3.278401,2.0316337923334565e-06,16.913692,516.2,0.124
29,1,169.38,156770.03,3.253697,2.0684778563453657e-06,17.368988,352.9,0.1813
30,1,169.68,151805.94,3.279334,2.105321920357275e-06,14.838462,255.5,0.2505
31,1,169.84,147041.21,3.293261,2.1421659843691842e-06,13.504683,434.3,0.1474
32,1,170.05,142617.17,3.140511,2.1790100483810935e-06,15.764104,459.5,0.1393
33,1,170.3,138491.8,3.226688,2.2158541123930023e-06,13.444041,364.2,0.1757
34,1,170.51,134586.27,3.178895,2.252698176404911e-06,12.24703,365.9,0.1749
35,1,170.72,130891.1,3.092795,2.2895422404168204e-06,14.049238,398.2,0.1607
36,1,170.92,127402.1,3.300168,2.3263863044287297e-06,12.341743,414.5,0.1544
37,1,171.15,124123.82,3.153142,2.363230368440639e-06,11.778071,354.7,0.1804
38,1,171.35,120990.12,3.227006,2.400074432452548e-06,13.138524,417.0,0.1535
39,1,171.63,118077.79,3.133708,2.436918496464457e-06,10.527949,319.5,0.2003
40,1,171.82,115248.62,3.198244,2.4737625604763663e-06,9.231355,374.9,0.1707
41,1,172.04,112578.63,2.97774,2.5106066244882756e-06,10.28375,458.3,0.1397
42,1,172.3,110056.47,2.950329,2.547450688500185e-06,12.620373,362.1,0.1767
43,1,172.52,107635.15,3.127349,2.584294752512094e-06,10.313701,351.8,0.1819
44,1,172.74,105317.58,2.961649,2.6211388165240034e-06,11.467535,438.8,0.1458
45,1,172.97,103106.71,3.216216,2.6579828805359126e-06,8.166954,444.7,0.1439
46,1,173.15,100971.18,3.205955,2.694826944547822e-06,7.324754,537.5,0.1191
47,1,173.43,98977.96,2.960799,2.731671008559731e-06,9.534349,359.6,0.178
48,1,173.65,97035.17,2.95677,2.7685150725716404e-06,10.290837,413.3,0.1548
49,1,173.87,95169.53,2.985822,2.8053591365835492e-06,8.64031,384.9,0.1663
50,1,174.12,93398.0,3.042854,2.8422032005954585e-06,9.288496,335.4,0.1908
51,1,174.28,91647.25,2.83043,2.8790472646073677e-06,9.496207,529.9,0.1208
52,1,174.51,90002.72,3.078276,2.915891328619277e-06,8.55398,426.5,0.15
53,1,174.74,88414.09,3.02132,2.9527353926311863e-06,7.445377,404.2,0.1583
54,1,174.94,86875.78,2.752698,2.9895794566430955e-06,8.457798,442.6,0.1446
55,1,175.15,85393.08,2.92524,3.0264235206550044e-06,8.133116,506.6,0.1263
56,1,175.43,84000.5,3.280726,3.0632675846669136e-06,9.923801,322.2,0.1986
57,1,175.59,82600.1,2.927394,3.1001116486788225e-06,7.678721,506.9,0.1263
58,1,175.83,81283.32,3.12054,3.1369557126907313e-06,9.221591,405.3,0.1579
59,1,176.04,79995.13,2.894937,3.1737997767026406e-06,7.346025,447.6,0.143
60,1,176.24,78748.0,2.831492,3.21064384071455e-06,7.739774,518.3,0.1235
61,1,176.5,77570.32,2.803631,3.2474879047264586e-06,9.146645,404.5,0.1582
62,1,176.69,76400.02,2.774599,3.284331968738368e-06,7.081617,459.6,0.1392
63,1,176.9,75271.18,3.226823,3.321176032750277e-06,9.751671,492.5,0.1299
64,1,177.12,74184.7,2.816365,3.3580200967621864e-06,9.303544,448.7,0.1426
65,1,177.32,73122.74,2.626088,3.3948641607740957e-06,7.974218,508.4,0.1259
66,1,177.53,72098.93,2.902145,3.431708224786005e-06,9.543735,520.9,0.1229
67,1,177.74,71103.21,2.990109,3.468552288797914e-06,8.113756,532.2,0.1203
68,1,177.96,70142.7,2.861034,3.5053963528098235e-06,10.354067,471.3,0.1358
69,1,178.19,69213.69,3.098807,3.5422404168217327e-06,8.700946,393.5,0.1626
70,1,178.38,68295.64,2.978401,3.579084480833642e-06,7.356672,434.8,0.1472
71,1,178.61,67415.35,2.784369,3.6159285448455512e-06,9.661711,413.9,0.1546
72,1,178.82,66555.17,2.977172,3.6527726088574605e-06,10.203304,448.0,0.1428
73,1,179.04,65723.51,2.823215,3.6896166728693693e-06,7.651761,394.9,0.1621
74,1,179.22,64896.9,2.810095,3.7264607368812786e-06,9.220311,527.7,0.1213
75,1,179.44,64107.9,3.007715,3.7633048008931883e-06,6.881226,470.7,0.136
76,1,179.64,63333.88,2.850982,3.800148864905097e-06,8.439247,536.1,0.1194
77,1,179.86,62583.68,2.555512,3.836992928917006e-06,10.988252,520.4,0.123
78,1,180.1,61862.16,3.10064,3.873836992928915e-06,9.916083,423.2,0.1512
79,1,180.32,61151.72,3.232961,3.9106810569408245e-06,10.051764,407.7,0.157
