step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,142.26,3822257.24,0.63258,1.0368440640119094e-06,3.972881,0.5,133.865
2,1,142.53,1914681.81,0.600069,1.0736881280238187e-06,3.501374,243.6,0.2628
3,1,143.29,1283286.34,0.620751,1.1105321920357277e-06,3.410799,230.1,0.2782
4,1,144.07,967662.51,0.607251,1.147376256047637e-06,4.025026,228.4,0.2802
5,1,144.86,778308.15,0.617949,1.1842203200595463e-06,3.656056,230.6,0.2776
6,1,145.62,652001.32,0.59395,1.2210643840714553e-06,3.903689,233.0,0.2747
7,1,146.39,561799.38,0.598984,1.2579084480833646e-06,3.496724,232.6,0.2752
8,1,147.17,494159.68,0.568762,1.2947525120952738e-06,3.604211,230.5,0.2777
9,1,147.95,441556.39,0.62045,1.331596576107183e-06,3.281776,230.3,0.2779
10,1,148.72,399454.22,0.583961,1.3684406401190921e-06,3.929745,230.7,0.2774
11,1,149.49,365025.23,0.580308,1.4052847041310014e-06,3.632209,228.3,0.2803
12,1,150.26,336311.84,0.583473,1.4421287681429106e-06,2.413485,233.3,0.2743
13,1,151.04,312037.72,0.583399,1.4789728321548197e-06,2.744789,232.5,0.2752
14,1,151.82,291237.92,0.547279,1.5158168961667287e-06,3.635679,228.5,0.2801
15,1,152.59,273182.02,0.542149,1.552660960178638e-06,3.459193,235.4,0.2719
16,1,153.38,257429.21,0.549646,1.589505024190547e-06,3.077838,225.2,0.2842
17,1,154.15,243497.02,0.535228,1.6263490882024563e-06,3.062699,234.2,0.2733
18,1,154.93,231124.4,0.538233,1.6631931522143654e-06,2.63858,227.9,0.2808
19,1,155.7,220038.88,0.572384,1.7000372162262744e-06,2.413285,232.5,0.2753
20,1,156.48,210072.41,0.547835,1.7368812802381837e-06,2.747268,232.6,0.2751
21,1,157.26,201058.66,0.539175,1.7737253442500927e-06,2.317637,234.8,0.2726
22,1,158.04,192860.37,0.524252,1.8105694082620018e-06,1.922669,230.7,0.2774
23,1,158.81,185374.12,0.562328,1.8474134722739108e-06,1.881783,233.9,0.2736
24,1,159.59,178514.13,0.523306,1.8842575362858199e-06,2.29114,231.9,0.276
25,1,160.37,172203.32,0.535077,1.921101600297729e-06,1.87383,228.9,0.2796
26,1,161.15,166382.3,0.510008,1.957945664309638e-06,2.808459,228.9,0.2796
27,1,161.92,160983.12,0.531762,1.994789728321547e-06,1.783172,231.4,0.2765
28,1,162.7,155972.11,0.488969,2.0316337923334565e-06,2.214463,232.1,0.2758
29,1,163.49,151314.54,0.476608,2.0684778563453657e-06,2.041103,229.4,0.279
30,1,164.26,146960.98,0.471595,2.105321920357275e-06,1.822547,229.0,0.2795
31,1,165.04,142888.7,0.519071,2.1421659843691842e-06,2.023337,232.6,0.2751
32,1,165.83,139080.69,0.470206,2.1790100483810935e-06,2.298589,228.3,0.2803
33,1,166.6,135489.11,0.508868,2.2158541123930023e-06,1.426235,233.7,0.2739
34,1,167.39,132116.92,0.504994,2.252698176404911e-06,1.417123,226.4,0.2827
35,1,168.16,128933.77,0.475232,2.2895422404168204e-06,1.815096,231.5,0.2765
36,1,168.95,125937.16,0.504247,2.3263863044287297e-06,1.862019,222.0,0.2883
37,1,169.72,123084.89,0.501695,2.363230368440639e-06,1.478069,232.9,0.2748
38,1,170.5,120392.72,0.511878,2.400074432452548e-06,1.4994,232.3,0.2755
39,1,171.29,117843.54,0.500473,2.436918496464457e-06,1.643602,225.9,0.2834
40,1,172.07,115414.03,0.494381,2.4737625604763663e-06,1.252916,231.5,0.2765
41,1,172.86,113111.31,0.454571,2.5106066244882756e-06,1.554344,229.5,0.2789
42,1,173.64,110912.11,0.472673,2.547450688500185e-06,1.586022,226.3,0.2828
43,1,174.41,108812.03,0.49686,2.584294752512094e-06,1.940129,230.1,0.2782
44,1,175.2,106815.93,0.47908,2.6211388165240034e-06,1.214831,226.9,0.282
45,1,175.97,104899.55,0.500512,2.6579828805359126e-06,1.350695,229.7,0.2786
46,1,176.76,103073.98,0.516772,2.694826944547822e-06,1.451044,230.9,0.2771
47,1,177.55,101326.79,0.458947,2.731671008559731e-06,1.142776,223.6,0.2863
48,1,178.32,99645.03,0.479531,2.7685150725716404e-06,1.458539,231.2,0.2768
49,1,179.11,98039.59,0.508257,2.8053591365835492e-06,1.364555,226.9,0.2821
50,1,179.9,96496.13,0.481402,2.8422032005954585e-06,1.478216,224.0,0.2858
51,1,180.67,95008.92,0.45025,2.8790472646073677e-06,1.507613,228.6,0.28
52,1,181.46,93582.33,0.528806,2.915891328619277e-06,1.297807,231.1,0.277
53,1,182.25,92213.32,0.493505,2.9527353926311863e-06,1.480196,224.8,0.2846
54,1,183.03,90890.57,0.444318,2.9895794566430955e-06,1.287265,231.1,0.2769
55,1,183.81,89616.3,0.4599,3.0264235206550044e-06,1.371593,226.6,0.2825
56,1,184.59,88387.5,0.564932,3.0632675846669136e-06,1.914586,229.3,0.2791
