step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,124.05,3333041.95,0.641394,1.0368440640119094e-06,3.35122,0.5,119.3539
2,1,124.14,1667730.0,0.602593,1.0736881280238187e-06,3.123523,739.0,0.0866
3,1,124.34,1113523.61,0.625298,1.1105321920357277e-06,2.773623,738.4,0.0867
4,1,124.53,836393.61,0.615109,1.147376256047637e-06,3.581207,781.8,0.0819
5,1,124.73,670148.3,0.621788,1.1842203200595463e-06,3.277887,753.1,0.085
6,1,124.92,559308.82,0.601337,1.2210643840714553e-06,3.380082,750.6,0.0853
7,1,125.12,480139.93,0.605856,1.2579084480833646e-06,3.073574,751.2,0.0852
8,1,125.31,420776.08,0.574492,1.2947525120952738e-06,3.106641,719.2,0.089
9,1,125.51,374585.42,0.631349,1.331596576107183e-06,2.947027,741.3,0.0863
10,1,125.71,337661.29,0.602637,1.3684406401190921e-06,3.168003,675.3,0.0948
11,1,125.91,307436.34,0.596275,1.4052847041310014e-06,2.885848,661.9,0.0967
12,1,126.1,282221.98,0.606206,1.4421287681429106e-06,1.8263,735.7,0.087
13,1,126.29,260910.42,0.597763,1.4789728321548197e-06,2.370605,726.7,0.0881
14,1,126.49,242643.75,0.569342,1.5158168961667287e-06,3.237721,717.4,0.0892
15,1,126.69,226808.92,0.562674,1.552660960178638e-06,3.105894,720.2,0.0889
16,1,126.88,212953.33,0.562665,1.589505024190547e-06,2.830035,725.2,0.0883
17,1,127.09,200744.26,0.554691,1.6263490882024563e-06,2.700837,653.7,0.0979
18,1,127.27,189864.5,0.558155,1.6631931522143654e-06,2.351156,724.2,0.0884
19,1,127.47,180143.85,0.591476,1.7000372162262744e-06,2.195619,712.4,0.0898
20,1,127.66,171387.99,0.586884,1.7368812802381837e-06,2.39532,748.3,0.0855
21,1,127.87,163487.97,0.563446,1.7737253442500927e-06,1.894051,696.3,0.0919
22,1,128.06,156284.14,0.548134,1.8105694082620018e-06,1.701909,739.1,0.0866
23,1,128.26,149714.58,0.593089,1.8474134722739108e-06,1.831698,716.1,0.0894
24,1,128.46,143691.62,0.558542,1.8842575362858199e-06,1.944297,714.2,0.0896
25,1,128.65,138148.38,0.563602,1.921101600297729e-06,1.77495,723.3,0.0885
26,1,128.86,133039.54,0.546131,1.957945664309638e-06,2.367573,672.8,0.0951
27,1,129.04,128294.02,0.561287,1.994789728321547e-06,1.721095,733.6,0.0872
28,1,129.24,123896.53,0.518834,2.0316337923334565e-06,2.03392,727.1,0.088
29,1,129.44,119802.17,0.504671,2.0684778563453657e-06,1.737955,719.4,0.089
30,1,129.63,115977.14,0.50582,2.105321920357275e-06,1.695968,738.5,0.0867
31,1,129.83,112402.63,0.552137,2.1421659843691842e-06,1.823642,726.8,0.0881
32,1,130.02,109047.59,0.503088,2.1790100483810935e-06,2.251331,753.9,0.0849
33,1,130.23,105909.22,0.530802,2.2158541123930023e-06,1.488319,646.6,0.099
34,1,130.42,102937.79,0.534928,2.252698176404911e-06,1.301057,717.2,0.0892
35,1,130.61,100142.83,0.514695,2.2895422404168204e-06,1.835148,728.2,0.0879
36,1,130.81,97502.19,0.543634,2.3263863044287297e-06,1.69818,739.4,0.0866
37,1,131.0,95005.43,0.528839,2.363230368440639e-06,1.365719,738.3,0.0867
38,1,131.2,92641.11,0.554172,2.400074432452548e-06,1.754559,734.8,0.0871
39,1,131.4,90402.28,0.528552,2.436918496464457e-06,1.585749,676.4,0.0946
40,1,131.61,88274.91,0.537672,2.4737625604763663e-06,1.243371,663.9,0.0964
41,1,131.81,86249.59,0.50514,2.5106066244882756e-06,1.368148,673.0,0.0951
42,1,131.99,84313.34,0.487521,2.547450688500185e-06,1.446444,730.2,0.0877
43,1,132.2,82478.48,0.520025,2.584294752512094e-06,2.057764,652.3,0.0981
44,1,132.4,80724.05,0.509755,2.6211388165240034e-06,1.168479,656.3,0.0975
45,1,132.59,79039.28,0.546171,2.6579828805359126e-06,1.355472,715.0,0.0895
46,1,132.79,77433.99,0.564239,2.694826944547822e-06,1.898918,700.1,0.0914
47,1,132.98,75894.78,0.517449,2.731671008559731e-06,1.19055,704.7,0.0908
48,1,133.18,74422.4,0.535136,2.7685150725716404e-06,1.405388,693.8,0.0922
49,1,133.38,73009.59,0.530867,2.8053591365835492e-06,1.493604,684.9,0.0934
50,1,133.58,71650.84,0.534483,2.8422032005954585e-06,1.850233,704.9,0.0908
51,1,133.78,70351.72,0.500307,2.8790472646073677e-06,1.53911,649.5,0.0985
52,1,133.97,69094.67,0.565844,2.915891328619277e-06,1.339492,700.6,0.0914
53,1,134.18,67891.96,0.529123,2.9527353926311863e-06,1.586882,654.0,0.0979
54,1,134.37,66725.51,0.492417,2.9895794566430955e-06,1.319906,732.1,0.0874
55,1,134.57,65610.51,0.509727,3.0264235206550044e-06,1.53502,653.4,0.0979
56,1,134.77,64530.9,0.599175,3.0632675846669136e-06,1.918547,706.0,0.0907
57,1,134.97,63488.4,0.508442,3.1001116486788225e-06,1.436124,716.0,0.0894
58,1,135.17,62484.28,0.537404,3.1369557126907313e-06,2.316558,680.4,0.0941
59,1,135.36,61511.53,0.514475,3.1737997767026406e-06,1.453258,693.6,0.0923
60,1,135.56,60572.19,0.516792,3.21064384071455e-06,1.326304,684.5,0.0935
61,1,135.76,59666.77,0.498358,3.2474879047264586e-06,1.52303,702.3,0.0911
62,1,135.96,58787.42,0.508209,3.284331968738368e-06,1.094382,704.5,0.0908
63,1,136.16,57936.13,0.584361,3.321176032750277e-06,1.321069,701.8,0.0912
64,1,136.36,57112.4,0.497282,3.3580200967621864e-06,1.4271,706.4,0.0906
65,1,137.79,56820.99,0.480047,3.3948641607740957e-06,1.498748,48.4,1.3231
66,1,137.89,55998.2,0.524123,3.431708224786005e-06,1.659816,664.8,0.0963
67,1,138.08,55237.84,0.536396,3.468552288797914e-06,1.776949,686.2,0.0933
68,1,138.27,54500.55,0.500696,3.5053963528098235e-06,1.354445,700.0,0.0914
69,1,138.47,53784.14,0.548273,3.5422404168217327e-06,1.890662,711.7,0.0899
70,1,138.67,53089.35,0.531062,3.579084480833642e-06,1.242198,704.5,0.0908
71,1,138.86,52414.67,0.50226,3.6159285448455512e-06,2.047324,699.0,0.0916
72,1,139.06,51757.61,0.546549,3.6527726088574605e-06,1.885697,706.5,0.0906
73,1,139.26,51118.99,0.48796,3.6896166728693693e-06,1.499783,710.7,0.0901
74,1,139.46,50499.55,0.523533,3.7264607368812786e-06,1.13991,668.6,0.0957
75,1,139.65,49892.3,0.546265,3.7633048008931883e-06,1.341385,714.4,0.0896
76,1,139.85,49306.04,0.514092,3.800148864905097e-06,1.288617,658.3,0.0972
77,1,140.05,48732.08,0.477315,3.836992928917006e-06,1.497172,676.8,0.0946
78,1,140.25,48172.93,0.570053,3.873836992928915e-06,1.544246,679.3,0.0942
79,1,140.45,47630.14,0.552733,3.9106810569408245e-06,1.216671,645.0,0.0992
