step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,167.91,4511596.12,0.825855,1.0368440640119094e-06,4.934156,0.4,152.562
2,1,168.09,2258072.9,0.846027,1.0736881280238187e-06,5.765873,387.2,0.1653
3,1,168.41,1508252.89,0.808021,1.1105321920357277e-06,4.854757,443.0,0.1445
4,1,168.75,1133415.26,0.825136,1.147376256047637e-06,5.55536,443.9,0.1442
5,1,169.09,908510.02,0.808393,1.1842203200595463e-06,5.165719,441.9,0.1448
6,1,169.43,758586.13,0.805312,1.2210643840714553e-06,5.517154,438.7,0.1459
7,1,169.76,651484.83,0.804092,1.2579084480833646e-06,4.969481,442.4,0.1446
8,1,170.11,571174.26,0.788389,1.2947525120952738e-06,5.757452,431.3,0.1484
9,1,170.44,508695.0,0.767848,1.331596576107183e-06,4.965916,438.9,0.1458
10,1,170.78,458706.92,0.761229,1.3684406401190921e-06,4.851423,449.8,0.1423
11,1,171.12,417818.77,0.770108,1.4052847041310014e-06,4.390117,445.7,0.1436
12,1,171.46,383747.9,0.752946,1.4421287681429106e-06,4.238068,439.6,0.1456
13,1,171.79,354910.54,0.73163,1.4789728321548197e-06,4.04903,447.5,0.143
14,1,172.13,330199.79,0.733357,1.5158168961667287e-06,5.597208,442.7,0.1446
15,1,172.47,308778.09,0.729131,1.552660960178638e-06,4.893007,449.4,0.1424
16,1,172.81,290044.84,0.737564,1.589505024190547e-06,5.027065,433.8,0.1475
17,1,173.16,273519.17,0.730061,1.6263490882024563e-06,5.168529,417.2,0.1534
18,1,173.49,258810.85,0.705691,1.6631931522143654e-06,4.979619,432.1,0.1481
19,1,173.83,245662.58,0.708472,1.7000372162262744e-06,4.422981,427.4,0.1497
20,1,174.17,233819.68,0.697054,1.7368812802381837e-06,4.200853,438.0,0.1461
21,1,174.51,223116.35,0.685267,1.7737253442500927e-06,4.215367,436.4,0.1467
22,1,174.85,213381.52,0.688699,1.8105694082620018e-06,4.959395,433.4,0.1477
23,1,175.19,204488.16,0.66439,1.8474134722739108e-06,3.569254,441.3,0.145
24,1,175.53,196345.81,0.661854,1.8842575362858199e-06,3.939946,424.8,0.1506
25,1,175.87,188849.22,0.661041,1.921101600297729e-06,3.331376,423.8,0.151
26,1,176.2,181923.47,0.648419,1.957945664309638e-06,3.660142,436.9,0.1465
27,1,176.54,175512.85,0.664475,1.994789728321547e-06,4.26834,444.3,0.144
28,1,176.88,169565.44,0.630606,2.0316337923334565e-06,4.520321,436.6,0.1466
29,1,177.22,164023.49,0.610954,2.0684778563453657e-06,4.357499,442.5,0.1446
30,1,177.57,158863.66,0.611209,2.105321920357275e-06,3.506224,408.1,0.1568
31,1,177.9,154025.11,0.638294,2.1421659843691842e-06,3.795146,415.6,0.154
32,1,178.24,149489.78,0.589077,2.1790100483810935e-06,3.392348,421.0,0.152
33,1,178.59,145237.32,0.608101,2.2158541123930023e-06,3.490185,395.0,0.162
34,1,178.92,141223.11,0.604957,2.252698176404911e-06,2.810962,414.5,0.1544
35,1,179.27,137445.52,0.583515,2.2895422404168204e-06,3.232133,406.1,0.1576
36,1,179.6,133872.19,0.616359,2.3263863044287297e-06,2.814037,423.4,0.1512
37,1,179.95,130502.27,0.595551,2.363230368440639e-06,2.58288,398.3,0.1607
38,1,180.29,127301.13,0.623628,2.400074432452548e-06,3.946087,411.0,0.1557
39,1,180.62,124264.51,0.602334,2.436918496464457e-06,2.778795,417.9,0.1531
40,1,180.97,121385.27,0.595511,2.4737625604763663e-06,2.45757,404.5,0.1582
41,1,181.31,118646.29,0.570659,2.5106066244882756e-06,2.392667,410.7,0.1558
42,1,181.66,116037.74,0.559108,2.547450688500185e-06,3.228726,396.9,0.1612
43,1,182.0,113549.02,0.580102,2.584294752512094e-06,1.787586,387.9,0.165
44,1,182.34,111169.04,0.554496,2.6211388165240034e-06,2.676641,400.3,0.1599
45,1,182.67,108891.62,0.59981,2.6579828805359126e-06,2.252325,423.9,0.151
46,1,183.01,106718.02,0.601937,2.694826944547822e-06,1.556556,429.2,0.1491
47,1,183.35,104637.84,0.573956,2.731671008559731e-06,2.179266,426.3,0.1501
48,1,183.69,102644.61,0.571087,2.7685150725716404e-06,2.82621,422.4,0.1515
49,1,184.03,100730.69,0.573792,2.8053591365835492e-06,1.938994,430.4,0.1487
50,1,184.37,98896.89,0.595045,2.8422032005954585e-06,3.511413,416.6,0.1536
51,1,184.71,97134.47,0.548431,2.8790472646073677e-06,2.199483,408.6,0.1566
52,1,185.06,95440.65,0.605838,2.915891328619277e-06,1.839819,402.1,0.1592
53,1,185.39,93803.99,0.601524,2.9527353926311863e-06,1.997338,425.4,0.1504
54,1,185.73,92234.48,0.533095,2.9895794566430955e-06,2.632789,411.4,0.1556
55,1,186.07,90718.85,0.580208,3.0264235206550044e-06,2.668981,418.1,0.1531
56,1,186.42,89262.14,0.631213,3.0632675846669136e-06,3.395016,398.4,0.1606
57,1,186.75,87848.35,0.570635,3.1001116486788225e-06,2.244152,419.7,0.1525
58,1,187.1,86491.95,0.614343,3.1369557126907313e-06,2.652383,394.7,0.1621
59,1,187.43,85174.52,0.563667,3.1737997767026406e-06,1.977292,415.3,0.1541
60,1,187.79,83908.97,0.567779,3.21064384071455e-06,3.237059,386.3,0.1657
61,1,188.12,82678.32,0.550163,3.2474879047264586e-06,2.818619,428.7,0.1493
62,1,188.47,81490.47,0.560509,3.284331968738368e-06,1.666576,417.8,0.1532
63,1,188.83,80346.9,0.628615,3.321176032750277e-06,2.326141,371.0,0.1725
64,1,189.17,79232.19,0.548488,3.3580200967621864e-06,2.287316,365.3,0.1752
65,1,189.51,78150.39,0.548077,3.3948641607740957e-06,2.757536,369.5,0.1732
66,1,189.84,77097.5,0.545987,3.431708224786005e-06,1.772829,392.5,0.163
67,1,190.17,76077.96,0.567771,3.468552288797914e-06,1.933886,410.6,0.1559
68,1,190.52,75091.48,0.558584,3.5053963528098235e-06,2.794078,403.8,0.1585
69,1,190.85,74130.09,0.598936,3.5422404168217327e-06,2.246839,419.2,0.1527
70,1,191.19,73198.75,0.57757,3.579084480833642e-06,2.600142,416.5,0.1537
71,1,191.54,72295.45,0.53937,3.6159285448455512e-06,2.386467,403.7,0.1585
72,1,191.87,71414.3,0.605336,3.6527726088574605e-06,2.516552,407.8,0.1569
73,1,192.21,70555.25,0.531235,3.6896166728693693e-06,2.722482,435.0,0.1471
74,1,192.54,69721.7,0.56765,3.7264607368812786e-06,2.262093,438.8,0.1459
75,1,192.89,68911.61,0.596593,3.7633048008931883e-06,1.641727,434.0,0.1475
76,1,193.22,68121.9,0.568336,3.800148864905097e-06,2.899556,438.7,0.1459
77,1,193.56,67352.61,0.515797,3.836992928917006e-06,2.073847,438.8,0.1458
78,1,193.91,66607.07,0.617184,3.873836992928915e-06,1.989288,408.2,0.1568
79,1,194.25,65873.71,0.619614,3.9106810569408245e-06,2.800874,433.0,0.1478
80,1,194.58,65160.52,0.604486,3.947525120952734e-06,2.231391,442.6,0.1446
81,1,194.94,64470.85,0.546805,3.984369184964643e-06,2.346417,429.2,0.1491
82,1,195.27,63792.07,0.572292,4.021213248976552e-06,1.589141,438.6,0.1459
83,1,195.61,63130.24,0.588355,4.0580573129884615e-06,1.994358,438.9,0.1458
84,1,195.96,62487.6,0.607784,4.094901377000371e-06,2.583958,413.4,0.1548
85,1,196.29,61854.22,0.59133,4.13174544101228e-06,2.430419,442.5,0.1446
86,1,196.64,61241.23,0.559916,4.168589505024189e-06,2.793032,418.7,0.1528
87,1,196.97,60637.45,0.525507,4.2054335690360985e-06,3.180084,437.5,0.1463
88,1,197.32,60051.04,0.566994,4.242277633048008e-06,2.925989,422.3,0.1516
89,1,197.66,59477.14,0.640752,4.279121697059917e-06,2.435108,414.0,0.1546
90,1,198.0,58915.16,0.589305,4.3159657610718255e-06,2.909955,414.0,0.1546
91,1,198.33,58363.13,0.604705,4.352809825083735e-06,3.533284,441.5,0.145
92,1,198.67,57826.36,0.577918,4.389653889095644e-06,2.557765,431.2,0.1484
93,1,199.01,57301.29,0.608948,4.426497953107553e-06,3.148573,421.5,0.1518
94,1,199.36,56788.12,0.578894,4.463342017119462e-06,1.582871,408.0,0.1568
95,1,199.7,56283.04,0.561321,4.50018608113137e-06,2.164166,419.3,0.1526
96,1,200.03,55787.68,0.508902,4.537030145143279e-06,2.725382,442.2,0.1447
97,1,200.38,55306.26,0.553768,4.573874209155189e-06,1.784794,420.6,0.1521
98,1,200.71,54830.72,0.650954,4.610718273167098e-06,5.525131,441.1,0.1451
99,1,201.05,54367.85,0.577084,4.647562337179007e-06,2.346003,428.8,0.1492
100,1,201.39,53911.85,0.586801,4.684406401190916e-06,3.269667,439.0,0.1458
101,1,201.74,53468.34,0.571028,4.721250465202826e-06,2.80376,430.6,0.1486
102,1,202.07,53030.5,0.568212,4.758094529214735e-06,2.880061,441.3,0.145
103,1,202.41,52601.27,0.546637,4.794938593226644e-06,3.893866,448.5,0.1427
104,1,202.75,52181.3,0.570765,4.831782657238553e-06,2.940538,443.3,0.1444
105,1,203.1,51770.52,0.530441,4.868626721250462e-06,3.067869,422.9,0.1513
106,1,203.43,51364.13,0.582444,4.90547078526237e-06,1.552524,441.9,0.1448
107,1,203.77,50967.43,0.541365,4.9423148492742795e-06,1.941932,439.9,0.1455
108,1,204.12,50580.0,0.543428,4.979158913286189e-06,2.667033,419.4,0.1526
109,1,204.46,50197.66,0.51281,5.016002977298098e-06,1.91711,417.5,0.1533
110,1,204.79,49820.94,0.568434,5.0528470413100064e-06,2.812415,440.5,0.1453
111,1,205.14,49452.36,0.52488,5.089691105321916e-06,3.745661,439.1,0.1458
112,1,205.48,49090.46,0.613558,5.126535169333825e-06,3.526508,440.9,0.1452
113,1,205.82,48735.0,0.558248,5.163379233345734e-06,2.333923,439.4,0.1457
114,1,206.16,48387.07,0.544398,5.200223297357643e-06,2.178035,416.9,0.1535
115,1,206.64,48074.4,0.580953,5.237067361369552e-06,2.352942,413.3,0.1549
116,1,206.97,47734.93,0.566258,5.273911425381461e-06,2.501812,438.7,0.1459
117,1,207.32,47404.28,0.531406,5.31075548939337e-06,1.533703,420.2,0.1523
118,1,207.65,47077.54,0.565458,5.34759955340528e-06,2.440984,423.2,0.1512
119,1,208.0,46757.33,0.553455,5.384443617417189e-06,1.354185,414.9,0.1542
120,1,208.33,46440.12,0.543405,5.421287681429098e-06,1.968867,436.5,0.1466
121,1,208.68,46133.06,0.599416,5.4581317454410074e-06,4.59493,417.9,0.1531
122,1,209.03,45828.02,0.511591,5.494975809452916e-06,2.575217,414.1,0.1546
123,1,209.37,45527.67,0.606,5.531819873464825e-06,3.502846,412.8,0.155
124,1,209.7,45230.08,0.584687,5.568663937476735e-06,2.472429,439.6,0.1456
125,1,210.03,44938.69,0.539024,5.605508001488644e-06,3.203026,443.5,0.1443
126,1,210.37,44652.21,0.573038,5.642352065500553e-06,1.735464,442.8,0.1445
127,1,210.71,44371.16,0.597203,5.679196129512461e-06,2.62655,433.2,0.1477
128,1,211.05,44093.73,0.502916,5.7160401935243706e-06,3.606438,440.1,0.1454
129,1,211.39,43820.35,0.578772,5.752884257536281e-06,4.626976,443.3,0.1444
130,1,212.23,43653.13,0.554246,5.78972832154819e-06,1.84933,440.5,0.1453
131,1,215.49,43983.89,0.583782,5.826572385560098e-06,1.755754,381.6,0.1677
132,1,215.83,43717.72,0.542302,5.863416449572008e-06,2.372459,443.4,0.1443
133,1,216.17,43456.82,0.531499,5.900260513583918e-06,2.142216,420.1,0.1524
134,1,216.5,43197.43,0.550319,5.937104577595827e-06,1.499741,439.7,0.1456
135,1,216.85,42944.18,0.532615,5.973948641607737e-06,1.906104,423.0,0.1513
136,1,217.19,42693.54,0.532837,6.010792705619647e-06,2.094175,425.4,0.1505
137,1,217.52,42445.4,0.566463,6.0476367696315564e-06,1.805501,441.7,0.1449
138,1,217.87,42203.42,0.611886,6.084480833643465e-06,2.760145,419.2,0.1527
139,1,218.21,41962.97,0.568187,6.121324897655374e-06,2.365625,424.7,0.1507
140,1,218.63,41741.78,0.527218,6.1581689616672825e-06,3.900883,449.5,0.1424
141,1,218.97,41509.38,0.546265,6.195013025679192e-06,2.790926,440.6,0.1452
142,1,219.31,41279.55,0.579695,6.231857089691101e-06,2.207191,438.9,0.1458
143,1,219.65,41052.83,0.535181,6.268701153703011e-06,3.033209,437.9,0.1461
144,1,219.99,40828.72,0.56533,6.3055452177149196e-06,2.386261,442.9,0.1445
145,1,220.33,40608.19,0.621291,6.342389281726828e-06,4.17651,440.5,0.1453
146,1,220.9,40433.72,0.548884,6.379233345738737e-06,1.859727,435.8,0.1469
147,1,223.56,40641.3,0.556927,6.4160774097506465e-06,2.701982,401.0,0.1596
148,1,223.91,40428.13,0.510565,6.452921473762555e-06,1.894619,441.9,0.1448
149,1,224.25,40215.84,0.587995,6.489765537774464e-06,3.847307,439.2,0.1457
150,1,224.59,40006.8,0.524844,6.526609601786374e-06,3.451668,437.4,0.1463
151,1,224.98,39809.32,0.55794,6.5634536657982835e-06,1.947471,413.7,0.1547
152,1,225.32,39605.89,0.517734,6.600297729810192e-06,5.213846,409.0,0.1565
153,1,225.65,39403.07,0.502135,6.637141793822101e-06,4.074141,436.6,0.1466
154,1,226.54,39299.71,0.525938,6.67398585783401e-06,2.673755,437.0,0.1464
155,1,226.87,39102.69,0.566419,6.71082992184592e-06,1.352583,440.8,0.1452
156,1,228.06,39054.36,0.517157,6.747673985857829e-06,2.196456,408.1,0.1568
157,1,228.4,38860.68,0.555973,6.784518049869739e-06,2.141057,435.3,0.147
158,1,228.73,38670.27,0.546218,6.821362113881648e-06,2.422585,441.7,0.1449
159,1,229.07,38482.76,0.531369,6.858206177893558e-06,1.945815,437.5,0.1463
160,1,229.41,38297.94,0.506782,6.895050241905467e-06,2.042318,427.6,0.1497
161,1,229.76,38116.33,0.537109,6.931894305917375e-06,2.016136,418.2,0.153
162,1,230.1,37934.57,0.557366,6.9687383699292845e-06,2.424967,432.2,0.1481
163,1,233.56,38268.24,0.49311,7.005582433941194e-06,1.827239,383.3,0.167
164,1,233.9,38089.26,0.530106,7.042426497953103e-06,2.22296,442.2,0.1447
165,1,234.24,37911.81,0.52745,7.0792705619650115e-06,2.58937,444.2,0.1441
166,1,234.58,37736.12,0.575153,7.116114625976921e-06,1.772879,448.0,0.1429
167,1,234.92,37563.42,0.559015,7.152958689988831e-06,1.793482,441.4,0.145
168,1,235.27,37393.82,0.529555,7.18980275400074e-06,1.612303,416.3,0.1537
169,1,235.6,37223.22,0.512192,7.2266468180126485e-06,1.713497,443.9,0.1442
170,1,235.94,37056.45,0.529637,7.263490882024558e-06,1.772801,440.0,0.1455
171,1,236.28,36891.19,0.506468,7.300334946036466e-06,2.832048,444.1,0.1441
172,1,236.9,36771.48,0.554571,7.337179010048376e-06,1.752008,424.7,0.1507
173,1,237.23,36609.08,0.590442,7.374023074060285e-06,2.751955,439.7,0.1456
174,1,237.57,36449.65,0.519819,7.410867138072194e-06,2.075776,434.7,0.1472
175,1,237.91,36292.16,0.569042,7.447711202084103e-06,2.281398,428.3,0.1494
176,1,238.25,36135.77,0.556793,7.4845552660960125e-06,1.727552,432.6,0.1479
177,1,238.6,35982.69,0.546855,7.521399330107922e-06,2.851306,417.2,0.1534
178,1,238.95,35831.93,0.539573,7.55824339411983e-06,2.588623,405.8,0.1577
179,1,242.39,36143.13,0.542121,7.59508745813174e-06,1.796085,382.9,0.1672
180,1,242.74,35992.81,0.513617,7.63193152214365e-06,1.559878,440.9,0.1452
181,1,243.09,35844.16,0.559697,7.66877558615556e-06,2.474967,427.4,0.1497
182,1,243.43,35696.11,0.54823,7.705619650167469e-06,2.001477,415.9,0.1539
183,1,243.77,35549.07,0.529514,7.742463714179378e-06,1.522892,418.6,0.1529
184,1,244.1,35402.46,0.549899,7.779307778191287e-06,2.41057,442.5,0.1446
185,1,244.44,35258.58,0.528941,7.816151842203197e-06,2.073214,443.4,0.1443
186,1,244.78,35116.75,0.544222,7.852995906215106e-06,2.386295,434.9,0.1471
187,1,245.11,34975.39,0.524037,7.889839970227015e-06,2.768342,445.6,0.1436
188,1,245.84,34890.75,0.472018,7.926684034238923e-06,2.362185,440.5,0.1453
189,1,246.18,34752.69,0.571535,7.963528098250832e-06,3.111274,437.6,0.1462
190,1,246.52,34616.02,0.541533,8.000372162262741e-06,1.826959,440.9,0.1452
191,1,246.85,34480.77,0.558614,8.03721622627465e-06,1.473262,441.4,0.145
192,1,247.2,34347.84,0.558122,8.07406029028656e-06,2.036806,422.2,0.1516
193,1,247.53,34214.72,0.53151,8.110904354298469e-06,2.326271,439.6,0.1456
194,1,247.89,34086.18,0.509635,8.147748418310378e-06,2.041715,415.7,0.154
195,1,250.92,34323.89,0.503251,8.184592482322288e-06,2.656545,398.4,0.1606
196,1,251.26,34194.86,0.541198,8.221436546334197e-06,1.985506,419.5,0.1526
197,1,251.6,34065.48,0.595536,8.258280610346106e-06,1.940114,427.6,0.1497
198,1,251.94,33937.81,0.522185,8.295124674358015e-06,1.676939,419.6,0.1525
199,1,252.28,33811.69,0.512176,8.331968738369925e-06,2.192961,412.8,0.1551
200,1,252.61,33685.75,0.495165,8.368812802381834e-06,2.053924,436.9,0.1465
201,1,252.96,33563.19,0.547307,8.405656866393743e-06,2.83111,424.9,0.1506
202,1,253.29,33439.67,0.596688,8.442500930405652e-06,2.41922,441.5,0.1449
203,1,253.63,33318.16,0.582399,8.479344994417562e-06,2.666888,442.4,0.1447
