step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,105.51,2835038.32,0.840846,1.0368440640119094e-06,5.225002,0.6,98.5163
2,1,105.71,1420122.16,0.848536,1.0736881280238187e-06,5.600728,339.1,0.1887
3,1,106.23,951404.85,0.809421,1.1105321920357277e-06,4.967603,337.6,0.1895
4,1,106.77,717113.24,0.827684,1.147376256047637e-06,5.37396,336.6,0.1901
5,1,107.3,576507.77,0.8219,1.1842203200595463e-06,5.708524,337.7,0.1895
6,1,107.83,482780.71,0.803191,1.2210643840714553e-06,5.282104,336.4,0.1902
7,1,108.36,415833.78,0.806098,1.2579084480833646e-06,5.301661,335.4,0.1908
8,1,108.89,365619.77,0.797963,1.2947525120952738e-06,5.188715,334.8,0.1912
9,1,109.42,326573.74,0.767597,1.331596576107183e-06,4.414991,335.9,0.1905
10,1,109.95,295328.33,0.76224,1.3684406401190921e-06,5.204914,336.1,0.1904
11,1,110.49,269775.79,0.772615,1.4052847041310014e-06,4.779987,335.4,0.1908
12,1,111.02,248478.29,0.759586,1.4421287681429106e-06,4.239399,335.0,0.1911
13,1,111.55,230453.15,0.73276,1.4789728321548197e-06,4.209465,334.7,0.1912
14,1,112.09,215012.7,0.735049,1.5158168961667287e-06,4.925714,334.0,0.1916
15,1,112.62,201619.45,0.719931,1.552660960178638e-06,4.470727,336.9,0.1899
16,1,113.15,189910.41,0.7347,1.589505024190547e-06,4.423368,333.4,0.1919
17,1,113.69,179578.79,0.718118,1.6263490882024563e-06,4.930117,333.3,0.192
18,1,114.22,170390.33,0.697099,1.6631931522143654e-06,4.242585,333.2,0.1921
19,1,114.76,162175.34,0.686619,1.7000372162262744e-06,4.08799,330.8,0.1934
20,1,115.29,154775.65,0.686146,1.7368812802381837e-06,3.601294,332.3,0.1926
21,1,115.84,148099.11,0.673153,1.7737253442500927e-06,3.991415,331.9,0.1928
22,1,116.37,142016.07,0.678153,1.8105694082620018e-06,4.297691,329.9,0.194
23,1,116.91,136464.34,0.656234,1.8474134722739108e-06,3.036575,331.1,0.1933
24,1,117.44,131369.85,0.645082,1.8842575362858199e-06,3.871933,332.2,0.1927
25,1,117.98,126689.79,0.647888,1.921101600297729e-06,3.540465,330.8,0.1935
26,1,118.52,122364.13,0.632002,1.957945664309638e-06,3.390216,331.3,0.1932
27,1,119.05,118362.02,0.639296,1.994789728321547e-06,4.044799,331.4,0.1931
28,1,119.59,114648.36,0.610269,2.0316337923334565e-06,3.72098,330.7,0.1935
29,1,120.13,111188.95,0.596166,2.0684778563453657e-06,3.832313,328.9,0.1946
30,1,120.67,107960.64,0.598879,2.105321920357275e-06,3.604294,329.4,0.1943
31,1,121.21,104942.65,0.60671,2.1421659843691842e-06,3.026298,333.7,0.1918
32,1,121.75,102108.61,0.566447,2.1790100483810935e-06,3.215204,329.9,0.194
33,1,122.29,99447.53,0.588128,2.2158541123930023e-06,2.999981,329.7,0.1941
34,1,122.83,96947.45,0.579895,2.252698176404911e-06,2.433733,320.2,0.1999
35,1,123.36,94579.53,0.552889,2.2895422404168204e-06,2.310341,329.2,0.1944
36,1,123.9,92351.58,0.577531,2.3263863044287297e-06,2.341221,324.1,0.1975
37,1,124.44,90243.42,0.566633,2.363230368440639e-06,1.966168,325.4,0.1967
38,1,124.98,88246.18,0.587626,2.400074432452548e-06,3.161164,324.6,0.1972
39,1,125.52,86355.9,0.564539,2.436918496464457e-06,2.257334,327.3,0.1955
40,1,126.06,84557.96,0.566258,2.4737625604763663e-06,1.297441,316.2,0.2024
41,1,126.61,82846.59,0.549024,2.5106066244882756e-06,1.816746,329.5,0.1942
42,1,127.14,81215.15,0.525416,2.547450688500185e-06,3.030501,324.4,0.1973
43,1,127.68,79658.35,0.548499,2.584294752512094e-06,2.533607,329.8,0.1941
44,1,128.23,78177.21,0.535878,2.6211388165240034e-06,1.695998,321.1,0.1993
45,1,128.76,76756.1,0.55041,2.6579828805359126e-06,1.578331,329.2,0.1944
46,1,129.3,75400.68,0.575809,2.694826944547822e-06,1.644079,324.9,0.197
47,1,129.84,74098.88,0.540644,2.731671008559731e-06,1.711831,326.9,0.1958
48,1,130.38,72855.58,0.559099,2.7685150725716404e-06,2.00887,321.3,0.1992
49,1,130.91,71658.38,0.538981,2.8053591365835492e-06,1.340409,324.4,0.1973
50,1,131.45,70511.43,0.55661,2.8422032005954585e-06,2.103046,331.0,0.1933
51,1,131.99,69410.17,0.535448,2.8790472646073677e-06,1.327444,327.0,0.1957
52,1,132.53,68350.54,0.582137,2.915891328619277e-06,1.585024,330.4,0.1937
53,1,133.08,67335.37,0.56609,2.9527353926311863e-06,1.927228,318.3,0.2011
54,1,133.62,66353.36,0.504645,2.9895794566430955e-06,1.312474,323.4,0.1979
