step,epoch,stage,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,pretrain_chestxray14,186.03,2392127.95,0.86809,1.0769828926905133e-06,7.8127,0.4,169.6699
2,1,pretrain_chestxray14,187.19,1203461.31,0.850563,1.1539657853810265e-06,8.053073,476.4,0.1344
3,1,pretrain_chestxray14,187.53,803712.22,0.843099,1.2309486780715397e-06,8.163578,471.2,0.1358
4,1,pretrain_chestxray14,187.88,603850.67,0.844043,1.3079315707620528e-06,7.61549,468.4,0.1366
5,1,pretrain_chestxray14,188.22,483919.65,0.825431,1.384914463452566e-06,7.673604,479.1,0.1336
6,1,pretrain_chestxray14,188.57,403981.19,0.811213,1.4618973561430794e-06,8.06319,465.8,0.1374
7,1,pretrain_chestxray14,188.91,346868.66,0.779956,1.5388802488335926e-06,7.142341,477.1,0.1342
8,1,pretrain_chestxray14,189.26,304041.64,0.771357,1.615863141524106e-06,8.044724,463.8,0.138
9,1,pretrain_chestxray14,189.6,270725.06,0.762157,1.6928460342146193e-06,8.0779,471.8,0.1357
10,1,pretrain_chestxray14,189.94,244074.24,0.755367,1.7698289269051325e-06,8.218712,475.9,0.1345
11,1,pretrain_chestxray14,190.29,222271.23,0.725159,1.8468118195956457e-06,8.73384,471.7,0.1357
12,1,pretrain_chestxray14,190.63,204098.57,0.710029,1.923794712286159e-06,8.684881,473.1,0.1353
13,1,pretrain_chestxray14,190.98,188729.8,0.693639,2.0007776049766722e-06,8.45507,452.6,0.1414
14,1,pretrain_chestxray14,191.32,175545.88,0.677697,2.0777604976671854e-06,8.182096,469.3,0.1364
15,1,pretrain_chestxray14,191.66,164124.15,0.672704,2.1547433903576986e-06,8.919737,471.2,0.1358
16,1,pretrain_chestxray14,192.0,154131.37,0.637668,2.2317262830482117e-06,8.930595,469.1,0.1364
17,1,pretrain_chestxray14,192.35,145313.62,0.606073,2.3087091757387253e-06,10.609505,468.1,0.1367
18,1,pretrain_chestxray14,192.69,137473.15,0.584424,2.3856920684292385e-06,9.134795,479.7,0.1334
