step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,153.82,4133104.48,0.659371,1.0368440640119094e-06,3.130481,0.4,144.8959
2,1,154.05,2069454.76,0.660236,1.0736881280238187e-06,3.347593,296.1,0.2161
3,1,154.59,1384436.59,0.668798,1.1105321920357277e-06,2.861868,300.1,0.2132
4,1,155.15,1042086.35,0.66323,1.147376256047637e-06,2.565146,297.1,0.2154
5,1,155.71,836607.99,0.667081,1.1842203200595463e-06,2.616904,292.5,0.2188
6,1,156.28,699701.61,0.668511,1.2210643840714553e-06,2.469643,292.8,0.2186
7,1,156.84,601893.04,0.661559,1.2579084480833646e-06,2.738884,279.9,0.2286
8,1,157.4,528505.6,0.659117,1.2947525120952738e-06,3.165198,291.2,0.2198
9,1,157.96,471440.77,0.650242,1.331596576107183e-06,2.856538,287.2,0.2228
10,1,158.53,425805.65,0.6673,1.3684406401190921e-06,2.382191,284.4,0.2251
11,1,159.09,388453.06,0.649482,1.4052847041310014e-06,2.744568,284.1,0.2253
12,1,159.65,357326.03,0.645515,1.4421287681429106e-06,2.916361,291.8,0.2193
13,1,160.22,331003.42,0.658669,1.4789728321548197e-06,2.345104,279.8,0.2287
14,1,160.78,308415.76,0.648758,1.5158168961667287e-06,2.588979,286.6,0.2233
15,1,161.35,288866.79,0.635977,1.552660960178638e-06,2.984099,280.7,0.228
16,1,161.9,271734.83,0.632996,1.589505024190547e-06,2.84429,288.4,0.2219
17,1,162.46,256626.76,0.648926,1.6263490882024563e-06,2.361436,290.4,0.2203
18,1,163.04,243214.51,0.640545,1.6631931522143654e-06,2.735063,284.3,0.2251
19,1,163.61,231212.32,0.629441,1.7000372162262744e-06,2.961362,283.9,0.2254
20,1,164.18,220407.76,0.635572,1.7368812802381837e-06,2.350763,285.0,0.2245
21,1,164.75,210633.86,0.626065,1.7737253442500927e-06,2.542264,282.8,0.2263
22,1,165.32,201746.23,0.62052,1.8105694082620018e-06,2.537946,282.6,0.2265
23,1,165.88,193622.41,0.637935,1.8474134722739108e-06,2.085258,288.2,0.2221
24,1,166.45,186184.9,0.612507,1.8842575362858199e-06,2.349766,284.7,0.2248
25,1,167.02,179341.82,0.617219,1.921101600297729e-06,2.173996,286.7,0.2233
26,1,167.59,173029.65,0.614385,1.957945664309638e-06,2.648186,278.9,0.2295
27,1,168.15,167176.34,0.634364,1.994789728321547e-06,1.691534,288.1,0.2221
28,1,168.73,161749.36,0.61662,2.0316337923334565e-06,2.434112,283.7,0.2256
29,1,169.3,156696.74,0.613266,2.0684778563453657e-06,2.032915,287.1,0.2229
30,1,169.87,151977.11,0.634015,2.105321920357275e-06,1.710462,286.6,0.2233
31,1,170.45,147567.16,0.642723,2.1421659843691842e-06,2.322713,279.6,0.2289
32,1,171.01,143423.21,0.618936,2.1790100483810935e-06,1.885101,284.1,0.2253
33,1,171.59,139542.12,0.62443,2.2158541123930023e-06,2.255525,282.3,0.2267
34,1,172.16,135886.11,0.62262,2.252698176404911e-06,1.737939,275.9,0.232
35,1,172.72,132430.64,0.600104,2.2895422404168204e-06,2.132133,286.0,0.2237
