step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,93.45,2510824.45,0.73819,1.0368440640119094e-06,3.831919,0.7,85.6319
2,1,93.58,1257122.28,0.753872,1.0736881280238187e-06,4.675282,513.4,0.1247
3,1,93.91,840994.56,0.747647,1.1105321920357277e-06,3.989393,518.1,0.1235
4,1,94.24,632947.8,0.731024,1.147376256047637e-06,3.631213,509.5,0.1256
5,1,94.57,508141.44,0.741771,1.1842203200595463e-06,3.785171,506.3,0.1264
6,1,94.91,424958.92,0.727012,1.2210643840714553e-06,3.422381,511.4,0.1252
7,1,95.24,365509.39,0.73782,1.2579084480833646e-06,3.890382,516.6,0.1239
8,1,95.58,320931.23,0.733934,1.2947525120952738e-06,3.730285,511.0,0.1252
9,1,95.92,286281.73,0.727255,1.331596576107183e-06,3.962625,512.3,0.1249
10,1,96.25,258539.32,0.710198,1.3684406401190921e-06,3.044634,514.9,0.1243
11,1,96.59,235844.77,0.723617,1.4052847041310014e-06,3.802529,508.5,0.1259
12,1,96.93,216939.62,0.722594,1.4421287681429106e-06,3.831823,514.5,0.1244
13,1,97.26,200931.02,0.721008,1.4789728321548197e-06,3.200777,515.7,0.1241
14,1,97.6,187219.64,0.707257,1.5158168961667287e-06,3.245345,510.8,0.1253
15,1,97.93,175335.24,0.713052,1.552660960178638e-06,3.818519,511.7,0.1251
16,1,98.28,164944.78,0.713272,1.589505024190547e-06,3.460614,495.2,0.1292
17,1,98.61,155756.12,0.715189,1.6263490882024563e-06,3.502579,516.5,0.1239
18,1,98.94,147597.1,0.71117,1.6631931522143654e-06,3.570364,512.7,0.1248
19,1,99.28,140304.22,0.705076,1.7000372162262744e-06,3.775547,496.7,0.1289
20,1,99.61,133728.5,0.705272,1.7368812802381837e-06,3.080482,514.2,0.1245
21,1,99.96,127798.79,0.6951,1.7737253442500927e-06,3.062755,486.1,0.1317
22,1,100.29,122395.2,0.692467,1.8105694082620018e-06,3.423305,500.9,0.1278
23,1,100.63,117462.53,0.688553,1.8474134722739108e-06,3.019565,500.4,0.1279
24,1,100.97,112939.33,0.687239,1.8842575362858199e-06,3.092921,497.5,0.1286
25,1,101.3,108772.9,0.68755,1.921101600297729e-06,2.935086,512.1,0.125
26,1,101.64,104936.8,0.682126,1.957945664309638e-06,3.272033,498.2,0.1285
