step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,88.85,2387427.28,0.732,1.0368440640119094e-06,5.25355,0.8,81.9791
2,1,88.98,1195334.29,0.721973,1.0736881280238187e-06,4.67341,540.1,0.1185
3,1,89.31,799822.44,0.733693,1.1105321920357277e-06,4.378968,544.8,0.1175
4,1,89.64,602082.21,0.705441,1.147376256047637e-06,3.940121,540.5,0.1184
5,1,89.98,483465.76,0.719379,1.1842203200595463e-06,4.347783,532.5,0.1202
6,1,90.32,404402.98,0.718138,1.2210643840714553e-06,4.275316,530.3,0.1207
7,1,90.66,347902.63,0.705678,1.2579084480833646e-06,4.352777,523.4,0.1223
8,1,90.99,305516.9,0.710688,1.2947525120952738e-06,4.310206,532.8,0.1201
9,1,91.33,272575.31,0.678945,1.331596576107183e-06,4.0621,545.2,0.1174
10,1,91.67,246212.44,0.696843,1.3684406401190921e-06,3.251294,529.6,0.1209
11,1,92.0,224644.31,0.687209,1.4052847041310014e-06,3.56083,519.7,0.1231
12,1,92.34,206671.44,0.680962,1.4421287681429106e-06,3.784915,530.0,0.1208
13,1,92.67,191455.91,0.685867,1.4789728321548197e-06,3.604565,542.7,0.1179
14,1,93.01,178426.41,0.670585,1.5158168961667287e-06,3.166481,525.9,0.1217
15,1,93.35,167127.65,0.674831,1.552660960178638e-06,3.829146,527.5,0.1213
16,1,93.68,157235.98,0.659524,1.589505024190547e-06,3.309156,533.2,0.12
17,1,94.02,148519.66,0.67008,1.6263490882024563e-06,3.176749,524.4,0.122
18,1,94.36,140765.08,0.646887,1.6631931522143654e-06,3.407959,532.8,0.1201
19,1,94.7,133831.89,0.652951,1.7000372162262744e-06,3.75195,518.3,0.1235
20,1,95.03,127583.78,0.655821,1.7368812802381837e-06,3.016416,533.2,0.12
21,1,95.38,121950.7,0.642694,1.7737253442500927e-06,3.076076,517.4,0.1237
22,1,95.72,116811.05,0.634798,1.8105694082620018e-06,3.428146,524.4,0.122
23,1,96.06,112121.93,0.637778,1.8474134722739108e-06,2.464472,524.2,0.1221
24,1,96.39,107822.44,0.628484,1.8842575362858199e-06,2.752305,535.0,0.1196
25,1,96.73,103864.09,0.636744,1.921101600297729e-06,2.933944,541.7,0.1182
26,1,97.07,100217.27,0.60771,1.957945664309638e-06,3.198,521.7,0.1227
27,1,97.41,96841.97,0.650995,1.994789728321547e-06,1.97954,519.4,0.1232
28,1,97.74,93698.52,0.627157,2.0316337923334565e-06,2.466088,540.4,0.1184
29,1,98.09,90784.54,0.617254,2.0684778563453657e-06,2.374016,506.7,0.1263
30,1,98.42,88053.74,0.634442,2.105321920357275e-06,1.988795,540.9,0.1183
31,1,98.76,85500.55,0.632723,2.1421659843691842e-06,2.455164,540.4,0.1184
32,1,99.1,83112.92,0.627525,2.1790100483810935e-06,2.379037,526.6,0.1215
33,1,99.44,80869.99,0.625104,2.2158541123930023e-06,2.353619,527.6,0.1213
34,1,99.78,78754.8,0.616068,2.252698176404911e-06,1.867884,531.9,0.1203
35,1,100.12,76760.7,0.593472,2.2895422404168204e-06,2.789119,534.1,0.1198
36,1,100.46,74881.55,0.616768,2.3263863044287297e-06,2.507324,536.2,0.1193
37,1,100.8,73098.63,0.594495,2.363230368440639e-06,2.501103,538.5,0.1188
38,1,101.14,71413.89,0.618385,2.400074432452548e-06,1.917884,520.4,0.123
39,1,101.48,69814.49,0.593124,2.436918496464457e-06,2.518934,529.0,0.121
40,1,101.81,68291.2,0.611447,2.4737625604763663e-06,2.290642,540.9,0.1183
41,1,102.15,66846.68,0.583086,2.5106066244882756e-06,1.93496,528.7,0.121
42,1,102.5,65470.57,0.523513,2.547450688500185e-06,2.505386,526.8,0.1215
43,1,102.84,64157.6,0.604581,2.584294752512094e-06,1.773275,533.1,0.12
44,1,103.17,62900.56,0.59196,2.6211388165240034e-06,1.877808,548.2,0.1167
45,1,103.51,61702.56,0.55445,2.6579828805359126e-06,2.565527,533.0,0.1201
46,1,103.84,60554.69,0.581587,2.694826944547822e-06,2.488065,533.5,0.12
47,1,104.18,59457.65,0.579687,2.731671008559731e-06,1.937813,541.8,0.1181
48,1,104.52,58404.86,0.649731,2.7685150725716404e-06,2.661449,530.9,0.1205
49,1,104.86,57395.65,0.565184,2.8053591365835492e-06,1.766352,522.6,0.1225
50,1,105.2,56426.97,0.590037,2.8422032005954585e-06,2.125511,545.5,0.1173
51,1,105.54,55497.41,0.582847,2.8790472646073677e-06,1.916265,528.7,0.121
52,1,105.87,54601.13,0.609947,2.915891328619277e-06,1.901328,540.5,0.1184
53,1,106.21,53741.96,0.577155,2.9527353926311863e-06,1.79409,539.4,0.1186
54,1,106.55,52913.64,0.607434,2.9895794566430955e-06,2.33405,531.7,0.1204
55,1,106.9,52117.11,0.571805,3.0264235206550044e-06,1.932348,520.7,0.1229
56,1,107.24,51346.43,0.545969,3.0632675846669136e-06,1.856748,537.6,0.1191
57,1,107.58,50604.35,0.592175,3.1001116486788225e-06,1.421203,529.6,0.1209
58,1,107.92,49886.63,0.557572,3.1369557126907313e-06,2.41477,533.5,0.12
59,1,108.26,49193.9,0.546754,3.1737997767026406e-06,2.102687,533.1,0.12
60,1,108.59,48521.94,0.518363,3.21064384071455e-06,1.966341,541.7,0.1181
61,1,108.94,47877.44,0.542745,3.2474879047264586e-06,2.032484,528.0,0.1212
62,1,109.27,47249.06,0.603053,3.284331968738368e-06,2.342997,541.5,0.1182
63,1,109.62,46642.81,0.545087,3.321176032750277e-06,1.799785,536.7,0.1192
64,1,109.96,46055.37,0.54795,3.3580200967621864e-06,1.602175,525.6,0.1218
65,1,110.3,45485.5,0.565005,3.3948641607740957e-06,1.59374,529.1,0.121
66,1,110.64,44932.26,0.575081,3.431708224786005e-06,2.04996,539.6,0.1186
67,1,110.98,44395.66,0.517973,3.468552288797914e-06,1.65366,543.0,0.1179
68,1,111.32,43875.54,0.628171,3.5053963528098235e-06,2.68533,541.5,0.1182
69,1,111.65,43368.69,0.550813,3.5422404168217327e-06,2.123239,543.9,0.1177
70,1,112.0,42878.56,0.543833,3.579084480833642e-06,2.458412,525.9,0.1217
71,1,112.33,42400.26,0.548346,3.6159285448455512e-06,1.602586,537.4,0.1191
72,1,112.68,41937.01,0.647397,3.6527726088574605e-06,2.85772,529.6,0.1208
73,1,113.01,41485.74,0.604368,3.6896166728693693e-06,2.817396,527.7,0.1213
74,1,113.36,41047.44,0.555623,3.7264607368812786e-06,1.675057,527.8,0.1213
75,1,113.7,40619.44,0.537483,3.7633048008931883e-06,1.626808,539.8,0.1186
76,1,114.03,40203.13,0.598115,3.800148864905097e-06,2.117476,540.1,0.1185
77,1,114.38,39798.09,0.559636,3.836992928917006e-06,2.27547,521.7,0.1227
78,1,114.71,39403.08,0.577905,3.873836992928915e-06,1.959069,541.2,0.1182
79,1,115.05,39018.0,0.530969,3.9106810569408245e-06,2.040059,534.4,0.1198
80,1,115.39,38642.25,0.599578,3.947525120952734e-06,2.661866,526.6,0.1215
81,1,115.74,38278.15,0.587015,3.984369184964643e-06,2.018295,527.2,0.1214
82,1,116.08,37919.84,0.580256,4.021213248976552e-06,1.803151,539.0,0.1187
83,1,116.42,37571.59,0.534915,4.0580573129884615e-06,1.95226,534.8,0.1197
84,1,116.76,37231.8,0.599062,4.094901377000371e-06,2.201557,539.0,0.1187
85,1,117.1,36900.82,0.571671,4.13174544101228e-06,1.831788,513.7,0.1246
86,1,117.43,36573.38,0.570683,4.168589505024189e-06,1.926874,538.6,0.1188
87,1,117.78,36258.48,0.480189,4.2054335690360985e-06,2.367502,532.1,0.1203
88,1,118.12,35948.6,0.507023,4.242277633048008e-06,1.938409,530.3,0.1207
89,1,118.46,35644.36,0.551424,4.279121697059917e-06,2.054837,528.6,0.1211
90,1,118.8,35349.33,0.558518,4.3159657610718255e-06,2.310046,527.7,0.1213
91,1,119.14,35059.5,0.56163,4.352809825083735e-06,1.693645,540.7,0.1184
92,1,119.48,34775.71,0.589214,4.389653889095644e-06,1.784837,532.4,0.1202
93,1,119.82,34499.26,0.578692,4.426497953107553e-06,1.867432,524.1,0.1221
94,1,120.15,34226.04,0.58945,4.463342017119462e-06,2.050217,544.3,0.1176
95,1,120.49,33959.61,0.579546,4.50018608113137e-06,1.551021,540.8,0.1183
96,1,120.83,33700.04,0.542984,4.537030145143279e-06,2.120416,523.9,0.1222
97,1,121.17,33445.48,0.526873,4.573874209155189e-06,1.98238,523.7,0.1222
98,1,121.51,33194.87,0.475492,4.610718273167098e-06,1.894776,536.1,0.1194
99,1,121.85,32950.23,0.53718,4.647562337179007e-06,2.714473,536.8,0.1192
100,1,122.19,32710.76,0.551292,4.684406401190916e-06,1.706935,536.6,0.1193
101,1,122.53,32475.85,0.536253,4.721250465202826e-06,1.705936,543.5,0.1178
102,1,122.87,32246.03,0.63439,4.758094529214735e-06,2.741099,527.1,0.1214
103,1,123.22,32021.24,0.561651,4.794938593226644e-06,1.990906,522.3,0.1225
104,1,123.56,31799.82,0.526992,4.831782657238553e-06,1.810007,529.2,0.1209
105,1,123.9,31581.84,0.621893,4.868626721250462e-06,2.350834,528.5,0.1211
106,1,124.24,31368.8,0.592923,4.90547078526237e-06,2.081839,524.7,0.122
107,1,124.58,31159.08,0.530649,4.9423148492742795e-06,1.701469,537.4,0.1191
108,1,124.92,30953.55,0.588845,4.979158913286189e-06,2.072647,532.6,0.1202
109,1,125.26,30752.61,0.541952,5.016002977298098e-06,2.174099,524.6,0.122
110,1,125.6,30554.03,0.587556,5.0528470413100064e-06,1.852784,543.2,0.1178
111,1,125.93,30359.0,0.563116,5.089691105321916e-06,2.444867,538.2,0.1189
112,1,126.28,30169.38,0.577919,5.126535169333825e-06,1.717385,529.2,0.1209
113,1,126.62,29982.33,0.568737,5.163379233345734e-06,2.105322,524.9,0.1219
114,1,126.96,29796.67,0.603488,5.200223297357643e-06,1.820261,545.8,0.1173
115,1,127.3,29615.51,0.616145,5.237067361369552e-06,2.076676,547.6,0.1169
116,1,127.64,29437.51,0.534674,5.273911425381461e-06,1.633731,540.4,0.1184
117,1,127.98,29262.55,0.562089,5.31075548939337e-06,2.253338,526.7,0.1215
118,1,128.31,29090.4,0.529518,5.34759955340528e-06,1.545907,532.4,0.1202
119,1,128.66,28921.52,0.524004,5.384443617417189e-06,2.160788,532.0,0.1203
120,1,128.99,28755.12,0.6016,5.421287681429098e-06,1.620036,524.0,0.1221
121,1,129.34,28592.05,0.585259,5.4581317454410074e-06,2.131428,529.9,0.1208
