step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,238.96,6420677.23,0.688461,1.0368440640119094e-06,2.612494,0.3,231.5531
2,1,239.14,3212661.14,0.698473,1.0736881280238187e-06,2.80652,362.9,0.1764
3,1,239.53,2145127.73,0.698969,1.1105321920357277e-06,2.805673,364.2,0.1757
4,1,239.91,1611371.41,0.699801,1.147376256047637e-06,2.756883,365.6,0.175
5,1,240.3,1291127.81,0.697064,1.1842203200595463e-06,2.385561,373.1,0.1716
6,1,240.68,1077626.16,0.694062,1.2210643840714553e-06,2.424934,373.3,0.1714
7,1,241.08,925150.35,0.702188,1.2579084480833646e-06,2.630496,362.1,0.1768
8,1,241.46,810771.87,0.70006,1.2947525120952738e-06,2.790552,369.9,0.173
9,1,241.85,721810.21,0.699034,1.331596576107183e-06,2.672202,371.3,0.1724
10,1,242.24,650652.4,0.69327,1.3684406401190921e-06,2.229464,367.7,0.1741
11,1,242.63,592425.94,0.699882,1.4052847041310014e-06,2.721626,370.2,0.1729
12,1,243.01,543905.46,0.687186,1.4421287681429106e-06,2.81829,367.6,0.1741
13,1,243.41,502875.9,0.696042,1.4789728321548197e-06,2.386973,346.4,0.1847
14,1,243.81,467691.05,0.718782,1.5158168961667287e-06,3.067558,340.3,0.1881
15,1,244.2,437205.33,0.693722,1.552660960178638e-06,3.300226,335.6,0.1907
16,1,244.59,410510.64,0.710068,1.589505024190547e-06,2.664886,349.9,0.1829
17,1,244.98,386972.49,0.695906,1.6263490882024563e-06,2.658854,339.9,0.1883
18,1,245.36,366021.8,0.693686,1.6631931522143654e-06,2.529864,371.4,0.1723
19,1,245.76,347305.12,0.699751,1.7000372162262744e-06,2.987345,350.4,0.1827
20,1,246.14,330443.9,0.699576,1.7368812802381837e-06,2.639497,361.3,0.1771
21,1,246.54,315208.85,0.709105,1.7737253442500927e-06,2.87161,348.4,0.1837
22,1,246.93,301339.71,0.692039,1.8105694082620018e-06,2.652423,358.1,0.1787
23,1,247.31,288681.03,0.700419,1.8474134722739108e-06,2.547242,357.1,0.1792
24,1,247.7,277077.63,0.706351,1.8842575362858199e-06,2.540625,358.7,0.1784
25,1,248.09,266401.68,0.700063,1.921101600297729e-06,2.74162,360.3,0.1776
26,1,248.48,256543.28,0.682632,1.957945664309638e-06,2.795195,367.8,0.174
27,1,248.86,247417.55,0.695637,1.994789728321547e-06,2.723429,372.0,0.172
28,1,249.26,238949.73,0.709588,2.0316337923334565e-06,3.137067,360.3,0.1776
29,1,249.65,231066.07,0.706291,2.0684778563453657e-06,2.64312,352.9,0.1813
30,1,250.04,223698.49,0.709075,2.105321920357275e-06,2.573671,365.0,0.1753
31,1,250.42,216810.57,0.693264,2.1421659843691842e-06,2.495243,368.6,0.1736
32,1,250.82,210356.91,0.694291,2.1790100483810935e-06,3.114709,359.4,0.1781
33,1,251.21,204291.12,0.674924,2.2158541123930023e-06,2.318943,363.8,0.1759
34,1,251.6,198588.58,0.695691,2.252698176404911e-06,2.351934,349.8,0.1829
35,1,251.99,193207.05,0.688787,2.2895422404168204e-06,2.82205,351.7,0.1819
36,1,252.38,188122.52,0.688439,2.3263863044287297e-06,2.463202,355.5,0.18
37,1,252.77,183316.07,0.692338,2.363230368440639e-06,2.497119,351.6,0.182
38,1,253.16,178757.96,0.688337,2.400074432452548e-06,2.539787,359.5,0.178
39,1,253.54,174432.13,0.685197,2.436918496464457e-06,2.275506,370.5,0.1727
40,1,253.93,170325.84,0.705008,2.4737625604763663e-06,2.609785,369.1,0.1734
41,1,254.33,166422.45,0.695505,2.5106066244882756e-06,2.492279,368.4,0.1737
42,1,254.72,162703.18,0.682291,2.547450688500185e-06,2.746349,365.7,0.175
43,1,255.11,159158.35,0.701923,2.584294752512094e-06,2.763495,358.9,0.1783
44,1,255.5,155774.86,0.698094,2.6211388165240034e-06,2.637935,351.1,0.1823
45,1,255.89,152536.69,0.67195,2.6579828805359126e-06,2.745538,361.9,0.1769
46,1,256.28,149443.37,0.68925,2.694826944547822e-06,2.596714,359.6,0.178
47,1,256.67,146482.93,0.684608,2.731671008559731e-06,2.409229,354.3,0.1807
48,1,257.06,143644.57,0.694161,2.7685150725716404e-06,2.081106,354.6,0.1805
49,1,257.45,140919.04,0.693325,2.8053591365835492e-06,2.509544,362.1,0.1767
50,1,257.84,138306.55,0.684973,2.8422032005954585e-06,2.563902,354.0,0.1808
51,1,258.23,135791.8,0.693121,2.8790472646073677e-06,2.458541,366.1,0.1748
52,1,258.62,133378.51,0.700666,2.915891328619277e-06,2.275632,357.2,0.1792
53,1,259.01,131054.8,0.697069,2.9527353926311863e-06,2.640793,355.2,0.1802
54,1,259.4,128818.15,0.705313,2.9895794566430955e-06,2.427266,350.8,0.1824
55,1,259.79,126657.62,0.691486,3.0264235206550044e-06,2.53683,367.2,0.1743
56,1,260.18,124580.82,0.678303,3.0632675846669136e-06,2.69663,355.2,0.1802
57,1,260.57,122570.75,0.671673,3.1001116486788225e-06,2.813536,369.1,0.1734
58,1,260.96,120637.1,0.685332,3.1369557126907313e-06,3.061017,349.1,0.1834
59,1,261.35,118764.36,0.684774,3.1737997767026406e-06,2.931492,359.7,0.1779
60,1,261.74,116952.94,0.672631,3.21064384071455e-06,2.871085,367.8,0.174
61,1,262.14,115206.41,0.677821,3.2474879047264586e-06,2.555286,355.0,0.1803
62,1,262.53,113514.54,0.695029,3.284331968738368e-06,2.32161,346.0,0.185
63,1,262.91,111869.57,0.669289,3.321176032750277e-06,2.576146,368.1,0.1739
64,1,263.3,110280.65,0.679644,3.3580200967621864e-06,2.749748,367.9,0.174
65,1,263.69,108742.07,0.670308,3.3948641607740957e-06,2.379786,359.4,0.1781
66,1,264.08,107246.92,0.694031,3.431708224786005e-06,2.774817,369.6,0.1731
67,1,264.48,105802.57,0.672032,3.468552288797914e-06,2.699456,343.5,0.1863
68,1,264.86,104392.9,0.689331,3.5053963528098235e-06,2.381761,365.4,0.1751
69,1,265.25,103029.09,0.670175,3.5422404168217327e-06,2.881619,356.0,0.1798
70,1,265.64,101701.74,0.668058,3.579084480833642e-06,2.613423,362.3,0.1767
71,1,266.04,100415.84,0.683109,3.6159285448455512e-06,2.596123,344.6,0.1857
72,1,266.42,99158.59,0.694889,3.6527726088574605e-06,2.123254,367.1,0.1744
73,1,266.81,97942.26,0.693056,3.6896166728693693e-06,2.468972,349.8,0.183
74,1,267.2,96756.9,0.683633,3.7264607368812786e-06,2.524498,350.8,0.1825
75,1,267.58,95599.12,0.676883,3.7633048008931883e-06,2.583175,367.7,0.1741
76,1,267.97,94474.48,0.685362,3.800148864905097e-06,2.21496,369.6,0.1732
77,1,268.36,93378.51,0.680061,3.836992928917006e-06,2.710652,372.0,0.172
78,1,268.75,92311.48,0.679509,3.873836992928915e-06,2.241866,370.4,0.1728
79,1,269.14,91272.12,0.677091,3.9106810569408245e-06,2.583169,366.8,0.1745
80,1,269.53,90257.72,0.663107,3.947525120952734e-06,2.8562,368.8,0.1736
81,1,269.92,89270.92,0.658406,3.984369184964643e-06,2.263356,360.1,0.1777
82,1,270.31,88306.29,0.678596,4.021213248976552e-06,3.078038,355.2,0.1802
83,1,270.7,87363.74,0.671241,4.0580573129884615e-06,2.503985,362.4,0.1766
