step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,224.53,6032896.19,0.683152,1.0368440640119094e-06,2.680738,0.3,214.6861
2,1,224.69,3018479.55,0.692686,1.0736881280238187e-06,2.919256,411.3,0.1556
3,1,225.06,2015583.95,0.688147,1.1105321920357277e-06,2.806969,418.5,0.1529
4,1,225.44,1514172.0,0.681539,1.147376256047637e-06,2.842751,413.5,0.1548
5,1,225.82,1213323.17,0.686132,1.1842203200595463e-06,2.527617,414.9,0.1543
6,1,226.2,1012757.03,0.682198,1.2210643840714553e-06,2.517067,410.8,0.1558
7,1,226.57,869490.45,0.689008,1.2579084480833646e-06,2.69544,412.8,0.155
8,1,226.95,762047.75,0.68912,1.2947525120952738e-06,2.830882,413.3,0.1548
9,1,227.33,678473.67,0.690572,1.331596576107183e-06,3.002511,416.2,0.1538
10,1,227.71,611619.65,0.678304,1.3684406401190921e-06,2.396418,414.0,0.1546
11,1,228.09,556926.52,0.687628,1.4052847041310014e-06,2.790829,409.7,0.1562
12,1,228.46,511340.21,0.67638,1.4421287681429106e-06,2.912803,412.0,0.1553
13,1,228.85,472777.04,0.680799,1.4789728321548197e-06,2.626353,401.8,0.1593
14,1,229.22,439710.59,0.694832,1.5158168961667287e-06,3.325959,409.4,0.1563
15,1,229.6,411055.01,0.682722,1.552660960178638e-06,3.347522,411.9,0.1554
16,1,229.98,385998.56,0.691653,1.589505024190547e-06,2.821117,389.6,0.1643
17,1,230.36,363873.65,0.68794,1.6263490882024563e-06,2.759256,401.9,0.1592
18,1,230.73,344202.49,0.680795,1.6631931522143654e-06,2.654505,414.3,0.1545
19,1,231.11,326613.23,0.686532,1.7000372162262744e-06,3.298403,408.0,0.1568
20,1,231.5,310784.19,0.680754,1.7368812802381837e-06,2.731429,398.5,0.1606
21,1,231.88,296464.35,0.690822,1.7737253442500927e-06,2.964515,390.9,0.1637
22,1,232.25,283428.6,0.682322,1.8105694082620018e-06,2.79866,417.0,0.1535
23,1,232.63,271537.91,0.68206,1.8474134722739108e-06,2.62628,414.2,0.1545
24,1,233.01,260646.14,0.685679,1.8842575362858199e-06,2.794585,393.3,0.1627
25,1,233.39,250618.83,0.684366,1.921101600297729e-06,3.09001,391.6,0.1634
26,1,233.77,241354.14,0.674323,1.957945664309638e-06,2.910454,411.4,0.1556
27,1,234.15,232787.03,0.67415,1.994789728321547e-06,2.602978,399.8,0.1601
28,1,234.53,224827.71,0.691973,2.0316337923334565e-06,3.269508,400.5,0.1598
29,1,234.9,217414.85,0.69102,2.0684778563453657e-06,2.718146,406.9,0.1573
30,1,235.29,210504.28,0.68576,2.105321920357275e-06,2.656522,391.6,0.1634
31,1,235.66,204026.01,0.680864,2.1421659843691842e-06,2.530325,413.2,0.1549
32,1,236.04,197964.02,0.680119,2.1790100483810935e-06,2.981185,399.1,0.1604
33,1,236.41,192260.86,0.666769,2.2158541123930023e-06,2.554776,413.7,0.1547
34,1,236.8,186903.69,0.678832,2.252698176404911e-06,2.560749,394.7,0.1622
35,1,237.17,181844.78,0.676851,2.2895422404168204e-06,3.430802,404.5,0.1582
36,1,237.56,177077.41,0.673638,2.3263863044287297e-06,2.781544,380.9,0.168
37,1,237.94,172556.65,0.684132,2.363230368440639e-06,2.611219,394.3,0.1623
38,1,238.31,168273.1,0.67033,2.400074432452548e-06,2.7057,408.5,0.1567
39,1,238.69,164213.08,0.678767,2.436918496464457e-06,2.379056,410.0,0.1561
40,1,239.07,160357.99,0.682851,2.4737625604763663e-06,2.806636,399.7,0.1601
41,1,239.45,156687.86,0.682374,2.5106066244882756e-06,2.726572,411.2,0.1556
42,1,239.83,153194.76,0.668108,2.547450688500185e-06,2.948056,405.1,0.158
43,1,240.21,149862.1,0.682497,2.584294752512094e-06,2.845499,410.7,0.1558
44,1,240.59,146681.63,0.686238,2.6211388165240034e-06,2.676244,412.5,0.1552
45,1,240.97,143643.19,0.662851,2.6579828805359126e-06,2.987132,409.1,0.1564
46,1,241.35,140739.92,0.673231,2.694826944547822e-06,2.632173,394.9,0.1621
47,1,241.73,137955.66,0.672448,2.731671008559731e-06,2.534047,401.8,0.1593
48,1,242.1,135286.19,0.679537,2.7685150725716404e-06,2.316004,411.5,0.1555
49,1,242.49,132731.86,0.680885,2.8053591365835492e-06,2.658389,394.0,0.1624
50,1,242.87,130275.28,0.669678,2.8422032005954585e-06,2.949852,396.2,0.1615
51,1,243.25,127916.22,0.681336,2.8790472646073677e-06,2.569957,393.5,0.1626
52,1,243.62,125644.72,0.677333,2.915891328619277e-06,2.458877,407.6,0.157
53,1,244.01,123462.1,0.680638,2.9527353926311863e-06,2.851338,405.3,0.1579
54,1,244.38,121359.29,0.686607,2.9895794566430955e-06,2.567744,407.8,0.157
55,1,244.76,119333.96,0.674643,3.0264235206550044e-06,2.77546,404.7,0.1581
56,1,245.14,117378.91,0.662084,3.0632675846669136e-06,2.970178,411.7,0.1555
57,1,245.52,115494.0,0.660633,3.1001116486788225e-06,2.977993,411.4,0.1556
58,1,245.91,113676.22,0.671579,3.1369557126907313e-06,2.807481,396.2,0.1615
59,1,246.28,111915.07,0.676124,3.1737997767026406e-06,2.729,410.4,0.156
60,1,246.66,110214.8,0.66081,3.21064384071455e-06,3.048367,410.7,0.1558
61,1,247.04,108572.2,0.664992,3.2474879047264586e-06,2.706465,406.0,0.1576
