step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,238.81,6416539.72,0.706946,1.0368440640119094e-06,2.767183,0.3,227.9197
2,1,238.98,3210508.59,0.704819,1.0736881280238187e-06,2.621832,377.1,0.1697
3,1,239.37,2143702.66,0.72163,1.1105321920357277e-06,2.71371,375.9,0.1702
4,1,239.76,1610319.94,0.724245,1.147376256047637e-06,2.860449,370.4,0.1728
5,1,240.15,1290307.36,0.724451,1.1842203200595463e-06,2.825832,373.3,0.1714
6,1,240.53,1076946.04,0.730385,1.2210643840714553e-06,2.577345,373.9,0.1711
7,1,240.92,924557.03,0.724952,1.2579084480833646e-06,2.639295,368.9,0.1735
8,1,241.31,810262.27,0.697389,1.2947525120952738e-06,2.636747,372.3,0.1719
9,1,241.72,721430.05,0.728254,1.331596576107183e-06,3.057993,329.8,0.1941
10,1,242.09,650259.66,0.71491,1.3684406401190921e-06,2.80729,368.2,0.1738
11,1,242.48,592070.69,0.725949,1.4052847041310014e-06,2.803992,369.6,0.1731
12,1,242.87,543581.96,0.723766,1.4421287681429106e-06,2.73253,367.5,0.1741
13,1,243.26,502553.57,0.733158,1.4789728321548197e-06,3.160468,369.8,0.1731
14,1,243.65,467385.06,0.74219,1.5158168961667287e-06,2.605719,370.0,0.173
15,1,244.04,436907.21,0.724208,1.552660960178638e-06,2.797429,368.3,0.1737
16,1,244.43,410240.09,0.733347,1.589505024190547e-06,3.171254,368.0,0.1739
17,1,244.81,386705.33,0.677414,1.6263490882024563e-06,2.494979,368.1,0.1739
18,1,245.2,365789.22,0.685761,1.6631931522143654e-06,2.007913,369.0,0.1734
19,1,245.59,347072.97,0.708008,1.7000372162262744e-06,2.733587,369.3,0.1733
20,1,245.98,330227.57,0.700025,1.7368812802381837e-06,2.517104,371.1,0.1725
21,1,246.37,314992.75,0.715874,1.7737253442500927e-06,3.093239,368.5,0.1737
22,1,246.76,301139.61,0.707875,1.8105694082620018e-06,2.799509,365.9,0.1749
23,1,247.15,288490.24,0.712376,1.8474134722739108e-06,2.768836,366.0,0.1749
24,1,247.54,276895.35,0.728194,1.8842575362858199e-06,2.761308,367.0,0.1744
25,1,247.93,266227.67,0.703452,1.921101600297729e-06,2.875677,368.0,0.1739
26,1,248.33,256388.47,0.723974,1.957945664309638e-06,2.661396,352.0,0.1818
27,1,248.71,247263.74,0.710668,1.994789728321547e-06,2.440089,370.2,0.1729
28,1,249.1,238798.61,0.714648,2.0316337923334565e-06,3.162718,364.9,0.1754
29,1,249.49,230916.0,0.731415,2.0684778563453657e-06,3.106196,368.7,0.1736
30,1,249.88,223558.92,0.723081,2.105321920357275e-06,2.695191,368.8,0.1735
31,1,250.27,216676.68,0.700998,2.1421659843691842e-06,2.477524,367.4,0.1742
32,1,250.67,210231.67,0.7022,2.1790100483810935e-06,2.601381,350.4,0.1827
33,1,251.06,204169.53,0.69915,2.2158541123930023e-06,2.542986,354.5,0.1805
34,1,251.44,198460.87,0.714609,2.252698176404911e-06,2.456143,367.0,0.1744
35,1,251.84,193086.18,0.711642,2.2895422404168204e-06,2.488936,356.0,0.1798
36,1,252.22,188002.25,0.734442,2.3263863044287297e-06,2.708871,368.2,0.1738
37,1,252.61,183196.39,0.702974,2.363230368440639e-06,2.733316,369.0,0.1735
38,1,253.0,178643.46,0.703301,2.400074432452548e-06,2.869401,369.4,0.1732
39,1,253.4,174329.43,0.720928,2.436918496464457e-06,2.864055,354.6,0.1805
40,1,253.78,170222.21,0.708278,2.4737625604763663e-06,2.780709,368.9,0.1735
41,1,254.17,166320.22,0.707233,2.5106066244882756e-06,2.699288,369.0,0.1735
42,1,254.56,162603.11,0.709007,2.547450688500185e-06,2.356918,368.0,0.1739
43,1,254.95,159058.92,0.712762,2.584294752512094e-06,3.076834,367.5,0.1741
44,1,255.34,155675.57,0.71847,2.6211388165240034e-06,2.813166,367.0,0.1744
45,1,255.73,152441.92,0.704283,2.6579828805359126e-06,2.568988,370.0,0.173
46,1,256.12,149349.83,0.71191,2.694826944547822e-06,2.792518,368.4,0.1737
47,1,256.51,146388.56,0.694162,2.731671008559731e-06,2.529312,369.4,0.1733
48,1,256.9,143555.01,0.700239,2.7685150725716404e-06,2.643656,354.0,0.1808
49,1,257.29,140829.89,0.694973,2.8053591365835492e-06,2.760043,369.5,0.1732
50,1,257.68,138217.14,0.705033,2.8422032005954585e-06,2.840375,367.7,0.1741
51,1,258.07,135709.82,0.715933,2.8790472646073677e-06,2.786708,356.0,0.1798
52,1,258.45,133293.06,0.688619,2.915891328619277e-06,2.616688,366.3,0.1747
53,1,258.85,130972.68,0.687517,2.9527353926311863e-06,2.995281,357.2,0.1792
54,1,259.23,128733.09,0.686556,2.9895794566430955e-06,2.46405,369.3,0.1733
55,1,259.62,126576.97,0.699761,3.0264235206550044e-06,2.457851,371.3,0.1723
56,1,260.01,124499.13,0.703365,3.0632675846669136e-06,2.134017,366.0,0.1749
57,1,260.41,122496.03,0.697938,3.1001116486788225e-06,2.642683,356.3,0.1796
58,1,260.79,120557.28,0.702135,3.1369557126907313e-06,2.671477,366.9,0.1744
59,1,261.18,118685.96,0.708771,3.1737997767026406e-06,2.530012,371.1,0.1725
60,1,261.57,116876.87,0.717959,3.21064384071455e-06,2.669258,370.7,0.1727
61,1,261.97,115132.09,0.711775,3.2474879047264586e-06,2.534321,354.0,0.1808
62,1,262.35,113436.35,0.685914,3.284331968738368e-06,2.335284,368.0,0.1739
63,1,262.75,111800.16,0.702012,3.321176032750277e-06,2.659611,353.8,0.1809
64,1,263.13,110209.11,0.68965,3.3580200967621864e-06,2.314212,370.1,0.1729
65,1,263.52,108669.9,0.681568,3.3948641607740957e-06,2.121351,368.6,0.1736
66,1,263.9,107177.13,0.697278,3.431708224786005e-06,2.522379,371.3,0.1724
67,1,264.29,105728.98,0.695427,3.468552288797914e-06,2.469301,369.8,0.1731
68,1,264.68,104323.61,0.698428,3.5053963528098235e-06,2.676882,369.9,0.173
69,1,265.07,102959.0,0.699337,3.5422404168217327e-06,2.431374,369.7,0.1731
70,1,265.46,101633.24,0.696636,3.579084480833642e-06,2.779247,370.1,0.1729
71,1,265.85,100344.94,0.694872,3.6159285448455512e-06,2.72752,366.1,0.1748
72,1,266.24,99094.3,0.688102,3.6527726088574605e-06,2.591093,355.7,0.1799
73,1,266.63,97873.41,0.693792,3.6896166728693693e-06,2.94255,370.0,0.173
74,1,267.02,96688.6,0.684519,3.7264607368812786e-06,3.322576,365.7,0.175
75,1,267.41,95536.92,0.695681,3.7633048008931883e-06,2.252425,353.6,0.181
76,1,267.8,94413.35,0.69896,3.800148864905097e-06,2.332712,356.1,0.1797
77,1,268.18,93317.42,0.677059,3.836992928917006e-06,2.199108,368.3,0.1738
78,1,268.58,92254.27,0.696151,3.873836992928915e-06,2.521396,349.8,0.183
79,1,268.97,91213.46,0.700155,3.9106810569408245e-06,2.544483,361.1,0.1772
80,1,269.36,90201.31,0.691322,3.947525120952734e-06,2.636431,352.8,0.1814
81,1,269.75,89213.83,0.702791,3.984369184964643e-06,2.901386,355.2,0.1802
82,1,270.14,88250.27,0.693224,4.021213248976552e-06,2.762336,353.0,0.1813
83,1,270.52,87306.68,0.697032,4.0580573129884615e-06,2.518191,371.3,0.1724
84,1,270.91,86387.89,0.701203,4.094901377000371e-06,2.798592,370.4,0.1728
85,1,271.3,85490.67,0.689475,4.13174544101228e-06,2.407748,370.9,0.1726
86,1,271.69,84616.58,0.680148,4.168589505024189e-06,2.521998,353.8,0.1809
87,1,272.07,83758.29,0.676422,4.2054335690360985e-06,2.582474,368.6,0.1736
88,1,272.46,82920.99,0.679014,4.242277633048008e-06,2.730278,371.4,0.1723
89,1,272.85,82103.09,0.683433,4.279121697059917e-06,2.295597,369.7,0.1731
90,1,273.24,81303.5,0.679326,4.3159657610718255e-06,2.86377,369.5,0.1732
91,1,273.63,80521.08,0.696636,4.352809825083735e-06,2.213953,370.6,0.1727
92,1,274.02,79756.44,0.690194,4.389653889095644e-06,2.500492,368.2,0.1738
93,1,274.41,79009.06,0.683544,4.426497953107553e-06,2.320377,355.7,0.1799
94,1,274.79,78274.74,0.675869,4.463342017119462e-06,2.612894,366.8,0.1745
95,1,275.18,77556.95,0.695508,4.50018608113137e-06,2.443532,372.0,0.172
96,1,275.57,76854.75,0.670903,4.537030145143279e-06,2.444762,368.2,0.1738
97,1,275.96,76168.7,0.660702,4.573874209155189e-06,2.179169,353.9,0.1808
98,1,276.34,75492.79,0.687025,4.610718273167098e-06,2.938162,368.9,0.1735
99,1,276.74,74834.31,0.677659,4.647562337179007e-06,2.247003,355.5,0.18
100,1,277.12,74185.86,0.678058,4.684406401190916e-06,2.054675,366.7,0.1745
101,1,277.52,73552.74,0.684261,4.721250465202826e-06,2.262891,360.9,0.1773
102,1,277.91,72931.61,0.684279,4.758094529214735e-06,2.149752,353.6,0.181
103,1,278.29,72320.18,0.680512,4.794938593226644e-06,2.362258,368.5,0.1737
104,1,278.68,71722.87,0.680231,4.831782657238553e-06,2.625776,361.0,0.1773
105,1,279.07,71136.74,0.687098,4.868626721250462e-06,2.848932,355.5,0.18
106,1,279.46,70560.97,0.667113,4.90547078526237e-06,2.4794,359.1,0.1782
107,1,279.85,69997.55,0.691883,4.9423148492742795e-06,2.312535,348.9,0.1834
108,1,280.23,69440.7,0.690764,4.979158913286189e-06,2.619089,374.2,0.171
109,1,280.62,68896.22,0.666156,5.016002977298098e-06,1.98793,372.2,0.1719
110,1,281.01,68361.77,0.690524,5.0528470413100064e-06,2.213342,370.8,0.1726
111,1,281.4,67836.92,0.657279,5.089691105321916e-06,2.102076,370.6,0.1727
112,1,281.78,67321.1,0.683297,5.126535169333825e-06,2.496485,371.1,0.1725
113,1,282.17,66815.08,0.651039,5.163379233345734e-06,2.292529,369.8,0.173
114,1,282.56,66317.0,0.651361,5.200223297357643e-06,2.377949,371.8,0.1721
115,1,282.95,65828.18,0.648534,5.237067361369552e-06,2.019386,368.4,0.1737
116,1,283.34,65348.69,0.677318,5.273911425381461e-06,2.277831,361.3,0.1772
117,1,283.72,64875.6,0.662994,5.31075548939337e-06,1.991517,367.1,0.1744
118,1,284.11,64411.29,0.663586,5.34759955340528e-06,2.329506,371.0,0.1725
119,1,284.5,63954.68,0.674178,5.384443617417189e-06,2.697643,370.0,0.173
120,1,284.89,63505.95,0.661144,5.421287681429098e-06,2.392553,367.0,0.1744
121,1,285.28,63065.68,0.674607,5.4581317454410074e-06,2.499575,364.9,0.1754
122,1,285.68,62634.67,0.654479,5.494975809452916e-06,2.215817,337.8,0.1894
123,1,286.07,62207.96,0.65905,5.531819873464825e-06,2.744572,355.6,0.18
124,1,286.46,61787.56,0.663234,5.568663937476735e-06,2.263312,358.8,0.1784
125,1,286.85,61375.13,0.663081,5.605508001488644e-06,2.077469,348.4,0.1837
126,1,287.24,60967.23,0.670609,5.642352065500553e-06,2.261757,359.5,0.178
127,1,287.62,60565.64,0.656498,5.679196129512461e-06,2.53079,364.8,0.1754
128,1,288.01,60172.0,0.649759,5.7160401935243706e-06,2.490774,356.4,0.1796
129,1,288.39,59782.37,0.645515,5.752884257536281e-06,2.280419,370.3,0.1728
130,1,288.79,59401.13,0.65892,5.78972832154819e-06,2.063416,357.2,0.1792
131,1,289.17,59023.33,0.665469,5.826572385560098e-06,2.461249,371.9,0.1721
132,1,289.56,58652.6,0.655926,5.863416449572008e-06,2.217702,370.5,0.1728
133,1,289.94,58287.1,0.649148,5.900260513583918e-06,2.180806,370.9,0.1726
134,1,290.33,57927.29,0.649413,5.937104577595827e-06,1.902032,371.4,0.1723
135,1,290.72,57572.6,0.670389,5.973948641607737e-06,2.345331,370.2,0.1729
136,1,291.1,57223.05,0.657113,6.010792705619647e-06,2.072157,370.8,0.1726
137,1,291.49,56878.79,0.64536,6.0476367696315564e-06,2.151916,372.1,0.172
138,1,291.88,56539.32,0.677292,6.084480833643465e-06,2.080536,370.8,0.1726
139,1,292.26,56205.14,0.644881,6.121324897655374e-06,2.21946,367.4,0.1742
140,1,292.66,55876.53,0.637294,6.1581689616672825e-06,1.91211,357.6,0.179
141,1,293.04,55550.57,0.66278,6.195013025679192e-06,2.432804,373.0,0.1716
142,1,293.43,55230.49,0.659767,6.231857089691101e-06,2.1045,371.2,0.1724
143,1,293.82,54914.69,0.644311,6.268701153703011e-06,2.175899,366.7,0.1745
144,1,294.21,54604.25,0.628775,6.3055452177149196e-06,2.168574,355.0,0.1803
145,1,294.59,54295.96,0.650775,6.342389281726828e-06,2.378089,372.4,0.1719
146,1,294.99,53994.42,0.653223,6.379233345738737e-06,2.046931,352.3,0.1817
147,1,295.37,53695.44,0.658973,6.4160774097506465e-06,2.603233,355.9,0.1798
148,1,295.76,53400.91,0.644212,6.452921473762555e-06,1.94103,356.1,0.1797
149,1,296.17,53114.69,0.627076,6.489765537774464e-06,1.944968,320.2,0.1999
150,1,296.58,52830.05,0.65004,6.526609601786374e-06,2.370487,305.9,0.2092
151,1,296.99,52550.73,0.638653,6.5634536657982835e-06,2.430306,282.6,0.2265
152,1,297.37,52270.64,0.634873,6.600297729810192e-06,1.821985,289.6,0.221
153,1,297.76,51995.38,0.656666,6.637141793822101e-06,2.173757,298.3,0.2146
154,1,298.14,51721.03,0.650703,6.67398585783401e-06,2.213086,337.9,0.1894
155,1,298.52,51452.05,0.64081,6.71082992184592e-06,2.412067,351.7,0.182
156,1,298.91,51186.02,0.631092,6.747673985857829e-06,2.644408,364.7,0.1755
157,1,299.29,50923.52,0.638191,6.784518049869739e-06,2.145116,370.1,0.1729
158,1,299.68,50665.05,0.627167,6.821362113881648e-06,2.020692,366.1,0.1748
159,1,300.07,50409.57,0.632625,6.858206177893558e-06,2.079669,367.9,0.1739
160,1,300.45,50157.01,0.6557,6.895050241905467e-06,2.104914,369.1,0.1734
161,1,300.84,49908.08,0.63194,6.931894305917375e-06,2.111543,371.2,0.1724
162,1,302.21,49823.28,0.651273,6.9687383699292845e-06,2.26362,375.9,0.1702
163,1,302.59,49578.8,0.6376,7.005582433941194e-06,2.13604,374.3,0.171
164,1,303.52,49424.87,0.626236,7.042426497953103e-06,1.947211,375.4,0.1705
165,1,303.9,49185.86,0.631183,7.0792705619650115e-06,2.544992,370.9,0.1725
166,1,304.39,48965.75,0.643151,7.116114625976921e-06,1.617215,354.9,0.1804
167,1,304.76,48730.94,0.639478,7.152958689988831e-06,1.946293,373.5,0.1713
168,1,305.16,48502.3,0.622576,7.18980275400074e-06,2.244106,345.5,0.1853
169,1,305.54,48272.86,0.630293,7.2266468180126485e-06,2.108088,373.1,0.1715
170,1,305.92,48047.74,0.623876,7.263490882024558e-06,1.913516,373.5,0.1714
171,1,306.31,47825.74,0.631227,7.300334946036466e-06,1.982341,365.8,0.175
172,1,306.71,47607.09,0.629538,7.337179010048376e-06,1.807419,353.4,0.1811
173,1,307.09,47389.65,0.622736,7.374023074060285e-06,2.053893,358.6,0.1785
174,1,307.48,47175.03,0.636151,7.410867138072194e-06,2.00587,353.7,0.1809
175,1,307.86,46961.68,0.628404,7.447711202084103e-06,1.838918,372.2,0.172
176,1,308.25,46752.1,0.651868,7.4845552660960125e-06,2.125462,365.5,0.1751
177,1,308.63,46544.18,0.627589,7.521399330107922e-06,2.10364,369.0,0.1734
178,1,311.17,46661.85,0.620713,7.55824339411983e-06,1.950722,373.4,0.1714
179,1,311.56,46457.9,0.640959,7.59508745813174e-06,1.933504,355.7,0.1799
180,1,312.48,46334.47,0.627156,7.63193152214365e-06,1.99072,375.2,0.1706
181,1,312.87,46134.23,0.619494,7.66877558615556e-06,2.332461,364.6,0.1755
182,1,313.43,45960.93,0.610727,7.705619650167469e-06,2.140762,373.4,0.1714
183,1,313.83,45765.43,0.622115,7.742463714179378e-06,1.891371,354.1,0.1807
184,1,314.2,45569.85,0.603718,7.779307778191287e-06,2.132228,370.1,0.1729
185,1,314.59,45377.86,0.615771,7.816151842203197e-06,2.062157,368.1,0.1739
186,1,314.99,45188.54,0.598448,7.852995906215106e-06,1.992516,355.1,0.1802
187,1,315.37,44999.5,0.647224,7.889839970227015e-06,1.821399,370.3,0.1728
188,1,315.75,44813.54,0.604215,7.926684034238923e-06,2.177457,368.8,0.1735
189,1,316.15,44630.01,0.610171,7.963528098250832e-06,2.202534,359.2,0.1782
190,1,316.54,44448.59,0.628165,8.000372162262741e-06,2.234838,346.9,0.1845
191,1,316.92,44267.3,0.63887,8.03721622627465e-06,2.130236,369.2,0.1734
192,1,317.31,44088.93,0.621009,8.07406029028656e-06,2.128001,366.1,0.1748
193,1,317.69,43912.21,0.61204,8.110904354298469e-06,1.75841,367.8,0.174
194,1,320.2,44029.6,0.609103,8.147748418310378e-06,2.287332,367.3,0.1743
195,1,320.59,43854.67,0.623552,8.184592482322288e-06,1.973522,371.1,0.1724
196,1,321.49,43751.97,0.620877,8.221436546334197e-06,1.814834,374.7,0.1708
197,1,321.87,43580.25,0.601505,8.258280610346106e-06,1.847468,372.9,0.1716
198,1,322.54,43448.84,0.615804,8.295124674358015e-06,1.840272,367.4,0.1742
199,1,322.94,43281.6,0.622274,8.331968738369925e-06,1.717375,350.6,0.1825
200,1,323.31,43113.84,0.612676,8.368812802381834e-06,2.017706,370.2,0.1729
