step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,252.24,6777469.96,0.688461,1.0368440640119094e-06,2.612494,0.3,229.1924
2,1,252.42,3391008.0,0.698473,1.0736881280238187e-06,2.80652,370.8,0.1726
3,1,252.8,2264002.61,0.698969,1.1105321920357277e-06,2.805673,376.2,0.1701
4,1,253.18,1700516.32,0.699801,1.147376256047637e-06,2.756883,376.5,0.17
5,1,253.57,1362444.41,0.697064,1.1842203200595463e-06,2.385561,377.0,0.1698
6,1,253.96,1137046.45,0.694062,1.2210643840714553e-06,2.424934,379.3,0.1687
7,1,254.34,976055.25,0.702188,1.2579084480833646e-06,2.630496,376.1,0.1702
8,1,254.73,855321.7,0.70006,1.2947525120952738e-06,2.790552,371.0,0.1725
9,1,255.12,761405.04,0.699034,1.331596576107183e-06,2.672202,374.5,0.1709
10,1,255.5,686273.11,0.69327,1.3684406401190921e-06,2.229464,377.5,0.1695
11,1,255.89,624805.17,0.699882,1.4052847041310014e-06,2.721626,375.1,0.1706
12,1,256.27,573583.2,0.687186,1.4421287681429106e-06,2.81829,371.9,0.1721
13,1,256.66,530237.86,0.696042,1.4789728321548197e-06,2.386973,376.6,0.1699
14,1,257.05,493087.95,0.718782,1.5158168961667287e-06,3.067558,371.6,0.1722
15,1,257.43,460889.08,0.693722,1.552660960178638e-06,3.300226,373.7,0.1713
16,1,257.82,432714.55,0.710068,1.589505024190547e-06,2.664886,377.0,0.1697
17,1,258.2,407857.04,0.695906,1.6263490882024563e-06,2.658854,372.0,0.172
18,1,258.59,385762.7,0.693686,1.6631931522143654e-06,2.529864,372.0,0.172
19,1,258.98,365991.31,0.699751,1.7000372162262744e-06,2.987345,373.7,0.1712
20,1,259.36,348197.17,0.699576,1.7368812802381837e-06,2.639497,372.3,0.1719
21,1,259.75,332102.2,0.709105,1.7737253442500927e-06,2.87161,373.5,0.1713
22,1,260.14,317465.23,0.692039,1.8105694082620018e-06,2.652423,373.7,0.1713
23,1,260.53,304102.82,0.700419,1.8474134722739108e-06,2.547242,372.5,0.1718
24,1,260.91,291854.94,0.706351,1.8842575362858199e-06,2.540625,372.7,0.1717
25,1,261.3,280583.56,0.700063,1.921101600297729e-06,2.74162,374.4,0.1709
26,1,261.69,270182.04,0.682632,1.957945664309638e-06,2.795195,372.6,0.1718
27,1,262.07,260551.03,0.695637,1.994789728321547e-06,2.723429,373.8,0.1712
28,1,262.46,251606.71,0.709588,2.0316337923334565e-06,3.137067,371.9,0.1721
29,1,262.85,243279.11,0.706291,2.0684778563453657e-06,2.64312,373.4,0.1714
30,1,263.23,235506.58,0.709075,2.105321920357275e-06,2.573671,376.7,0.1699
31,1,263.62,228235.4,0.693264,2.1421659843691842e-06,2.495243,374.1,0.1711
32,1,264.01,221420.54,0.694291,2.1790100483810935e-06,3.114709,372.0,0.172
33,1,264.39,215016.69,0.674924,2.2158541123930023e-06,2.318943,375.7,0.1703
34,1,264.78,208990.73,0.695691,2.252698176404911e-06,2.351934,370.7,0.1727
35,1,265.17,203310.15,0.688787,2.2895422404168204e-06,2.82205,369.1,0.1734
36,1,265.56,197942.36,0.688439,2.3263863044287297e-06,2.463202,374.1,0.1711
37,1,265.94,192865.56,0.692338,2.363230368440639e-06,2.497119,373.4,0.1714
38,1,266.33,188057.69,0.688337,2.400074432452548e-06,2.539787,372.4,0.1718
39,1,266.72,183493.84,0.685197,2.436918496464457e-06,2.275506,375.8,0.1703
40,1,267.1,179159.93,0.705008,2.4737625604763663e-06,2.609785,370.8,0.1726
41,1,267.49,175037.83,0.695505,2.5106066244882756e-06,2.492279,376.9,0.1698
42,1,267.88,171110.86,0.682291,2.547450688500185e-06,2.746349,374.0,0.1711
43,1,268.27,167367.59,0.701923,2.584294752512094e-06,2.763495,370.8,0.1726
44,1,268.66,163794.13,0.698094,2.6211388165240034e-06,2.637935,372.0,0.1721
45,1,269.04,160378.59,0.67195,2.6579828805359126e-06,2.745538,371.7,0.1722
46,1,269.43,157112.89,0.68925,2.694826944547822e-06,2.596714,371.1,0.1725
47,1,269.82,153985.38,0.684608,2.731671008559731e-06,2.409229,372.2,0.1719
48,1,270.2,150987.46,0.694161,2.7685150725716404e-06,2.081106,374.4,0.1709
49,1,270.59,148113.43,0.693325,2.8053591365835492e-06,2.509544,374.5,0.1709
50,1,270.98,145353.25,0.684973,2.8422032005954585e-06,2.563902,372.5,0.1718
51,1,271.37,142701.58,0.693121,2.8790472646073677e-06,2.458541,372.1,0.172
52,1,271.75,140152.25,0.700666,2.915891328619277e-06,2.275632,373.3,0.1714
53,1,272.14,137698.65,0.697069,2.9527353926311863e-06,2.640793,373.1,0.1716
54,1,272.53,135336.68,0.705313,2.9895794566430955e-06,2.427266,373.2,0.1715
55,1,272.92,133059.42,0.691486,3.0264235206550044e-06,2.53683,374.7,0.1708
56,1,273.32,130869.21,0.678303,3.0632675846669136e-06,2.69663,350.9,0.1824
57,1,273.7,128751.57,0.671673,3.1001116486788225e-06,2.813536,356.1,0.1797
58,1,274.09,126706.8,0.685332,3.1369557126907313e-06,3.061017,356.1,0.1797
59,1,274.49,124732.5,0.684774,3.1737997767026406e-06,2.931492,352.2,0.1817
60,1,274.88,122823.47,0.672631,3.21064384071455e-06,2.871085,355.0,0.1803
61,1,275.27,120977.07,0.677821,3.2474879047264586e-06,2.555286,355.8,0.1799
62,1,275.65,119186.64,0.695029,3.284331968738368e-06,2.32161,372.5,0.1718
63,1,276.04,117455.31,0.669289,3.321176032750277e-06,2.576146,374.2,0.171
64,1,276.43,115778.91,0.679644,3.3580200967621864e-06,2.749748,370.1,0.1729
65,1,276.81,114153.54,0.670308,3.3948641607740957e-06,2.379786,370.0,0.173
66,1,277.21,112580.69,0.694031,3.431708224786005e-06,2.774817,353.8,0.1809
67,1,277.6,111052.71,0.672032,3.468552288797914e-06,2.699456,353.9,0.1808
68,1,277.98,109565.64,0.689331,3.5053963528098235e-06,2.381761,371.1,0.1724
69,1,278.37,108124.82,0.670175,3.5422404168217327e-06,2.881619,371.5,0.1723
70,1,278.76,106725.06,0.668058,3.579084480833642e-06,2.613423,370.4,0.1728
71,1,279.15,105364.91,0.683109,3.6159285448455512e-06,2.596123,369.0,0.1734
72,1,279.54,104045.01,0.694889,3.6527726088574605e-06,2.123254,354.5,0.1806
73,1,279.93,102756.25,0.693056,3.6896166728693693e-06,2.468972,370.5,0.1727
74,1,280.31,101504.3,0.683633,3.7264607368812786e-06,2.524498,372.8,0.1717
75,1,280.71,100286.74,0.676883,3.7633048008931883e-06,2.583175,370.5,0.1727
76,1,281.09,99100.4,0.685362,3.800148864905097e-06,2.21496,370.9,0.1725
77,1,281.48,97944.87,0.680061,3.836992928917006e-06,2.710652,371.4,0.1723
78,1,281.87,96819.17,0.679509,3.873836992928915e-06,2.241866,372.7,0.1717
79,1,282.26,95722.05,0.677091,3.9106810569408245e-06,2.583169,370.0,0.173
80,1,282.65,94652.86,0.663107,3.947525120952734e-06,2.8562,367.6,0.1741
81,1,283.04,93610.64,0.658406,3.984369184964643e-06,2.263356,364.8,0.1755
82,1,293.95,96029.38,0.678596,4.021213248976552e-06,3.078038,361.3,0.1772
83,1,294.52,95053.47,0.671241,4.0580573129884615e-06,2.503985,375.9,0.1702
84,1,294.91,94041.42,0.671384,4.094901377000371e-06,2.46014,374.2,0.1711
85,1,295.56,93137.59,0.67803,4.13174544101228e-06,3.274399,358.2,0.1787
86,1,295.95,92171.7,0.68582,4.168589505024189e-06,2.366857,358.5,0.1785
87,1,296.33,91225.95,0.668216,4.2054335690360985e-06,2.926045,372.4,0.1718
88,1,296.72,90305.02,0.66713,4.242277633048008e-06,2.833352,372.0,0.172
89,1,297.11,89403.75,0.65979,4.279121697059917e-06,2.256576,370.2,0.1729
90,1,299.4,89088.2,0.673354,4.3159657610718255e-06,2.506788,374.8,0.1708
91,1,299.79,88219.18,0.65942,4.352809825083735e-06,2.584124,374.5,0.1709
92,1,300.17,87370.38,0.665596,4.389653889095644e-06,2.224408,366.1,0.1748
93,1,300.57,86542.14,0.673063,4.426497953107553e-06,2.476361,354.2,0.1807
94,1,300.95,85726.19,0.678052,4.463342017119462e-06,2.621625,373.2,0.1715
95,1,301.34,84930.1,0.675159,4.50018608113137e-06,2.250503,372.0,0.172
96,1,301.73,84150.98,0.667267,4.537030145143279e-06,3.251802,373.0,0.1716
97,1,302.12,83387.15,0.66916,4.573874209155189e-06,2.553569,373.4,0.1714
98,1,314.66,85959.69,0.663836,4.610718273167098e-06,3.029167,351.2,0.1822
99,1,315.32,85267.39,0.668351,4.647562337179007e-06,2.575445,376.5,0.17
100,1,315.71,84515.0,0.65861,4.684406401190916e-06,2.346635,372.9,0.1716
101,1,316.11,83780.8,0.660274,4.721250465202826e-06,2.404167,353.4,0.1811
102,1,316.49,83056.5,0.699236,4.758094529214735e-06,2.149379,372.8,0.1717
103,1,318.28,82712.17,0.654114,4.794938593226644e-06,2.430182,375.9,0.1703
104,1,318.66,82013.32,0.656081,4.831782657238553e-06,2.323955,372.8,0.1717
105,1,319.34,81401.42,0.680606,4.868626721250462e-06,2.444798,359.9,0.1778
106,1,324.09,81828.73,0.661794,4.90547078526237e-06,2.027872,376.3,0.1701
107,1,324.47,81157.11,0.659261,4.9423148492742795e-06,2.400357,376.3,0.1701
108,1,324.86,80498.83,0.67379,4.979158913286189e-06,2.051175,370.2,0.1729
109,1,325.25,79853.3,0.67815,5.016002977298098e-06,2.541331,371.4,0.1723
110,1,325.64,79218.53,0.681246,5.0528470413100064e-06,2.435777,371.8,0.1721
111,1,326.02,78595.4,0.673995,5.089691105321916e-06,2.592881,370.2,0.1729
112,1,326.41,77983.75,0.671804,5.126535169333825e-06,2.462713,372.4,0.1718
113,1,326.8,77382.38,0.65464,5.163379233345734e-06,2.318996,372.3,0.1719
114,1,335.62,78771.6,0.665644,5.200223297357643e-06,2.338656,375.7,0.1704
115,1,336.02,78175.66,0.671378,5.237067361369552e-06,2.155249,355.7,0.1799
116,1,336.4,77586.6,0.66193,5.273911425381461e-06,2.847906,371.1,0.1724
117,1,336.79,77009.9,0.68295,5.31075548939337e-06,2.475313,372.0,0.1721
118,1,337.18,76441.78,0.646749,5.34759955340528e-06,2.457159,375.1,0.1706
119,1,338.19,76025.18,0.670863,5.384443617417189e-06,2.649549,360.2,0.1777
120,1,338.57,75473.46,0.662279,5.421287681429098e-06,2.001892,375.2,0.1706
121,1,339.65,75085.75,0.65922,5.4581317454410074e-06,2.374045,374.7,0.1708
122,1,345.51,75751.82,0.648723,5.494975809452916e-06,2.212827,376.3,0.1701
123,1,345.9,75216.97,0.657757,5.531819873464825e-06,2.372046,374.7,0.1708
124,1,346.29,74691.45,0.628403,5.568663937476735e-06,2.608693,367.6,0.1741
125,1,346.67,74174.57,0.655373,5.605508001488644e-06,2.549221,371.0,0.1725
126,1,347.06,73665.05,0.642262,5.642352065500553e-06,2.537973,374.1,0.1711
127,1,347.45,73164.52,0.63178,5.679196129512461e-06,2.73248,369.1,0.1734
128,1,347.84,72671.19,0.656606,5.7160401935243706e-06,2.355723,372.1,0.172
129,1,348.23,72185.63,0.644784,5.752884257536281e-06,2.229863,370.6,0.1727
130,1,355.31,73084.41,0.673977,5.78972832154819e-06,2.296056,376.8,0.1698
131,1,357.45,72960.39,0.645408,5.826572385560098e-06,2.304694,375.4,0.1705
132,1,357.83,72483.15,0.65587,5.863416449572008e-06,2.394838,373.5,0.1714
133,1,358.22,72013.29,0.657976,5.900260513583918e-06,2.728109,371.4,0.1723
134,1,358.61,71551.05,0.633406,5.937104577595827e-06,2.383548,372.9,0.1716
135,1,359.0,71095.3,0.645347,5.973948641607737e-06,2.398981,370.6,0.1727
136,1,359.39,70646.46,0.640595,6.010792705619647e-06,2.080429,366.9,0.1744
137,1,361.04,70450.13,0.636838,6.0476367696315564e-06,2.380277,374.0,0.1711
138,1,367.08,71106.75,0.667257,6.084480833643465e-06,2.621313,368.7,0.1736
139,1,367.46,70666.07,0.647707,6.121324897655374e-06,2.359996,376.6,0.17
140,1,367.85,70232.65,0.630865,6.1581689616672825e-06,2.593759,371.7,0.1722
