step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,241.51,6489098.31,4.149094,1.0368440640119094e-06,19.578394,0.3,227.2829
2,1,241.67,3246633.23,4.124506,1.0736881280238187e-06,19.392813,403.0,0.1588
3,1,242.05,2167696.31,4.174925,1.1105321920357277e-06,18.5396,413.1,0.1549
4,1,242.43,1628270.92,4.167415,1.147376256047637e-06,20.007946,405.7,0.1577
5,1,242.81,1304616.51,4.150427,1.1842203200595463e-06,18.317619,406.0,0.1577
6,1,243.19,1088841.5,4.169087,1.2210643840714553e-06,17.416508,406.1,0.1576
7,1,243.57,934715.06,4.021095,1.2579084480833646e-06,18.297646,404.5,0.1582
8,1,243.95,819119.81,4.15871,1.2947525120952738e-06,19.966545,410.0,0.1561
9,1,244.33,729215.91,4.063286,1.331596576107183e-06,18.633274,408.6,0.1566
10,1,244.71,657292.77,4.180377,1.3684406401190921e-06,17.238914,404.9,0.1581
11,1,245.09,598447.34,4.126087,1.4052847041310014e-06,18.18886,404.1,0.1584
12,1,245.47,549404.51,4.189188,1.4421287681429106e-06,18.573387,406.8,0.1573
13,1,245.85,507905.44,4.178909,1.4789728321548197e-06,20.572666,411.3,0.1556
14,1,246.23,472338.57,4.07007,1.5158168961667287e-06,18.343216,409.8,0.1562
15,1,246.61,441515.08,4.115783,1.552660960178638e-06,21.50313,406.2,0.1576
16,1,246.99,414542.73,4.046971,1.589505024190547e-06,20.247766,408.0,0.1569
17,1,247.37,390744.72,4.168975,1.6263490882024563e-06,16.984753,408.0,0.1569
18,1,247.75,369592.71,4.04029,1.6631931522143654e-06,18.217762,404.1,0.1584
19,1,248.13,350664.11,4.044226,1.7000372162262744e-06,20.015429,406.7,0.1574
20,1,248.51,333628.27,4.112439,1.7368812802381837e-06,19.556988,407.1,0.1572
21,1,248.89,318216.7,4.09657,1.7737253442500927e-06,18.135754,409.5,0.1563
22,1,249.27,304204.03,4.061174,1.8105694082620018e-06,19.123472,410.8,0.1558
23,1,249.65,291412.0,4.093271,1.8474134722739108e-06,inf,410.1,0.1561
24,1,250.04,279686.97,4.077286,1.8842575362858199e-06,18.614748,403.9,0.1585
25,1,250.42,268898.79,4.035365,1.921101600297729e-06,18.044773,401.7,0.1593
26,1,250.8,258936.56,4.115187,1.957945664309638e-06,19.522909,408.5,0.1567
27,1,251.18,249716.65,4.212442,1.994789728321547e-06,17.139849,405.5,0.1578
28,1,251.56,241151.83,4.043866,2.0316337923334565e-06,19.160709,410.6,0.1559
29,1,251.94,233184.67,4.05828,2.0684778563453657e-06,18.227699,396.5,0.1614
30,1,252.32,225740.11,4.083664,2.105321920357275e-06,20.952538,407.5,0.1571
31,1,252.7,218783.61,4.195074,2.1421659843691842e-06,19.244627,394.5,0.1622
32,1,253.08,212253.16,4.113542,2.1790100483810935e-06,18.972494,407.3,0.1571
33,1,253.46,206122.44,4.184935,2.2158541123930023e-06,17.469454,408.5,0.1567
34,1,253.84,200353.35,4.157807,2.252698176404911e-06,18.51417,405.7,0.1578
35,1,254.22,194912.89,4.090508,2.2895422404168204e-06,18.459131,406.9,0.1573
36,1,254.6,189777.71,4.06496,2.3263863044287297e-06,17.804178,396.1,0.1616
37,1,254.98,184913.68,4.080838,2.363230368440639e-06,18.288414,408.9,0.1565
38,1,255.36,180313.87,4.10198,2.400074432452548e-06,17.298204,391.6,0.1634
39,1,255.74,175944.9,4.147753,2.436918496464457e-06,17.191441,393.0,0.1629
40,1,256.12,171792.07,4.073679,2.4737625604763663e-06,19.814846,405.2,0.158
41,1,256.51,167848.69,4.04472,2.5106066244882756e-06,17.972839,397.9,0.1608
42,1,256.89,164089.33,3.884979,2.547450688500185e-06,18.071932,396.4,0.1615
43,1,257.26,160501.42,4.06249,2.584294752512094e-06,17.916679,408.5,0.1567
44,1,257.65,157081.93,4.046981,2.6211388165240034e-06,17.13451,401.9,0.1592
45,1,258.03,153814.35,4.07879,2.6579828805359126e-06,19.015612,394.4,0.1623
46,1,258.41,150687.7,4.026482,2.694826944547822e-06,17.438286,391.5,0.1635
47,1,258.8,147695.64,4.126367,2.731671008559731e-06,19.911236,384.0,0.1667
48,1,259.17,144824.7,4.227483,2.7685150725716404e-06,15.858797,392.2,0.1632
49,1,259.55,142070.66,3.959953,2.8053591365835492e-06,17.272608,401.2,0.1595
50,1,259.94,139429.74,4.040705,2.8422032005954585e-06,18.255362,393.4,0.1627
51,1,260.32,136891.77,4.036256,2.8790472646073677e-06,17.236742,390.4,0.1639
52,1,260.69,134448.01,3.967568,2.915891328619277e-06,16.800579,403.7,0.1585
53,1,261.07,132098.39,3.957453,2.9527353926311863e-06,17.397238,404.4,0.1582
54,1,261.45,129836.21,4.006843,2.9895794566430955e-06,16.170794,405.1,0.158
55,1,261.83,127656.29,3.99995,3.0264235206550044e-06,17.300962,405.5,0.1578
56,1,262.21,125553.18,4.007547,3.0632675846669136e-06,18.039793,407.4,0.1571
57,1,262.59,123524.06,4.06566,3.1001116486788225e-06,17.009352,410.0,0.1561
58,1,262.97,121566.08,3.957254,3.1369557126907313e-06,17.36874,405.7,0.1577
59,1,263.35,119673.18,3.993356,3.1737997767026406e-06,17.274733,409.5,0.1563
60,1,263.73,117845.02,3.967289,3.21064384071455e-06,18.07148,403.3,0.1587
61,1,264.11,116076.3,3.905835,3.2474879047264586e-06,17.261141,406.2,0.1575
62,1,264.5,114364.5,4.006997,3.284331968738368e-06,16.344963,403.4,0.1587
63,1,264.87,112705.81,4.014508,3.321176032750277e-06,18.551344,408.1,0.1568
64,1,265.25,111100.17,3.959989,3.3580200967621864e-06,17.93985,405.5,0.1578
65,1,265.63,109542.88,3.990953,3.3948641607740957e-06,15.96241,408.3,0.1567
66,1,266.01,108033.56,3.995173,3.431708224786005e-06,17.547052,405.3,0.1579
67,1,266.39,106568.78,3.89656,3.468552288797914e-06,17.994427,408.7,0.1566
68,1,266.77,105148.58,4.008379,3.5053963528098235e-06,16.284924,399.7,0.1601
69,1,267.16,103769.39,3.976121,3.5422404168217327e-06,17.403069,393.6,0.1626
70,1,267.53,102426.46,3.932328,3.579084480833642e-06,17.89789,410.3,0.156
71,1,267.91,101123.73,3.943005,3.6159285448455512e-06,18.783194,405.6,0.1578
72,1,268.29,99857.82,4.062307,3.6527726088574605e-06,16.08075,398.7,0.1605
73,1,268.67,98624.77,3.955566,3.6896166728693693e-06,17.868134,406.8,0.1573
74,1,269.05,97426.27,3.938238,3.7264607368812786e-06,17.667311,404.2,0.1583
75,1,269.44,96261.54,3.863163,3.7633048008931883e-06,19.235636,388.7,0.1647
76,1,269.82,95124.86,4.032146,3.800148864905097e-06,18.193558,394.1,0.1624
77,1,270.2,94018.22,3.90912,3.836992928917006e-06,17.082502,391.5,0.1635
78,1,270.57,92938.09,3.959979,3.873836992928915e-06,16.981552,406.0,0.1576
79,1,270.95,91887.27,3.864252,3.9106810569408245e-06,16.924557,404.4,0.1583
80,1,271.34,90864.63,4.015297,3.947525120952734e-06,15.518645,388.4,0.1648
81,1,271.72,89866.08,4.034724,3.984369184964643e-06,15.689557,393.6,0.1626
82,1,272.1,88890.69,3.974143,4.021213248976552e-06,16.176992,394.1,0.1624
83,1,272.48,87939.47,3.79662,4.0580573129884615e-06,17.73753,392.1,0.1632
84,1,272.86,87010.47,4.015226,4.094901377000371e-06,16.918587,394.4,0.1623
85,1,273.24,86101.95,3.843439,4.13174544101228e-06,16.702312,405.8,0.1577
86,1,273.62,85216.62,3.824471,4.168589505024189e-06,16.659138,402.2,0.1591
87,1,274.0,84350.5,3.717498,4.2054335690360985e-06,17.645599,406.9,0.1573
88,1,274.38,83504.35,3.811529,4.242277633048008e-06,17.872093,407.5,0.157
89,1,274.76,82677.47,3.838527,4.279121697059917e-06,16.478416,407.3,0.1571
90,1,275.14,81869.06,3.853631,4.3159657610718255e-06,16.938528,406.9,0.1573
91,1,275.52,81078.16,3.851752,4.352809825083735e-06,17.653082,408.5,0.1567
92,1,275.9,80304.44,3.980335,4.389653889095644e-06,16.711714,408.0,0.1569
93,1,276.28,79547.66,3.907609,4.426497953107553e-06,17.203554,407.8,0.1569
94,1,276.66,78806.85,3.79335,4.463342017119462e-06,16.004097,406.7,0.1574
95,1,277.04,78081.71,3.885756,4.50018608113137e-06,15.239062,405.8,0.1577
96,1,277.42,77371.97,3.800717,4.537030145143279e-06,16.524027,403.3,0.1587
97,1,277.8,76676.14,3.692509,4.573874209155189e-06,16.231182,406.1,0.1576
98,1,281.74,76967.11,3.603319,4.610718273167098e-06,17.689713,409.5,0.1563
99,1,283.77,76735.07,3.79364,4.647562337179007e-06,17.251999,394.5,0.1622
100,1,284.14,76064.76,3.813884,4.684406401190916e-06,16.530544,408.7,0.1566
101,1,284.52,75409.53,3.7502,4.721250465202826e-06,16.063644,409.2,0.1564
102,1,284.91,74769.25,3.84273,4.758094529214735e-06,14.693386,395.1,0.162
103,1,285.29,74139.07,3.838318,4.794938593226644e-06,16.542887,397.5,0.161
104,1,285.66,73520.08,3.787892,4.831782657238553e-06,15.714055,406.7,0.1574
105,1,286.05,72915.87,3.862347,4.868626721250462e-06,15.819841,392.8,0.1629
106,1,286.42,72319.46,3.858889,4.90547078526237e-06,16.074322,410.7,0.1558
107,1,286.8,71735.95,3.815723,4.9423148492742795e-06,16.69681,410.0,0.1561
108,1,287.18,71162.83,3.843246,4.979158913286189e-06,15.941978,413.8,0.1547
109,1,287.7,70635.28,3.699347,5.016002977298098e-06,16.51996,399.3,0.1603
110,1,288.08,70082.97,3.753022,5.0528470413100064e-06,16.185698,394.2,0.1624
111,1,288.46,69539.27,3.771498,5.089691105321916e-06,16.879471,405.1,0.158
112,1,288.84,69007.12,3.784505,5.126535169333825e-06,16.246256,405.1,0.158
113,1,289.22,68483.27,3.696283,5.163379233345734e-06,14.456634,411.2,0.1556
114,1,294.66,69158.3,3.737879,5.200223297357643e-06,14.36932,409.9,0.1561
115,1,295.85,68830.67,3.910478,5.237067361369552e-06,14.443686,409.2,0.1564
116,1,296.29,68334.72,3.685821,5.273911425381461e-06,16.057249,407.8,0.157
117,1,296.97,67905.39,3.697095,5.31075548939337e-06,16.079687,389.0,0.1645
118,1,297.34,67411.29,3.656796,5.34759955340528e-06,15.496072,410.5,0.1559
119,1,297.73,66929.19,3.568108,5.384443617417189e-06,16.193727,389.8,0.1642
120,1,298.11,66453.21,3.70965,5.421287681429098e-06,16.164099,398.4,0.1607
121,1,299.63,66237.66,3.843499,5.4581317454410074e-06,15.030064,386.3,0.1657
122,1,300.01,65776.34,3.738534,5.494975809452916e-06,14.955175,376.1,0.1702
123,1,300.38,65320.06,3.70628,5.531819873464825e-06,15.002601,392.1,0.1632
124,1,300.76,64872.99,3.669961,5.568663937476735e-06,15.841346,395.8,0.1617
125,1,301.14,64431.41,3.662642,5.605508001488644e-06,15.711697,411.2,0.1556
126,1,301.52,63998.59,3.838386,5.642352065500553e-06,15.143852,406.2,0.1576
127,1,301.9,63572.44,3.569672,5.679196129512461e-06,16.771654,407.5,0.157
128,1,302.28,63152.93,3.575272,5.7160401935243706e-06,16.539503,404.4,0.1583
129,1,302.66,62739.75,3.598296,5.752884257536281e-06,15.235965,406.0,0.1576
130,1,307.25,63198.79,3.718222,5.78972832154819e-06,16.803329,408.8,0.1566
131,1,308.95,63060.23,3.678146,5.826572385560098e-06,14.774351,405.6,0.1578
132,1,309.68,62728.06,3.58484,5.863416449572008e-06,16.477192,408.6,0.1566
133,1,310.85,62490.19,3.676965,5.900260513583918e-06,14.105832,401.1,0.1596
134,1,311.23,62097.73,3.54038,5.937104577595827e-06,14.486362,390.4,0.1639
135,1,311.61,61710.41,3.559993,5.973948641607737e-06,15.665248,391.5,0.1635
136,1,311.99,61328.25,3.618154,6.010792705619647e-06,13.879298,405.8,0.1577
137,1,313.92,61255.75,3.495733,6.0476367696315564e-06,15.026235,412.1,0.1553
138,1,314.3,60882.94,3.795458,6.084480833643465e-06,13.283232,408.3,0.1567
139,1,314.68,60515.1,3.520242,6.121324897655374e-06,15.256924,411.0,0.1557
140,1,315.06,60153.77,3.578223,6.1581689616672825e-06,15.377439,404.3,0.1583
141,1,315.44,59796.79,3.671762,6.195013025679192e-06,13.609701,409.3,0.1564
142,1,315.82,59444.7,3.638747,6.231857089691101e-06,16.561146,408.2,0.1568
143,1,316.24,59105.66,3.819659,6.268701153703011e-06,13.67351,412.2,0.1553
144,1,316.62,58763.31,3.578452,6.3055452177149196e-06,14.020341,408.1,0.1568
145,1,317.0,58425.46,3.474757,6.342389281726828e-06,14.405704,408.0,0.1569
146,1,319.61,58502.42,3.666813,6.379233345738737e-06,13.645991,409.2,0.1564
147,1,322.36,58602.07,3.589041,6.4160774097506465e-06,14.666419,396.5,0.1614
148,1,322.74,58271.73,3.663675,6.452921473762555e-06,13.616334,404.9,0.1581
149,1,323.12,57946.73,3.54523,6.489765537774464e-06,14.195663,398.3,0.1607
150,1,325.07,57906.18,3.723558,6.526609601786374e-06,15.268106,410.2,0.156
151,1,325.45,57587.52,3.651614,6.5634536657982835e-06,13.89711,407.6,0.157
152,1,325.83,57273.27,3.588502,6.600297729810192e-06,12.883377,404.9,0.1581
153,1,327.2,57135.44,3.53326,6.637141793822101e-06,12.871275,394.8,0.1621
154,1,327.57,56827.59,3.578099,6.67398585783401e-06,14.088892,398.9,0.1604
155,1,327.95,56523.34,3.665129,6.71082992184592e-06,14.620219,409.8,0.1562
156,1,328.33,56224.56,3.431375,6.747673985857829e-06,14.933719,406.4,0.1575
157,1,328.71,55928.8,3.516703,6.784518049869739e-06,14.125186,408.6,0.1566
158,1,329.1,55638.04,3.600987,6.821362113881648e-06,15.161106,390.3,0.164
159,1,329.47,55349.05,3.470454,6.858206177893558e-06,13.928441,407.4,0.1571
160,1,329.85,55064.11,3.604608,6.895050241905467e-06,12.168915,410.6,0.1559
161,1,330.23,54783.86,3.649845,6.931894305917375e-06,13.930501,403.6,0.1586
162,1,333.99,55062.97,3.483481,6.9687383699292845e-06,12.680842,412.6,0.1551
163,1,335.22,54924.09,3.531811,7.005582433941194e-06,13.320365,401.2,0.1595
164,1,335.59,54647.75,3.40928,7.042426497953103e-06,12.751344,414.6,0.1544
165,1,335.97,54375.82,3.585342,7.0792705619650115e-06,15.128741,414.1,0.1545
166,1,337.94,54362.9,3.652427,7.116114625976921e-06,13.502912,412.3,0.1552
167,1,338.31,54095.58,3.514963,7.152958689988831e-06,12.586868,414.2,0.1545
168,1,338.69,53832.07,3.626133,7.18980275400074e-06,11.996439,407.6,0.157
169,1,339.92,53705.51,3.387859,7.2266468180126485e-06,14.67121,395.0,0.162
170,1,340.29,53445.97,3.44236,7.263490882024558e-06,13.233003,413.0,0.155
171,1,340.67,53190.83,3.535333,7.300334946036466e-06,13.191706,407.2,0.1572
172,1,341.05,52938.67,3.362963,7.337179010048376e-06,13.422847,409.4,0.1563
173,1,341.64,52721.04,3.432168,7.374023074060285e-06,13.470277,410.8,0.1558
174,1,342.02,52473.92,3.597209,7.410867138072194e-06,11.484925,411.9,0.1554
175,1,342.4,52230.06,3.441695,7.447711202084103e-06,12.695124,406.7,0.1574
176,1,342.78,51989.44,3.503747,7.4845552660960125e-06,13.393818,404.3,0.1583
177,1,343.16,51750.99,3.505055,7.521399330107922e-06,12.585677,407.7,0.157
178,1,348.68,52286.57,3.360052,7.55824339411983e-06,13.452338,410.1,0.156
179,1,349.06,52049.0,3.33513,7.59508745813174e-06,13.093818,409.6,0.1562
180,1,349.44,51814.82,3.535693,7.63193152214365e-06,13.491733,396.3,0.1615
181,1,349.83,51583.74,3.382639,7.66877558615556e-06,12.525121,395.4,0.1619
182,1,350.63,51415.71,3.367064,7.705619650167469e-06,14.008854,409.5,0.1563
183,1,351.01,51187.79,3.464672,7.742463714179378e-06,14.07175,411.9,0.1554
184,1,351.39,50962.74,3.476908,7.779307778191287e-06,12.510554,408.6,0.1566
185,1,352.28,50813.39,3.480099,7.816151842203197e-06,11.605211,415.2,0.1541
186,1,352.66,50592.96,3.393307,7.852995906215106e-06,12.486349,407.7,0.157
187,1,353.04,50375.29,3.31246,7.889839970227015e-06,12.457437,394.0,0.1624
188,1,353.42,50158.7,3.485856,7.926684034238923e-06,11.956895,413.1,0.1549
189,1,356.29,50297.24,3.329642,7.963528098250832e-06,12.201498,408.8,0.1566
190,1,356.67,50083.65,3.583766,8.000372162262741e-06,11.653844,410.8,0.1558
191,1,357.05,49872.44,3.432741,8.03721622627465e-06,13.099725,409.7,0.1562
192,1,357.43,49663.9,3.492393,8.07406029028656e-06,11.663147,407.1,0.1572
193,1,357.81,49456.86,3.359773,8.110904354298469e-06,13.736115,411.8,0.1554
194,1,360.98,49636.59,3.314232,8.147748418310378e-06,12.787486,405.3,0.1579
195,1,361.82,49495.05,3.368854,8.184592482322288e-06,11.199367,394.8,0.1621
196,1,362.2,49291.87,3.507687,8.221436546334197e-06,12.527391,401.2,0.1595
197,1,362.57,49090.88,3.272174,8.258280610346106e-06,12.098359,405.2,0.1579
198,1,363.72,48996.29,3.153855,8.295124674358015e-06,13.368777,394.1,0.1624
199,1,364.1,48798.22,3.082484,8.331968738369925e-06,12.853997,409.4,0.1563
200,1,364.48,48602.8,3.365767,8.368812802381834e-06,11.209283,411.8,0.1554
201,1,364.9,48415.7,3.150273,8.405656866393743e-06,13.727736,409.8,0.1562
202,1,365.28,48224.81,3.222967,8.442500930405652e-06,12.189328,396.9,0.1613
203,1,365.66,48034.78,3.105449,8.479344994417562e-06,14.83446,404.7,0.1582
204,1,366.04,47847.62,3.413821,8.516189058429471e-06,11.58147,398.4,0.1607
205,1,369.43,48052.7,3.316115,8.55303312244138e-06,11.293185,407.5,0.157
206,1,369.81,47866.58,3.378683,8.58987718645329e-06,11.630822,406.9,0.1573
207,1,370.19,47682.36,3.184702,8.626721250465199e-06,12.399817,407.3,0.1571
208,1,370.57,47500.36,3.307858,8.663565314477108e-06,11.55313,405.3,0.1579
209,1,370.95,47319.77,3.117301,8.700409378489017e-06,13.35141,406.7,0.1574
210,1,374.34,47523.33,3.115063,8.737253442500925e-06,12.383932,392.9,0.1629
211,1,375.04,47384.7,3.166369,8.774097506512832e-06,11.927627,410.6,0.1559
212,1,375.42,47207.79,3.338549,8.810941570524742e-06,11.529185,395.1,0.162
213,1,375.81,47032.13,3.288007,8.847785634536651e-06,10.969623,408.1,0.1568
214,1,377.44,47014.32,3.291814,8.88462969854856e-06,11.032846,409.1,0.1565
215,1,377.82,46840.82,3.481037,8.92147376256047e-06,12.517152,408.5,0.1567
216,1,378.2,46668.99,3.250856,8.958317826572379e-06,12.520207,406.8,0.1573
217,1,378.58,46499.29,3.377828,8.995161890584288e-06,10.869428,402.5,0.159
218,1,378.96,46330.5,3.197628,9.032005954596197e-06,11.006257,408.2,0.1568
219,1,379.34,46163.49,3.404225,9.068850018608106e-06,11.940413,406.3,0.1575
220,1,379.73,45998.93,3.284642,9.105694082620016e-06,12.284351,391.6,0.1634
221,1,383.41,46232.51,3.189337,9.142538146631925e-06,11.351959,410.8,0.1558
222,1,383.78,46067.84,3.155444,9.179382210643834e-06,10.51071,411.0,0.1557
223,1,384.16,45905.04,3.269773,9.216226274655743e-06,11.444102,406.1,0.1576
224,1,384.55,45743.98,3.261333,9.253070338667651e-06,11.294008,406.2,0.1576
225,1,384.93,45584.02,3.079774,9.28991440267956e-06,12.302368,407.5,0.157
226,1,389.05,45866.48,3.155752,9.32675846669147e-06,12.01528,394.6,0.1622
227,1,389.42,45706.62,3.216987,9.363602530703379e-06,10.967576,407.3,0.1571
228,1,389.8,45548.7,3.243581,9.400446594715288e-06,10.391552,406.8,0.1573
229,1,390.19,45393.64,3.128492,9.437290658727197e-06,10.384006,385.6,0.166
230,1,390.56,45237.58,3.087379,9.474134722739107e-06,11.081053,408.3,0.1567
231,1,390.94,45083.81,3.080774,9.510978786751016e-06,11.203347,406.4,0.1575
232,1,391.33,44931.82,3.260802,9.547822850762925e-06,10.302158,402.5,0.159
233,1,391.74,44784.13,3.258939,9.584666914774834e-06,11.149246,409.7,0.1562
234,1,392.12,44634.14,3.244957,9.621510978786744e-06,10.352959,408.7,0.1566
235,1,392.5,44485.58,3.074075,9.658355042798653e-06,9.783614,405.2,0.1579
236,1,392.88,44338.89,3.23906,9.695199106810562e-06,10.228004,394.8,0.1621
237,1,397.05,44618.72,3.07583,9.732043170822471e-06,11.035426,409.5,0.1563
238,1,397.43,44471.89,3.256245,9.76888723483438e-06,11.196398,409.1,0.1564
239,1,397.81,44326.26,3.283273,9.80573129884629e-06,13.237845,409.7,0.1562
240,1,398.19,44182.39,3.129953,9.8425753628582e-06,10.549897,407.5,0.157
241,1,398.57,44039.45,3.200752,9.879419426870108e-06,10.394906,408.6,0.1566
242,1,402.1,44244.1,3.158131,9.916263490882018e-06,11.405666,396.9,0.1613
243,1,402.48,44101.91,3.258154,9.953107554893927e-06,9.377028,398.2,0.1607
244,1,402.86,43960.92,3.193415,9.989951618905836e-06,9.992598,394.8,0.1621
245,1,403.24,43821.45,3.050673,1.0026795682917745e-05,9.950973,391.8,0.1633
246,1,403.61,43681.87,3.13159,1.0063639746929655e-05,11.140004,412.6,0.1551
247,1,403.99,43544.4,3.011636,1.0100483810941564e-05,10.738461,407.9,0.1569
248,1,404.37,43407.9,3.490977,1.0137327874953473e-05,8.821693,412.1,0.1553
249,1,404.86,43283.93,3.231096,1.0174171938965382e-05,9.251665,411.9,0.1554
250,1,405.24,43149.49,3.073881,1.0211016002977292e-05,10.722788,410.5,0.1559
251,1,405.62,43016.73,3.093738,1.0247860066989201e-05,10.574832,395.8,0.1617
252,1,406.0,42884.22,2.92896,1.028470413100111e-05,10.840071,409.8,0.1562
253,1,409.69,43101.29,3.274238,1.032154819501302e-05,10.197981,412.3,0.1552
254,1,410.06,42969.64,3.036773,1.0358392259024929e-05,9.487361,408.6,0.1566
255,1,410.44,42839.04,3.005898,1.0395236323036838e-05,10.923901,406.4,0.1575
256,1,410.83,42709.87,2.947574,1.0432080387048747e-05,10.211537,403.8,0.1585
257,1,411.21,42581.4,3.145104,1.0468924451060657e-05,10.093471,405.9,0.1577
258,1,415.73,42881.63,3.107725,1.0505768515072566e-05,9.314889,398.4,0.1606
259,1,416.11,42753.45,3.122912,1.0542612579084475e-05,9.37939,394.5,0.1622
260,1,416.49,42625.75,3.044571,1.0579456643096384e-05,9.843209,405.8,0.1577
261,1,416.87,42499.69,3.082511,1.0616300707108294e-05,10.15355,409.5,0.1563
262,1,417.25,42374.41,3.056232,1.0653144771120203e-05,8.611818,407.5,0.1571
263,1,417.76,42263.55,3.258241,1.0689988835132114e-05,10.069739,392.0,0.1633
264,1,418.13,42139.29,3.104497,1.0726832899144023e-05,8.851049,408.3,0.1568
265,1,418.51,42017.22,3.027215,1.0763676963155932e-05,9.407684,395.7,0.1617
266,1,418.9,41895.98,3.074247,1.0800521027167842e-05,9.566729,393.2,0.1627
267,1,419.27,41774.7,3.161968,1.0837365091179753e-05,9.094334,409.1,0.1564
268,1,419.65,41655.0,3.039275,1.0874209155191662e-05,10.620396,405.3,0.1579
269,1,422.88,41817.55,2.958056,1.0911053219203573e-05,10.986939,410.1,0.1561
270,1,423.25,41698.33,3.207741,1.0947897283215482e-05,9.805374,410.5,0.1559
271,1,423.63,41580.02,3.153051,1.0984741347227393e-05,11.040982,409.3,0.1564
272,1,424.01,41462.78,2.855315,1.1021585411239302e-05,9.034193,412.1,0.1553
273,1,424.39,41346.37,3.060539,1.1058429475251212e-05,10.41574,410.5,0.1559
274,1,428.12,41555.96,3.111052,1.1095273539263122e-05,8.715546,396.2,0.1615
275,1,429.66,41551.96,3.019593,1.1132117603275033e-05,9.579748,385.4,0.166
276,1,430.03,41435.31,2.76766,1.1168961667286943e-05,9.760896,410.6,0.1559
277,1,430.41,41320.62,3.198793,1.1205805731298852e-05,8.687283,405.7,0.1577
278,1,430.79,41207.03,2.98809,1.1242649795310761e-05,9.136032,402.7,0.1589
279,1,431.17,41093.68,2.943546,1.127949385932267e-05,10.053423,412.6,0.1551
280,1,431.55,40981.53,3.025552,1.131633792333458e-05,9.063727,405.2,0.1579
281,1,431.93,40870.43,2.905095,1.1353181987346487e-05,10.05773,408.1,0.1568
282,1,432.31,40759.61,2.994968,1.1390026051358397e-05,9.307051,411.0,0.1557
283,1,432.69,40649.84,2.843768,1.1426870115370306e-05,8.95446,407.2,0.1572
284,1,433.07,40540.88,3.003895,1.1463714179382215e-05,9.64107,405.9,0.1577
285,1,435.76,40647.72,2.997657,1.1500558243394124e-05,8.857106,410.6,0.1559
286,1,436.13,40539.13,2.944878,1.1537402307406032e-05,8.78463,411.2,0.1557
