step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,268.0,7200807.96,2.330001,1.0368440640119094e-06,inf,0.2,261.159
2,1,268.12,3601976.13,2.515211,1.0736881280238187e-06,inf,534.6,0.1197
3,1,268.27,2402515.06,2.391253,1.1105321920357277e-06,16.164968,598.6,0.1069
4,1,268.42,1802856.19,1.952289,1.147376256047637e-06,15.503895,615.4,0.104
5,1,268.58,1443082.07,2.253096,1.1842203200595463e-06,18.095148,602.4,0.1062
6,1,268.74,1203240.2,2.126415,1.2210643840714553e-06,15.568733,581.5,0.1101
7,1,268.9,1031915.02,2.196776,1.2579084480833646e-06,14.976006,577.6,0.1108
8,1,269.05,903411.61,2.071061,1.2947525120952738e-06,14.732227,592.2,0.1081
9,1,269.21,803473.82,2.055936,1.331596576107183e-06,15.939621,583.4,0.1097
10,1,269.36,723511.07,2.085024,1.3684406401190921e-06,16.299767,598.8,0.1069
11,1,269.52,658094.94,2.375413,1.4052847041310014e-06,16.156549,599.0,0.1068
12,1,269.68,603585.88,2.416703,1.4421287681429106e-06,16.76211,593.1,0.1079
13,1,269.84,557461.58,2.58391,1.4789728321548197e-06,17.160368,589.2,0.1086
14,1,269.99,517921.85,2.308742,1.5158168961667287e-06,16.332922,595.8,0.1074
15,1,270.15,483659.74,2.217913,1.552660960178638e-06,15.142255,582.2,0.1099
16,1,270.31,453680.82,2.120375,1.589505024190547e-06,14.388696,577.9,0.1107
17,1,270.47,427227.56,1.999915,1.6263490882024563e-06,16.303829,573.5,0.1116
18,1,270.63,403714.85,2.066246,1.6631931522143654e-06,16.665039,572.0,0.1119
19,1,270.79,382678.76,1.963488,1.7000372162262744e-06,15.253638,566.0,0.1131
20,1,270.94,363742.19,1.962505,1.7368812802381837e-06,15.69995,576.4,0.111
21,1,271.11,346622.46,2.325839,1.7737253442500927e-06,16.358418,568.7,0.1125
22,1,271.29,331066.72,2.295938,1.8105694082620018e-06,15.559818,503.4,0.1271
23,1,271.44,316844.8,2.36576,1.8474134722739108e-06,17.987312,512.2,0.1249
24,1,271.62,303824.57,2.010613,1.8842575362858199e-06,16.471687,466.9,0.1371
25,1,271.75,291810.29,2.24955,1.921101600297729e-06,16.360678,549.6,0.1165
26,1,271.93,280754.09,1.980713,1.957945664309638e-06,15.265862,491.9,0.1301
27,1,272.09,270505.19,2.373,1.994789728321547e-06,15.991793,497.0,0.1288
28,1,272.26,260996.63,2.061515,2.0316337923334565e-06,15.97341,469.8,0.1362
29,1,272.42,252141.19,2.273872,2.0684778563453657e-06,15.430836,490.0,0.1306
30,1,272.59,243876.13,2.114731,2.105321920357275e-06,14.461267,510.1,0.1255
31,1,272.77,236154.11,2.246873,2.1421659843691842e-06,15.418741,457.1,0.14
32,1,272.93,228903.92,2.203207,2.1790100483810935e-06,15.171846,469.3,0.1364
33,1,273.08,222080.1,2.246061,2.2158541123930023e-06,15.630489,517.6,0.1236
34,1,273.24,215663.51,2.117057,2.252698176404911e-06,17.012604,537.3,0.1191
35,1,273.4,209619.99,2.201793,2.2895422404168204e-06,15.662964,519.8,0.1231
36,1,273.57,203912.46,2.266503,2.3263863044287297e-06,15.565251,512.1,0.125
37,1,273.72,198508.41,2.024414,2.363230368440639e-06,15.691977,552.6,0.1158
38,1,273.89,193396.97,2.322723,2.400074432452548e-06,15.996825,509.8,0.1255
39,1,274.04,188534.51,2.436704,2.436918496464457e-06,17.227005,548.1,0.1168
40,1,274.21,183926.15,2.146902,2.4737625604763663e-06,14.946296,517.9,0.1236
41,1,274.38,179547.66,2.040681,2.5106066244882756e-06,15.281572,519.3,0.1232
42,1,274.55,175370.48,1.997876,2.547450688500185e-06,17.989513,521.6,0.1227
43,1,274.71,171385.69,1.827578,2.584294752512094e-06,16.069519,546.6,0.1171
44,1,274.88,167587.67,1.945674,2.6211388165240034e-06,15.678755,504.5,0.1269
45,1,275.05,163957.71,2.281648,2.6579828805359126e-06,16.309019,489.0,0.1309
46,1,275.2,160475.92,2.127014,2.694826944547822e-06,15.754234,528.7,0.1211
47,1,275.36,157147.75,1.906806,2.731671008559731e-06,14.098319,521.9,0.1226
48,1,275.52,153957.46,2.237926,2.7685150725716404e-06,17.973625,531.0,0.1205
49,1,275.7,150907.09,1.972122,2.8053591365835492e-06,14.998378,471.0,0.1359
50,1,275.85,147966.84,2.091849,2.8422032005954585e-06,16.008976,493.5,0.1297
51,1,276.0,145138.78,1.949997,2.8790472646073677e-06,14.481824,537.6,0.119
52,1,276.16,142426.65,1.934818,2.915891328619277e-06,14.912538,526.2,0.1216
53,1,276.32,139814.5,2.119615,2.9527353926311863e-06,16.475178,539.4,0.1187
54,1,276.49,137302.54,2.193277,2.9895794566430955e-06,15.384539,513.3,0.1247
55,1,276.65,134878.78,1.793587,3.0264235206550044e-06,15.007734,529.7,0.1208
56,1,276.81,132540.67,2.054539,3.0632675846669136e-06,15.753677,541.8,0.1181
57,1,276.99,130296.66,2.08996,3.1001116486788225e-06,15.186975,450.6,0.142
58,1,277.13,128108.88,2.146334,3.1369557126907313e-06,15.660466,539.5,0.1186
59,1,277.29,126005.98,2.202818,3.1737997767026406e-06,14.872458,542.0,0.1181
60,1,277.45,123972.86,2.064233,3.21064384071455e-06,14.696424,542.0,0.1181
61,1,277.62,122010.27,2.052168,3.2474879047264586e-06,14.107107,537.4,0.1191
62,1,277.8,120116.34,2.016015,3.284331968738368e-06,15.027951,456.8,0.1401
63,1,277.94,118265.52,1.92961,3.321176032750277e-06,14.814888,538.0,0.119
64,1,278.1,116480.01,1.749517,3.3580200967621864e-06,15.420308,538.7,0.1188
65,1,278.27,114753.03,1.745604,3.3948641607740957e-06,13.8929,509.4,0.1256
66,1,278.44,113080.37,1.998473,3.431708224786005e-06,15.096887,481.5,0.1329
67,1,278.6,111453.99,2.088585,3.468552288797914e-06,14.997017,487.7,0.1312
68,1,278.76,109874.09,1.981561,3.5053963528098235e-06,14.808886,484.7,0.132
69,1,278.91,108335.8,1.884341,3.5422404168217327e-06,15.20995,527.7,0.1213
70,1,279.07,106844.43,2.143483,3.579084480833642e-06,15.241196,542.3,0.118
71,1,279.23,105395.76,1.754631,3.6159285448455512e-06,14.891748,544.8,0.1175
72,1,279.4,103992.81,1.742712,3.6527726088574605e-06,14.395879,491.5,0.1302
73,1,279.57,102627.0,1.840005,3.6896166728693693e-06,14.697242,499.5,0.1281
74,1,279.74,101295.08,1.953519,3.7264607368812786e-06,15.312406,518.7,0.1234
