step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step,true_imgs_per_s,data_wait_pct
1,1,70.16,1131006.53,0.605567,2.4632578174287966e-09,0.972572,1.0,65.3374,0.9,3.8
2,1,70.46,567946.22,0.587451,2.550789233051715e-09,1.369338,216.9,0.295,1.9,3.7
3,1,70.59,379260.36,0.593309,2.638320648674633e-09,1.328037,968.1,0.0661,2.8,3.7
4,1,70.72,284962.92,0.534687,2.725852064297552e-09,1.170414,927.4,0.069,3.7,3.7
5,1,70.85,228373.34,0.678893,2.8133834799204706e-09,1.631903,929.5,0.0689,4.7,3.7
6,1,70.98,190654.87,0.543796,2.900914895543389e-09,0.910489,910.0,0.0703,5.6,3.7
7,1,71.11,163714.27,0.701544,2.988446311166308e-09,1.788858,881.5,0.0726,6.5,3.7
8,1,71.24,143499.39,0.527214,3.0759777267892265e-09,1.118875,919.3,0.0696,7.5,3.7
9,1,71.37,127783.08,0.663672,3.1635091424121454e-09,1.243994,902.3,0.0709,8.4,3.7
10,1,71.5,115203.39,0.630216,3.251040558035064e-09,1.473229,964.2,0.0664,9.3,3.7
11,1,71.64,104921.49,0.684102,3.3385719736579824e-09,1.330313,900.8,0.071,10.2,3.7
12,1,71.76,96342.24,0.66877,3.4261033892809013e-09,1.286784,959.9,0.0667,11.2,3.7
13,1,71.9,89089.24,0.674699,3.5136348049038194e-09,1.659562,931.2,0.0687,12.1,3.7
14,1,72.02,82869.38,0.659207,3.6011662205267374e-09,1.900026,969.1,0.066,13.0,3.7
15,1,72.16,77487.61,0.609387,3.688697636149656e-09,1.411938,879.1,0.0728,13.9,3.7
16,1,72.29,72771.09,0.607324,3.776229051772574e-09,1.360584,919.2,0.0696,14.8,3.7
17,1,72.42,68609.43,0.580038,3.863760467395493e-09,1.271571,925.6,0.0691,15.7,3.7
18,1,72.55,64909.7,0.685398,3.951291883018411e-09,1.511062,932.9,0.0686,16.6,3.7
