step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step,true_imgs_per_s,data_wait_pct
1,1,75.5,1217213.49,0.693119,1.2316289087143981e-08,inf,0.9,68.0805,0.9,6.9
2,1,75.59,609216.67,0.693103,1.2753946165258574e-08,3.046843,940.7,0.068,1.7,6.8
3,1,75.71,406794.49,0.693076,1.3191603243373165e-08,2.675459,978.1,0.0654,2.6,6.8
4,1,75.84,305588.7,0.693005,1.3629260321487758e-08,3.329574,979.3,0.0654,3.5,6.8
5,1,75.97,244871.5,0.692971,1.4066917399602349e-08,2.904421,959.9,0.0667,4.4,6.8
6,1,76.1,204393.59,0.692903,1.450457447771694e-08,3.218754,950.5,0.0673,5.2,6.8
7,1,76.22,175475.88,0.692857,1.4942231555831533e-08,3.010764,954.3,0.0671,6.1,6.8
8,1,76.35,153788.97,0.692774,1.5379888633946126e-08,3.276375,965.9,0.0663,7.0,6.8
9,1,76.48,136922.44,0.692819,1.581754571206072e-08,2.65268,963.2,0.0664,7.8,6.8
10,1,76.61,123427.15,0.692668,1.6255202790175312e-08,3.03929,979.0,0.0654,8.7,6.8
11,1,76.73,112387.39,0.692684,1.6692859868289905e-08,2.828722,968.1,0.0661,9.5,6.8
12,1,76.86,103191.19,0.692689,1.7130516946404498e-08,2.576675,922.5,0.0694,10.4,6.8
13,1,76.99,95399.64,0.692522,1.7568174024519087e-08,2.822964,979.2,0.0654,11.3,6.8
14,1,77.11,88725.91,0.692341,1.8005831102633677e-08,3.357762,979.9,0.0653,12.1,6.8
15,1,77.24,82942.35,0.692283,1.844348818074827e-08,3.265666,984.6,0.065,13.0,6.8
16,1,77.37,77882.19,0.692252,1.888114525886286e-08,3.201554,972.8,0.0658,13.8,6.8
17,1,77.5,73418.38,0.692143,1.9318802336977452e-08,3.288355,954.5,0.0671,14.7,6.8
18,1,77.63,69455.46,0.692162,1.9756459415092042e-08,2.965854,870.9,0.0735,15.5,6.8
19,1,77.76,65899.93,0.69228,2.0194116493206635e-08,2.670473,964.8,0.0663,16.4,6.8
20,1,77.88,62703.84,0.692163,2.0631773571321228e-08,2.723425,980.5,0.0653,17.2,6.8
21,1,78.02,59816.28,0.691997,2.1069430649435817e-08,2.93192,985.0,0.065,953.6,0.8
22,1,78.14,57187.59,0.691929,2.1507087727550407e-08,2.979589,972.5,0.0658,955.1,0.8
23,1,78.28,54794.13,0.692016,2.1944744805664996e-08,2.524434,853.4,0.075,948.6,0.7
24,1,78.41,52590.91,0.691744,2.238240188377959e-08,2.900123,951.4,0.0673,947.2,0.7
25,1,78.54,50571.23,0.691692,2.282005896189418e-08,2.847354,879.2,0.0728,942.1,0.8
26,1,78.67,48702.76,0.691545,2.325771604000877e-08,3.011293,880.6,0.0727,938.0,0.9
27,1,78.8,46972.55,0.6917,2.369537311812336e-08,2.926093,953.8,0.0671,937.0,1.0
28,1,78.93,45366.28,0.691124,2.4133030196237954e-08,3.247295,963.9,0.0664,936.5,1.0
