step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step,true_imgs_per_s,data_wait_pct
1,1,59.51,159838.12,0.693146,1.4818593431264163e-08,inf,1.6,39.4191,1.1,29.9
2,1,59.59,80006.0,0.693171,1.775855485349894e-08,3.013827,874.7,0.0732,2.3,29.9
3,1,59.78,53483.6,0.693107,2.0698516275733712e-08,3.039815,869.2,0.0736,3.4,29.8
4,1,59.96,40220.91,0.693027,2.363847769796849e-08,2.99694,877.8,0.0729,4.5,29.8
5,1,60.15,32264.52,0.692935,2.6578439120203262e-08,3.289326,853.8,0.075,5.7,29.8
6,1,60.34,26959.9,0.692868,2.951840054243804e-08,3.131383,847.7,0.0755,6.8,29.7
7,1,60.52,23169.95,0.692817,3.245836196467281e-08,2.845486,880.2,0.0727,7.9,29.7
8,1,60.71,20329.04,0.692669,3.539832338690758e-08,3.144443,846.6,0.0756,9.0,29.6
9,1,60.89,18118.62,0.692531,3.833828480914236e-08,3.126336,843.9,0.0758,10.1,29.6
10,1,61.08,16350.08,0.692438,4.1278246231377134e-08,2.951353,856.6,0.0747,11.2,29.6
11,1,61.26,14902.76,0.692176,4.421820765361191e-08,3.183561,889.8,0.0719,12.4,29.5
12,1,61.45,13697.33,0.692218,4.715816907584668e-08,2.991149,868.1,0.0737,13.5,29.5
13,1,61.64,12677.85,0.69198,5.009813049808146e-08,3.021952,829.8,0.0771,14.6,29.5
14,1,61.82,11802.67,0.691868,5.3038091920316234e-08,2.813654,871.7,0.0734,15.7,29.4
15,1,62.0,11044.71,0.691524,5.597805334255101e-08,3.143137,874.5,0.0732,16.8,29.4
16,1,62.19,10381.96,0.691425,5.891801476478578e-08,2.79224,848.8,0.0754,17.8,29.3
17,1,62.38,9796.74,0.691135,6.185797618702055e-08,3.016103,854.4,0.0749,18.9,29.3
18,1,62.56,9276.32,0.690906,6.479793760925533e-08,3.001697,874.0,0.0732,20.0,29.3
19,1,62.75,8810.84,0.690375,6.77378990314901e-08,3.353149,873.2,0.0733,21.1,29.2
20,1,62.93,8391.79,0.691076,7.067786045372487e-08,2.397897,879.3,0.0728,22.2,29.2
21,1,63.12,8013.42,0.689974,7.361782187595966e-08,3.124424,893.7,0.0716,860.3,0.5
22,1,63.31,7669.07,0.689997,7.655778329819444e-08,2.919853,851.6,0.0751,859.3,0.5
23,1,63.5,7354.4,0.689532,7.949774472042921e-08,3.053592,863.1,0.0742,859.0,0.5
24,1,63.68,7066.16,0.689793,8.243770614266398e-08,2.666394,859.0,0.0745,858.0,0.5
25,1,63.87,6800.85,0.689102,8.537766756489875e-08,2.937107,860.8,0.0744,858.4,0.5
26,1,64.07,6557.73,0.688577,8.831762898713353e-08,3.192098,709.4,0.0902,850.0,0.5
27,1,64.25,6329.33,0.688209,9.125759040936831e-08,3.094423,864.9,0.074,849.2,0.5
28,1,64.43,6118.47,0.687648,9.419755183160308e-08,3.143791,889.1,0.072,851.2,0.5
29,1,64.62,5922.59,0.687912,9.713751325383785e-08,2.948385,860.1,0.0744,852.1,0.5
30,1,64.8,5739.48,0.686885,1.0007747467607264e-07,3.212918,870.5,0.0735,852.9,0.5
31,1,64.99,5568.28,0.68738,1.0301743609830741e-07,2.853016,862.3,0.0742,851.6,0.5
32,1,65.18,5407.8,0.685647,1.0595739752054218e-07,3.227269,857.1,0.0747,851.3,0.5
33,1,65.37,5257.01,0.686317,1.0889735894277695e-07,2.9105,866.5,0.0739,853.1,0.5
34,1,65.55,5115.08,0.684981,1.1183732036501172e-07,3.19796,864.1,0.0741,852.8,0.5
35,1,65.74,4981.13,0.684367,1.1477728178724649e-07,3.276607,878.8,0.0728,853.0,0.5
36,1,65.93,4854.76,0.683861,1.1771724320948126e-07,3.128921,865.2,0.074,853.8,0.5
37,1,66.11,4735.15,0.684688,1.2065720463171603e-07,2.977267,871.3,0.0735,854.5,0.5
38,1,66.3,4621.83,0.684931,1.235971660539508e-07,2.819492,869.3,0.0736,854.3,0.5
39,1,66.49,4514.5,0.684287,1.2653712747618557e-07,2.745473,838.9,0.0763,852.6,0.5
