step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step,true_imgs_per_s,data_wait_pct
1,1,143.49,3084275.21,0.467201,1.3838606290519237e-08,1.011159,0.5,116.37,0.5,17.1
2,1,143.73,1544658.44,0.445025,1.5798580572009085e-08,1.352063,279.6,0.2289,0.9,17.1
3,1,144.4,1034495.91,0.476445,1.7758554853498933e-08,1.243719,276.7,0.2313,1.4,17.0
4,1,145.06,779430.82,0.448825,1.971852913498878e-08,1.166351,273.5,0.234,1.8,17.0
5,1,145.73,626392.61,0.477764,2.1678503416478628e-08,0.904417,276.4,0.2315,2.3,17.0
6,1,146.4,524358.98,0.419465,2.3638477697968476e-08,1.197172,275.0,0.2328,2.7,16.9
7,1,147.06,451461.94,0.440755,2.5598451979458327e-08,1.165524,277.5,0.2307,3.2,16.9
8,1,147.73,396806.72,0.449377,2.7558426260948174e-08,1.288764,274.5,0.2331,3.6,16.9
9,1,148.4,354288.42,0.487468,2.9518400542438022e-08,0.867184,275.5,0.2323,4.1,16.9
10,1,149.06,320275.53,0.440961,3.147837482392787e-08,1.135418,278.4,0.2299,4.5,16.8
11,1,149.73,292447.31,0.483415,3.3438349105417724e-08,0.8854,278.9,0.2295,4.9,16.8
12,1,150.4,269265.74,0.501879,3.539832338690757e-08,0.976303,273.1,0.2344,5.4,16.8
13,1,151.07,249642.61,0.469663,3.735829766839741e-08,1.397498,276.1,0.2318,5.8,16.8
14,1,151.73,232822.27,0.417493,3.9318271949887263e-08,1.039898,278.3,0.2299,6.3,16.7
15,1,152.4,218246.83,0.446192,4.1278246231377114e-08,0.863279,278.6,0.2297,6.7,16.7
16,1,153.07,205493.7,0.465097,4.323822051286696e-08,0.84349,277.6,0.2305,7.1,16.7
17,1,153.74,194241.18,0.415982,4.519819479435681e-08,1.031319,277.1,0.231,7.6,16.6
18,1,154.41,184243.89,0.443522,4.715816907584666e-08,1.270873,273.6,0.2339,8.0,16.6
19,1,155.08,175293.98,0.509369,4.911814335733651e-08,1.552769,273.4,0.2341,8.4,16.6
20,1,155.75,167239.93,0.472495,5.107811763882636e-08,0.554718,273.7,0.2338,8.8,16.6
21,1,156.45,159988.89,0.486401,5.3038091920316214e-08,1.314234,274.8,0.2329,275.1,0.4
22,1,157.12,153363.39,0.451337,5.499806620180606e-08,1.122236,272.4,0.2349,274.7,0.4
23,1,157.79,147316.45,0.496876,5.695804048329591e-08,1.16106,270.9,0.2363,274.3,0.4
24,1,158.46,141771.94,0.44622,5.891801476478576e-08,0.771226,271.8,0.2355,274.1,0.5
25,1,159.14,136674.5,0.455871,6.08779890462756e-08,0.705765,272.2,0.2351,273.8,0.5
26,1,159.81,131966.76,0.439539,6.283796332776546e-08,0.742782,274.0,0.2336,273.7,0.5
27,1,160.48,127607.34,0.453241,6.47979376092553e-08,0.917781,273.2,0.2342,273.5,0.5
28,1,161.16,123560.48,0.377377,6.675791189074516e-08,1.00447,273.2,0.2342,273.4,0.5
29,1,161.83,119795.17,0.430656,6.871788617223501e-08,1.145937,267.4,0.2394,272.7,0.6
30,1,162.5,116275.93,0.421897,7.067786045372486e-08,0.996387,272.9,0.2345,272.4,0.6
31,1,163.18,112988.4,0.485026,7.26378347352147e-08,0.717573,270.3,0.2367,271.9,0.7
32,1,163.85,109901.63,0.425733,7.459780901670455e-08,1.32102,273.5,0.234,271.9,0.7
33,1,164.52,107005.8,0.427297,7.655778329819439e-08,0.622615,272.4,0.235,271.6,0.7
34,1,165.2,104281.56,0.46492,7.851775757968424e-08,1.199356,270.4,0.2366,270.9,0.8
