step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step,true_imgs_per_s,data_wait_pct
1,1,62.51,1007756.53,0.693111,1.2316289087143981e-08,inf,1.1,56.1952,1.1,6.9
2,1,62.59,504508.97,0.693099,1.2753946165258574e-08,3.198771,917.5,0.0698,2.1,6.9
3,1,62.72,337002.18,0.693093,1.3191603243373165e-08,2.781704,929.8,0.0688,3.2,6.9
4,1,62.85,253252.4,0.693054,1.3629260321487758e-08,3.48582,959.1,0.0667,4.2,6.9
5,1,62.98,203019.36,0.69303,1.4066917399602349e-08,3.000197,904.5,0.0708,5.3,6.9
6,1,63.11,169506.88,0.692985,1.450457447771694e-08,inf,961.2,0.0666,6.3,6.9
7,1,63.23,145569.6,0.692984,1.4942231555831533e-08,3.122109,978.4,0.0654,7.4,6.9
8,1,63.37,127634.28,0.69294,1.5379888633946126e-08,3.454914,917.7,0.0697,8.4,6.9
9,1,63.49,113673.99,0.692968,1.581754571206072e-08,2.774012,945.9,0.0677,9.5,6.9
10,1,63.62,102506.64,0.692884,1.6255202790175312e-08,3.146706,962.8,0.0665,10.5,6.9
11,1,63.75,93376.46,0.692883,1.6692859868289905e-08,2.93163,924.2,0.0692,11.5,6.9
12,1,63.88,85758.96,0.692895,1.7130516946404498e-08,2.672315,968.6,0.0661,12.6,6.9
13,1,64.01,79317.2,0.692793,1.7568174024519087e-08,2.948208,962.7,0.0665,13.6,6.9
14,1,64.14,73800.74,0.692697,1.8005831102633677e-08,3.51109,902.0,0.071,14.6,6.9
15,1,64.27,69018.45,0.692639,1.844348818074827e-08,3.446058,948.4,0.0675,15.6,6.9
16,1,64.4,64828.54,0.692645,1.888114525886286e-08,3.347554,975.0,0.0656,16.7,6.8
17,1,64.53,61135.53,0.69256,1.9318802336977452e-08,3.465831,948.8,0.0675,17.7,6.8
18,1,64.66,57852.22,0.692578,1.9756459415092042e-08,3.102902,936.1,0.0684,18.7,6.8
19,1,64.79,54909.39,0.692641,2.0194116493206635e-08,2.800293,983.7,0.0651,19.7,6.8
20,1,64.92,52263.84,0.692585,2.0631773571321228e-08,2.843442,980.8,0.0653,20.8,6.8
21,1,65.06,49883.52,0.692468,2.1069430649435817e-08,3.058677,951.8,0.0672,938.8,0.9
22,1,65.2,47716.74,0.692433,2.1507087727550407e-08,3.134009,811.6,0.0789,932.8,0.9
