step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step,true_imgs_per_s,data_wait_pct
11201,5,17479.01,7679.16,0.396168,1.381167334572793e-07,2.771774,3.0,21.3323,1.3,56.4
11202,5,17485.56,7679.79,0.444543,1.3811017249898684e-07,3.547535,159.5,0.4013,2.3,60.8
11203,5,17486.61,7678.0,0.440558,1.3810360724790048e-07,3.220362,158.1,0.4047,3.4,60.4
11204,5,17487.67,7676.22,0.390907,1.3809703770569396e-07,2.471959,157.9,0.4053,4.6,59.9
11205,5,17488.73,7674.44,0.410184,1.380904638740421e-07,2.822726,156.6,0.4086,5.6,59.5
11206,5,17489.8,7672.66,0.438865,1.3808388575462087e-07,2.494577,152.3,0.4202,6.7,59.1
11207,5,17490.83,7670.87,0.409377,1.380773033491073e-07,2.507767,154.2,0.415,7.8,58.6
11208,5,17491.88,7669.08,0.413912,1.3807071665917948e-07,2.753356,159.4,0.4015,8.8,58.2
11209,5,17492.92,7667.3,0.384181,1.3806412568651667e-07,2.073516,158.5,0.4037,9.9,57.8
11210,5,17493.99,7665.52,0.43828,1.3805753043279915e-07,2.503495,152.2,0.4205,10.9,57.4
11211,5,17495.02,7663.73,0.380221,1.3805093089970835e-07,1.949111,158.0,0.405,11.9,57.0
11212,5,17496.08,7661.95,0.427816,1.3804432708892672e-07,2.459744,158.6,0.4035,12.9,56.6
11213,5,17497.13,7660.16,0.421137,1.3803771900213785e-07,3.455154,157.6,0.406,13.9,56.3
11214,5,17498.18,7658.38,0.44301,1.3803110664102645e-07,2.844109,157.4,0.4067,14.8,55.9
11215,5,17499.25,7656.61,0.401231,1.3802449000727826e-07,3.179129,157.6,0.4061,15.8,55.5
11216,5,17500.3,7654.82,0.423815,1.3801786910258012e-07,3.227655,158.0,0.405,16.7,55.1
11217,5,17501.36,7653.04,0.396873,1.3801124392862e-07,2.813252,158.5,0.4038,17.7,54.8
11218,5,17502.41,7651.26,0.471153,1.3800461448708688e-07,3.354696,157.4,0.4065,18.6,54.4
11219,5,17503.48,7649.48,0.408807,1.3799798077967093e-07,2.459992,158.2,0.4046,19.5,54.1
11220,5,17504.52,7647.7,0.459243,1.3799134280806332e-07,2.773087,157.8,0.4055,20.4,53.7
11221,5,17505.61,7645.93,0.458848,1.3798470057395635e-07,4.096772,158.7,0.4033,89.5,43.1
11222,5,17506.67,7644.15,0.374361,1.3797805407904342e-07,2.404818,156.2,0.4097,156.5,0.4
11223,5,17507.72,7642.37,0.409067,1.3797140332501895e-07,2.708052,158.3,0.4042,156.5,0.4
11224,5,17508.78,7640.59,0.452708,1.3796474831357852e-07,2.292117,158.0,0.405,156.5,0.4
11225,5,17509.85,7638.82,0.437506,1.3795808904641876e-07,2.788204,157.7,0.4058,156.7,0.3
11226,5,17510.9,7637.04,0.395106,1.379514255252374e-07,2.375943,158.2,0.4045,157.0,0.3
11227,5,17511.96,7635.26,0.45209,1.3794475775173322e-07,3.497391,157.7,0.4057,157.1,0.4
11228,5,17513.01,7633.48,0.413552,1.3793808572760614e-07,3.124322,157.9,0.4053,157.0,0.4
11229,5,17514.07,7631.7,0.432255,1.379314094545571e-07,2.2089,158.0,0.4052,157.0,0.4
11230,5,17515.12,7629.92,0.432821,1.3792472893428817e-07,3.078621,157.9,0.4052,157.3,0.4
11231,5,17516.18,7628.14,0.379876,1.379180441685025e-07,2.024474,158.1,0.4049,157.3,0.4
11232,5,17517.23,7626.36,0.405325,1.379113551589043e-07,2.8456,158.0,0.4051,157.2,0.4
11233,5,17518.29,7624.58,0.413154,1.3790466190719887e-07,2.977406,157.3,0.4069,157.2,0.4
11234,5,17519.34,7622.8,0.430898,1.378979644150926e-07,2.887003,158.3,0.4044,157.3,0.4
11235,5,17520.4,7621.02,0.415754,1.3789126268429298e-07,2.030712,157.9,0.4054,157.3,0.4
11236,5,17521.46,7619.25,0.385127,1.3788455671650853e-07,2.820605,158.1,0.4047,157.3,0.4
11237,5,17522.51,7617.47,0.443118,1.3787784651344886e-07,3.300398,157.0,0.4076,157.3,0.3
11238,5,17523.56,7615.69,0.440548,1.3787113207682468e-07,2.578873,157.8,0.4056,157.3,0.3
11239,5,17524.62,7613.91,0.425853,1.378644134083478e-07,2.864486,158.2,0.4045,157.3,0.3
11240,5,17525.68,7612.13,0.471731,1.3785769050973106e-07,3.885612,158.0,0.405,157.3,0.4
11241,5,17526.77,7610.37,0.431974,1.3785096338268843e-07,2.310442,157.5,0.4065,157.2,0.4
11242,5,17527.83,7608.6,0.397623,1.3784423202893493e-07,2.646193,158.1,0.4047,157.3,0.4
11243,5,17528.89,7606.82,0.422007,1.3783749645018662e-07,3.506409,157.7,0.406,157.3,0.4
11244,5,17529.94,7605.04,0.387607,1.378307566481607e-07,2.34772,158.0,0.4051,157.3,0.3
11245,5,17531.0,7603.26,0.414601,1.3782401262457543e-07,3.627537,156.8,0.4081,157.2,0.4
11246,5,17532.06,7601.49,0.380045,1.3781726438115014e-07,2.346881,158.0,0.405,157.2,0.4
11247,5,17533.12,7599.71,0.417356,1.378105119196052e-07,2.870406,158.2,0.4045,157.3,0.4
11248,5,17534.18,7597.94,0.399252,1.3780375524166215e-07,3.592523,157.6,0.4061,157.3,0.3
11249,5,17535.24,7596.16,0.411119,1.3779699434904346e-07,2.556604,157.7,0.4058,157.3,0.3
11250,5,17536.3,7594.39,0.446546,1.3779022924347285e-07,2.643994,158.3,0.4044,157.3,0.3
11251,5,17537.36,7592.61,0.396575,1.3778345992667496e-07,2.77329,157.1,0.4075,157.3,0.3
11252,5,17538.43,7590.84,0.425737,1.377766864003756e-07,2.722739,155.3,0.412,157.1,0.3
11253,5,17539.48,7589.06,0.428217,1.3776990866630159e-07,2.345818,157.6,0.406,157.1,0.3
11254,5,17540.54,7587.29,0.427634,1.3776312672618088e-07,2.598144,157.8,0.4055,157.1,0.3
11255,5,17541.6,7585.51,0.452494,1.3775634058174244e-07,3.785205,158.0,0.4051,157.1,0.3
11256,5,17542.66,7583.74,0.491503,1.3774955023471636e-07,2.976627,157.8,0.4055,157.1,0.3
11257,5,17543.72,7581.97,0.419649,1.3774275568683377e-07,4.558043,157.3,0.4069,157.1,0.3
11258,5,17544.78,7580.19,0.455271,1.3773595693982687e-07,2.794727,158.0,0.4052,157.1,0.3
11259,5,17545.84,7578.42,0.441457,1.3772915399542894e-07,2.301305,156.8,0.4082,157.0,0.3
11260,5,17546.91,7576.65,0.432574,1.3772234685537435e-07,2.50465,157.5,0.4063,157.0,0.3
11261,5,17547.99,7574.89,0.434496,1.3771553552139848e-07,2.722477,158.2,0.4045,157.0,0.4
11262,5,17549.05,7573.11,0.381878,1.3770871999523787e-07,2.255792,157.0,0.4077,157.0,0.3
11263,5,17550.11,7571.34,0.441588,1.3770190027863004e-07,3.418595,157.1,0.4074,157.0,0.3
11264,5,17551.16,7569.56,0.403282,1.3769507637331363e-07,2.190959,157.6,0.406,156.9,0.4
11265,5,17552.22,7567.79,0.434505,1.3768824828102833e-07,2.657998,157.5,0.4064,157.0,0.3
11266,5,17553.28,7566.02,0.435313,1.376814160035149e-07,2.924667,157.8,0.4056,157.0,0.3
11267,5,17554.34,7564.24,0.428627,1.3767457954251515e-07,2.765651,157.4,0.4065,156.9,0.3
11268,5,17555.41,7562.47,0.415751,1.37667738899772e-07,2.215441,156.3,0.4095,156.9,0.3
11269,5,17556.46,7560.7,0.489136,1.3766089407702943e-07,3.646525,157.3,0.4068,156.8,0.4
11270,5,17557.52,7558.93,0.42394,1.3765404507603243e-07,2.562799,157.6,0.406,156.8,0.4
11271,5,17558.58,7557.15,0.42893,1.376471918985271e-07,2.716508,157.6,0.4061,156.8,0.4
11272,5,17559.64,7555.38,0.42451,1.3764033454626057e-07,3.166757,157.2,0.407,156.9,0.4
11273,5,17560.7,7553.61,0.433722,1.376334730209811e-07,2.914083,157.6,0.4061,156.9,0.4
11274,5,17561.77,7551.84,0.385514,1.3762660732443797e-07,3.542835,157.1,0.4075,156.8,0.4
11275,5,17562.82,7550.07,0.413793,1.3761973745838152e-07,2.970551,157.6,0.406,156.8,0.4
11276,5,17563.89,7548.3,0.468361,1.3761286342456318e-07,2.91097,157.7,0.4059,156.8,0.4
11277,5,17564.95,7546.53,0.382077,1.3760598522473538e-07,2.25196,157.3,0.4069,156.8,0.4
11278,5,17566.01,7544.75,0.341777,1.375991028606517e-07,2.563202,156.9,0.408,156.7,0.4
11279,5,17567.06,7542.98,0.458778,1.3759221633406667e-07,3.425739,157.2,0.4072,156.8,0.4
11280,5,17568.12,7541.21,0.442806,1.37585325646736e-07,3.060824,157.8,0.4057,156.8,0.4
11281,5,17569.2,7539.45,0.397991,1.3757843080041642e-07,3.057305,157.5,0.4064,156.8,0.3
11282,5,17570.27,7537.68,0.419905,1.375715317968657e-07,2.198799,156.7,0.4085,156.8,0.3
11283,5,17571.33,7535.91,0.45608,1.3756462863784265e-07,2.186054,156.8,0.4082,156.8,0.3
11284,5,17572.38,7534.14,0.461853,1.375577213251072e-07,2.344676,157.8,0.4056,156.8,0.3
11285,5,17573.44,7532.36,0.404805,1.3755080986042028e-07,2.965147,158.1,0.4049,156.9,0.3
11286,5,17574.51,7530.6,0.466052,1.3754389424554394e-07,2.731912,156.7,0.4083,156.8,0.3
11287,5,17575.57,7528.83,0.441837,1.3753697448224122e-07,3.623666,156.3,0.4095,156.7,0.3
11288,5,17576.63,7527.06,0.407239,1.3753005057227628e-07,3.223858,156.3,0.4095,156.7,0.3
11289,5,17577.69,7525.29,0.485808,1.3752312251741428e-07,3.445122,156.1,0.4099,156.7,0.3
11290,5,17578.75,7523.52,0.407516,1.375161903194215e-07,2.455016,155.6,0.4112,156.6,0.3
11291,5,17579.81,7521.75,0.417926,1.3750925398006522e-07,2.765406,156.4,0.4093,156.5,0.3
11292,5,17580.88,7519.98,0.442498,1.375023135011138e-07,3.391312,156.3,0.4095,156.5,0.3
11293,5,17581.95,7518.22,0.42355,1.3749536888433666e-07,2.713841,156.2,0.4098,156.4,0.3
11294,5,17583.01,7516.45,0.405592,1.3748842013150426e-07,2.758313,156.5,0.409,156.4,0.3
11295,5,17584.07,7514.68,0.44871,1.374814672443881e-07,2.809349,155.4,0.4119,156.3,0.3
11296,5,17585.14,7512.91,0.431306,1.374745102247608e-07,2.240813,156.1,0.4099,156.2,0.3
11297,5,17586.21,7511.15,0.446854,1.3746754907439596e-07,3.04203,156.9,0.4079,156.1,0.3
11298,5,17587.27,7509.38,0.447357,1.3746058379506828e-07,2.800317,156.1,0.4101,156.1,0.3
11299,5,17588.33,7507.61,0.462389,1.3745361438855348e-07,2.880315,155.4,0.4117,156.0,0.3
11300,5,17589.39,7505.84,0.399923,1.3744664085662837e-07,2.880733,156.4,0.4093,155.9,0.4
11301,5,17590.46,7504.08,0.453272,1.3743966320107076e-07,3.158093,157.2,0.4072,155.9,0.4
11302,5,17591.53,7502.32,0.440999,1.3743268142365953e-07,3.208283,156.4,0.4092,155.8,0.4
11303,5,17592.59,7500.55,0.399978,1.3742569552617468e-07,2.567627,156.7,0.4085,155.8,0.4
11304,5,17593.65,7498.78,0.407995,1.3741870551039716e-07,3.011744,155.7,0.411,155.7,0.4
11305,5,17594.71,7497.01,0.383775,1.3741171137810902e-07,2.46856,156.4,0.4092,155.6,0.4
11306,5,17595.77,7495.24,0.419141,1.3740471313109335e-07,2.700806,156.6,0.4087,155.6,0.4
11307,5,17596.83,7493.48,0.421099,1.373977107711343e-07,2.386171,155.8,0.4108,155.6,0.4
11308,5,17597.89,7491.71,0.457206,1.3739070430001706e-07,3.28639,156.4,0.4092,155.6,0.4
11309,5,17598.95,7489.94,0.462582,1.3738369371952784e-07,6.821392,156.0,0.4102,155.6,0.4
11310,5,17600.01,7488.17,0.444364,1.3737667903145393e-07,3.53598,156.3,0.4096,155.7,0.4
11311,5,17601.07,7486.41,0.481056,1.373696602375837e-07,3.132872,155.8,0.4107,155.6,0.4
11312,5,17602.14,7484.65,0.46105,1.3736263733970647e-07,2.560952,156.5,0.409,155.7,0.4
11313,5,17603.21,7482.88,0.426945,1.3735561033961272e-07,2.751499,156.7,0.4085,155.7,0.4
11314,5,17604.27,7481.11,0.460081,1.373485792390939e-07,2.560335,156.1,0.41,155.7,0.4
11315,5,17605.33,7479.35,0.414859,1.373415440399425e-07,6.30307,156.3,0.4094,155.7,0.4
11316,5,17606.4,7477.58,0.443181,1.3733450474395211e-07,3.719396,156.4,0.4093,155.8,0.3
11317,5,17607.46,7475.82,0.443332,1.3732746135291734e-07,2.992762,156.8,0.4081,155.8,0.3
11318,5,17608.53,7474.06,0.414142,1.3732041386863383e-07,2.984647,156.5,0.4089,155.8,0.3
11319,5,17609.59,7472.29,0.397169,1.3731336229289827e-07,2.05914,155.8,0.4109,155.8,0.3
11320,5,17610.65,7470.52,0.399181,1.373063066275084e-07,3.641566,156.1,0.4101,155.9,0.3
11321,5,17611.72,7468.76,0.383832,1.3729924687426298e-07,3.026669,157.0,0.4076,155.9,0.3
11322,5,17612.8,7467.0,0.443856,1.3729218303496185e-07,2.740535,156.7,0.4084,155.9,0.3
11323,5,17613.86,7465.24,0.460892,1.3728511511140587e-07,2.606408,157.0,0.4075,155.9,0.3
11324,5,17614.93,7463.48,0.452229,1.3727804310539696e-07,4.012747,156.4,0.4093,155.9,0.3
11325,5,17615.99,7461.71,0.389452,1.3727096701873803e-07,4.61075,156.2,0.4096,155.9,0.3
11326,5,17617.05,7459.95,0.403627,1.3726388685323308e-07,2.123095,156.5,0.4091,155.9,0.3
11327,5,17618.11,7458.18,0.479152,1.3725680261068714e-07,4.611035,156.1,0.4099,155.9,0.3
11328,5,17619.17,7456.42,0.467752,1.3724971429290628e-07,4.610704,156.0,0.4104,155.9,0.3
11329,5,17620.24,7454.66,0.461375,1.372426219016976e-07,2.279846,156.3,0.4095,155.9,0.3
11330,5,17621.3,7452.89,0.406918,1.3723552543886923e-07,3.293485,157.6,0.4061,156.0,0.3
11331,5,17622.37,7451.13,0.416232,1.3722842490623035e-07,2.483163,155.0,0.4128,156.0,0.3
11332,5,17623.45,7449.37,0.441761,1.3722132030559117e-07,3.964797,155.9,0.4106,155.9,0.3
11333,5,17624.51,7447.61,0.40775,1.3721421163876298e-07,3.508857,156.1,0.4101,155.9,0.3
11334,5,17625.57,7445.85,0.466906,1.37207098907558e-07,2.662644,156.0,0.4103,155.9,0.3
11335,5,17626.63,7444.08,0.460326,1.3719998211378964e-07,3.273124,155.9,0.4104,155.9,0.3
11336,5,17627.7,7442.32,0.437025,1.371928612592722e-07,2.601129,156.6,0.4087,155.9,0.3
11337,5,17628.77,7440.56,0.467863,1.3718573634582112e-07,7.362996,156.2,0.4098,155.8,0.3
11338,5,17629.83,7438.8,0.394926,1.3717860737525282e-07,5.031544,156.2,0.4097,155.8,0.3
11339,5,17630.89,7437.04,0.452652,1.3717147434938476e-07,4.091294,156.0,0.4103,155.8,0.3
11340,5,17631.95,7435.27,0.42821,1.3716433727003545e-07,4.028369,156.3,0.4093,155.8,0.3
11341,5,17633.02,7433.51,0.407529,1.3715719613902443e-07,4.015581,157.5,0.4064,155.8,0.3
11342,5,17634.09,7431.75,0.44025,1.3715005095817225e-07,16.77927,156.3,0.4095,155.8,0.3
11343,5,17635.15,7429.99,0.398591,1.3714290172930051e-07,16.572073,156.1,0.41,155.8,0.3
11344,5,17636.21,7428.23,0.398207,1.3713574845423185e-07,4.920105,156.6,0.4086,155.8,0.3
11345,5,17637.27,7426.47,0.428321,1.3712859113478992e-07,4.741451,155.5,0.4116,155.8,0.3
11346,5,17638.34,7424.71,0.376305,1.3712142977279945e-07,8.204899,156.4,0.4093,155.8,0.2
11347,5,17639.41,7422.95,0.43658,1.371142643700861e-07,5.533716,156.5,0.4089,155.8,0.3
11348,5,17640.47,7421.18,0.394582,1.371070949284767e-07,3.152646,155.5,0.4115,155.8,0.3
11349,5,17641.53,7419.42,0.426324,1.3709992144979901e-07,4.553339,155.7,0.411,155.8,0.3
11350,5,17642.6,7417.66,0.468307,1.3709274393588182e-07,15.687762,156.4,0.4092,155.7,0.3
11351,5,17643.67,7415.91,0.432723,1.37085562388555e-07,20.704763,156.1,0.4101,155.7,0.3
11352,5,17644.73,7414.14,0.398052,1.3707837680964938e-07,10.266088,155.3,0.412,155.7,0.3
11353,5,17645.79,7412.38,0.439581,1.370711872009969e-07,3.618499,156.1,0.4101,155.7,0.3
11354,5,17646.87,7410.63,0.391709,1.3706399356443048e-07,3.443018,156.2,0.4096,155.8,0.3
11355,5,17647.93,7408.87,0.42358,1.3705679590178405e-07,8.623974,156.6,0.4088,155.8,0.3
11356,5,17648.99,7407.11,0.431696,1.370495942148926e-07,10.486108,155.4,0.4119,155.7,0.3
11357,5,17650.06,7405.35,0.479249,1.3704238850559216e-07,3.021207,156.0,0.4102,155.7,0.3
11358,5,17651.13,7403.59,0.470725,1.3703517877571973e-07,5.319538,156.4,0.4092,155.7,0.3
11359,5,17652.19,7401.83,0.460667,1.3702796502711337e-07,4.377018,155.8,0.4107,155.7,0.3
11360,5,17653.25,7400.07,0.413742,1.370207472616122e-07,7.589425,155.9,0.4105,155.7,0.3
11361,5,17654.34,7398.32,0.405396,1.3701352548105628e-07,12.864213,156.1,0.4101,155.6,0.3
11362,5,17655.41,7396.56,0.436987,1.3700629968728674e-07,19.329077,156.6,0.4088,155.6,0.3
11363,5,17656.47,7394.8,0.414355,1.3699906988214575e-07,2.293177,155.8,0.4108,155.6,0.3
11364,5,17657.53,7393.04,0.397588,1.3699183606747647e-07,9.959566,156.5,0.4089,155.5,0.3
11365,5,17658.59,7391.28,0.391685,1.369845982451231e-07,3.525006,155.6,0.4114,155.5,0.3
11366,5,17659.66,7389.52,0.401867,1.369773564169309e-07,5.728132,156.6,0.4087,155.5,0.3
11367,5,17660.73,7387.77,0.45727,1.3697011058474604e-07,3.213159,156.7,0.4083,155.6,0.3
11368,5,17661.79,7386.01,0.416971,1.369628607504158e-07,6.156057,156.0,0.4103,155.6,0.3
11369,5,17662.85,7384.25,0.437401,1.3695560691578846e-07,12.41337,156.2,0.4098,155.6,0.3
11370,5,17663.92,7382.49,0.390145,1.3694834908271336e-07,10.188578,156.2,0.4097,155.6,0.3
11371,5,17664.98,7380.74,0.472427,1.3694108725304078e-07,4.454447,156.5,0.4091,155.7,0.3
11372,5,17666.05,7378.98,0.354527,1.3693382142862206e-07,6.533111,156.0,0.4104,155.7,0.3
11373,5,17667.11,7377.22,0.492441,1.3692655161130956e-07,3.446072,155.8,0.4107,155.7,0.3
11374,5,17668.17,7375.46,0.421851,1.3691927780295664e-07,9.220656,156.3,0.4094,155.7,0.3
11375,5,17669.24,7373.7,0.444405,1.3691200000541773e-07,8.665812,155.9,0.4105,155.7,0.3
11376,5,17670.31,7371.95,0.392243,1.3690471822054822e-07,4.070084,155.7,0.4111,155.7,0.3
11377,5,17671.37,7370.19,0.465398,1.3689743245020454e-07,17.989342,155.9,0.4106,155.7,0.3
11378,5,17672.43,7368.43,0.387693,1.3689014269624413e-07,18.400526,156.4,0.4091,155.7,0.3
11379,5,17673.49,7366.67,0.421566,1.3688284896052544e-07,24.300062,155.8,0.4109,155.7,0.3
