step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step,true_imgs_per_s,data_wait_pct
1,1,45.07,605438.14,0.693157,1.6294989797276636e-09,0.849427,3.6,17.5973,1.6,57.1
2,1,45.55,305931.91,0.693141,2.071134758552388e-09,0.889716,173.8,0.3683,3.1,56.6
3,1,46.65,208845.43,0.69315,2.512770537377113e-09,0.778412,174.9,0.3659,4.6,56.1
4,1,47.76,160366.81,0.69315,2.9544063162018378e-09,0.95526,167.7,0.3816,6.1,55.6
5,1,48.96,131511.75,0.69314,3.3960420950265625e-09,0.834913,126.5,0.5061,7.5,55.0
6,1,49.92,111739.11,0.693128,3.837677873851287e-09,0.925394,174.3,0.3671,8.9,54.5
7,1,51.01,97853.55,0.693118,4.279313652676012e-09,0.861888,168.7,0.3793,10.3,54.1
8,1,52.13,87488.49,0.693123,4.720949431500737e-09,0.945795,148.5,0.4311,11.7,53.5
9,1,53.16,79298.59,0.693123,5.162585210325461e-09,0.770494,166.9,0.3834,13.0,53.1
10,1,54.22,72789.19,0.693093,5.604220989150186e-09,0.869622,168.1,0.3807,14.3,52.6
11,1,55.26,67435.29,0.693101,6.045856767974911e-09,0.81553,173.9,0.368,15.6,52.2
12,1,56.4,63085.84,0.693101,6.487492546799636e-09,0.761331,143.0,0.4474,16.9,51.7
13,1,57.4,59263.82,0.693085,6.92912832562436e-09,0.819313,172.8,0.3704,18.1,51.3
14,1,58.45,56035.67,0.693068,7.370764104449086e-09,0.944281,174.3,0.3672,19.4,50.9
15,1,59.53,53257.31,0.69305,7.81239988327381e-09,0.938876,166.2,0.3851,20.6,50.5
16,1,60.57,50802.11,0.693055,8.254035662098534e-09,0.904724,173.4,0.369,21.8,50.1
17,1,61.67,48673.01,0.693042,8.695671440923259e-09,0.961079,158.5,0.4037,22.9,49.7
18,1,62.71,46739.92,0.693048,9.137307219747984e-09,0.85638,165.6,0.3865,24.1,49.3
19,1,63.75,45016.68,0.693036,9.578942998572709e-09,0.79306,173.5,0.3689,25.2,48.9
20,1,64.81,43473.73,0.693027,1.0020578777397434e-08,0.7944,172.5,0.3709,26.4,48.5
