step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,90.05,3629189.22,0.74236,1.0368440640119094e-06,3.485624,0.8,81.9768
2,1,90.15,1816672.35,0.74158,1.0736881280238187e-06,3.508299,631.7,0.1013
3,1,90.45,1215124.84,0.740246,1.1105321920357277e-06,3.408031,630.1,0.1016
4,1,90.75,914369.81,0.731711,1.147376256047637e-06,3.406214,628.7,0.1018
5,1,91.06,733966.14,0.734334,1.1842203200595463e-06,3.312954,616.1,0.1039
6,1,91.37,613653.27,0.733637,1.2210643840714553e-06,3.387143,627.7,0.102
7,1,91.67,527712.16,0.74359,1.2579084480833646e-06,3.432464,632.4,0.1012
8,1,91.97,463260.44,0.731214,1.2947525120952738e-06,3.435041,631.7,0.1013
9,1,92.27,413141.85,0.736893,1.331596576107183e-06,3.371123,626.2,0.1022
10,1,92.58,373038.42,0.732013,1.3684406401190921e-06,3.14907,630.3,0.1015
11,1,92.88,340227.6,0.736181,1.4052847041310014e-06,3.386092,631.1,0.1014
12,1,93.18,312883.47,0.736295,1.4421287681429106e-06,3.602241,631.0,0.1014
13,1,93.49,289748.04,0.733271,1.4789728321548197e-06,3.32426,632.0,0.1013
14,1,93.79,269912.43,0.729971,1.5158168961667287e-06,3.361169,636.3,0.1006
15,1,94.09,252728.85,0.737783,1.552660960178638e-06,3.738844,628.0,0.1019
16,1,94.4,237695.92,0.735484,1.589505024190547e-06,3.511586,621.8,0.1029
17,1,94.7,224431.16,0.728225,1.6263490882024563e-06,3.337424,619.0,0.1034
18,1,95.0,212635.02,0.725938,1.6631931522143654e-06,3.438177,625.9,0.1023
19,1,95.31,202085.83,0.735033,1.7000372162262744e-06,3.630185,612.2,0.1045
20,1,95.61,192582.68,0.730592,1.7368812802381837e-06,3.465815,629.9,0.1016
21,1,95.92,184001.93,0.729656,1.7737253442500927e-06,3.457313,613.9,0.1043
22,1,96.23,176192.38,0.723277,1.8105694082620018e-06,3.469467,604.6,0.1059
23,1,96.53,169055.79,0.728778,1.8474134722739108e-06,3.243382,623.3,0.1027
24,1,96.83,162521.91,0.730281,1.8842575362858199e-06,3.483239,622.8,0.1028
25,1,97.14,156509.18,0.72362,1.921101600297729e-06,3.430541,610.3,0.1049
26,1,97.44,150955.56,0.723171,1.957945664309638e-06,3.342557,615.2,0.104
27,1,97.75,145815.28,0.722691,1.994789728321547e-06,3.072252,620.3,0.1032
28,1,98.05,141045.43,0.727569,2.0316337923334565e-06,3.528311,593.0,0.1079
29,1,98.35,136593.41,0.716927,2.0684778563453657e-06,3.070919,623.6,0.1026
30,1,98.66,132452.37,0.723852,2.105321920357275e-06,3.40761,622.7,0.1028
31,1,98.96,128571.19,0.716102,2.1421659843691842e-06,2.930919,618.6,0.1035
