step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,110.04,4435024.47,0.732259,1.0368440640119094e-06,2.975792,0.7,89.8449
2,1,110.14,2219575.6,0.735122,1.0736881280238187e-06,3.116015,633.0,0.1011
3,1,110.44,1483712.29,0.734576,1.1105321920357277e-06,2.693991,636.6,0.1005
4,1,110.75,1115819.65,0.719174,1.147376256047637e-06,2.457443,622.3,0.1028
5,1,111.05,895098.64,0.727548,1.1842203200595463e-06,2.68541,622.2,0.1029
6,1,111.36,747964.38,0.724103,1.2210643840714553e-06,2.638616,600.7,0.1065
7,1,111.67,642858.07,0.735474,1.2579084480833646e-06,2.759456,583.4,0.1097
8,1,111.98,564051.71,0.725818,1.2947525120952738e-06,2.828602,551.7,0.116
9,1,112.28,502718.67,0.731964,1.331596576107183e-06,2.840981,570.4,0.1122
10,1,112.59,453673.62,0.724132,1.3684406401190921e-06,2.30816,561.9,0.1139
11,1,112.91,413582.52,0.727465,1.4052847041310014e-06,2.757051,503.5,0.1271
12,1,113.23,380198.04,0.728162,1.4421287681429106e-06,2.840354,448.1,0.1428
13,1,113.5,351795.15,0.725677,1.4789728321548197e-06,2.607097,563.7,0.1135
14,1,113.81,327534.37,0.720991,1.5158168961667287e-06,2.520224,561.5,0.114
15,1,114.12,306526.81,0.730247,1.552660960178638e-06,2.959447,528.6,0.1211
16,1,114.43,288135.87,0.727882,1.589505024190547e-06,2.768548,524.7,0.122
17,1,114.75,271946.99,0.718762,1.6263490882024563e-06,2.600038,496.7,0.1288
18,1,115.05,257511.24,0.715492,1.6631931522143654e-06,2.768288,532.1,0.1203
19,1,115.38,244637.74,0.728443,1.7000372162262744e-06,3.045993,475.0,0.1347
20,1,115.69,233022.04,0.726243,1.7368812802381837e-06,2.608899,482.1,0.1327
21,1,116.01,222546.78,0.718408,1.7737253442500927e-06,2.661197,602.5,0.1062
22,1,116.35,213048.66,0.720275,1.8105694082620018e-06,2.792789,458.1,0.1397
23,1,116.66,204309.78,0.713918,1.8474134722739108e-06,2.395326,512.1,0.125
24,1,116.99,196352.67,0.725155,1.8842575362858199e-06,2.620136,439.2,0.1457
25,1,117.29,188984.03,0.715665,1.921101600297729e-06,2.663573,488.9,0.1309
26,1,117.58,182149.93,0.720318,1.957945664309638e-06,2.961444,605.8,0.1057
27,1,117.89,175872.83,0.71318,1.994789728321547e-06,2.087595,545.7,0.1173
28,1,118.22,170060.24,0.723778,2.0316337923334565e-06,2.882503,466.2,0.1373
29,1,118.51,164590.15,0.70961,2.0684778563453657e-06,2.548362,583.3,0.1097
30,1,118.84,159549.28,0.720017,2.105321920357275e-06,2.442383,456.8,0.1401
31,1,119.2,154855.25,0.70614,2.1421659843691842e-06,2.352185,382.3,0.1674
32,1,119.46,150349.21,0.714453,2.1790100483810935e-06,2.381371,559.6,0.1144
33,1,119.81,146209.38,0.709167,2.2158541123930023e-06,2.47027,421.2,0.1519
34,1,120.12,142269.5,0.71212,2.252698176404911e-06,2.392762,459.8,0.1392
35,1,120.45,138583.52,0.716821,2.2895422404168204e-06,2.803868,463.0,0.1382
36,1,120.72,135037.16,0.709996,2.3263863044287297e-06,2.580279,597.8,0.1071
37,1,121.18,131879.16,0.715851,2.363230368440639e-06,2.66001,248.0,0.2581
38,1,121.37,128615.86,0.709393,2.400074432452548e-06,2.357931,514.3,0.1244
39,1,121.69,125640.31,0.703176,2.436918496464457e-06,2.463951,545.4,0.1173
40,1,121.99,122793.46,0.719704,2.4737625604763663e-06,2.529554,600.2,0.1066
41,1,122.31,120115.27,0.703493,2.5106066244882756e-06,2.564709,594.3,0.1077
42,1,122.62,117547.61,0.708023,2.547450688500185e-06,2.900899,584.8,0.1094
43,1,122.92,115096.07,0.713717,2.584294752512094e-06,2.447767,578.9,0.1106
44,1,123.24,112764.47,0.702497,2.6211388165240034e-06,2.431026,541.6,0.1182
45,1,123.54,110525.76,0.70362,2.6579828805359126e-06,2.901738,602.4,0.1062
46,1,123.84,108384.38,0.704589,2.694826944547822e-06,2.483881,623.8,0.1026
47,1,124.16,106345.38,0.705717,2.731671008559731e-06,2.526546,570.1,0.1123
48,1,124.48,104400.87,0.699262,2.7685150725716404e-06,1.993827,478.8,0.1337
49,1,124.77,102507.98,0.70879,2.8053591365835492e-06,2.54469,539.6,0.1186
50,1,125.07,100690.53,0.701711,2.8422032005954585e-06,2.528014,606.3,0.1056
51,1,125.39,98968.13,0.700452,2.8790472646073677e-06,2.408449,527.6,0.1213
52,1,125.69,97292.56,0.70722,2.915891328619277e-06,2.365547,572.3,0.1118
53,1,125.99,95686.0,0.704852,2.9527353926311863e-06,2.510665,575.5,0.1112
54,1,126.3,94140.32,0.696174,2.9895794566430955e-06,2.333744,590.6,0.1084
55,1,126.64,92680.13,0.698024,3.0264235206550044e-06,2.477858,436.4,0.1466
56,1,126.96,91252.03,0.696005,3.0632675846669136e-06,2.800207,510.6,0.1253
57,1,127.27,89865.92,0.691286,3.1001116486788225e-06,2.308233,586.1,0.1092
58,1,127.59,88533.51,0.697109,3.1369557126907313e-06,2.612231,536.0,0.1194
59,1,127.89,87235.33,0.696367,3.1737997767026406e-06,2.653634,561.1,0.1141
60,1,128.24,86015.25,0.701282,3.21064384071455e-06,2.769856,396.9,0.1613
61,1,128.52,84787.13,0.687069,3.2474879047264586e-06,2.647444,576.5,0.111
62,1,128.82,83615.07,0.694257,3.284331968738368e-06,2.233205,583.0,0.1098
63,1,129.12,82474.98,0.690009,3.321176032750277e-06,2.551412,623.7,0.1026
64,1,129.44,81387.6,0.691883,3.3580200967621864e-06,2.722031,529.9,0.1208
65,1,129.75,80322.31,0.68813,3.3948641607740957e-06,2.413602,560.6,0.1142
66,1,130.05,79287.36,0.688573,3.431708224786005e-06,2.381043,584.7,0.1095
67,1,130.35,78286.19,0.693003,3.468552288797914e-06,2.918445,590.7,0.1083
68,1,130.67,77321.28,0.695637,3.5053963528098235e-06,2.057111,535.7,0.1195
69,1,130.99,76384.97,0.683163,3.5422404168217327e-06,2.601572,481.2,0.133
70,1,131.28,75458.65,0.679598,3.579084480833642e-06,2.591635,598.1,0.107
71,1,131.6,74573.82,0.682609,3.6159285448455512e-06,2.502859,547.9,0.1168
72,1,131.91,73711.23,0.687368,3.6527726088574605e-06,1.767475,592.8,0.108
73,1,132.23,72873.77,0.68309,3.6896166728693693e-06,2.27465,544.1,0.1176
74,1,132.53,72052.02,0.688621,3.7264607368812786e-06,2.449706,571.2,0.112
75,1,132.96,71321.2,0.682794,3.7633048008931883e-06,2.653652,268.4,0.2385
76,1,133.26,70538.74,0.682854,3.800148864905097e-06,2.101487,510.4,0.1254
77,1,133.6,69797.35,0.682179,3.836992928917006e-06,2.41908,406.9,0.1573
78,1,133.88,69046.75,0.675414,3.873836992928915e-06,2.222201,586.3,0.1092
79,1,135.89,69193.23,0.670229,3.9106810569408245e-06,2.394665,556.9,0.1149
80,1,136.19,68480.07,0.676658,3.947525120952734e-06,2.096147,599.6,0.1067
81,1,137.27,68168.43,0.666375,3.984369184964643e-06,2.320613,591.6,0.1082
82,1,141.04,69182.75,0.673707,4.021213248976552e-06,2.15606,578.0,0.1107
83,1,141.34,68495.21,0.673028,4.0580573129884615e-06,2.428225,565.0,0.1133
84,1,141.65,67825.25,0.67995,4.094901377000371e-06,2.203802,555.4,0.1152
85,1,141.95,67165.57,0.674005,4.13174544101228e-06,2.445845,607.2,0.1054
86,1,142.27,66532.14,0.672321,4.168589505024189e-06,2.101958,575.3,0.1112
87,1,142.58,65911.94,0.659963,4.2054335690360985e-06,2.927439,533.5,0.12
88,1,142.89,65300.68,0.663869,4.242277633048008e-06,2.560259,558.9,0.1145
89,1,143.19,64703.67,0.660887,4.279121697059917e-06,2.168025,553.8,0.1156
90,1,143.91,64303.07,0.664118,4.3159657610718255e-06,2.295788,393.5,0.1627
91,1,144.21,63729.35,0.661563,4.352809825083735e-06,2.253749,590.0,0.1085
92,1,145.67,63673.39,0.668142,4.389653889095644e-06,2.119586,488.4,0.131
93,1,148.42,64174.69,0.662422,4.426497953107553e-06,2.100016,618.1,0.1035
94,1,148.73,63622.75,0.66401,4.463342017119462e-06,1.969237,589.6,0.1086
95,1,149.03,63078.83,0.668991,4.50018608113137e-06,1.989982,597.9,0.107
96,1,149.34,62551.13,0.660872,4.537030145143279e-06,2.291952,555.6,0.1152
97,1,149.65,62030.65,0.656116,4.573874209155189e-06,2.576419,572.8,0.1117
98,1,153.31,62897.35,0.64966,4.610718273167098e-06,2.749736,607.7,0.1053
99,1,153.61,62382.97,0.659252,4.647562337179007e-06,2.527173,609.1,0.1051
100,1,153.91,61880.71,0.661482,4.684406401190916e-06,2.310482,589.0,0.1087
101,1,154.22,61387.2,0.651294,4.721250465202826e-06,2.255347,606.9,0.1055
102,1,154.54,60910.83,0.671652,4.758094529214735e-06,1.854553,531.8,0.1203
103,1,154.85,60438.57,0.64494,4.794938593226644e-06,1.886174,509.8,0.1255
104,1,155.13,59966.25,0.646763,4.831782657238553e-06,2.171928,597.1,0.1072
105,1,155.44,59512.25,0.653493,4.868626721250462e-06,1.716772,576.5,0.111
106,1,155.76,59070.14,0.650796,4.90547078526237e-06,1.95445,516.0,0.124
107,1,156.07,58633.6,0.648392,4.9423148492742795e-06,2.218489,493.1,0.1298
108,1,156.37,58198.63,0.66031,4.979158913286189e-06,1.801345,563.0,0.1137
109,1,156.68,57777.52,0.651118,5.016002977298098e-06,2.212384,550.6,0.1162
110,1,156.99,57364.78,0.655922,5.0528470413100064e-06,2.008496,554.8,0.1154
111,1,157.3,56959.52,0.651219,5.089691105321916e-06,2.125118,579.5,0.1104
112,1,157.61,56562.12,0.657369,5.126535169333825e-06,2.32569,590.2,0.1084
113,1,157.92,56168.82,0.636766,5.163379233345734e-06,2.050797,595.6,0.1075
114,1,163.12,57507.02,0.646563,5.200223297357643e-06,1.799992,608.7,0.1051
115,1,163.42,57111.16,0.655578,5.237067361369552e-06,1.551784,607.7,0.1053
116,1,163.72,56722.35,0.63345,5.273911425381461e-06,2.115343,607.6,0.1053
117,1,164.03,56340.96,0.64541,5.31075548939337e-06,2.025932,599.5,0.1067
118,1,164.34,55970.28,0.631748,5.34759955340528e-06,2.079837,550.6,0.1162
119,1,164.66,55603.64,0.637854,5.384443617417189e-06,2.227545,564.1,0.1135
120,1,164.96,55239.52,0.641641,5.421287681429098e-06,1.680049,578.7,0.1106
121,1,165.31,54897.93,0.644736,5.4581317454410074e-06,1.819726,444.0,0.1442
122,1,165.58,54536.66,0.63556,5.494975809452916e-06,2.036385,579.5,0.1104
123,1,165.9,54195.55,0.636521,5.531819873464825e-06,1.882234,535.4,0.1195
124,1,166.2,53856.56,0.621144,5.568663937476735e-06,2.175155,522.6,0.1225
125,1,166.5,53520.13,0.623606,5.605508001488644e-06,1.984099,567.6,0.1127
126,1,166.81,53192.5,0.634038,5.642352065500553e-06,1.786837,566.9,0.1129
127,1,167.14,52876.32,0.610347,5.679196129512461e-06,2.457621,481.4,0.1329
128,1,167.42,52551.26,0.628373,5.7160401935243706e-06,2.037421,588.7,0.1087
129,1,167.77,52249.53,0.625436,5.752884257536281e-06,1.965585,573.2,0.1117
130,1,172.98,53457.98,0.635891,5.78972832154819e-06,1.90315,618.2,0.1035
131,1,173.28,53141.5,0.626577,5.826572385560098e-06,1.764098,610.0,0.1049
132,1,173.59,52829.65,0.628159,5.863416449572008e-06,2.00006,610.4,0.1049
133,1,173.9,52525.33,0.634722,5.900260513583918e-06,1.713975,595.1,0.1075
134,1,174.22,52229.26,0.602632,5.937104577595827e-06,1.976246,513.1,0.1247
135,1,174.53,51932.62,0.620873,5.973948641607737e-06,2.143481,499.0,0.1282
136,1,174.82,51636.28,0.622465,6.010792705619647e-06,1.712304,614.0,0.1042
137,1,175.13,51347.17,0.613318,6.0476367696315564e-06,2.043376,610.8,0.1048
138,1,175.44,51065.72,0.651082,6.084480833643465e-06,1.39515,551.3,0.1161
139,1,175.75,50785.79,0.624046,6.121324897655374e-06,1.987782,559.2,0.1144
140,1,176.09,50518.17,0.606096,6.1581689616672825e-06,2.089958,460.8,0.1389
141,1,176.39,50246.23,0.622521,6.195013025679192e-06,1.365684,528.3,0.1211
142,1,176.71,49981.11,0.61769,6.231857089691101e-06,1.592419,474.9,0.1348
143,1,177.01,49713.56,0.63212,6.268701153703011e-06,1.486017,526.8,0.1215
144,1,177.35,49462.51,0.616188,6.3055452177149196e-06,1.630092,409.1,0.1564
145,1,177.63,49196.13,0.599174,6.342389281726828e-06,2.007954,600.3,0.1066
146,1,178.1,48987.18,0.614485,6.379233345738737e-06,1.563028,407.8,0.1569
147,1,178.4,48737.03,0.612683,6.4160774097506465e-06,1.599785,477.8,0.134
148,1,178.69,48482.8,0.624005,6.452921473762555e-06,1.413722,586.8,0.1091
149,1,178.99,48238.49,0.606999,6.489765537774464e-06,1.871486,593.9,0.1078
150,1,179.54,48062.78,0.622317,6.526609601786374e-06,1.401226,576.2,0.1111
151,1,180.75,48066.2,0.623204,6.5634536657982835e-06,1.694559,491.2,0.1303
152,1,183.79,48551.46,0.616202,6.600297729810192e-06,1.322805,620.1,0.1032
153,1,184.1,48314.25,0.603851,6.637141793822101e-06,1.710426,579.3,0.1105
154,1,184.4,48076.58,0.6097,6.67398585783401e-06,1.681099,619.0,0.1034
155,1,184.7,47843.98,0.617455,6.71082992184592e-06,1.564525,614.7,0.1041
156,1,185.01,47615.51,0.577161,6.747673985857829e-06,1.964753,598.1,0.107
157,1,185.48,47431.17,0.610579,6.784518049869739e-06,1.765601,381.8,0.1676
158,1,186.89,47487.84,0.603845,6.821362113881648e-06,1.422252,600.6,0.1066
159,1,187.98,47463.64,0.586948,6.858206177893558e-06,1.762333,589.0,0.1087
160,1,189.02,47425.63,0.601307,6.895050241905467e-06,1.359266,599.2,0.1068
161,1,189.88,47343.95,0.615754,6.931894305917375e-06,1.92264,585.7,0.1093
162,1,191.71,47504.63,0.592833,6.9687383699292845e-06,1.45855,611.6,0.1046
163,1,192.05,47295.82,0.589925,7.005582433941194e-06,1.727386,624.9,0.1024
