step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,75.06,3025159.73,0.735655,1.0368440640119094e-06,2.980064,1.0,66.9788
2,1,75.16,1514686.81,0.736356,1.0736881280238187e-06,3.104119,630.8,0.1015
3,1,75.46,1013775.36,0.73138,1.1105321920357277e-06,2.678433,634.5,0.1009
4,1,75.77,763352.23,0.723453,1.147376256047637e-06,2.461943,629.6,0.1016
5,1,76.07,613091.61,0.728025,1.1842203200595463e-06,2.65082,632.6,0.1012
6,1,76.37,512943.26,0.725143,1.2210643840714553e-06,2.591208,632.5,0.1012
7,1,76.67,441401.0,0.734086,1.2579084480833646e-06,2.775088,627.5,0.102
8,1,76.97,387729.13,0.727033,1.2947525120952738e-06,2.958032,636.6,0.1005
9,1,77.28,345997.69,0.731456,1.331596576107183e-06,2.841248,638.9,0.1002
10,1,77.58,312606.64,0.723664,1.3684406401190921e-06,2.347204,637.4,0.1004
11,1,77.88,285283.89,0.728073,1.4052847041310014e-06,2.747416,636.4,0.1006
12,1,78.18,262517.53,0.725169,1.4421287681429106e-06,2.833464,635.0,0.1008
13,1,78.49,243266.31,0.726029,1.4789728321548197e-06,2.656335,615.6,0.104
14,1,78.79,226741.34,0.721084,1.5158168961667287e-06,2.512642,639.2,0.1001
15,1,79.09,212432.68,0.730823,1.552660960178638e-06,2.944941,631.1,0.1014
16,1,79.39,199920.37,0.728615,1.589505024190547e-06,2.77462,618.2,0.1035
17,1,79.69,188866.46,0.71809,1.6263490882024563e-06,2.698454,633.5,0.101
18,1,80.0,179059.9,0.715659,1.6631931522143654e-06,2.732531,607.0,0.1054
19,1,80.3,170262.67,0.729562,1.7000372162262744e-06,3.020554,631.9,0.1013
20,1,80.6,162353.07,0.725791,1.7368812802381837e-06,2.610685,634.9,0.1008
21,1,80.91,155204.28,0.719181,1.7737253442500927e-06,2.713955,634.4,0.1009
22,1,81.21,148698.52,0.718917,1.8105694082620018e-06,2.79571,634.6,0.1008
23,1,81.51,142757.26,0.718101,1.8474134722739108e-06,2.362014,638.1,0.1003
24,1,81.82,137317.58,0.722697,1.8842575362858199e-06,2.58491,628.6,0.1018
25,1,82.12,132310.52,0.716648,1.921101600297729e-06,2.635682,630.7,0.1015
26,1,82.42,127690.93,0.720393,1.957945664309638e-06,3.032247,614.8,0.1041
27,1,82.73,123408.52,0.71585,1.994789728321547e-06,2.105801,621.7,0.1029
28,1,83.03,119430.99,0.718526,2.0316337923334565e-06,2.798223,630.1,0.1016
29,1,83.33,115736.49,0.712262,2.0684778563453657e-06,2.489514,601.9,0.1063
30,1,83.63,112274.04,0.717108,2.105321920357275e-06,2.448135,635.9,0.1006
31,1,83.94,109048.72,0.707712,2.1421659843691842e-06,2.316223,611.4,0.1047
32,1,84.24,106015.17,0.71618,2.1790100483810935e-06,2.410994,636.4,0.1006
33,1,84.54,103168.09,0.711965,2.2158541123930023e-06,2.402678,639.3,0.1001
34,1,84.84,100492.97,0.711817,2.252698176404911e-06,2.313244,618.1,0.1035
35,1,85.14,97964.6,0.717892,2.2895422404168204e-06,2.702803,631.1,0.1014
36,1,85.45,95577.86,0.712754,2.3263863044287297e-06,2.604084,634.9,0.1008
37,1,85.75,93323.08,0.716471,2.363230368440639e-06,2.648852,613.0,0.1044
38,1,86.05,91186.21,0.709339,2.400074432452548e-06,2.391907,613.5,0.1043
39,1,86.35,89156.98,0.704363,2.436918496464457e-06,2.476852,626.1,0.1022
40,1,86.66,87230.45,0.719767,2.4737625604763663e-06,2.541515,635.3,0.1007
41,1,86.96,85400.18,0.704591,2.5106066244882756e-06,2.565628,632.4,0.1012
42,1,87.26,83654.28,0.709042,2.547450688500185e-06,2.899895,633.7,0.101
43,1,87.56,81989.19,0.709291,2.584294752512094e-06,2.434935,635.1,0.1008
44,1,87.87,80402.57,0.702486,2.6211388165240034e-06,2.454314,626.4,0.1022
45,1,88.17,78887.08,0.702287,2.6579828805359126e-06,2.854243,617.2,0.1037
46,1,88.48,77436.72,0.702095,2.694826944547822e-06,2.506186,610.9,0.1048
47,1,88.78,76047.51,0.701987,2.731671008559731e-06,2.518494,603.2,0.1061
48,1,89.08,74710.68,0.69878,2.7685150725716404e-06,1.987134,632.2,0.1012
49,1,89.39,73435.78,0.708152,2.8053591365835492e-06,2.518968,609.8,0.105
50,1,89.69,72209.2,0.70538,2.8422032005954585e-06,2.497833,606.2,0.1056
51,1,89.99,71028.76,0.702086,2.8790472646073677e-06,2.448447,623.6,0.1026
52,1,90.29,69895.29,0.707317,2.915891328619277e-06,2.339072,628.1,0.1019
53,1,90.6,68807.92,0.704177,2.9527353926311863e-06,2.719974,609.5,0.105
54,1,90.9,67757.1,0.694835,2.9895794566430955e-06,2.295993,614.9,0.1041
55,1,91.2,66742.61,0.69841,3.0264235206550044e-06,2.410798,632.6,0.1012
56,1,91.51,65769.45,0.694699,3.0632675846669136e-06,2.652647,614.1,0.1042
57,1,91.81,64826.37,0.689855,3.1001116486788225e-06,2.322464,626.2,0.1022
58,1,92.11,63919.45,0.698613,3.1369557126907313e-06,2.589979,607.0,0.1054
59,1,92.41,63039.03,0.69565,3.1737997767026406e-06,2.602103,631.1,0.1014
60,1,92.72,62191.87,0.700967,3.21064384071455e-06,2.768631,610.3,0.1049
61,1,93.02,61369.04,0.688523,3.2474879047264586e-06,2.638263,636.1,0.1006
62,1,93.33,60577.13,0.694558,3.284331968738368e-06,2.257515,604.3,0.1059
63,1,93.63,59807.41,0.689519,3.321176032750277e-06,2.570186,605.1,0.1058
64,1,93.93,59061.35,0.689514,3.3580200967621864e-06,2.679904,612.0,0.1046
65,1,94.24,58339.46,0.685779,3.3948641607740957e-06,2.424872,608.4,0.1052
66,1,94.54,57639.32,0.691483,3.431708224786005e-06,2.378222,605.6,0.1057
67,1,94.84,56956.29,0.689989,3.468552288797914e-06,2.861636,636.7,0.1005
68,1,95.14,56296.36,0.692728,3.5053963528098235e-06,2.095965,636.3,0.1006
69,1,95.44,55655.16,0.679547,3.5422404168217327e-06,2.598239,634.8,0.1008
70,1,95.75,55032.98,0.679311,3.579084480833642e-06,2.642617,632.9,0.1011
71,1,96.05,54430.35,0.682893,3.6159285448455512e-06,2.487291,610.7,0.1048
72,1,96.35,53842.05,0.688204,3.6527726088574605e-06,1.741499,615.3,0.104
73,1,96.66,53269.45,0.682577,3.6896166728693693e-06,2.30964,629.7,0.1016
74,1,96.96,52712.17,0.686178,3.7264607368812786e-06,2.399798,633.8,0.101
75,1,97.26,52170.42,0.680474,3.7633048008931883e-06,2.638516,630.8,0.1015
76,1,97.56,51643.72,0.682046,3.800148864905097e-06,2.082516,631.8,0.1013
77,1,97.87,51131.7,0.683439,3.836992928917006e-06,2.419318,614.9,0.1041
78,1,98.18,50632.17,0.676665,3.873836992928915e-06,2.103442,609.8,0.105
79,1,98.48,50144.6,0.668253,3.9106810569408245e-06,2.434098,609.9,0.1049
80,1,98.78,49668.99,0.677084,3.947525120952734e-06,2.040913,617.1,0.1037
81,1,99.09,49205.37,0.667549,3.984369184964643e-06,2.401298,632.7,0.1012
82,1,99.39,48752.67,0.672294,4.021213248976552e-06,2.154053,630.5,0.1015
83,1,99.69,48311.55,0.67192,4.0580573129884615e-06,2.453488,628.4,0.1018
84,1,100.0,47881.58,0.680166,4.094901377000371e-06,2.237463,613.5,0.1043
85,1,100.3,47461.17,0.676963,4.13174544101228e-06,2.369249,605.8,0.1056
86,1,100.6,47047.51,0.669428,4.168589505024189e-06,2.11045,630.7,0.1015
87,1,100.9,46645.22,0.663066,4.2054335690360985e-06,2.946084,633.9,0.101
88,1,101.21,46253.56,0.66227,4.242277633048008e-06,2.587994,626.5,0.1021
89,1,101.52,45871.1,0.662513,4.279121697059917e-06,2.42224,614.0,0.1042
90,1,101.82,45494.65,0.661297,4.3159657610718255e-06,2.298279,626.3,0.1022
91,1,102.12,45128.6,0.663808,4.352809825083735e-06,2.199303,614.5,0.1041
92,1,102.42,44768.57,0.668295,4.389653889095644e-06,2.018813,624.6,0.1025
93,1,102.73,44418.16,0.664237,4.426497953107553e-06,2.09102,615.6,0.104
94,1,103.03,44073.75,0.664647,4.463342017119462e-06,2.131958,626.4,0.1022
95,1,103.34,43738.63,0.667594,4.50018608113137e-06,1.985071,614.5,0.1041
96,1,103.64,43409.88,0.66019,4.537030145143279e-06,2.304675,600.7,0.1065
97,1,103.94,43084.5,0.652866,4.573874209155189e-06,2.465322,630.5,0.1015
98,1,104.24,42768.68,0.650655,4.610718273167098e-06,2.712939,621.8,0.1029
99,1,104.55,42458.44,0.661319,4.647562337179007e-06,2.509834,632.1,0.1013
100,1,104.85,42155.21,0.662102,4.684406401190916e-06,2.106405,625.2,0.1024
101,1,105.16,41858.22,0.651848,4.721250465202826e-06,2.232981,631.1,0.1014
102,1,105.46,41566.23,0.671521,4.758094529214735e-06,1.819048,630.0,0.1016
103,1,105.76,41279.76,0.643818,4.794938593226644e-06,1.856673,633.5,0.101
104,1,106.07,41000.72,0.647065,4.831782657238553e-06,2.217474,611.4,0.1047
105,1,106.37,40726.37,0.653146,4.868626721250462e-06,1.747754,606.5,0.1055
106,1,106.68,40455.17,0.649907,4.90547078526237e-06,1.963615,622.9,0.1028
107,1,106.98,40190.07,0.6485,4.9423148492742795e-06,2.242958,623.5,0.1026
108,1,107.28,39930.53,0.66104,4.979158913286189e-06,1.897919,618.0,0.1036
109,1,107.59,39675.15,0.648351,5.016002977298098e-06,2.224705,624.1,0.1026
110,1,107.9,39426.28,0.654143,5.0528470413100064e-06,2.020663,597.2,0.1072
111,1,108.2,39179.97,0.650041,5.089691105321916e-06,2.179049,598.0,0.107
112,1,108.5,38937.43,0.658057,5.126535169333825e-06,2.10908,609.7,0.105
113,1,108.8,38699.63,0.640536,5.163379233345734e-06,2.153633,616.5,0.1038
114,1,109.11,38466.77,0.646054,5.200223297357643e-06,1.689606,612.5,0.1045
115,1,109.41,38238.0,0.654385,5.237067361369552e-06,1.644302,610.7,0.1048
116,1,109.72,38012.75,0.635018,5.273911425381461e-06,2.125352,607.1,0.1054
117,1,110.03,37793.6,0.646932,5.31075548939337e-06,2.024653,567.7,0.1127
118,1,110.32,37572.51,0.630947,5.34759955340528e-06,2.096986,612.4,0.1045
119,1,110.63,37358.65,0.636582,5.384443617417189e-06,2.299207,610.0,0.1049
120,1,110.93,37148.62,0.643883,5.421287681429098e-06,1.760329,605.4,0.1057
121,1,111.24,36942.14,0.645134,5.4581317454410074e-06,1.829803,605.3,0.1057
122,1,111.54,36737.22,0.633549,5.494975809452916e-06,2.051634,627.2,0.102
123,1,111.84,36537.71,0.637559,5.531819873464825e-06,1.909057,611.8,0.1046
124,1,112.15,36339.75,0.621014,5.568663937476735e-06,2.172239,632.5,0.1012
125,1,112.45,36146.99,0.624362,5.605508001488644e-06,1.971333,610.1,0.1049
126,1,112.75,35954.8,0.632322,5.642352065500553e-06,1.799636,630.7,0.1015
127,1,113.06,35766.96,0.609332,5.679196129512461e-06,2.51681,627.0,0.1021
128,1,113.36,35583.17,0.626764,5.7160401935243706e-06,2.015471,608.8,0.1051
129,1,113.67,35401.5,0.621852,5.752884257536281e-06,1.94946,603.2,0.1061
130,1,113.97,35222.16,0.636015,5.78972832154819e-06,1.875302,605.0,0.1058
131,1,114.27,35044.66,0.625458,5.826572385560098e-06,1.801431,625.8,0.1023
132,1,114.58,34871.15,0.626075,5.863416449572008e-06,2.105316,615.4,0.104
133,1,114.88,34699.89,0.631625,5.900260513583918e-06,1.705248,617.6,0.1036
134,1,115.19,34530.95,0.603796,5.937104577595827e-06,1.992226,623.5,0.1026
135,1,115.49,34364.67,0.618952,5.973948641607737e-06,2.338747,626.0,0.1022
