step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,143.23,3848419.92,0.781731,1.0368440640119094e-06,3.597212,0.5,135.7557
2,1,143.39,1926241.76,0.774541,1.0736881280238187e-06,3.527452,420.5,0.1522
3,1,143.65,1286501.16,0.767452,1.1105321920357277e-06,3.060902,442.1,0.1448
4,1,143.92,966671.21,0.749307,1.147376256047637e-06,2.838604,442.0,0.1448
5,1,144.2,774779.24,0.755258,1.1842203200595463e-06,3.765857,437.6,0.1463
6,1,144.47,646844.46,0.744229,1.2210643840714553e-06,3.28171,439.2,0.1457
7,1,144.74,555467.06,0.753871,1.2579084480833646e-06,3.009578,437.8,0.1462
8,1,145.02,486928.93,0.738818,1.2947525120952738e-06,2.944844,439.5,0.1456
9,1,145.29,433629.83,0.711124,1.331596576107183e-06,3.019907,433.8,0.1475
10,1,145.56,390982.93,0.715242,1.3684406401190921e-06,2.722631,441.5,0.145
11,1,145.84,356090.85,0.722899,1.4052847041310014e-06,2.808844,443.6,0.1443
12,1,146.11,327022.05,0.705708,1.4421287681429106e-06,2.704322,432.9,0.1478
13,1,146.39,302427.27,0.696122,1.4789728321548197e-06,2.185198,422.5,0.1515
14,1,146.66,281340.73,0.697235,1.5158168961667287e-06,2.4581,420.0,0.1524
15,1,146.94,263065.93,0.69077,1.552660960178638e-06,2.715452,417.7,0.1532
16,1,147.2,247059.37,0.680735,1.589505024190547e-06,2.456774,443.0,0.1445
17,1,147.48,232952.85,0.686291,1.6263490882024563e-06,2.550869,436.5,0.1466
18,1,147.75,220412.92,0.672919,1.6631931522143654e-06,2.310181,432.0,0.1482
19,1,148.03,209200.7,0.679266,1.7000372162262744e-06,2.334912,411.9,0.1554
20,1,148.3,199090.46,0.670111,1.7368812802381837e-06,2.069819,430.9,0.1485
21,1,148.58,189964.84,0.656564,1.7737253442500927e-06,2.281152,408.1,0.1568
22,1,148.85,181651.5,0.65091,1.8105694082620018e-06,2.435446,422.1,0.1516
23,1,149.12,174063.79,0.659482,1.8474134722739108e-06,1.882058,428.7,0.1493
24,1,149.4,167110.99,0.645254,1.8842575362858199e-06,1.819985,427.5,0.1497
25,1,149.68,160721.45,0.636916,1.921101600297729e-06,1.823818,409.5,0.1563
26,1,149.95,154815.85,0.64201,1.957945664309638e-06,2.059779,418.5,0.1529
27,1,150.22,149342.49,0.654334,1.994789728321547e-06,1.50527,436.4,0.1466
28,1,150.49,144269.12,0.630075,2.0316337923334565e-06,1.767488,427.5,0.1497
29,1,150.77,139546.03,0.63583,2.0684778563453657e-06,1.776698,416.8,0.1535
30,1,151.04,135134.5,0.635722,2.105321920357275e-06,1.378353,415.2,0.1542
31,1,151.31,131003.75,0.636206,2.1421659843691842e-06,1.848542,425.6,0.1504
32,1,151.58,127130.97,0.640374,2.1790100483810935e-06,1.303318,439.2,0.1457
33,1,151.86,123497.17,0.637392,2.2158541123930023e-06,1.611831,434.3,0.1474
34,1,152.13,120075.58,0.626561,2.252698176404911e-06,1.472698,434.9,0.1472
35,1,152.4,116849.51,0.604135,2.2895422404168204e-06,1.580663,436.0,0.1468
36,1,152.68,113803.5,0.611741,2.3263863044287297e-06,1.506882,434.0,0.1475
37,1,152.95,110922.67,0.594819,2.363230368440639e-06,1.546097,430.2,0.1488
38,1,153.23,108196.19,0.614504,2.400074432452548e-06,1.710087,416.6,0.1536
39,1,153.5,105604.37,0.609027,2.436918496464457e-06,1.379076,424.8,0.1507
40,1,153.77,103144.53,0.616365,2.4737625604763663e-06,1.459832,423.8,0.151
41,1,154.05,100805.7,0.582041,2.5106066244882756e-06,1.231783,426.4,0.1501
42,1,154.33,98577.25,0.554886,2.547450688500185e-06,2.29584,423.7,0.151
43,1,154.59,96448.62,0.603161,2.584294752512094e-06,1.524132,438.6,0.1459
44,1,154.87,94419.77,0.593509,2.6211388165240034e-06,1.396074,438.7,0.1459
45,1,155.14,92482.03,0.567554,2.6579828805359126e-06,1.442728,433.9,0.1475
46,1,155.42,90631.33,0.579041,2.694826944547822e-06,1.29903,415.6,0.154
47,1,155.69,88855.39,0.590104,2.731671008559731e-06,1.283524,417.4,0.1533
48,1,155.97,87152.84,0.631124,2.7685150725716404e-06,1.105926,428.1,0.1495
49,1,156.24,85523.14,0.578124,2.8053591365835492e-06,1.132957,416.9,0.1535
50,1,156.52,83955.5,0.571655,2.8422032005954585e-06,1.030121,421.0,0.152
51,1,156.79,82447.76,0.578261,2.8790472646073677e-06,1.053965,433.5,0.1477
52,1,157.06,81001.87,0.585711,2.915891328619277e-06,1.572751,423.6,0.1511
53,1,157.34,79608.59,0.576374,2.9527353926311863e-06,1.157972,426.6,0.15
54,1,157.62,78271.04,0.597349,2.9895794566430955e-06,1.221365,410.5,0.1559
55,1,157.89,76976.72,0.580945,3.0264235206550044e-06,1.34404,419.6,0.1525
56,1,158.16,75729.4,0.545974,3.0632675846669136e-06,1.473393,425.2,0.1505
57,1,158.43,74526.41,0.580296,3.1001116486788225e-06,1.212246,428.1,0.1495
58,1,158.71,73366.4,0.567451,3.1369557126907313e-06,1.392023,422.0,0.1516
59,1,158.98,72243.24,0.55046,3.1737997767026406e-06,1.113511,431.4,0.1483
60,1,159.26,71162.5,0.529652,3.21064384071455e-06,1.193116,409.7,0.1562
61,1,159.53,70112.86,0.54415,3.2474879047264586e-06,1.156297,422.4,0.1515
62,1,159.81,69098.15,0.602609,3.284331968738368e-06,2.039368,421.0,0.152
63,1,160.07,68112.83,0.541578,3.321176032750277e-06,1.87355,437.4,0.1463
64,1,160.35,67160.3,0.544309,3.3580200967621864e-06,1.100821,439.6,0.1456
65,1,160.63,66239.97,0.56769,3.3948641607740957e-06,1.537238,421.5,0.1518
66,1,160.9,65344.95,0.565916,3.431708224786005e-06,1.106827,423.4,0.1511
67,1,161.17,64475.27,0.516352,3.468552288797914e-06,1.153369,434.7,0.1472
68,1,161.45,63634.56,0.63056,3.5053963528098235e-06,1.400027,420.2,0.1523
69,1,161.72,62816.06,0.557986,3.5422404168217327e-06,1.177755,423.9,0.151
70,1,161.99,62019.33,0.532959,3.579084480833642e-06,1.464171,439.0,0.1458
71,1,162.27,61248.17,0.540434,3.6159285448455512e-06,1.155876,428.3,0.1494
72,1,162.54,60496.49,0.64084,3.6527726088574605e-06,1.523402,432.8,0.1479
73,1,162.81,59766.01,0.579343,3.6896166728693693e-06,1.81054,432.1,0.1481
74,1,163.09,59054.76,0.551951,3.7264607368812786e-06,0.863194,436.7,0.1466
75,1,163.36,58363.57,0.52722,3.7633048008931883e-06,1.383696,431.7,0.1483
76,1,163.64,57691.94,0.597675,3.800148864905097e-06,1.195613,415.9,0.1539
77,1,163.92,57036.23,0.553104,3.836992928917006e-06,1.067705,414.0,0.1546
78,1,164.19,56397.65,0.576554,3.873836992928915e-06,2.211042,410.3,0.156
79,1,164.46,55773.31,0.541036,3.9106810569408245e-06,1.201939,421.2,0.152
80,1,164.73,55165.5,0.575584,3.947525120952734e-06,1.613002,424.1,0.1509
81,1,165.01,54574.24,0.563874,3.984369184964643e-06,1.554724,418.7,0.1529
82,1,165.29,53996.84,0.578964,4.021213248976552e-06,1.085539,412.7,0.1551
83,1,165.55,53430.28,0.547228,4.0580573129884615e-06,1.12307,434.3,0.1474
84,1,165.83,52880.16,0.588656,4.094901377000371e-06,1.696328,428.7,0.1493
85,1,166.1,52342.01,0.557647,4.13174544101228e-06,1.0534,432.8,0.1479
86,1,166.38,51818.16,0.582201,4.168589505024189e-06,1.415937,420.6,0.1522
87,1,166.65,51304.39,0.48806,4.2054335690360985e-06,1.467083,426.3,0.1501
88,1,166.92,50801.89,0.507357,4.242277633048008e-06,1.503613,437.6,0.1462
89,1,167.2,50311.72,0.552293,4.279121697059917e-06,1.015658,436.2,0.1467
90,1,167.48,49833.21,0.549005,4.3159657610718255e-06,1.25766,427.2,0.1498
91,1,167.75,49365.68,0.56257,4.352809825083735e-06,1.540774,415.5,0.154
92,1,168.02,48905.98,0.576946,4.389653889095644e-06,1.414231,426.6,0.15
93,1,168.3,48458.36,0.567264,4.426497953107553e-06,1.812032,421.0,0.152
94,1,168.58,48020.43,0.586288,4.463342017119462e-06,1.234212,407.2,0.1572
95,1,168.85,47589.15,0.572412,4.50018608113137e-06,1.034968,420.6,0.1522
96,1,169.12,47166.71,0.549929,4.537030145143279e-06,2.133605,435.2,0.147
97,1,169.4,46754.94,0.51054,4.573874209155189e-06,1.208405,428.5,0.1494
98,1,169.67,46350.85,0.476593,4.610718273167098e-06,1.431623,430.2,0.1488
99,1,169.95,45955.87,0.529974,4.647562337179007e-06,1.669062,423.0,0.1513
100,1,170.22,45568.54,0.56445,4.684406401190916e-06,1.658397,418.2,0.153
101,1,170.5,45188.73,0.544954,4.721250465202826e-06,1.080645,423.1,0.1513
102,1,170.77,44816.33,0.635299,4.758094529214735e-06,2.044777,420.7,0.1521
103,1,171.05,44450.23,0.564244,4.794938593226644e-06,2.629215,427.7,0.1496
104,1,171.32,44091.3,0.537199,4.831782657238553e-06,1.133871,432.7,0.1479
105,1,171.6,43740.45,0.602161,4.868626721250462e-06,2.079981,423.4,0.1512
106,1,171.87,43395.79,0.578473,4.90547078526237e-06,1.445817,420.5,0.1522
107,1,172.14,43056.04,0.544071,4.9423148492742795e-06,1.280516,432.5,0.148
108,1,172.42,42724.37,0.589155,4.979158913286189e-06,1.330937,424.7,0.1507
109,1,172.7,42400.8,0.536484,5.016002977298098e-06,0.982263,396.5,0.1614
110,1,172.97,42078.19,0.56399,5.0528470413100064e-06,1.093762,423.0,0.1513
111,1,173.24,41764.08,0.560108,5.089691105321916e-06,1.252095,418.7,0.1528
112,1,173.52,41455.14,0.569181,5.126535169333825e-06,1.228963,419.3,0.1526
113,1,173.79,41150.45,0.548482,5.163379233345734e-06,1.366475,434.8,0.1472
114,1,174.07,40853.67,0.597932,5.200223297357643e-06,1.772352,417.2,0.1534
115,1,174.34,40559.9,0.609352,5.237067361369552e-06,1.1875,427.6,0.1497
116,1,174.61,40272.05,0.526664,5.273911425381461e-06,1.554944,426.0,0.1502
117,1,174.88,39988.48,0.57011,5.31075548939337e-06,1.287349,433.1,0.1478
118,1,175.16,39711.04,0.528425,5.34759955340528e-06,1.2843,422.5,0.1515
119,1,175.44,39439.25,0.518189,5.384443617417189e-06,1.203061,403.3,0.1587
120,1,175.71,39168.78,0.586216,5.421287681429098e-06,1.540262,422.0,0.1517
121,1,175.98,38903.62,0.582359,5.4581317454410074e-06,1.331272,436.7,0.1465
122,1,176.26,38644.5,0.547071,5.494975809452916e-06,2.205302,423.3,0.1512
123,1,176.53,38388.34,0.551594,5.531819873464825e-06,1.280686,425.2,0.1505
124,1,176.81,38136.69,0.522701,5.568663937476735e-06,1.729338,423.9,0.151
125,1,177.08,37888.22,0.532379,5.605508001488644e-06,1.307526,433.3,0.1477
126,1,177.35,37644.15,0.563745,5.642352065500553e-06,1.464653,436.1,0.1467
127,1,177.64,37405.62,0.472288,5.679196129512461e-06,1.734495,416.9,0.1535
128,1,177.91,37169.47,0.514169,5.7160401935243706e-06,1.191922,415.8,0.1539
129,1,178.19,36937.74,0.54217,5.752884257536281e-06,1.060453,404.5,0.1582
130,1,178.46,36707.36,0.578717,5.78972832154819e-06,1.456023,421.7,0.1518
131,1,178.73,36480.92,0.548815,5.826572385560098e-06,1.066433,434.4,0.1473
132,1,179.01,36259.74,0.529654,5.863416449572008e-06,1.221724,420.3,0.1523
133,1,179.28,36041.17,0.571881,5.900260513583918e-06,1.597236,418.6,0.1529
134,1,179.56,35826.19,0.494706,5.937104577595827e-06,1.433713,410.9,0.1557
135,1,179.83,35612.32,0.507717,5.973948641607737e-06,1.602703,433.1,0.1478
136,1,180.1,35403.5,0.55238,6.010792705619647e-06,0.971595,428.2,0.1495
137,1,180.38,35197.26,0.498551,6.0476367696315564e-06,1.331399,427.1,0.1498
138,1,180.66,34995.28,0.615977,6.084480833643465e-06,1.374215,410.2,0.156
139,1,180.93,34793.81,0.526594,6.121324897655374e-06,1.027425,426.8,0.1499
140,1,181.2,34596.42,0.497242,6.1581689616672825e-06,0.943067,425.7,0.1503
141,1,181.48,34402.42,0.596471,6.195013025679192e-06,1.412436,421.4,0.1519
142,1,181.75,34209.42,0.554228,6.231857089691101e-06,1.192516,438.1,0.1461
143,1,182.02,34020.34,0.591442,6.268701153703011e-06,1.454427,435.1,0.1471
144,1,182.3,33834.23,0.581139,6.3055452177149196e-06,1.680064,426.4,0.1501
145,1,182.58,33650.6,0.50287,6.342389281726828e-06,1.360007,420.5,0.1522
146,1,182.84,33468.05,0.571038,6.379233345738737e-06,1.186796,437.5,0.1463
147,1,183.12,33289.25,0.548456,6.4160774097506465e-06,1.158443,432.4,0.148
148,1,183.4,33113.8,0.586514,6.452921473762555e-06,1.412158,416.6,0.1536
149,1,183.68,32939.62,0.540114,6.489765537774464e-06,1.276758,419.3,0.1526
150,1,183.95,32766.96,0.576863,6.526609601786374e-06,1.69013,431.9,0.1482
151,1,184.22,32597.12,0.579057,6.5634536657982835e-06,1.682676,435.2,0.1471
152,1,184.49,32429.61,0.579529,6.600297729810192e-06,1.170099,436.3,0.1467
153,1,184.77,32264.41,0.536509,6.637141793822101e-06,1.255203,436.9,0.1465
154,1,185.04,32101.45,0.547234,6.67398585783401e-06,1.275744,436.8,0.1465
155,1,185.33,31941.76,0.562624,6.71082992184592e-06,1.223327,415.3,0.1541
156,1,185.6,31782.31,0.48695,6.747673985857829e-06,1.400989,424.2,0.1509
157,1,185.87,31625.28,0.564121,6.784518049869739e-06,1.257378,427.6,0.1497
158,1,186.14,31469.98,0.552715,6.821362113881648e-06,1.740389,434.5,0.1473
