step,epoch,elapsed_sec,eta_sec,train_loss,lr,grad_norm,imgs_per_s,sec_per_step
1,1,113.13,3039573.52,0.68051,1.0368440640119094e-06,2.023169,0.6,106.4336
2,1,113.27,1521609.56,0.687981,1.0736881280238187e-06,2.071228,467.8,0.1368
3,1,113.55,1016887.4,0.684416,1.1105321920357277e-06,1.840347,466.6,0.1372
4,1,113.83,764545.69,0.68493,1.147376256047637e-06,1.878626,464.9,0.1377
5,1,114.12,613155.92,0.673816,1.1842203200595463e-06,2.18401,452.8,0.1413
6,1,114.41,512229.61,0.674318,1.2210643840714553e-06,1.682944,462.6,0.1384
7,1,114.69,440126.55,0.665435,1.2579084480833646e-06,1.964384,465.1,0.1376
8,1,114.98,386059.11,0.657299,1.2947525120952738e-06,1.844811,458.8,0.1395
9,1,115.26,344001.42,0.655068,1.331596576107183e-06,1.934799,459.2,0.1394
10,1,115.55,310364.22,0.670061,1.3684406401190921e-06,1.63789,452.2,0.1415
11,1,115.83,282828.32,0.651822,1.4052847041310014e-06,1.754856,461.1,0.1388
12,1,116.12,259889.18,0.653194,1.4421287681429106e-06,1.931781,460.4,0.139
13,1,116.4,240479.47,0.65149,1.4789728321548197e-06,1.556079,457.5,0.1399
14,1,116.69,223843.02,0.657296,1.5158168961667287e-06,1.631869,461.1,0.1388
15,1,116.98,209427.72,0.646322,1.552660960178638e-06,2.003841,452.2,0.1415
16,1,117.26,196805.99,0.635272,1.589505024190547e-06,1.702431,459.8,0.1392
17,1,117.55,185676.25,0.652932,1.6263490882024563e-06,1.71151,456.3,0.1403
18,1,117.83,175783.01,0.626209,1.6631931522143654e-06,2.031223,452.3,0.1415
19,1,118.12,166929.07,0.622354,1.7000372162262744e-06,1.799677,451.8,0.1417
20,1,118.4,158957.77,0.636865,1.7368812802381837e-06,1.561755,460.2,0.1391
21,1,118.69,151753.97,0.624071,1.7737253442500927e-06,2.073275,451.4,0.1418
22,1,118.98,145199.28,0.616535,1.8105694082620018e-06,1.526037,452.8,0.1413
23,1,119.27,139216.68,0.630594,1.8474134722739108e-06,1.305666,447.1,0.1432
24,1,119.55,133729.3,0.619079,1.8842575362858199e-06,1.441003,450.8,0.142
25,1,119.84,128683.05,0.614217,1.921101600297729e-06,1.776488,451.4,0.1418
26,1,120.12,124022.15,0.585699,1.957945664309638e-06,1.737598,459.0,0.1394
27,1,120.41,119709.06,0.63882,1.994789728321547e-06,1.14199,457.3,0.14
28,1,120.7,115704.98,0.61559,2.0316337923334565e-06,1.735089,456.7,0.1401
29,1,120.98,111975.75,0.614637,2.0684778563453657e-06,1.428201,459.3,0.1393
30,1,121.27,108495.47,0.616491,2.105321920357275e-06,1.491081,457.1,0.14
31,1,121.55,105238.39,0.628747,2.1421659843691842e-06,1.511708,461.9,0.1385
32,1,121.85,102191.95,0.610029,2.1790100483810935e-06,1.171536,440.7,0.1452
33,1,122.13,99320.76,0.605461,2.2158541123930023e-06,1.726605,453.4,0.1411
34,1,122.41,96620.24,0.615803,2.252698176404911e-06,1.124462,459.5,0.1393
35,1,122.7,94075.81,0.571814,2.2895422404168204e-06,1.445456,460.1,0.1391
36,1,122.99,91672.75,0.586451,2.3263863044287297e-06,1.542977,461.6,0.1387
37,1,123.27,89398.9,0.580141,2.363230368440639e-06,1.859919,462.1,0.1385
38,1,123.56,87248.13,0.592532,2.400074432452548e-06,1.31799,449.9,0.1422
39,1,123.85,85203.16,0.587308,2.436918496464457e-06,1.180544,458.4,0.1396
40,1,124.13,83262.68,0.585435,2.4737625604763663e-06,1.458577,456.9,0.1401
41,1,124.42,81416.81,0.566682,2.5106066244882756e-06,1.283254,458.6,0.1395
42,1,124.71,79658.41,0.53833,2.547450688500185e-06,1.39044,461.4,0.1387
43,1,125.0,77982.56,0.594888,2.584294752512094e-06,1.227995,457.1,0.14
44,1,125.28,76383.15,0.591093,2.6211388165240034e-06,1.288199,450.1,0.1422
45,1,125.57,74855.02,0.54179,2.6579828805359126e-06,2.76539,445.9,0.1435
46,1,125.85,73389.64,0.570001,2.694826944547822e-06,1.119433,460.9,0.1388
47,1,126.15,71991.33,0.57301,2.731671008559731e-06,1.400075,449.5,0.1424
48,1,126.43,70646.72,0.620251,2.7685150725716404e-06,1.355393,462.4,0.1384
49,1,126.72,69361.11,0.562746,2.8053591365835492e-06,1.274732,452.4,0.1415
50,1,127.01,68127.79,0.569864,2.8422032005954585e-06,1.052829,438.5,0.146
51,1,127.29,66936.58,0.577129,2.8790472646073677e-06,1.4584,457.2,0.14
52,1,127.58,65794.66,0.601346,2.915891328619277e-06,1.305258,461.3,0.1387
53,1,127.86,64696.29,0.574154,2.9527353926311863e-06,1.33801,460.2,0.1391
54,1,128.15,63639.33,0.604235,2.9895794566430955e-06,1.814416,454.3,0.1409
55,1,128.44,62618.6,0.571972,3.0264235206550044e-06,1.326098,461.4,0.1387
56,1,128.73,61636.36,0.546728,3.0632675846669136e-06,1.544553,456.0,0.1403
57,1,129.01,60687.53,0.568669,3.1001116486788225e-06,1.283528,459.4,0.1393
58,1,129.3,59771.63,0.572882,3.1369557126907313e-06,1.703254,459.3,0.1394
59,1,129.59,58886.98,0.552223,3.1737997767026406e-06,1.082284,456.8,0.1401
60,1,129.87,58032.46,0.52751,3.21064384071455e-06,1.723545,452.6,0.1414
61,1,130.16,57205.99,0.54623,3.2474879047264586e-06,1.262949,451.2,0.1418
62,1,130.45,56404.02,0.598811,3.284331968738368e-06,1.509774,458.9,0.1394
63,1,130.74,55630.69,0.544131,3.321176032750277e-06,1.491898,446.5,0.1433
64,1,131.03,54880.0,0.548457,3.3580200967621864e-06,1.286288,450.7,0.142
65,1,131.32,54152.71,0.556438,3.3948641607740957e-06,1.214026,444.5,0.144
66,1,131.6,53446.68,0.576678,3.431708224786005e-06,1.349864,446.8,0.1432
67,1,131.89,52760.69,0.511407,3.468552288797914e-06,2.07725,457.4,0.1399
68,1,132.18,52096.55,0.629017,3.5053963528098235e-06,1.561454,452.4,0.1415
69,1,132.46,51450.08,0.526767,3.5422404168217327e-06,1.404582,459.3,0.1393
70,1,132.75,50823.76,0.525023,3.579084480833642e-06,1.243307,457.6,0.1399
71,1,133.04,50214.79,0.542139,3.6159285448455512e-06,1.254866,455.7,0.1405
72,1,133.32,49622.33,0.638935,3.6527726088574605e-06,1.637578,456.6,0.1402
73,1,133.61,49046.24,0.583094,3.6896166728693693e-06,1.742216,456.1,0.1403
74,1,133.9,48486.53,0.56232,3.7264607368812786e-06,1.245016,449.7,0.1423
75,1,134.19,47941.77,0.521401,3.7633048008931883e-06,1.527277,441.1,0.1451
76,1,134.47,47409.1,0.597664,3.800148864905097e-06,1.333355,458.0,0.1397
77,1,134.76,46891.67,0.554904,3.836992928917006e-06,1.517307,460.9,0.1389
